,timestamp,pg_views,rolling_avg,pg_view_action,pg_view_christmas,pg_view_halloween,pg_view_valentine,pg_view_comedy,pg_view_romance,horror
138,2007-04-16 15:42:00,62,98.33333333333331,12,1,0,0,11,9,0
139,2007-04-17 15:42:00,93,105.33333333333331,14,0,1,0,23,15,6
140,2007-04-18 15:42:00,106,87.0,26,1,0,0,19,16,8
141,2007-04-19 15:42:00,140,113.0,23,1,1,0,24,15,7
142,2007-04-20 15:42:00,190,145.33333333333334,43,5,1,0,38,34,22
143,2007-04-21 15:42:00,81,137.0,22,1,0,0,11,7,4
144,2007-04-22 15:42:00,113,128.0,24,0,0,0,21,15,4
145,2007-04-23 15:42:00,64,86.0,10,0,0,0,13,9,3
146,2007-04-24 15:42:00,82,86.33333333333331,23,2,0,0,16,10,3
147,2007-04-25 15:42:00,60,68.66666666666667,22,0,2,0,11,6,7
148,2007-04-26 15:42:00,31,57.66666666666666,6,1,0,0,5,6,3
149,2007-04-27 15:42:00,83,58.0,32,1,0,0,26,12,5
150,2007-04-28 15:42:00,136,83.33333333333333,31,0,0,0,28,20,7
151,2007-04-29 15:42:00,138,119.0,60,4,0,0,29,15,14
152,2007-04-30 15:42:00,83,119.0,21,0,0,0,21,12,3
153,2007-05-01 15:42:00,114,111.66666666666669,36,0,1,0,23,15,4
154,2007-05-02 15:42:00,53,83.33333333333333,5,2,3,0,11,10,2
155,2007-05-03 15:42:00,89,85.33333333333333,35,0,0,0,27,17,7
156,2007-05-04 15:42:00,67,69.66666666666667,23,2,0,0,13,9,3
157,2007-05-05 15:42:00,86,80.66666666666667,7,0,0,0,14,7,10
158,2007-05-06 15:42:00,90,81.0,27,0,0,0,19,12,5
159,2007-05-07 15:42:00,97,91.0,34,2,1,0,36,20,7
160,2007-05-08 15:42:00,59,82.0,20,0,0,0,12,3,8
161,2007-05-09 15:42:00,84,80.0,18,0,2,0,24,17,4
162,2007-05-10 15:42:00,54,65.66666666666667,13,1,1,0,14,8,5
163,2007-05-11 15:42:00,42,60.0,16,0,0,0,12,4,0
164,2007-05-12 15:42:00,93,63.0,26,0,0,0,20,18,12
165,2007-05-13 15:42:00,60,65.0,16,0,0,0,15,10,2
166,2007-05-14 15:42:00,45,66.0,9,1,1,0,8,5,1
167,2007-05-15 15:42:00,38,47.66666666666666,7,0,0,0,10,3,3
168,2007-05-16 15:42:00,45,42.66666666666666,14,0,0,0,11,4,4
169,2007-05-17 15:42:00,103,62.0,34,2,0,0,22,18,5
170,2007-05-18 15:42:00,54,67.33333333333333,16,0,1,0,13,11,4
171,2007-05-19 15:42:00,89,82.0,34,1,1,0,26,20,9
172,2007-05-20 15:42:00,115,86.0,35,1,0,0,28,19,8
173,2007-05-21 15:42:00,34,79.33333333333333,8,0,0,0,5,2,1
174,2007-05-22 15:42:00,105,84.66666666666667,30,2,0,0,28,10,11
175,2007-05-23 15:42:00,51,63.33333333333334,18,1,0,0,13,14,4
176,2007-05-24 15:42:00,52,69.33333333333333,16,0,0,0,16,12,5
177,2007-05-25 15:42:00,45,49.33333333333334,14,0,0,0,12,5,4
178,2007-05-26 15:42:00,135,77.33333333333333,55,2,1,0,39,17,9
179,2007-05-27 15:42:00,47,75.66666666666667,8,0,0,0,6,7,1
180,2007-05-28 15:42:00,45,75.66666666666667,16,0,0,0,12,5,5
181,2007-05-29 15:42:00,56,49.33333333333334,16,0,1,0,9,5,7
182,2007-05-30 15:42:00,73,58.0,19,0,0,0,25,14,2
183,2007-05-31 15:42:00,29,52.66666666666666,6,0,0,0,6,3,1
184,2007-06-01 15:42:00,56,52.66666666666666,17,0,0,0,11,6,4
185,2007-06-02 15:42:00,105,63.33333333333334,47,0,1,0,24,9,7
186,2007-06-03 15:42:00,60,73.66666666666667,13,0,0,0,8,5,5
187,2007-06-04 15:42:00,85,83.33333333333333,16,2,0,0,19,14,2
188,2007-06-05 15:42:00,87,77.33333333333333,25,1,0,0,17,13,4
189,2007-06-06 15:42:00,122,98.0,48,2,2,0,37,21,12
190,2007-06-07 15:42:00,153,120.66666666666669,47,2,0,0,26,13,10
191,2007-06-08 15:42:00,60,111.66666666666669,8,0,0,0,20,13,3
192,2007-06-09 15:42:00,94,102.33333333333331,21,2,0,0,12,10,3
193,2007-06-10 15:42:00,83,79.0,7,1,2,0,9,15,4
194,2007-06-11 15:42:00,109,95.33333333333331,25,0,0,0,26,18,1
195,2007-06-12 15:42:00,147,113.0,40,0,0,0,32,24,7
196,2007-06-13 15:42:00,88,114.66666666666669,18,2,0,0,15,11,7
197,2007-06-14 15:42:00,104,113.0,23,1,0,0,21,16,7
198,2007-06-15 15:42:00,73,88.33333333333331,13,1,2,0,14,12,3
199,2007-06-16 15:42:00,68,81.66666666666667,17,0,1,0,14,4,7
200,2007-06-17 15:42:00,100,80.33333333333333,18,1,0,0,27,15,4
201,2007-06-18 15:42:00,80,82.66666666666667,11,0,1,0,17,9,1
202,2007-06-19 15:42:00,88,89.33333333333331,16,0,1,0,18,7,2
203,2007-06-20 15:42:00,48,72.0,13,0,0,0,10,9,2
204,2007-06-21 15:42:00,69,68.33333333333333,15,1,1,0,13,4,4
