,unnamed: 0,unnamed: 0,mth_day,dance,dance_norm,dance_ravg
75,75,75,03-16,1.3339113987395896,-1.4881748411560698,-0.6758759507195246
76,76,76,03-17,1.5303975894570645,-0.9520290250662378,-0.5395123283221535
77,77,77,03-18,1.003037921778947,-2.3910191055788066,-0.4145075512154794
78,78,78,03-19,2.1530543983493065,0.7469954291634175,-0.5332566679813318
79,79,79,03-20,2.5431165354972465,1.8113459674036962,-0.19025351771192225
80,80,80,03-21,1.5396953791809207,-0.9266584326539884,-0.06079948642373049
81,81,81,03-22,2.0881321391946943,0.5698440604603872,0.4118994502007805
82,82,82,03-23,1.8150507049062663,-0.17530483733708724,0.4445737696369911
83,83,83,03-24,2.042443366636387,0.44517451416825904,0.1551128858131141
84,84,84,03-25,2.2249011128173493,0.9430413457806818,0.20045990557558194
85,85,85,03-26,1.906628497533288,0.07458066446043336,0.06718024093627417
86,86,86,03-27,1.6394077660666309,-0.6545763140791814,0.06439621145949087
87,87,87,03-28,1.7950669376858677,-0.22983392737545955,-0.16846755134715075
88,88,88,03-29,1.808928974619594,-0.19200901419778696,-0.4711358687642565
89,89,89,03-30,1.5304052717348122,-0.9520080626715908,-0.6761967102945343
90,90,90,03-31,1.5593715913090769,-0.8729685587219526,-0.6871177577904449
91,91,91,04-01,1.4557255258963349,-1.1557843847212337,-0.7612570168615512
92,92,92,04-02,1.615393757675042,-0.7201025990546449,-0.8784210835303785
93,93,93,04-03,1.6320440417460411,-0.6746694818020971,-0.7313908885556709
94,94,94,04-04,1.5512999439582535,-0.8949934142107503,-0.4897873362073176
95,95,95,04-05,1.853706158143529,-0.06982689282334474,-0.35979345094265924
96,96,96,04-06,2.090627382999717,0.5766527553681671,-0.4813231499764899
97,97,97,04-07,1.7415657122676216,-0.3758210731332836,-0.2715498899601169
98,98,98,04-08,1.3481652511129656,-1.4492807932576293,-0.028705989597704387
99,99,99,04-09,2.093309028300715,0.5839700782961409,-0.1808999984297328
100,100,100,04-10,2.0852831047615408,0.5620699879637249,-0.4989059796929046
101,101,101,04-11,1.5190506952302474,-0.9829909458155152,-0.4928412046984513
102,102,102,04-12,1.391372269835084,-1.331383132210864,-0.13983341221923926
103,103,103,04-13,1.7549013888741407,-0.3394324231665641,-0.4338595795898679
104,104,104,04-14,2.124384940118656,0.6687659616176432,-0.61364520354981
105,105,105,04-15,1.4467825066251223,-1.1801869259276307,-0.3624465743077415
106,106,106,04-16,1.6899571541988545,-0.5166437557959271,-0.2989458791871761
107,107,107,04-17,2.071404852909122,0.5242008296368955,-0.42805314632150576
108,108,108,04-18,1.5310023031325304,-0.950378961487472,-0.43611939517926257
109,109,109,04-19,1.4710107641387522,-1.1140760259725415,-0.34128623430512195
110,110,110,04-20,2.10664827448916,0.6203684684711023,-0.223554419753758
111,111,111,04-21,1.6553086870931837,-0.6111879606827877,-0.3899463141552289
112,112,112,04-22,1.9488345909696505,0.18974713151225728,-0.13681661158507194
113,113,113,04-23,1.705530027262084,-0.4741505367719295,0.18397567027128528
114,114,114,04-24,2.087602647921465,0.5683992539334695,0.11312381881325236
115,115,115,04-25,2.176392601489073,0.8106776651656021,0.1830142438456097
116,116,116,04-26,1.9508539739781576,0.19525735972290487,0.5096138232910253
117,117,117,04-27,1.808988931945814,-0.19184541048864354,0.4783888352113008
118,118,118,04-28,2.666985944530602,2.1493446081847507,0.4653292627290999
119,119,119,04-29,1.6368702099639223,-0.6615004652502765,0.2416519489592429
120,120,120,04-30,2.0588862923433418,0.4900418190402645,0.4680266170866231
121,121,121,05-01,1.684554351368034,-0.53138621745354,0.5513219989678527
122,122,122,05-02,2.4486233667117445,1.5535053684871862,0.11265311781373
123,123,123,05-03,1.9921449891120755,0.3079268807987344,-0.08646419742040445
