,unnamed: 0,unnamed: 0,mth_day,romantic,romantic_norm,romantic_ravg
74,74,74,03-15,3.396761743384681,0.10435393115035196,-0.6572344409782332
75,75,75,03-16,2.7210902010724776,-1.259411139599655,-0.7176809463040407
76,76,76,03-17,2.7739404332473456,-1.1527390421268715,-0.7667995663236996
77,77,77,03-18,2.5380882438032173,-1.6287794814253995,-0.7836828464243214
78,78,78,03-19,2.8704019273700423,-0.9580426428872162,-0.6286245495276757
79,79,79,03-20,3.4404438854918,0.19252129634286064,-0.5640909991323763
80,80,80,03-21,3.857699543565365,1.034703712530226,-0.21137890654206148
81,81,81,03-22,2.9129274219913026,-0.8722098372278582,0.050930509368887315
82,82,82,03-23,3.8224385743308367,0.9635335134150166,0.3762919733154166
83,83,83,03-24,3.317848679436431,-0.05492298595970683,0.4262566096130602
84,84,84,03-25,3.837595560065772,0.9941261407919592,0.21604683273770803
