,unnamed: 0,unnamed: 0,mth_day,ewan mcgregor,ewan mcgregor_norm,ewan mcgregor_ravg
121,121,121,05-01,0.3513829419264097,-0.5383114041272906,-0.7740236951598788
122,122,122,05-02,0.378879888159628,-0.35719072783701306,-0.5400912528582378
123,123,123,05-03,0.23226899159161424,-1.3229075937282175,-0.2654458245057718
124,124,124,05-04,0.6114863280385178,1.174973438431106,-0.07964361366898949
125,125,125,05-05,0.5263652503408144,0.6142861887124375,-0.2712374423232092
126,126,126,05-06,0.425711838109248,-0.04871158346495838,-0.35888061769694035
127,127,127,05-07,0.1768613363419127,-1.6878743760526087,-0.2929239294779036
128,128,128,05-08,0.29904627456055904,-0.8830497800793999,-0.3839320012397013
129,129,129,05-09,0.2923485213336535,-0.9271674644139972,-0.5558455312646333
130,130,130,05-10,0.528587651621947,0.6289250078603195,-0.6366698632917195
131,131,131,05-11,0.3697703041862741,-0.4171949914371544,-0.4503861782127102
132,132,132,05-12,0.3520894657461029,-0.5336575756274755,-0.26458020028522644
133,133,133,05-13,0.34654596576105284,-0.570172265578553,-0.2062043164808842
134,134,134,05-14,0.4682957635596291,0.2317860874855024,-0.3341146044627408
135,135,135,05-15,0.34552274432668345,-0.5769121615879436,0.022418227724533158
136,136,136,05-16,0.4120749800700005,-0.1385367200308206,0.3720524820966231
137,137,137,05-17,0.6945338038979892,1.7220020016864896,0.6398804035971245
138,138,138,05-18,0.6705690945992825,1.5641479506050635,0.6855166685487729
139,139,139,05-19,0.5905087238986527,1.0367952634244562,0.8081693143779832
140,140,140,05-20,0.5098655483913481,0.5056036771953918,0.6918999436524971
141,141,141,05-21,0.4572462629267124,0.15900371338731936,0.2580320356433073
142,142,142,05-22,0.3061659463509018,-0.8361529443837382,0.1267827306595127
143,143,143,05-23,0.29932627321073724,-0.8812054463686487,0.31440697026868225
144,144,144,05-24,0.5510149335988224,0.7766521207022964,0.12188498502352706
145,145,145,05-25,0.7614144559525723,2.162540701079473,0.017083545783457346
146,146,146,05-26,0.3344984908441147,-0.6495282342755394,0.024668700359066667
147,147,147,05-27,0.3617832953968329,-0.4698049220530988,-0.017423310498825523
148,148,148,05-28,0.3130752156339486,-0.7906420169300823,-0.228243926873662
149,149,149,05-29,0.26098492699516,-1.133757511516002,-0.8426233799739197
150,150,150,05-30,0.3589797688000034,-0.4882715775467227,-0.8988652370471634
151,151,151,05-31,0.2017801016191001,-1.5237360175220729,-0.5857428083616272
152,152,152,06-01,0.2832681392904082,-0.9869793767150012,-0.4491949310707792
153,153,153,06-02,0.6470045333801336,1.4089296500601185,-0.30350860060753965
154,154,154,06-03,0.4374558126048564,0.028645246815005725,-0.1993819044731219
155,155,155,06-04,0.393689683107346,-0.2596395287365646,-0.07850275062347938
156,156,156,06-05,0.4538281171065885,0.1364885992597836,-0.013122298693724888
157,157,157,06-06,0.311888157602512,-0.7984610944242174,-0.25121880863598306
158,158,158,06-07,0.3428227790445602,-0.5946966651364742,-0.08003266260435778
159,159,159,06-08,0.43012392980818304,-0.019649409593430624,-0.15224988049629853
160,160,160,06-09,0.5933881892847951,1.0557621230047576,-0.1997215424781701
161,161,161,06-10,0.3279074765202374,-0.6929428360882092,-0.13977777711321954
162,162,162,06-11,0.4105864807395172,-0.14834137263144553,-0.11180103563741313
163,163,163,06-12,0.366490553983201,-0.4387985022345144,-0.2354535993368651
164,164,164,06-13,0.368306615740532,-0.4268362162816357,-0.14626568054749822
165,165,165,06-14,0.3174895923504021,-0.7615647917901424,-0.004390215326196378
166,166,166,06-15,0.67462889988175,1.5908896357409588,0.4527468957515656
167,167,167,06-16,0.457140939609257,0.15830995523960187,0.4925644751432745
168,168,168,06-17,0.8269897811899384,2.5944812938351265,0.6116345747399431
169,169,169,06-18,0.4027601349751364,-0.19989302588426155,0.9713820132177924
170,170,170,06-19,0.47676681565761797,0.2875843812983765,1.0447295454290897
171,171,171,06-20,0.6451812565812662,1.3969198390769524,0.9685846886904902
172,172,172,06-21,0.7414407026265994,2.030974829008742,1.1578451229536582
173,173,173,06-22,0.3877810716617087,-0.2985591851919952,1.064723496653335
174,174,174,06-23,0.9993859125958118,3.7300438994141363,0.9336709600274156
175,175,175,06-24,0.3179362351098521,-0.7586227836862016,0.4941868530774731
176,176,176,06-25,0.35739188970865104,-0.4987308384571393,-0.1181786213966219
177,177,177,06-26,0.2448579658337513,-1.2399848026227025,-0.13663132347379708
178,178,178,06-27,0.1836408686736616,-1.643218017835828,-0.6190025795899013
179,179,179,06-28,0.3709726221594388,-0.40927539765504617,-0.4768219713405124
180,180,180,06-29,0.5599969891815553,0.83581636271751,-0.4761977247294507
181,181,181,06-30,0.4474476510513658,0.09446086581013237,-0.31861960047138554
182,182,182,07-01,0.35796051199470474,-0.4949853587907699,-0.02671039584740827
183,183,183,07-02,0.3883948816294221,-0.2945160570743112,-0.03626565061712933
184,184,184,07-03,0.4495391151553495,0.10823720990803584,-0.2689463299547685
185,185,185,07-04,0.3622688010818286,-0.4666069262733726,-0.19143952681138185
