,unnamed: 0,unnamed: 0,mth_day,female protagonist,female protagonist_norm,female protagonist_ravg
147,147,147,05-27,0.7370897341705185,-0.02637579344307076,0.459062841027277
148,148,148,05-28,0.5257824868217816,-1.1508662799804783,0.1911150939013737
149,149,149,05-29,0.7260023190167404,-0.08537846853891233,-0.11454015901505132
150,150,150,05-30,0.7463985767577176,0.023162048071205327,-0.3303226782985638
151,151,151,05-31,0.5876916200269523,-0.8214112698354715,-0.35246195965569305
152,152,152,06-01,0.7568788370255909,0.07893369393534304,-0.07144331459192499
153,153,153,06-02,0.7121280791390409,-0.159211481585846,-0.14647597426089112
154,154,154,06-03,0.8426261260682812,0.5352455904021302,0.07228711265675193
155,155,155,06-04,0.6414042990296159,-0.5355744265527091,0.18930976728683466
156,156,156,06-05,0.9930501559654098,1.3357405695770637,0.03546967637605758
157,157,157,06-06,0.719632629702193,-0.11927534205497516,0.33796522685794583
158,158,158,06-07,0.5834268076945042,-0.8441068515293193,0.2552780992951695
159,159,159,06-08,1.0531865560554252,1.6557618213054837,0.5605707959785199
160,160,160,06-09,0.7493978265371785,0.0391228250254716,0.38232949935323424
161,161,161,06-10,0.9856165096841112,1.2961817535473934,0.3905562544747831
162,162,162,06-11,0.7920861911937653,0.2662927898253495,0.4963213358379999
163,163,163,06-12,0.7289081531512148,-0.06991481132568192,0.5368368735448864
164,164,164,06-13,0.7026750991262686,-0.2095163633500178,0.7234008523833121
165,165,165,06-14,1.0988671208100012,1.8988550475468016,0.6352188637807133
166,166,166,06-15,0.9597454708867564,1.158506698056026,0.5708991553180155
167,167,167,06-16,0.8861928498109355,0.7670898219318015,0.9204837393162884
168,168,168,06-17,0.719566837540307,-0.11962546095083765,0.7564864224398485
169,169,169,06-18,1.1230586971243814,2.027592692663956,0.4508637948813046
170,170,170,06-19,0.5177709740138526,-1.1935002646086568,0.3827476163782244
171,171,171,06-20,0.7542829188267016,0.06511928219553788,0.1850632015566558
172,172,172,06-21,0.8829456632313507,0.7498096270375452,0.24724377079465595
173,173,173,06-22,0.6633071071223411,-0.4190166669976104,-0.12749590258862945
174,174,174,06-23,0.7896743488882331,0.2534579544771633,-0.0744384446274912
175,175,175,06-24,0.7005462269718691,-0.22084534763575686,-0.12523098299733354
176,176,176,06-25,0.5775923359229904,-0.8751555168418272,-0.20949143481457475
177,177,177,06-26,0.6970152144008388,-0.2396359480235163,-0.2571014769219653
178,178,178,06-27,0.7879434679418854,0.24424691613409805,-0.3093982548308468
179,179,179,06-28,0.6096276119323984,-0.7046769196419536,-0.18901962628601068
180,180,180,06-29,0.7307106405202137,-0.06032271297612559,-0.18775833406894368
181,181,181,06-30,0.8362710389216012,0.5014264236332595,-0.2302795719310211
182,182,182,07-01,0.5790144209811477,-0.867587763539425,-0.21376959058299733
183,183,183,07-02,0.6490732575729227,-0.4947633751959808,-0.22391485152457646
184,184,184,07-03,0.8065581850294745,0.3433068042222403,-0.3030555766681908
185,185,185,07-04,0.5981890065078157,-0.7655484852914286,-0.3268942127317607
186,186,186,07-05,0.6414808480933814,-0.5351670638378113,-0.16431763281400705
187,187,187,07-06,0.8093933909871005,0.3583946072518398,0.2420085915366757
188,188,188,07-07,0.7623166898597897,0.1078717159670972,0.10573359305004422
189,189,189,07-08,1.1071990150839457,1.943193970908116,0.16807760272094588
190,190,190,07-09,0.6529104921903829,-0.4743431866975487,0.2886560393924361
191,191,191,07-10,0.668480794103849,-0.3914844272660186,0.2275889102583744
192,192,192,07-11,0.7774309402339908,0.18830355619112915,0.27158379972730523
193,193,193,07-12,0.7405412640089014,-0.008008167552529822,0.05886518580070599
194,194,194,07-13,0.8119201632678279,0.371841052780682,0.15188666547700472
195,195,195,07-14,0.8673624741431089,0.6668822873485203,0.3512033740612724
196,196,196,07-15,0.7577905941567303,0.08378569136024383,0.5676437637825525
197,197,197,07-16,0.8932069196466685,0.8044158242395874,0.5646513933471358
198,198,198,07-17,1.0214637187126556,1.4869458945188094,0.3745111977685467
199,199,199,07-18,0.7371674183392807,-0.025962390165030404,0.012486885825691204
200,200,200,07-19,0.5975403966851132,-0.7690001206908524,0.04964194764895792
201,201,201,07-20,0.4591863530688088,-1.5052635843086126,0.08855339010912851
202,202,202,07-21,0.7996822807451457,0.3067160622998441,-0.2979819679676355
203,203,203,07-22,0.9370788948838048,1.037884479000611,-0.4773222342648762
204,204,204,07-23,0.5856518190335439,-0.8322662539417746,-0.24256101642884795
205,205,205,07-24,0.5349643843585282,-1.1020039879484749,0.046703391271050686
206,206,206,07-25,0.8622295905150411,0.6395671863253167,0.17075928890696565
207,207,207,07-26,0.7853269464067409,0.2303228618907792,0.1956335311341474
208,208,208,07-27,0.9395531496977564,1.051051448115334,0.6532884196000831
209,209,209,07-28,0.9651241707727796,1.1871299323637017,0.9293457465487064
210,210,210,07-29,1.101649753432501,1.91366307685384,0.6525437768697143
211,211,211,07-30,0.8462142236395297,0.5543399737432654,0.5079577083491417
212,212,212,07-31,0.5501401794946805,-1.0212446317486366,0.2367266618894681
213,213,213,08-01,0.6223086665199861,-0.6371935492326563,-0.044985574171962084
214,214,214,08-02,0.6337448578051718,-0.5763348306427082,-0.3273218151784189
215,215,215,08-03,0.6474985197284577,-0.5031434840048793,-0.1811582364806177
216,216,216,08-04,0.7833205476555557,0.2196456308150992,0.3121117780896703
217,217,217,08-05,1.0110111188398274,1.4313214459300718,0.4092012599790112
218,218,218,08-06,1.1062935497173545,1.9383754556730917,0.3891879004818323
219,219,219,08-07,0.7317753702947317,-0.05465665789661079,0.6659013630519094
220,220,220,08-08,0.6111801427301427,-0.6964149876257817,0.636563508507178
221,221,221,08-09,0.9594881405214422,1.1571372914155833,0.30084746968932885
222,222,222,08-10,0.7502426264395885,0.04361850354671048,0.1926102414092648
223,223,223,08-11,0.6324971185736552,-0.582974786977023,0.5340687512491114
224,224,224,08-12,0.9842579555935992,1.288952085992707,0.6516108077457701
225,225,225,08-13,1.116763906855335,1.9940944011424684,0.796868822487632
226,226,226,08-14,0.7437067689846677,0.00883735135417082,0.8434197043780148
227,227,227,08-15,1.1232640280967647,2.028685379866755,1.2658748461722378
228,228,228,08-16,0.8027279368891352,0.32292379488900713,0.7958219151459356
229,229,229,08-17,1.1088079502414407,1.9517560637883145,0.5125706413460406
230,230,230,08-18,0.4542814436398748,-1.531365500165106,0.2912739129167746
231,231,231,08-19,0.7974030175036679,0.2945867583430986,0.12007484063688012
232,232,232,08-20,0.4941985529979232,-1.318943019221425,0.096647948253746
233,233,233,08-21,0.9302400489067808,1.0014909461873878,-0.05879337666768125
234,234,234,08-22,0.7763145227997463,0.18236244059020248,0.5187324382844641
235,235,235,08-23,0.9335505573868604,1.019108114259751,0.35663767216091496
236,236,236,08-24,1.1054317647394432,1.9337893895477656,0.3563245722292219
237,237,237,08-25,0.6146439853058532,-0.6779818383981956,0.013241598274249608
238,238,238,08-26,0.49384553826545596,-1.3208216188115838,-0.14039482271379766
239,239,239,08-27,0.5434199572835411,-1.0570068975424465,-0.08456186872569764
240,240,240,08-28,0.6030921277675088,-0.7394560853380812,-0.2179981956544048
241,241,241,08-29,0.9965012428385598,1.3541058381883508,-0.26007880972371905
242,242,242,08-30,0.9549846247563166,1.133171427975523,-0.06481615898055704
243,243,243,08-31,0.5671988241478684,-0.9304655228140816,-0.20145472604894696
244,244,244,09-01,0.7140007840369342,-0.14924571435261166,-0.3013121461704471
245,245,245,09-02,0.3893623471859916,-1.8768382999527864,-0.6386440973809678
246,246,246,09-03,0.4905046217325151,-1.338600606067082,-0.8343150552131853
247,247,247,09-04,0.6161653294282211,-0.6698858690747731,-0.7412774207938462
248,248,248,09-05,0.7343690198367928,-0.040854319017781804,-0.9071909045024706
249,249,249,09-06,0.6720971403062842,-0.3722397162980472,-0.6381741725636124
250,250,250,09-07,0.5269362141171104,-1.144726616604358,-0.4149162224513683
251,251,251,09-08,0.6926740379329394,-0.2627379083196366,-0.5479831113509969
252,252,252,09-09,0.7422240810880507,0.0009470946063824412,-0.4784846704991301
253,253,253,09-10,0.4661347244034164,-1.4682872024725442,-0.3688853649082231
254,254,254,09-11,0.8127273042718569,0.3761363260934187,-0.08095504684778118
255,255,255,09-12,0.7956684529301576,0.285356117247395,-0.19702634646916006
256,256,256,09-13,0.8515726445680903,0.5828552917582933,-0.29437478497124586
257,257,257,09-14,0.5618056644989871,-0.9591657060479096,-0.2187064818176037
258,258,258,09-15,0.6324654082321417,-0.5831435364061324,-0.3434011636725507
259,259,259,09-16,0.5514494213743842,-1.0142773835506915,-0.4714141727886416
260,260,260,09-17,0.6721362172119907,-0.3720317650362632,-0.8027529329312698
261,261,261,09-18,0.6513360095435854,-0.4827219374491499,-0.5657866890206905
262,262,262,09-19,0.4779939499473439,-1.4051772690974758,-0.3071191310286273
263,263,263,09-20,0.8289809869127874,0.4626317574155656,0.26880942911184724
264,264,264,09-21,0.9241085851843784,0.9688618115462474,0.53062468143481
265,265,265,09-22,1.2007988654281647,2.4412939772921547,1.003521129907724
266,266,266,09-23,0.9673283648270512,1.1988597489015136,1.1918641346689978
267,267,267,09-24,1.184518538008566,2.3546567533883334,1.2061773179957196
268,268,268,09-25,0.6903474151120537,-0.2751192405298327,0.9015151916488492
269,269,269,09-26,0.8451188524035693,0.5485108573758967,0.4932357398908974
270,270,270,09-27,0.5806073316272881,-0.8591109465349768,0.3962278286860236
271,271,271,09-28,0.7404708779553022,-0.008382733255553738,0.024703645058463897
272,272,272,09-29,0.8579536305816459,0.616812281672271,-0.2133960179795289
273,273,273,09-30,0.7656314766823356,0.12551165162297487,-0.650399906820495
274,274,274,10-01,0.4218941823267196,-1.7037172187577896,-0.4095618596304895
275,275,275,10-02,0.35240456124390257,-2.0735124756699,-0.5129338864575558
276,276,276,10-03,0.8521480449610453,0.5859173366050558,-0.8156742180735016
277,277,277,10-04,0.6239207139306259,-0.6286148942179514,-1.0057744983043175
278,278,278,10-05,0.516619167190001,-1.1996297080234035,-0.94099242532403
279,279,279,10-06,0.5512967139606542,-1.0150900297619208,-0.7506886221800012
280,280,280,10-07,0.4949348439395779,-1.3150247808760642,-0.9113284024992796
281,281,281,10-08,0.5669687925137571,-0.9316896568057278,-0.8930905865432894
282,282,282,10-09,0.6710294839752831,-0.3779213453106139,-0.6082404024325927
283,283,283,10-10,0.6444835345153331,-0.5191879984820106,-0.22667405493579704
284,284,284,10-11,0.8377828001339597,0.5094713966407771,-0.06115991851906528
285,285,285,10-12,0.9815061405538456,1.274308055218853,0.2565214364830989
286,286,286,10-13,0.6815491567269691,-0.3219399623756736,0.7119876872810499
287,287,287,10-14,0.925149000153732,0.9743984732072576,0.7356709956649908
288,288,288,10-15,1.1845597674340012,2.354876159477092,0.5020791265443897
289,289,289,10-16,0.6711860531900717,-0.3770881481783645,0.32429494806839737
290,290,290,10-17,0.5744120266617274,-0.8920798180828298,0.6268629353231251
291,291,291,10-18,0.7810575685525094,0.20760298436289867,0.24947323997342336
292,292,292,10-19,1.022689304846047,1.4934679611526922,0.1668934349070684
293,293,293,10-20,0.4996486762816491,-1.2899396988909524,0.7395645716474886
294,294,294,10-21,1.091452472152746,1.8593973290789616,1.0964537596420991
295,295,295,10-22,1.3168628089622412,3.0589386722641567,1.2928260819523654
296,296,296,10-23,0.9767983847138101,1.2492553098848314,1.1154311283867258
297,297,297,10-24,1.0024639497339174,1.3858369182244976,1.1475307551744092
298,298,298,10-25,0.822679577167847,0.42909823975885575,0.720283907781111
299,299,299,10-26,0.5358404477121748,-1.0973419381648544,0.17511434415444427
300,300,300,10-27,0.6097390756840938,-0.7040837552808262,-0.07800649094001617
301,301,301,10-28,0.7021935990003793,-0.21207870949584368,-0.1450437870685913
302,302,302,10-29,0.6914090414471266,-0.2694697006819313,-0.3845041820200161
303,303,303,10-30,0.9268805632087876,0.9836131414530468,-0.19504971504575366
304,304,304,10-31,0.5526921427945976,-1.0076641299496931,-0.20926223490047832
305,305,305,11-01,0.7494470672089337,0.03938486368072003,-0.07341075898126619
306,306,306,11-02,0.5937147065088306,-0.7893588744091737,0.01880351038800765
307,307,307,11-03,0.8553637775039586,0.6030301460194291,-0.28494340460333833
308,308,308,11-04,0.7953790278186279,0.2838159155337117,-0.1766346133824022
309,309,309,11-05,0.5844111945520688,-0.8388683484950291,-0.3373550989320325
310,310,310,11-06,0.6748084228906873,-0.3578113826240763,-0.17870213724672768
311,311,311,11-07,0.5682375124783074,-0.9249380496170618,-0.2429485944508549
312,312,312,11-08,0.7725931640083347,0.16255889570265522,-0.3606609494321988
313,313,313,11-09,0.7829270133717032,0.2175514027946656,-0.21195079515605555
314,314,314,11-10,0.6626603929817771,-0.4224582143543513,-0.06016561367675107
315,315,315,11-11,0.7520793094668986,0.05339257716183052,0.4362862871312987
316,316,316,11-12,0.8459435775445013,0.5528997062517504,0.958646095829799
317,317,317,11-13,1.1279784041446634,2.053773355231237,1.0869572843686341
318,318,318,11-14,1.3615447716377211,3.2967177478936565,1.1190668266702954
319,319,319,11-15,0.9275956488761659,0.9874185340276764,1.2573798325242274
320,320,320,11-16,0.6988633439820185,-0.2298009605443828,1.412050455521766
321,321,321,11-17,0.9080248201996042,0.8832706122854226,1.0244263020274529
322,322,322,11-18,1.0203320173718409,1.480923444236981,0.5474303771323296
323,323,323,11-19,0.6909389065514955,-0.2719715657346425,0.5875442380776357
324,324,324,11-20,0.8237401547404114,0.4347421985229172,0.6053750174740908
325,325,325,11-21,0.9728233300617144,1.2281016996995129,0.329727917468868
326,326,326,11-22,0.7189672379186375,-0.12281628416565188,0.38731451954968615
327,327,327,11-23,0.5972375046690623,-0.7706119877459146,0.4238997712606961
328,328,328,11-24,1.0852599105761729,1.82644305672189,0.4182507352065533
329,329,329,11-25,0.7321881421395299,-0.0524600554685834,0.3810055312141163
330,330,330,11-26,0.8173709647486829,0.4008479821980609,0.5261413177771167
331,331,331,11-27,0.9308300097438964,1.0046304757448916,0.6833046633605916
332,332,332,11-28,0.8826053153461669,0.7479984352123511,0.3991335858177981
333,333,333,11-29,0.7744364458977621,0.17236808575493415,0.3696200378655765
334,334,334,11-30,0.7648619584871692,0.1214165914651285,0.4806100059364705
335,335,335,12-01,0.698912129659518,-0.2295413431819132,0.5882923530615181
336,336,336,12-02,0.94251022515418,1.0667877906234249,0.5869144315645484
337,337,337,12-03,1.0522399850071489,1.6507245584951773,0.6347895897557664
338,338,338,12-04,0.8810517328015041,0.7397309062305326,0.42392191570899546
339,339,339,12-05,0.8284148548654847,0.4596190349022426,0.3966206255156049
340,340,340,12-06,0.5271123200983615,-1.143789452815497,0.2333601345072229
341,341,341,12-07,0.6681303993617446,-0.3933490843422563,-0.14229282546305738
342,342,342,12-08,0.7584368584046955,0.0872248445731328,-0.2402422896787137
343,343,343,12-09,0.6286978000973374,-0.6031932013265043,-0.4248180085645592
344,344,344,12-10,0.7706154138971445,0.15203412093659496,-0.036316125656054576
345,345,345,12-11,0.6203089390638494,-0.6478352784128303,-0.052478991970620385
346,346,346,12-12,0.9651414423543448,1.1872218446355305,-0.020384293224581355
347,347,347,12-13,0.649907048442806,-0.4903262822296511,0.14654005315386687
348,348,348,12-14,0.7946230735538987,0.27979303704936703,0.3757075575679407
349,349,349,12-15,0.8169021001123395,0.398352876944185,0.6824658804022161
350,350,350,12-16,1.028997793041834,1.527039147421038,0.5798119915353065
351,351,351,12-17,0.96617361773636,1.192714658592822,0.31740207893457106
352,352,352,12-18,0.8494009664011679,0.5712985114340724,0.3604862670663029
353,353,353,12-19,0.35404443169754946,-2.064785757834064,0.06556505227811654
354,354,354,12-20,0.8431997470288601,0.5382981658397575,-0.24724472277833795
355,355,355,12-21,0.4843835550767122,-1.371174411784933,-0.5705561049097008
356,356,356,12-22,0.6763102071406359,-0.3498195029176889,-0.6241329472372378
357,357,357,12-23,0.6016456523372261,-0.7471536341953551,-0.3122678714936067
358,358,358,12-24,0.7889940076438917,0.2498374574688508,-0.6687300741112708
359,359,359,12-25,0.705666885538913,-0.19359530337227715,-0.6314898202359608
360,360,360,12-26,0.4412948075698605,-1.6004750498662272,-0.6587045362747492
361,361,361,12-27,0.526371294223484,-1.1477328885330735,-0.7192357414346867
362,362,362,12-28,0.6456260876978384,-0.5131077991504194,-0.8351807607874986
363,363,363,12-29,0.5333977703274788,-1.11034086515498,
364,364,364,12-30,0.6582680130184654,-0.4458326586480204,
365,365,365,12-31,,,
