,unnamed: 0,unnamed: 0,mth_day,fantasy world,fantasy world_norm,fantasy world_ravg
77,77,77,03-18,0.32959465004464045,-1.5830555033579008,-0.5764519311959079
78,78,78,03-19,0.4147242127190528,-1.0276051942752935,-0.6261299891139901
79,79,79,03-20,0.5475284717063219,-0.1610887411825846,-0.9070465139166078
80,80,80,03-21,0.5506447745894713,-0.14075560020005018,-0.7742937065958454
81,81,81,03-22,0.3716373649793633,-1.3087367089048083,-0.40373106192564734
82,82,82,03-23,0.5071543295994203,-0.4245204916544357,-0.1496713649755738
83,83,83,03-24,0.6703542323340014,0.6403203646632871,0.08754361149866104
84,84,84,03-25,0.6483507734489374,0.4967529874251475,0.36402762376582015
85,85,85,03-26,0.7656650741371545,1.2622011176628245,1.017291154010489
86,86,86,03-27,0.804892141087233,1.5181484734029045,1.1856930440825837
87,87,87,03-28,0.9723611856147828,2.610844472563205,1.0269894022144177
88,88,88,03-29,0.6620122424059807,0.5858908487781336,1.0210387050296026
89,89,89,03-30,0.524414571419373,-0.31190148654570965,0.734368133767522
90,90,90,03-31,0.6428786701050271,0.4610488043162572,0.42197356899748345
91,91,91,04-01,0.5020504180919946,-0.4578223099096587,-0.2069479589529001
92,92,92,04-02,0.5176223827033376,-0.356218915217327,-0.3212572786950941
93,93,93,04-03,0.3940216248425498,-1.162684695139096,-0.1767748550690378
94,94,94,04-04,0.5568964229693011,-0.09996506967503042,-0.33425473800557465
95,95,95,04-05,0.6572767771249364,0.5549930552106281,-0.16104773758132152
96,96,96,04-06,0.4980643454550295,-0.4838304933029639,0.1732718341736719
97,97,97,04-07,0.6613269829672571,0.5814196926358599,0.1673361457906891
98,98,98,04-08,0.8250537961524215,1.6496985153126336,0.4882919222318622
99,99,99,04-09,0.3885633231948346,-1.1982988254369928,0.3002009094367634
100,100,100,04-10,0.8520388445989562,1.8257695889720085,0.2552169743610063
101,101,101,04-11,0.4843132691343119,-0.5735530215599649,0.3160358365590896
102,102,102,04-12,0.4566983115424927,-0.7537341037575067,-0.08930658075718792
103,103,103,04-13,0.7172543959863921,0.9463328658243596,0.06347679605953248
104,104,104,04-14,0.4523116571497552,-0.7823559885850315,-0.16835920464084708
105,105,105,04-15,0.529058865348468,-0.28159856453667065,0.09508860423439112
106,106,106,04-16,0.6388486056621419,0.4347535847697311,0.5544753261514219
107,107,107,04-17,0.7265728886576756,1.0071338316914642,0.10624367440302247
