,unnamed: 0,unnamed: 0,mth_day,based on novel or book,based on novel or book_norm,based on novel or book_ravg
61,61,61,03-02,7.25893661927494,-0.6230194520205853,-0.3818850496844639
62,62,62,03-03,7.838799492827923,0.0367923030160008,-0.2410691087957051
63,63,63,03-04,7.729520319781708,-0.08755379025045062,-0.40635394780519823
64,64,64,03-05,7.348314851557713,-0.5213181516024019,-0.23286148350567515
65,65,65,03-06,7.127315231284214,-0.7727882042057106,-0.45117304777388295
66,66,66,03-07,8.3080301711789,0.5707183940290947,-0.6853952712201523
67,67,67,03-08,6.107783096894388,-1.9328888376298317,-0.7283296822346133
68,68,68,03-09,6.603749309188878,-1.3685410376616152,-0.6338683195503116
69,69,69,03-10,7.503127830513887,-0.3451602563372165,-0.617738225332376
70,70,70,03-11,7.846408164879898,0.04545002450340783,-0.9782218955040086
71,71,71,03-12,7.212368970134691,-0.6760076388980962,-0.7359309657861642
72,72,72,03-13,6.407205319917573,-1.5921836270007008,-0.4376254783980276
73,73,73,03-14,7.3853794446668495,-0.4791432593227652,-0.4883408198941525
74,74,74,03-15,8.176709558470133,0.4212918866672045,-0.43282931589489065
75,75,75,03-16,7.235706614429005,-0.649452305313966,-0.8034927336622085
76,76,76,03-17,8.139119472114565,0.3785190484989791,-0.6003468932815711
77,77,77,03-18,5.257866466290004,-2.899988145502003,-0.6067573946664508
78,78,78,03-19,7.478390213374832,-0.37330858471687656,-0.6791064446762562
79,79,79,03-20,7.3515769694101385,-0.5176062676320439,-0.5883911813556146
80,80,80,03-21,7.795214129957907,-0.012802413391627816,-0.5852954659033175
81,81,81,03-22,7.714046803393716,-0.10516072539011667,0.005935319122950754
82,82,82,03-23,8.155443132105482,0.3970933412127622,0.08545557710343372
83,83,83,03-24,8.375417307007982,0.6473965646556062,0.21992138043071155
84,84,84,03-25,7.897699311276679,0.10381296316602127,0.3202978882193652
85,85,85,03-26,8.060613083272425,0.2891885523316231,0.5704622562218372
86,86,86,03-27,8.32449791248447,0.5894566333402942,0.5303879209394974
87,87,87,03-28,9.033159670206189,1.3958254826247156,0.4731865094180902
88,88,88,03-29,7.944131778206477,0.15664732951872334,0.4764621674911475
89,89,89,03-30,8.073795143387231,0.30418809552716314,0.35417819916378096
90,90,90,03-31,7.914971805940689,0.12346691160436495,0.26153903835762504
91,91,91,04-01,7.41581159809879,-0.4445152576325762,-0.0012204016382484366
92,92,92,04-02,7.836013041653856,0.03362166850335869,0.062461409632412875
93,93,93,04-03,7.6476331823909,-0.18073115735052514,0.1988353274368954
94,94,94,04-04,8.27992499008477,0.5387381971426912,0.5951719183916131
95,95,95,04-05,8.792892715555231,1.1224316023540584,0.7224397068847681
96,96,96,04-06,10.004848557340363,2.501486457332671,0.8947151160579847
97,97,97,04-07,8.086892690392597,0.3190914733263538,0.7644142434766099
98,98,98,04-08,8.744418625911674,1.0672741235426584,0.617164730011183
99,99,99,04-09,6.96055868432615,-0.9625363928387736,0.5009548876353352
100,100,100,04-10,7.503480569182263,-0.34475888364987034,0.09193733143654052
101,101,101,04-11,8.18012000314914,0.4251725480989719,0.2565106931295756
102,102,102,04-12,7.848105271147459,0.04738112013990282,0.11196761503553077
103,103,103,04-13,8.954685496687537,1.3065316434845644,0.2787402990055104
104,104,104,04-14,7.982245197117647,0.20001565497838933,0.34198426114024083
105,105,105,04-15,7.8399484831782225,0.03809971098110443,0.09614167687342696
106,106,106,04-16,7.836965009297647,0.0347048891585122,0.1615527764974323
107,107,107,04-17,6.883795835537952,-1.0498829575019113,-0.2240672375683876
108,108,108,04-18,8.193016993929357,0.4398477178839348,-0.39673925014336336
109,109,109,04-19,6.921317090481893,-1.007188440910355,-0.4425294194784386
110,110,110,04-20,7.07174832921916,-0.8360164204714655,-0.4186009000135909
111,111,111,04-21,7.5984976241860975,-0.2366413050293469,-0.4338384039745928
112,112,112,04-22,7.963139724593399,0.1782760059475983,-0.4749156118858106
113,113,113,04-23,6.8034487113909,-1.1413079812679223,-0.3550071071079284
114,114,114,04-24,7.9764175080749915,0.1933844704166275,-0.2389722756319408
115,115,115,04-25,7.553592792876032,-0.28773741224306143,-0.017315884624817816
116,116,116,04-26,7.683598211840651,-0.13980743161553988,-0.09278465458431348
117,117,117,04-27,8.767288366542429,1.0932970410133909,0.16457150026748416
118,118,118,04-28,7.565194060744512,-0.2745366138093757,0.12621566090142747
119,119,119,04-29,8.160483759703753,0.4028289478428634,0.1053919672070569
120,120,120,04-30,7.774167756724879,-0.03675056577971262,0.025898646616281145
121,121,121,05-01,7.443789776138914,-0.4126795744092848,-0.14692725993830796
122,122,122,05-02,7.264431154380634,-0.6167673551601944,0.02959040103820567
123,123,123,05-03,7.855980018055184,0.056341601685856287,-0.03802194011039668
124,124,124,05-04,8.49596897354688,0.784569352049706,0.16796809239086416
125,125,125,05-05,7.803964924201352,-0.0028450990487506713,0.12010349619702153
126,126,126,05-06,8.860350031511699,1.1991896292278523,0.2191919721734852
127,127,127,05-07,7.191400496209737,-0.6998671515723406,0.05885723848690935
128,128,128,05-08,7.786923164961853,-0.022236499301412537,-0.03857779614181242
129,129,129,05-09,7.0105374320797775,-0.9056668004335988,-0.18026290674899634
130,130,130,05-10,7.982195533774692,0.19995914427737546,-0.2806503526695968
131,131,131,05-11,7.056861514031294,-0.8529557626918541,-0.07424458414307335
132,132,132,05-12,8.331008572383528,0.5968649537042494,0.1267866529639025
133,133,133,05-13,8.279774940666845,0.5385674595868002,0.4372348715134609
134,134,134,05-14,8.846957787863943,1.1839509233404426,0.6082147714682753
135,135,135,05-15,8.647526116110454,0.9570225108637516,0.9401714089504684
136,136,136,05-16,8.883769917839158,1.2258385440062625,1.1398803519003986
137,137,137,05-17,8.80726376045448,1.1387840622013052,1.8700098786324404
138,138,138,05-18,9.384070758522553,1.7951186114038309,1.9797193145055365
139,139,139,05-19,12.129736711171345,4.919344619979052,2.1543558917544923
140,140,140,05-20,9.425453956708855,1.8422075385790184,2.0317884359715968
141,141,141,05-21,9.568382103334466,2.0048419743574883,2.0473215764954134
142,142,142,05-22,8.237473607670442,0.4904338093088885,1.9098193131508263
143,143,143,05-23,8.889169771652568,1.2319829053442046,1.1281268855379054
144,144,144,05-24,8.659023437667134,0.9701050313363094,0.9135141662544528
145,145,145,05-25,8.007884556975306,0.2291900543015257,0.5446022622910616
146,146,146,05-26,8.293804387072234,0.5545312228783016,0.5643550599451749
147,147,147,05-27,7.623115304852651,-0.2086294494228589,0.4942416728922166
148,148,148,05-28,8.341629806049689,0.608950595233568,0.3470712194777861
149,149,149,05-29,8.519462959543953,0.8113025830264553,0.40709625195186777
150,150,150,05-30,7.8829958991981774,0.08708231084972673,0.3720680805986055
151,151,151,05-31,8.324395630473251,0.5893402491460158,0.4649877083612783
152,152,152,06-01,8.109101377998838,0.3443621947587277,0.3204599119962062
153,153,153,06-02,8.113079073633486,0.3488883171531775,0.4875546334556392
154,154,154,06-03,7.579536957577616,-0.2582161829568641,0.7828174436624457
155,155,155,06-04,9.400550857127376,1.8138709117830527,0.8286585996896904
156,156,156,06-05,9.439912158475993,1.8586591720905656,0.8454024306922321
157,157,157,06-06,8.566115341509393,0.8643871853094842,0.9584532311689604
158,158,158,06-07,8.19739134147984,0.4448251807739765,1.0141463368890142
159,159,159,06-08,8.709194206668053,1.0271931200135471,0.905548143773948
160,160,160,06-09,7.873205847894338,0.07594245136345991,1.1096311896223996
161,161,161,06-10,8.82791425426292,1.162281753092656,1.1613149790248145
162,162,162,06-11,10.5160389219578,3.083157447181277,1.1059478685287334
163,163,163,06-12,8.838643168516626,1.1744899217239728,0.969201863073648
164,164,164,06-13,7.905441418967746,0.11262251779749062,1.1590051808820403
165,165,165,06-14,7.988134622038361,0.20671708728303426,1.2119031142917305
166,166,166,06-15,8.874035824936765,1.2147623582138136,1.0029134412251546
167,167,167,06-16,9.106844243956024,1.4796693535507963,0.9614055491323166
168,168,168,06-17,9.4140395885822,1.8292194087818208,0.9358042434899052
169,169,169,06-18,8.619772691593289,0.9254425691669448,0.9759211602707236
170,170,170,06-19,7.770446127872693,-0.04098531605697908,0.8929710341047885
171,171,171,06-20,8.199670507524258,0.4474185879679454,0.6559856976568919
172,172,172,06-21,8.436641084818854,0.7170616012182033,0.7105193748146604
173,173,173,06-22,7.8572242079354915,0.05775733486341692,0.7296253397846172
174,174,174,06-23,9.701594829913367,2.1564214717284327,1.1027979011361602
175,175,175,06-24,8.720518151172445,1.0400783589866855,1.2249770190347269
176,176,176,06-25,9.738179307265062,2.19805005205228,1.4054190787381176
177,177,177,06-26,8.84391911799865,1.180493295359345,1.662181816392194
178,178,178,06-27,9.388109291780026,1.7997139594385478,1.5174176283110512
179,179,179,06-28,9.211130176487098,1.5983337607878765,1.5189188403006018
180,180,180,06-29,8.9382554915564,1.287836343241576,1.6629239784487897
181,181,181,06-30,8.72843401891589,1.0490856309239909,1.5897498918303548
182,182,182,07-01,10.49751618699409,3.0620808809414046,1.5646945072552398
183,183,183,07-02,8.458073284132038,0.7414487756487342,1.212677663055356
184,184,184,07-03,9.255992634080627,1.6493816519878592,0.8370093454740913
185,185,185,07-04,7.354950768418082,-0.5137673044114279,0.6925246847831817
186,186,186,07-05,6.957362227930852,-0.9661735622460113,0.14098745392259904
187,187,187,07-06,7.966568624190573,0.18217766677853328,-0.22566721831180145
188,188,188,07-07,7.589268847200577,-0.2471425042220913,-0.7045415304613801
189,189,189,07-08,6.524708833857777,-1.4584792577576686,-0.4504907050532049
190,190,190,07-09,6.730895747635797,-1.2238642209096136,-0.21613493213171134
191,191,191,07-10,8.69455686538606,1.0105376480376234,-0.3747472968376584
192,192,192,07-11,8.193116615899761,0.4399610752829504,-0.22965748267054525
193,193,193,07-12,7.130208063372816,-0.7694965214571488,-0.04773518532294559
194,194,194,07-13,8.354325206903162,0.6233963807805871,0.025372361175236783
195,195,195,07-14,7.483982311161834,-0.3669454736720709,-0.24987327617264105
196,196,196,07-15,7.1163907164712095,-0.7852189419205193,-0.319189431695156
197,197,197,07-16,7.243190850878363,-0.6409361760496433,-0.2802460729662565
198,198,198,07-17,7.827613593395692,0.024064142147860738,-0.14661414351144422
199,199,199,07-18,7.335555795291525,-0.5358363690837522,-0.0878821746068164
200,200,200,07-19,9.058964316654707,1.4251879575094608,-0.1654947736163875
201,201,201,07-20,7.7936750803357375,-0.014553660244303828,-0.08381166506794031
202,202,202,07-21,6.7071406749973965,-1.250894535977946,0.15244335345544865
203,203,203,07-22,7.673904626576554,-0.15083752475896012,0.3203431141776865
204,204,204,07-23,9.073382674227146,1.4415942532881951,0.07424607704415613
205,205,205,07-24,8.220888652532214,0.471562195249675,-0.28526571101872283
206,206,206,07-25,7.761298422988911,-0.05139426529172165,-0.0016920428458285786
207,207,207,07-26,5.897974948493558,-2.1716243886215776,0.034944547377464795
208,208,208,07-27,8.202420268022324,0.4505474730594194,-0.2681903160823492
209,209,209,07-28,7.867088803626119,0.06898201658080011,-0.08838576187662785
210,210,210,07-29,7.474957199159768,-0.3772149274706893,-0.14336066548700946
211,211,211,07-30,9.16899530280426,1.550389520484003,0.03207426533620439
212,212,212,07-31,7.471416601355893,-0.3812436869540111,0.02412239106385369
213,213,213,08-01,6.8230406418419,-1.119014803682295,0.06074437333361146
214,214,214,08-02,8.160490157224814,0.4028362274253152,0.12924323868174412
215,215,215,08-03,8.060195953161253,0.2887139101993467,0.04533330784290968
216,216,216,08-04,7.836150663138152,0.0337782646181067,0.21746900466393893
217,217,217,08-05,8.726539527400796,1.0469299354509964,0.4137249441705112
218,218,218,08-06,8.37908548452836,0.6515704939721644,0.3698880696123272
219,219,219,08-07,7.857895193905572,0.05852083335713881,0.3526614303624025
220,220,220,08-08,7.929338991564108,0.13981498007621102,0.08375943370504599
221,221,221,08-09,7.969360149213794,0.18535407469979887,-0.11302478036605522
222,222,222,08-10,6.418234568473633,-1.5796337153260327,-0.3984849063406586
223,223,223,08-11,7.688899391679293,-0.13377534897561086,-0.3398819216234656
224,224,224,08-12,6.8738586285146885,-1.0611902618754558,-0.3420993870702453
225,225,225,08-13,8.166907831441945,0.4101387416602972,-0.6056038472081685
226,226,226,08-14,7.9176463303513405,0.12651018739553282,-0.0609140601913131
227,227,227,08-15,6.57990518164234,-1.3956726861277406,-0.09137310852337414
228,228,228,08-16,9.290375442141851,1.6885050067751002,-0.06295173981413328
229,229,229,08-17,7.528289298057616,-0.316529638967977,-0.5089170056339534
230,230,230,08-18,7.023724068809569,-0.8906620496200105,-0.4524391593288335
231,231,231,08-19,5.815339840397932,-2.2656528532586235,0.08474707239384183
232,232,232,08-20,8.215453145709652,0.465377265226252,-0.2556950484873614
233,233,233,08-21,9.412479923593137,1.8274447042083115,-0.28588057723698795
234,234,234,08-22,7.495229372199214,-0.3541477185121193,0.06502950053613445
235,235,235,08-23,7.369121468989421,-0.4976428114657364,0.5394098546331602
236,236,236,08-24,8.874067514524096,1.2147984170187238,0.6206886013124765
237,237,237,08-25,8.31674015511525,0.5806292713235309,0.3770806432043973
238,238,238,08-26,8.64403472748799,0.9530497453021494,0.7012132893280248
239,239,239,08-27,8.127938905365053,0.3657969555598361,0.81241183732197
240,240,240,08-28,9.204375832463391,1.5906481582296463,0.4544683924150454
241,241,241,08-29,7.955469703156117,0.16954847649793467,0.3760416307187593
242,242,242,08-30,6.986637232033828,-0.9328622524228236,0.035986726617170874
243,243,243,08-31,7.9031970463101455,0.11006870114581452,0.15760300341052424
244,244,244,09-01,6.850930445671749,-1.0872796793073811,-0.21873814092526245
245,245,245,09-02,8.769219663343959,1.095494616319956,-0.2967969764921759
246,246,246,09-03,7.219934763704313,-0.6673987077850738,-0.3188861901528135
247,247,247,09-04,7.5438666631752325,-0.2988045369035461,-0.2270275522043889
248,248,248,09-05,6.870161147968854,-1.065397534386649,-0.1539440386270209
249,249,249,09-06,8.38756623211057,0.6612205288363622,-0.29501093970964365
250,250,250,09-07,7.236298689285152,-0.6487785978431732,-0.2962238056942241
251,251,251,09-08,8.025376062493454,0.24909320982421976,-0.1462007252740852
252,252,252,09-09,7.213539340012463,-0.6746759036925565,0.09162854470347437
253,253,253,09-10,8.334936059993135,0.6013339456172873,0.04117949941632082
254,254,254,09-11,8.124231232517888,0.3615780854787083,0.0900837462982137
255,255,255,09-12,8.121549191841941,0.3585262571134409,0.026904736748846688
256,256,256,09-13,7.494170031310334,-0.3553531165518159,0.020845006487667458
257,257,257,09-14,7.692234116362203,-0.1299808474719823,-0.19533573444521588
258,258,258,09-15,7.18158647549878,-0.7110342852596319,-0.29175186111694024
259,259,259,09-16,7.195018336303558,-0.6957504999800128,-0.33400020556144955
260,260,260,09-17,7.615830478739732,-0.2169186745516377,-0.355909248842516
261,261,261,09-18,7.898774321050885,0.10503619044638496,-0.15292846280211178
262,262,262,09-19,7.3786439828871595,-0.4868073762382146,-0.2048088505207152
263,263,263,09-20,8.762548680820721,1.0879038687704432,0.1288703237372163
264,264,264,09-21,6.908021988592503,-1.0223166115712523,0.32121145876218976
265,265,265,09-22,8.954503492665427,1.306324545567576,0.3522804711845335
266,266,266,09-23,8.630042326952465,0.937128135598203,0.2771654205974569
267,267,267,09-24,8.062600745943918,0.2914502649804471,0.0015299607930155945
268,268,268,09-25,6.98256347585147,-0.937497679760674,0.1964770083757874
269,269,269,09-26,7.30912713849213,-0.5659088900562047,-0.060790780633085774
270,270,270,09-27,7.935974773662982,0.14736567392537853,0.009520769534408443
271,271,271,09-28,7.597934396083906,-0.23728218848566301,-0.15149404612652814
272,272,272,09-29,9.000794050117754,1.3589974366031683,-0.30009529522101674
273,273,273,09-30,7.213572098172302,-0.6746386289851726,-0.35831205588716863
274,274,274,10-01,6.198991373756548,-1.8291051743276048,-0.4308210335430767
275,275,275,10-02,7.002151054439647,-0.915209454053116,-0.3778012165582821
276,276,276,10-03,7.553636049131353,-0.2876881920100698,-0.8007500288593571
277,277,277,10-04,7.877507075994876,0.08083671342310496,-0.8719249005330245
278,278,278,10-05,6.770591464656472,-1.178695437203282,-0.5965737372092497
279,279,279,10-06,6.838268093976415,-1.1016878590271773,-0.5834121160989122
280,280,280,10-07,7.650913825112946,-0.1769981943849566,-0.8263293533015749
281,281,281,10-08,7.071552080226763,-0.8362397273910911,-1.0733104809412328
282,282,282,10-09,6.2727371916193855,-1.7451916152260467,-0.8928993560990071
283,283,283,10-10,6.575179386680998,-1.4010500524148437,-0.8815563693165385
284,284,284,10-11,7.7218965525702705,-0.09622868814992536,-0.8880722866800241
285,285,285,10-12,6.898079488909726,-1.0336299383323664,-0.9116641390594116
286,286,286,10-13,7.616555493021559,-0.21609369856586969,-0.5352025326572782
287,287,287,10-14,6.947152605297212,-0.9777908416674156,-0.3561517788425165
288,288,288,10-15,8.257813455002504,0.5135780231867523,-0.5105340739139463
289,289,289,10-16,7.519311259079349,-0.3267455295262733,-0.4720473766477418
290,290,290,10-17,6.9078410839083615,-1.0225224585785044,-0.16198870972377655
291,291,291,10-18,7.101019251955697,-0.8027097547351391,-0.1803326628421563
292,292,292,10-19,9.251490077318886,1.6442583029779214,-0.2558767799602744
293,293,293,10-20,6.8504252224973525,-1.0878545603776937,-0.4229589910346183
294,294,294,10-21,7.859470486744478,0.060313320478043435,-0.4127028777078248
295,295,295,10-22,6.638289328564182,-1.3292387959723362,-0.4635921473194065
296,296,296,10-23,6.961921411817915,-0.9609857786177436,-0.4270593387088224
297,297,297,10-24,6.832680915591731,-1.1080453724046293,-0.38199000402280303
298,298,298,10-25,9.444127015520023,1.8634551546414264,-0.3702197091151382
299,299,299,10-26,7.088075131466078,-0.8174385522615776,-0.14184240091335862
300,300,300,10-27,7.921535070853131,0.13093508992403238,-0.027978040189775472
301,301,301,10-28,7.842519363970298,0.04102505323834114,0.1172702450796967
302,302,302,10-29,7.562326435527651,-0.2777996142762447,-0.047770448907790135
303,303,303,10-30,7.59857289098095,-0.23655566078779616,-0.026774167183885072
304,304,304,10-31,8.57386997322053,0.8732109907165053,0.2863574924422085
305,305,305,11-01,7.198788202229812,-0.6914608619181472,0.5672774051131824
306,306,306,11-02,9.572673498429044,2.009725047680594,0.6207323369265526
307,307,307,11-03,9.323805745028592,1.7265445292641843,0.6589044029699574
308,308,308,11-04,7.844193469240874,0.042929976603976884,0.5249505035256233
309,309,309,11-05,7.799853608425784,-0.0075232645273668654,0.6077725668202217
310,310,310,11-06,7.867533120663737,0.06948759405050056,0.3625216356816295
311,311,311,11-07,7.6355076687958165,-0.1945284821505564,0.2417642353301853
312,312,312,11-08,8.279469108667751,0.5382194608490407,0.35939264627662443
313,313,313,11-09,8.68705382932475,1.0020001271555186,0.32911427417746597
314,314,314,11-10,8.464446271912674,0.7487004422826119,0.4335069617890272
315,315,315,11-11,7.640196217802748,-0.18919349712231776,0.7208488300904475
316,316,316,11-12,8.417994157657562,0.6958437197198677,0.7446879724346726
317,317,317,11-13,9.150656923171617,1.5295227276579662,0.6932668154294981
318,318,318,11-14,8.405172539780411,0.681254314914391,0.5734238226177021
319,319,319,11-15,8.415910858910836,0.6934731851244724,0.6545169391682667
320,320,320,11-16,7.832516013108621,0.029642485411835805,0.7261968567882144
321,321,321,11-17,8.067798974765786,0.2973652021810699,0.8220997263565876
322,322,322,11-18,8.79596126136434,1.125923225439554,0.7678723728321841
323,323,323,11-19,9.656351280133872,2.104939945068205,0.6351455405170824
324,324,324,11-20,8.119232538259004,0.3558901937679705,0.4825621868863396
325,325,325,11-21,7.716044312463333,-0.102887808766138,0.3598024205530472
326,326,326,11-22,7.027946335009135,-0.8858576363726212,0.15929017151886385
327,327,327,11-23,7.420488614021133,-0.4391933958186849,-0.11390993965762893
328,328,328,11-24,7.738663254591912,-0.07715026876554594,-0.3126741304452116
329,329,329,11-25,8.215771293682932,0.4657392780092482,-0.4842333488370221
330,330,330,11-26,7.071152015748786,-0.8366949509575253,-0.3183657629211218
331,331,331,11-27,6.811415191186192,-1.1322431191170017,-0.370788940836753
332,332,332,11-28,7.902563565735714,0.10934787912278077,-0.470566313896755
333,333,333,11-29,7.1440620027499975,-0.7537324633124721,-0.5704049249857064
334,334,334,11-30,7.2125387002793,-0.6758145071255579,-0.5024576188099671
335,335,335,12-01,7.689323832185056,-0.13329238852445993,-0.4165669672157026
336,336,336,12-02,7.429437116690012,-0.4290111139030892,-0.5352675849182181
337,337,337,12-03,7.2643152766843055,-0.6168992095514152,-0.40435670486049197
338,338,338,12-04,7.276657033321677,-0.602855827092312,-0.290172565972284
339,339,339,12-05,7.8343530608601775,0.031732817033884746,-0.2512055568403006
340,340,340,12-06,7.814629909335298,0.009290326203689749,-0.165290658840065
341,341,341,12-07,7.894796272315661,0.10050966626744062,-0.10220324730044557
342,342,342,12-08,7.882465053114084,0.08647827409832458,-0.029743241147763333
343,343,343,12-09,7.596974227918253,-0.2383747403136988,-0.15094091928836115
344,344,344,12-10,7.6587375318696145,-0.1680957901762186,-0.23314856185264266
345,345,345,12-11,7.195279567142321,-0.6954532518097022,-0.4206699943598167
346,346,346,12-12,7.381150273835037,-0.4839555291819988,-0.37283863856139815
347,347,347,12-13,6.90599864138816,-1.024618928775604,-0.07855748259409025
348,348,348,12-14,8.134679056949178,0.373466408888836,-0.0883426051340872
349,349,349,12-15,9.148714239481722,1.5273121954901483,0.06585330660085728
350,350,350,12-16,7.607140731138508,-0.22680652541620025,0.12427288356083332
351,351,351,12-17,8.00835223933613,0.2297222185999647,0.3582104000427335
352,352,352,12-18,7.689195805087053,-0.13343806742214248,0.18910581124500567
353,353,353,12-19,8.139547569580762,0.3790061701157968,-0.09503749533852217
354,354,354,12-20,7.242993159787715,-0.6411611238975304,0.002092239645965277
355,355,355,12-21,7.650430951874315,-0.17754764401101886,-0.028833634816153118
356,356,356,12-22,8.119304330579883,0.3559718844907244,-0.12437251763916525
357,357,357,12-23,7.845280578706969,0.04416697182725432,-0.3582943930311602
358,358,358,12-24,7.18542074463768,-0.7066713643602152,-0.34572730810776314
359,359,359,12-25,6.906081116614788,-1.0245250822361731,-0.4581462355778211
360,360,360,12-26,7.3092592054006325,-0.5657586143571481,-0.938833815477646
361,361,361,12-27,7.057647675490424,-0.8520612088313665,-1.2759247444075514
362,362,362,12-28,5.584646111162557,-2.528153594908225,-1.299909737027555
363,363,363,12-29,6.067805292407153,-1.9783786017521792,
364,364,364,12-30,7.058948247262928,-0.8505813200802355,
365,365,365,12-31,,,
