,unnamed: 0,unnamed: 0,mth_day,doctor,doctor_norm,doctor_ravg
66,66,66,03-07,0.7169202864904113,-0.5192775647036607,-0.9805800495002099
67,67,67,03-08,0.4243520357244961,-1.945261381626088,-0.8013588832805048
68,68,68,03-09,0.6719644826099259,-0.7383930997710737,-0.6162677151158164
69,69,69,03-10,0.7875238827087296,-0.17515414953377095,-0.4423419629988853
70,70,70,03-11,0.9528496961576666,0.6306473476572079,-0.517152107286981
71,71,71,03-12,0.8426203248425853,0.0933870699840726,-0.3844351393464725
72,72,72,03-13,0.6248277698958649,-0.9681384304322348,-0.11653773975853
73,73,73,03-14,0.5877288035244757,-1.1489595739830358,-0.08341956726376766
74,74,74,03-15,1.0017505825027222,0.8689912977565811,-0.17400358370447264
75,75,75,03-16,0.8282928971128399,0.023554885434803,-0.30361496519257664
76,76,76,03-17,0.8413392838111722,0.08714324901297782,-0.21407750794813948
77,77,77,03-18,0.6830665849838763,-0.6842812189445514,-0.12895420200977728
78,78,78,03-19,0.7350498506789511,-0.4309136869656117,-0.5513381369591938
79,79,79,03-20,0.6925169915344098,-0.6382197383528627,-0.3818916553915295
80,80,80,03-21,0.4817890196857829,-1.6653123119399176,-0.2200916957423744
81,81,81,03-22,1.0368842995777696,1.0402337748407882,-0.1895352638661784
82,82,82,03-23,1.0405176921778814,1.0579430069079083,-0.13332360430840845
83,83,83,03-24,0.7206820546024331,-0.5009426276873752,0.12227033596755052
84,84,84,03-25,0.8042473270358397,-0.09364372961899207,0.16431714383973692
85,85,85,03-26,1.0071573308937718,0.8953439033028912,0.1888698295318847
86,86,86,03-27,0.5335493309185098,-1.4130314647067992,-0.12769633500524746
87,87,87,03-28,1.0671090590146342,1.1875498889936746,0.15709619975314856
88,88,88,03-29,0.6508195431055123,-0.8414539803148843,0.11443281742733027
89,89,89,03-30,1.0712663434421752,1.2078125808630007,0.013722509740068316
90,90,90,03-31,0.7517280025216494,-0.34962402357390154,0.3102736076864144
91,91,91,04-01,0.8831812876687503,0.2910820571793194,0.17780348456099768
92,92,92,04-02,0.8986086042114849,0.36627512297127707,0.4579332297854226
93,93,93,04-03,0.904036161237182,0.3927291502411743,0.2334381335256453
94,94,94,04-04,0.9956638614289504,0.8393244910316651,0.31645053406409257
95,95,95,04-05,0.7949091919564016,-0.13915799669566287,0.1625222004461294
96,96,96,04-06,0.8539176313064797,0.14845037965678207,-0.050745602640941134
97,97,97,04-07,0.6936929802609689,-0.6324879445284596,-0.19079775968839896
98,98,98,04-08,0.6360724350625129,-0.913331695551146,-0.3681778871116724
99,99,99,04-09,0.7316296551445663,-0.4475837920435727,-0.3191720582398825
100,100,100,04-10,0.7773060105823779,-0.2249562735079756,-0.6048861694526221
101,101,101,04-11,0.8552361723619583,0.1548769765350764,-0.5881108780719614
102,102,102,04-12,0.5021988667118461,-1.5658342876196552,-0.4585487802360337
103,103,103,04-13,0.7143436395338943,-0.5318361962444951,-0.3613578053566421
104,104,104,04-14,0.7955655059357645,-0.1359591085355796,-0.3756587793800745
105,105,105,04-15,0.8512733418677423,0.13556205723277653,-0.5334457757060228
