,unnamed: 0,unnamed: 0,mth_day,psychology,psychology_norm,psychology_ravg
71,71,71,03-12,8.386015066453611,-0.026900329533545656,-0.5223450186038866
72,72,72,03-13,7.057803677620043,-1.4396063173019236,-0.4619415301724677
73,73,73,03-14,8.302056668245084,-0.1161997685157614,-0.2234622850131024
74,74,74,03-15,8.942032870827461,0.5644887280731495,-0.07700155851923313
75,75,75,03-16,8.557209076528551,0.15518424310013282,-0.4157942939645032
76,76,76,03-17,8.788345131288972,0.40102409306254505,-0.09262370024682404
77,77,77,03-18,6.474838755592255,-2.0596567422051666,-0.04509669853912912
78,78,78,03-19,8.880853343276181,0.4994172450041516,0.041601602801202966
79,79,79,03-20,8.570163006684231,0.16896224173040816,0.1590402194153022
80,80,80,03-21,9.431109885704393,1.084678536115142,0.053809933982569086
81,81,81,03-22,9.219696428148438,0.8598159427847281,0.4804877813646986
82,82,82,03-23,8.194726651129129,-0.2303576195338536,0.3239187940160312
83,83,83,03-24,8.881787042763467,0.5004103420876104,0.5094719669232634
84,84,84,03-25,7.997626200748908,-0.439996679087853,0.3501821766982729
85,85,85,03-26,9.616893917249316,1.2822812791738012,0.40017322269996863
86,86,86,03-27,8.532534320794571,0.12893979476519965,0.4761711649087754
87,87,87,03-28,9.501702778574023,1.1597622187949024,0.32269583307844063
88,88,88,03-29,8.623441471807876,0.225630033718987,0.33354244420929496
89,89,89,03-30,8.016011635536339,-0.4204416488943986,0.03451343405982873
90,90,90,03-31,8.058813422544466,-0.37491701230272695,-0.11025694293064152
91,91,91,04-01,7.9300302372861955,-0.5118927817229963,-0.28849766469135824
92,92,92,04-02,7.715864758340652,-0.7396824671776219,-0.3353655336970572
93,93,93,04-03,8.496222408364192,0.09031788823060193,-0.2722378192813808
94,94,94,04-04,8.359053391388969,-0.055577180315206816,0.2065702697932654
95,95,95,04-05,8.372123735140528,-0.04167536240033996,0.218740863508524
96,96,96,04-06,10.75983555658041,2.49793152214515,0.4499805712356145
97,97,97,04-07,7.998686226521473,-0.4388692194314448,0.08104045706408508
98,98,98,04-08,9.02031968107589,0.6477557791849211,0.1610956535509419
99,99,99,04-09,6.414980597189,-2.1233227967985746,0.12393895062969572
100,100,100,04-10,8.810655740199513,0.4247539986059342,-0.3456030251495929
101,101,101,04-11,8.162517675201057,-0.26461557992781704,-0.3178443641120304
102,102,102,04-12,8.111084839169058,-0.3193203325305815,-0.4700778091853188
