,unnamed: 0,unnamed: 0,mth_day,motorcycle,motorcycle_norm,motorcycle_ravg
73,73,73,03-14,1.213073318143552,-1.3489807939019558,-0.20806853310374132
74,74,74,03-15,1.8008815139226058,0.3536590642347798,-0.3083180593878164
75,75,75,03-16,1.7951760126193292,0.33713256120306434,-0.5866412682118183
76,76,76,03-17,1.430110622283045,-0.7203125184610534,-0.366415275651316
77,77,77,03-18,1.1581487456074204,-1.5080748097096073,-0.2757977930679749
78,78,78,03-19,1.916336472020772,0.6880848427268742,-0.5177929840957471
79,79,79,03-20,1.4007784233264329,-0.8052758984019093,-0.4428403245415719
80,80,80,03-21,1.2996125370025833,-1.098312081931854,-0.2931608300547621
81,81,81,03-22,1.950432994432015,0.7868485185281159,-0.2537987320208344
82,82,82,03-23,1.740156812658368,0.17776444845980555,-0.4668102061658501
83,83,83,03-24,1.2396834179581124,-1.2719022215060416,-0.3589136279719988
