,unnamed: 0,unnamed: 0,mth_day,prostitution,prostitution_norm,prostitution_ravg
95,95,95,04-05,1.2636157357726252,-1.4939100901064053,-0.1813790494847744
96,96,96,04-06,1.6663883749296466,-0.28160035914881604,-0.38973311789597975
97,97,97,04-07,1.884477096483946,0.3748272470205889,-0.23735625269193605
98,98,98,04-08,1.7949204995151071,0.10526987538779628,-0.15879844526304698
99,99,99,04-09,1.8596050867840104,0.29996471551693177,-0.15629581283061952
100,100,100,04-10,1.7741185757864308,0.042657939751620425,-0.049287017406272005
101,101,101,04-11,1.268604519631611,-1.4788942955118405,-0.4170816639222309
102,102,102,04-12,1.8797012627773784,0.3604524133972691,-0.4127434374535519
103,103,103,04-13,1.1513099033374663,-1.831940632075164,-0.4236593072703514
104,104,104,04-14,1.8035683832007583,0.13129923419987005,-0.4105393252186153
105,105,105,04-15,1.8378452332620856,0.2344694966161346,-0.2737735469295773
106,106,106,04-16,1.8002721386675755,0.12137783206203673,0.09890781931615626
107,107,107,04-17,1.5412354095494631,-0.6582996257776129,0.5248742353265895
108,108,108,04-18,2.6226097140468654,2.5965406108716707,0.6409651999837257
109,109,109,04-19,2.0004375471447657,0.7238578639874358,0.4948722926718181
110,110,110,04-20,2.034985799178961,0.8278450221426873,0.4317442539468512
111,111,111,04-21,1.5466215088084656,-0.6420879472553118,0.5272793087601766
112,112,112,04-22,1.674431788898325,-0.25739040028776394,-0.08082508615435084
113,113,113,04-23,1.7316763761271037,-0.08508929689766054,-0.36288721681533415
114,114,114,04-24,1.4104055762681038,-1.0520857586154937,-0.1808973559607884
115,115,115,04-25,1.43817079696613,-0.9685149199784638,-0.20417997450595096
116,116,116,04-26,2.3977670324780056,1.919784187269962,-0.2838489437785633
117,117,117,04-27,1.5002095986581738,-0.7817836585262872,-0.5049485116517191
118,118,118,04-28,1.5156185078030553,-0.735404215923438,-0.4652330551854534
119,119,119,04-29,1.2909332845159878,-1.4116867041365957,-0.559958750697357
120,120,120,04-30,1.4895749443318658,-0.8137930198179001,-0.9812467758418753
