,unnamed: 0,unnamed: 0,mth_day,great ending,great ending_norm,great ending_ravg
74,74,74,03-15,4.700574062387721,0.4328499031504738,-0.08303758543574677
75,75,75,03-16,4.099540300176068,-0.4899675675612538,-0.4432490619202311
76,76,76,03-17,3.858208448289605,-0.8605045709078613,-0.315651211655235
77,77,77,03-18,3.7555295571070433,-1.0181560717285576,-0.4286012369717729
78,78,78,03-19,4.427497214539116,0.013572148912036008,-0.3281307794270564
79,79,79,03-20,3.9957006598873415,-0.6494012636954729,0.008645726716743907
80,80,80,03-21,5.093194308573485,1.0356726484187728,0.3021642164466064
81,81,81,03-22,5.415601538305801,1.530691469301548,0.6394615148779256
82,82,82,03-23,5.00522523824024,0.9006063674713137,0.4900189958709564
83,83,83,03-24,5.073625956627838,1.005627718859358,0.4736474620266439
84,84,84,03-25,3.8435030730072848,-0.8830829651297795,0.20888801025319054
