,unnamed: 0,unnamed: 0,mth_day,scifi,scifi_norm,scifi_ravg
74,74,74,03-15,3.3762001994962527,-0.271257833242096,-0.5586668925519841
75,75,75,03-16,3.8517380217912502,0.5327067347387152,-0.8021594828296036
76,76,76,03-17,3.3250959579714405,-0.35765684827984234,-0.4479453505785351
77,77,77,03-18,2.3215530726212075,-2.054289344044426,-0.0810160818758537
78,78,78,03-19,4.418232422785854,1.4904463823679284,-0.06312388143908328
79,79,79,03-20,3.6395392475941164,0.17395441720459887,0.09926089865802876
80,80,80,03-21,3.4396986548060684,-0.16390463062147345,0.07820332870521456
81,81,81,03-22,4.428032856986593,1.5070154153213875,0.4833654564396228
82,82,82,03-23,3.2503637768008034,-0.4840022679967276,0.17326145616792368
83,83,83,03-24,3.7594516336221697,0.3766834223620231,0.038117858881948234
