,unnamed: 0,unnamed: 0,mth_day,can't remember,can't remember_norm,can't remember_ravg
52,52,52,02-22,0.1264256255738096,0.7711118339895969,0.4365706679529737
53,53,53,02-23,0.09033363931371596,0.1894789434280689,0.5625647908194736
54,54,54,02-24,0.3608233713564705,4.548499906737954,1.0167633604443609
55,55,55,02-25,0.060813858639347185,-0.2862409362882684,0.9152121244558328
56,56,56,02-26,0.1738082723310547,1.534697013183356,0.6517782576813069
57,57,57,02-27,0.0,-1.2662740143157092,0.659935394810839
58,58,58,02-28,0.028344671201814026,-0.8094913666575577,-0.1881391194632097
59,59,59,02-29,0.09337068160597566,0.2384217662052609,-0.2966640480821383
60,60,60,03-01,0.04507065984288449,-0.5399471789063384,-0.7634925526653159
61,61,61,03-02,0.02040816326530609,-0.9373905080018402,-0.6924374741407145
62,62,62,03-03,0.0,-1.2662740143157092,-0.4226010586861511
63,63,63,03-04,0.026455026455026436,-0.8399435431681012,-0.31917633156259123
64,64,64,03-05,0.12880940444263947,0.8095271260698231,-0.09223707904030748
65,65,65,03-06,0.13187748434225502,0.8589701289466198,0.05403155704634053
66,66,66,03-07,0.1295640423543441,0.8216883362273641,0.07484696883835756
67,67,67,03-08,0.07486648936332256,-0.059778691481952015,0.2908394871211654
68,68,68,03-09,0.007749935417204852,-1.141381543563607,0.3547805623243881
69,69,69,03-10,0.10687275174514876,0.456011566528746,0.308218525470902
70,70,70,03-11,0.15261576524313344,1.1931735772891594,0.2767217454075421
71,71,71,03-12,0.114541638089796,0.579597907825703,0.287609264446858
72,72,72,03-13,0.1178372500247031,0.6327076558472051,0.5405253292754132
73,73,73,03-14,0.07892009974832806,0.005546422753943201,0.3821905756947544
74,74,74,03-15,0.10191493142975618,0.3761148454077243,0.0914634930192546
75,75,75,03-16,0.04792200280922078,-0.4939969549552073,-0.21618182733764746
76,76,76,03-17,0.04437307769603453,-0.5511889187638391,-0.4826660737160971
77,77,77,03-18,0.0,-1.2662740143157092,-0.5430359838476003
78,78,78,03-19,0.01862058692089972,-0.966197822423493,-0.7473178538344332
79,79,79,03-20,0.056443345056353074,-0.3566730380350757,-0.541268536469746
80,80,80,03-21,0.025857281688185445,-0.8495763745132731,-0.4635920172542646
81,81,81,03-22,0.12463770357416505,0.7422989492329154,-0.4086998916983413
82,82,82,03-23,0.07329338027607395,-0.08512980347095023,-0.26915641102280635
83,83,83,03-24,0.020437281386604902,-0.9369212609801688,0.056411295780376514
84,84,84,03-25,0.07057502212175022,-0.12893693837028358,0.1899385500122959
85,85,85,03-26,0.17765779552520242,1.5967332027840213,-0.10052632814720733
86,86,86,03-27,0.07557177242580984,-0.04841284912175658,-0.2453530594799373
87,87,87,03-28,0.01649263927302333,-1.000490319724104,-0.12201496883698724
88,88,88,03-29,0.019371900089744445,-0.9540901914673304,-0.09480066654892598
89,89,89,03-30,0.06635817147107617,-0.1968927171224681,-0.07772481004795066
