,unnamed: 0,unnamed: 0,mth_day,tense,tense_norm,tense_ravg
73,73,73,03-14,8.111800815161804,-2.7936956702762608,-1.011576079770533
74,74,74,03-15,11.86617565646127,0.23423609398304426,-0.9193095708203908
75,75,75,03-16,11.029435405253322,-0.4406012603472777,-1.3242506447739677
76,76,76,03-17,10.765488746605758,-0.6534762410224737,-1.5033393775563553
77,77,77,03-18,7.643028254466786,-3.1717642933470263,-1.2402108444280735
78,78,78,03-19,8.854460638176318,-2.1947348943281355,-1.2539056500204093
79,79,79,03-20,10.069341252100633,-1.2149244715065717,-1.120973231527938
80,80,80,03-21,11.764293373288494,0.15206726042903154,-0.9691974323073446
81,81,81,03-22,12.018383967712053,0.35699325060755005,-0.2901618256733641
82,82,82,03-23,11.894622333111078,0.2571785543010866,0.02122316271264009
83,83,83,03-24,12.694702591355474,0.9024493464568564,0.35031852551997233
84,84,84,03-25,11.171004188108098,-0.3264249640121104,0.18391942362390948
85,85,85,03-26,12.517640844111568,0.7596477053374218,0.06640679318664629
86,86,86,03-27,10.526369964681775,-0.8463273509473453,-0.03020514462111708
87,87,87,03-28,11.144150667365851,-0.3480825320160291,-0.14669540194762398
88,88,88,03-29,11.175879395196722,-0.32249307254549364,-0.07716310450402497
89,89,89,03-30,11.828075219116545,0.20350780249781505,-0.4130001056050361
90,90,90,03-31,11.688288582547926,0.09076882064948352,-0.4076625858491505
91,91,91,04-01,10.019186943808046,-1.2553743012686451,-0.5847474838059358
92,92,92,04-02,10.566078355979698,-0.814302232412032,-0.8214444611191909
93,93,93,04-03,9.826730452992546,-1.4105919197567407,-0.9500111159096558
94,94,94,04-04,9.414976087283707,-1.7426749364250247,-0.9588328600496112
95,95,95,04-05,10.87160568461877,-0.567892126244975,-0.9057540420066204
96,96,96,04-06,11.622659360688234,0.03783835580975198,-0.8423914266925151
97,97,97,04-07,10.414065946205774,-0.9369013930107,-0.7794634318587841
98,98,98,04-08,11.03746350069561,-0.4341265405274005,-0.6965954467972281
99,99,99,04-09,10.294882245722873,-1.033023950754355,-0.6226657182625687
100,100,100,04-10,10.031471112574463,-1.245467026055689,-0.7415328255110935
101,101,101,04-11,11.421604696044685,-0.12431375503701865,-0.7088347281027957
102,102,102,04-12,10.738349452163453,-0.6753642876813962,-0.7951424197253277
