,unnamed: 0,unnamed: 0,mth_day,too long,too long_norm,too long_ravg
75,75,75,03-16,8.510900401741308,-0.5909288418512189,-1.245802111113982
76,76,76,03-17,8.743346690686629,-0.3722162952495428,-0.5255630732055193
77,77,77,03-18,5.6570963056678485,-3.2761201786823486,-0.4585854670734629
78,78,78,03-19,12.018640704463095,2.7095618560496875,-0.2649515787535911
79,79,79,03-20,8.755079658341602,-0.361176552491516,0.05658165813461894
80,80,80,03-21,9.459017891271724,0.3011705397033939,0.07314755880102257
81,81,81,03-22,10.561241148493922,1.3382705794780414,0.8419347940547542
82,82,82,03-23,8.848983487279426,-0.2728208912511211,0.3284953611361109
83,83,83,03-24,10.559469103202463,1.336603232840042,0.16911710686650638
84,84,84,03-25,8.74455992671551,-0.3710747414621729,0.0818805022424877
85,85,85,03-26,7.738762552098295,-1.3174460781091433,-0.1401232032195485
