,unnamed: 0,unnamed: 0,mth_day,bollywood,bollywood_norm,bollywood_ravg
274,274,274,10-01,0.046516379802758384,-0.2301321907742331,0.12249698730776575
275,275,275,10-02,0.041573701440874335,-0.321192389106718,0.02763090716968486
276,276,276,10-03,0.039387136161329925,-0.3614760275400192,0.28982161987611066
277,277,277,10-04,0.07089684509039368,0.21903521239947385,0.463223930826952
278,278,278,10-05,0.1586042823156228,1.8348912410970333,0.3203934497119267
279,279,279,10-06,0.1479289940828405,1.6382177388861687,0.213189496089578
280,280,280,10-07,2.5376526277146434e-16,-1.087115077464385,0.3485116489701264
281,281,281,10-08,0.006660006660006914,-0.9644161108408104,0.35326675197203783
282,282,282,10-09,0.08345823786159795,0.4504568897432717,-0.08053711401559023
283,283,283,10-10,0.07244546535345936,0.2475658304109425,-0.4724385348364482
284,284,284,10-11,0.017325017325017573,-0.7679319548287347,-0.2921366182331037
285,285,285,10-12,0.020296326364928213,-0.7131907860389791,-0.1941927062791976
286,286,286,10-13,0.058719906048150576,-0.0053035778443179145,-0.298589452716779
287,287,287,10-14,0.03855793329477565,-0.3767526391173736,-0.4467609528499684
288,288,288,10-15,0.04945878151619802,-0.17592358888221676,-0.35637424284321634
289,289,289,10-16,0.024189646831156528,-0.6414631703881937,-0.12249112515574245
290,290,290,10-17,0.04676174888940872,-0.2256116947882221,-0.08817429457335603
291,291,291,10-18,0.0964663136594626,0.6901079200858641,-0.07236603955332316
292,292,292,10-19,0.06989605495233057,0.20059740565000064,-0.09926011794115484
293,293,293,10-20,0.04370629370629393,-0.2819031089971765,0.1553633199064098
294,294,294,10-21,0.04070004070004092,-0.33728805920920685,0.13522655384792212
295,295,295,10-22,0.1071142470225041,0.8862774566971942,0.1590978861596666
296,296,296,10-23,0.040203698740284316,-0.34643229113914825,0.02642919865960984
297,297,297,10-24,0.104240620316854,0.8333359139563309,0.010324959290265605
298,298,298,10-25,0.02668912175775441,-0.59541471935034,0.21446694846160472
299,299,299,10-26,0.03846153846153867,-0.37852854521324186,0.13775077654136458
