,unnamed: 0,unnamed: 0,mth_day,ocean,ocean_norm,ocean_ravg
73,73,73,03-14,0.9462023142878166,-0.8823068001363357,0.02815106342907009
74,74,74,03-15,0.9719637572404628,-0.7887102291938677,-0.1008874495698088
75,75,75,03-16,1.229982319530485,0.14872377689977034,-0.30212054061904325
76,76,76,03-17,1.0555103279960871,-0.485168515668636,-0.6526201053446082
77,77,77,03-18,0.9775012209279398,-0.7685914954017042,-0.6290150496846207
78,78,78,03-19,0.8753666038005249,-1.139667368566876,-0.4627708135428271
79,79,79,03-20,0.9851845305371228,-0.7406764661764109,-0.5879725010915174
80,80,80,03-21,1.2465053154908514,0.20875518765689452,-0.3600697844782524
81,81,81,03-22,1.0232198645249588,-0.6024863483923717,0.03874457118131434
82,82,82,03-23,1.431876861962029,0.8822477840109542,0.154946429144007
83,83,83,03-24,1.636117225888344,1.6242946385556962,0.09716011170367846
