,unnamed: 0,unnamed: 0,mth_day,good acting,good acting_norm,good acting_ravg
77,77,77,03-18,5.813345492385068,-2.677758131818788,-0.38569556658564697
78,78,78,03-19,9.674937810934855,0.8738475027315035,-0.3181282497303949
79,79,79,03-20,8.812701781113658,0.08082688087174013,-0.08793696794809656
80,80,80,03-21,9.023782023927577,0.2749628014656824,0.05073713383240872
81,81,81,03-22,9.607409703657652,0.8117401681109755,0.5956110152970172
82,82,82,03-23,9.747737864367664,0.9408035816333352,0.3883312602983655
83,83,83,03-24,9.367930677361935,0.591485156968863,0.4302087344935173
84,84,84,03-25,8.322710127927994,-0.3698310272604071,0.44956054898330944
85,85,85,03-26,9.085897201966302,0.3320917260426509,0.6448702999778096
86,86,86,03-27,9.150027152255136,0.3910736884044351,0.516720471465372
87,87,87,03-28,10.881548859493964,1.983598674077976,0.34921146518980456
88,88,88,03-29,8.911728840291834,0.17190461055871006,0.4570600859331506
89,89,89,03-30,8.275154803325103,-0.4135688806845422,0.3386276272339733
90,90,90,03-31,9.02628048164734,0.2772606971996691,0.21250130216061536
91,91,91,04-01,8.31328123076045,-0.3785030261524132,-0.2442391718387329
92,92,92,04-02,8.327218825792063,-0.3656842620357125,-0.4160385384228537
93,93,93,04-03,7.901918200939725,-0.7568441699181138,-0.2436143229664169
94,94,94,04-04,7.790964010076733,-0.8588915889460145,-0.0801938368630339
95,95,95,04-05,9.399995950317244,0.6209764120540792,0.027757044558378092
96,96,96,04-06,10.092384140834266,1.2577836138199667,0.20956417416356501
97,97,97,04-07,9.017518700859613,0.2692022623760588,0.0421180789807743
98,98,98,04-08,9.513271142487193,0.7251585155954091,0.3280202966166059
99,99,99,04-09,6.809552739011017,-1.7615207410148581,0.2643685350563086
100,100,100,04-10,9.656099818070805,0.8565217168689749,0.15745984011274886
101,101,101,04-11,8.984751952877428,0.2390658426922957,0.05139037064255885
102,102,102,04-12,9.394945566296405,0.6163314441586083,0.052064710799674535
103,103,103,04-13,8.325554968364969,-0.3672145544450813,0.3834796532043436
104,104,104,04-14,9.517670324781774,0.7292045565381033,0.2510034456309123
105,105,105,04-15,8.97159919494509,0.2269689134131564,0.17551035630969924
106,106,106,04-16,8.791866862846971,0.06166447142838695,0.009099499529606607
107,107,107,04-17,8.492258871454604,-0.2138926932349826,-0.042279169249345286
108,108,108,04-18,8.309333672880209,-0.38213369652194745,-0.14383629661144595
109,109,109,04-19,7.990376753592423,-0.6754865671187927,-0.28085960876079125
110,110,110,04-20,8.855143687645509,0.1198617923654993,-0.11494280857406808
111,111,111,04-21,8.07770236499737,-0.5951709594829155,-0.16715203637431472
112,112,112,04-22,9.87425568702261,1.057165272548726,-0.10819528354045033
113,113,113,04-23,8.151662351836157,-0.5271480600364625,0.15466508899129186
114,114,114,04-24,8.693948915611768,-0.028393179518761125,0.12761889485928868
115,115,115,04-25,9.70519483848079,0.9016756680716604,0.3944388653215015
116,116,116,04-26,8.67870285566213,-0.04241537242651984,0.208884709480134
117,117,117,04-27,9.818351616731693,1.005748863290361,0.3264462627126565
118,118,118,04-28,8.663758954105791,-0.05615966249947928,0.5868585025664249
119,119,119,04-29,8.918596810724031,0.1782212593586731,0.5536949114681283
120,120,120,04-30,10.392796155789076,1.534080259603849,0.31669589861702946
121,121,121,05-01,9.48884603996292,0.702694121481881,0.0964716925814844
122,122,122,05-02,7.132596116850908,-1.4644094495331132,0.29122093212924105
123,123,123,05-03,8.381678421747418,-0.3155963729229095,0.03404118614174579
124,124,124,05-04,9.934241510218056,1.1123357747870606,-0.2557679311273506
125,125,125,05-05,7.24083734002596,-1.3648572165662984,-0.3570887083386112
126,126,126,05-06,8.502172968003068,-0.20477444401072933,-0.1278558547892914
127,127,127,05-07,8.827861276594552,0.09476945821431763,-0.2451384346824229
128,128,128,05-08,8.628038884168266,-0.08901232823719482,-0.3473047111279282
129,129,129,05-09,7.616563896853331,-1.019291852281698,-0.08134776539947193
130,130,130,05-10,9.267740976771156,0.4993381161140285,0.2519717659813197
131,131,131,05-11,8.97585649085577,0.23088445780443925,0.21904914602264167
132,132,132,05-12,10.67664436113508,1.7951427442740204,0.1116620212183754
133,133,133,05-13,8.613084497716518,-0.10276626153775048,0.4705988866608695
134,134,134,05-14,7.927479184260353,-0.7333350770627924,0.6307145406076174
135,135,135,05-15,9.958154689963859,1.1343293403732664,0.8988038383757436
136,136,136,05-16,10.312284954309856,1.460032039794516,0.8521757849801489
137,137,137,05-17,10.724786433204883,1.8394202444131973,1.2719062782181856
138,138,138,05-18,10.37245766134544,1.5153744239004523,1.7106651808863031
139,139,139,05-19,11.351273725903752,2.4156166978904703,1.9385419550916965
140,140,140,05-20,10.789803748265172,1.8992183389459127,1.8204463799760024
141,141,141,05-21,11.444750823758216,2.501589985605626,1.6724929260661985
142,142,142,05-22,9.541866705247877,0.7514585891003498,1.5805470068604048
143,143,143,05-23,9.759584809078019,0.9516995209543724,1.3388249633953808
144,144,144,05-24,9.772631511944626,0.9636989086656952,1.0566267369182298
145,145,145,05-25,9.774355426436832,0.9652844371003236,0.5801611758294449
146,146,146,05-26,8.948831609233428,0.2060289800830077,0.5221241161103313
147,147,147,05-27,8.336439924279189,-0.35720338092708404,0.3912730219240057
148,148,148,05-28,9.163251250048123,0.40323623078566784,0.4664080734311917
149,149,149,05-29,8.905953580540343,0.16659295583641898,0.5205943236992171
150,150,150,05-30,10.26278886770194,1.4145092177088112,0.6439677666083756
151,151,151,05-31,10.127849416485397,1.2904019387084755,0.7809435768965559
152,152,152,06-01,9.753681001547287,0.9462696375379592,0.6728081218337579
153,153,153,06-02,9.230026867081094,0.4646514808019982,0.7269521949406389
154,154,154,06-03,8.4578096797828,-0.2455764995911209,0.6726635875412094
155,155,155,06-04,9.259172420105008,0.4914573944777052,0.6924319743162869
156,156,156,06-05,9.908627132042435,1.0887775733122338,0.5670291184433189
157,157,157,06-06,10.256812130889513,1.4090122593589414,0.6789897222617273
158,158,158,06-07,8.935592359746988,0.1938525023001524,0.7771072349436897
159,159,159,06-08,9.960422500221435,1.136415103712447,0.7035006581580837
160,160,160,06-09,9.0978973566386,0.34312857650065315,1.0106066394183009
161,161,161,06-10,8.778986350888967,0.0498179337640694,0.9208972455266417
162,162,162,06-11,11.912089599854367,2.9314134608735385,1.0107213196363891
163,163,163,06-12,9.6715763665629,0.8707558960089834,0.8022299336856276
164,164,164,06-13,9.521576261611644,0.7327969469586371,0.8211187876136675
165,165,165,06-14,8.600290519397156,-0.11453321199212267,0.9722917931540872
166,166,166,06-15,9.2211222764188,0.4564617000688931,0.5988012683099123
167,167,167,06-16,9.765191313435524,0.9568559670065866,0.5818325450037007
168,168,168,06-17,9.475555327424633,0.6904703118084896,0.5380510979053329
169,169,169,06-18,9.560877772770699,0.7689435561717142,0.7449880868699871
170,170,170,06-19,9.235959922626208,0.4701082643684297,0.9075997707174532
171,171,171,06-20,9.950282105010093,1.1270887217958037,1.036051566704347
172,172,172,06-21,10.281949565028501,1.4321318031536885,1.003329750047645
173,173,173,06-22,10.603170277983017,1.7275667429279506,0.8942310877622518
174,174,174,06-23,9.262088525894713,0.4941394118682767,0.8970862389250417
175,175,175,06-24,8.84915254267148,0.1143515824593552,0.904674311731542
176,176,176,06-25,9.254586027435712,0.4872391713451688,0.8594725957750192
177,177,177,06-26,9.999784296430997,1.1726171586348046,0.5238594139749663
178,178,178,06-27,9.987067840393982,1.1609215074145511,0.6452584060583915
179,179,179,06-28,8.413735833625449,-0.2861123478723666,0.6788381253457786
180,180,180,06-29,10.054057224359283,1.222533364368828,0.7671353437569285
181,181,181,06-30,9.068216030122533,0.3158298981836781,0.6736847428143666
182,182,182,07-01,9.830609204753904,1.0170224818120683,0.6978254398130712
183,183,183,07-02,9.390142078410324,0.6119135529794331,0.6756353157852762
184,184,184,07-03,10.144554126350569,1.3057656894067784,0.3292354560171636
185,185,185,07-04,8.268974469931557,-0.4192530920391373,0.2855113030099223
186,186,186,07-05,7.794253898312402,-0.8558657942398479,0.12789890582663033
187,187,187,07-06,8.782973459699754,0.0534849801402302,-0.07600081873693681
188,188,188,07-07,8.80239568405717,0.0713480987123168,-0.2203763567917183
189,189,189,07-08,8.059964646880058,-0.6114847944019698,0.23901004798797845
190,190,190,07-09,9.202693695707179,0.4395124610780894,0.48846034027470203
191,191,191,07-10,11.26586634557152,2.337065336639044,0.3399005563742075
192,192,192,07-11,9.421588853269553,0.6408359594804934,0.5376925184584439
193,193,193,07-12,7.8138163301331325,-0.8378737232627362,0.5445828443524671
194,194,194,07-13,10.092728001404264,1.2580998712177347,0.26050250995626395
195,195,195,07-14,8.10491495772396,-0.5701428390378305,-0.23716331267336765
196,196,196,07-15,7.349443278796515,-1.2649695452991296,-0.3489480553231357
197,197,197,07-16,8.019251632762026,-0.6489295991387461,-0.06147040813067488
198,198,198,07-17,8.692340482873721,-0.02987249641811445,-0.3151148401184975
199,199,199,07-18,9.689229743188614,0.8869921598920285,-0.2073616118195369
200,200,200,07-19,8.43803180313485,-0.2637667207092011,0.1837121934879712
201,201,201,07-20,8.807863001251707,0.07637653075593298,0.22737219147705115
202,202,202,07-21,9.900685321894684,1.0814732865459191,0.5475027288983163
203,203,203,07-22,8.304075676100178,-0.3869696112042667,0.4535949173802458
204,204,204,07-23,10.780771043203716,1.8909107281094768,0.5562891150734746
205,205,205,07-24,9.076604827715553,0.32354529078360544,0.34194370266043833
206,206,206,07-25,9.107976328136177,0.3523984654501711,-0.015435688286622819
207,207,207,07-26,7.409541199914592,-1.2096959437222845,-0.12906375195372485
208,208,208,07-27,7.569255000694762,-1.0628030591364477,-0.6544889663238425
209,209,209,07-28,7.562802061327134,-1.0687379932068788,-0.6461505428981509
210,210,210,07-29,7.353062822370918,-1.2616405581112289,-0.9531913813435804
211,211,211,07-30,9.131002069688972,0.3735758313377547,-1.0113790848108677
212,212,212,07-31,7.104938831482209,-1.4898465652224064,-0.8093891273375933
213,213,213,08-01,7.029942992460268,-1.558822164526008,-0.6447791068483278
214,214,214,08-02,8.886973714644983,0.14913668570319918,-0.4463610270474239
215,215,215,08-03,8.63666586730934,-0.08107787027128632,-0.40717258866328404
216,216,216,08-04,8.64747973403502,-0.07113207930580565,-0.21218084252427613
217,217,217,08-05,9.386655069844183,0.6087064616425937,0.08793606544465064
218,218,218,08-06,8.377003424036014,-0.31989608838835865,0.0894449270331006
219,219,219,08-07,8.987810952583265,0.2418792832875526,0.12419733266889076
220,220,220,08-08,8.896817051297619,0.15818985523389892,-0.12361810190229645
221,221,221,08-09,8.863379590278111,0.12743656354345465,-0.2913660255045822
222,222,222,08-10,7.030810074686404,-1.5580246867329288,-0.4657469387854543
223,223,223,08-11,8.292320574594486,-0.39778107997112105,-0.5625825241971617
224,224,224,08-12,7.239397398170402,-1.3661815680735916,-0.42961898613415
225,225,225,08-13,8.356086164531785,-0.3391342291826916,-0.4786368561452172
226,226,226,08-14,9.764229196784331,0.9559710836119696,-0.1206682017776366
227,227,227,08-15,8.543602481358679,-0.1666706565229491,-0.3613849495737431
228,228,228,08-16,9.366084564410237,0.5897872394725551,-0.2669487588888585
229,229,229,08-17,6.721960506697871,-1.84208156674776,-0.3904557619388087
230,230,230,08-18,7.855469292517471,-0.7995644239642841,-0.4880265009140241
231,231,231,08-19,7.5503654680245855,-1.0801762474823922,-0.2290068939058625
232,232,232,08-20,9.127708498973872,0.3705466497606768,-0.44016129042051655
233,233,233,08-21,10.23336462450803,1.3874469855260203,-0.02096837351162628
234,234,234,08-22,7.988579943384512,-0.677139139615369,0.3944995761163301
235,235,235,08-23,9.456642756627604,0.6730759347055815,0.528594234691753
236,236,236,08-24,10.56585103188549,1.693243273803454,0.8204661208521934
237,237,237,08-25,8.42515668663742,-0.2756082960298541,0.6060902903062942
238,238,238,08-26,11.031788539787033,2.121777966723319,0.904783075747958
239,239,239,08-27,8.834844384875183,0.10119200225062604,0.8029902218863991
240,240,240,08-28,9.93715737773778,1.115017573034614,0.6179066336002095
241,241,241,08-29,8.792578314228166,0.062318811536228286,0.8076428679595704
242,242,242,08-30,9.3584241331396,0.5827417440863162,0.4246110387041887
243,243,243,08-31,9.662935979515657,0.8628091101263113,0.28568060620419383
244,244,244,09-01,8.533009809586135,-0.17641300880897146,-0.10588779676480604
245,245,245,09-02,7.928506103841268,-0.7323905927493429,-0.0337493479095751
246,246,246,09-03,7.382688735641443,-1.2343928447793853,-0.33726938389570543
247,247,247,09-04,9.26318678031716,0.4951495046676141,-0.2744782472479102
248,248,248,09-05,7.378355240206213,-1.2383784718304658,-0.2698394671011281
249,249,249,09-06,10.072565531727195,1.2395559300130825,0.026718471199446942
250,250,250,09-07,8.563271746792218,-0.1485803279282786,0.05492179436872815
251,251,251,09-08,9.863156469421282,1.0469570370541073,-0.04593702363667592
252,252,252,09-09,7.566678312156229,-1.065172905763698,0.3337096328964178
253,253,253,09-10,8.605215692966418,-0.1100034033648104,0.245961241676106
254,254,254,09-11,9.855050172272232,1.039501467368097,-0.10126397512823394
255,255,255,09-12,9.500122729736264,0.7130655826912113,-0.3675934862551366
256,256,256,09-13,6.298084052007737,-2.2319316287543183,-0.2615887439003169
257,257,257,09-14,8.1257068195516,-0.5510200297073086,-0.3963668011728945
258,258,258,09-15,8.258219785384666,-0.42914445163478004,-0.7106244964897682
259,259,259,09-16,7.7259661970035864,-0.9186717470002764,-0.8398994625332753
260,260,260,09-17,7.804932179764108,-0.8460447045331448,-0.3400817571316363
261,261,261,09-18,8.65677366361575,-0.06258421356983092,0.04757189414443843
262,262,262,09-19,9.558736968668414,0.7669746036555158,0.1451853271444489
263,263,263,09-20,10.654636857497687,1.7749018779491397,0.42752822164629495
264,264,264,09-21,8.895019005534305,0.1565361463652829,0.6353005971833552
265,265,265,09-22,9.567882104556476,0.7753856200108001,0.7152544176144141
266,266,266,09-23,9.160373563642324,0.4005895486892164,0.6554232320771433
267,267,267,09-24,9.178367146538095,0.4171387090165212,0.29208865416666746
268,268,268,09-25,9.168417203039864,0.4079874904318917,0.50666193287644
269,269,269,09-26,8.284356776612054,-0.40510558951371534,0.3377192119169512
270,270,270,09-27,10.294827334653512,1.4439758186239189,0.2526043468944203
271,271,271,09-28,8.465753128548133,-0.23827070574613315,0.142290090423304
272,272,272,09-29,8.605111055156595,-0.11009964144596916,-0.08199953479607322
273,273,273,09-30,8.458711763736565,-0.2447468298101764,-0.1766734803913507
274,274,274,10-01,7.705222496760669,-0.937750260884372,-0.5934591710575892
275,275,275,10-02,7.666733844289252,-0.9731492630853801,-0.4972922207740174
276,276,276,10-03,7.575849068765037,-1.056738325373512,-0.4585777482627638
277,277,277,10-04,9.09311595211301,0.33873099595529804,-0.5352122285338098
278,278,278,10-05,8.857672051589004,0.12218719362155205,-0.373189764383198
279,279,279,10-06,7.958772608096278,-0.7045537114364521,-0.344627512510165
280,280,280,10-07,8.76220590208585,0.034384524019299034,-0.4752224450380193
281,281,281,10-08,7.8530649583528565,-0.8017757518471819,-0.7114603945625256
282,282,282,10-09,6.723888958016517,-1.8403079205406376,-0.6707702511275411
283,283,283,10-10,7.551974150175368,-1.0786967011917408,-0.6952983044523972
284,284,284,10-11,9.123121701404848,0.3663280542314597,-0.7201195024529436
285,285,285,10-12,7.798759331756992,-0.851722031385588,-0.8714216777159001
286,286,286,10-13,8.600280242428678,-0.11454266398398033,-0.6905757774308909
287,287,287,10-14,6.86601733331559,-1.7095888034249205,-0.6383183561194916
288,288,288,10-15,7.903670518088693,-0.755232518830583,-0.8042721108980583
289,289,289,10-16,7.892885069045793,-0.7651521733233444,-0.8217472318379005
290,290,290,10-17,8.040491797138657,-0.6293944744399403,-0.723153377052489
291,291,291,10-18,7.684757159673658,-0.9565727570246421,-0.44840674915094736
292,292,292,10-19,9.243475424785293,0.4770204647284893,-0.1470912671526668
293,293,293,10-20,8.658377595723591,-0.061109036015670234,-0.19697835089487647
294,294,294,10-21,9.869357596787143,1.0526603731591004,-0.09779692554179437
295,295,295,10-22,7.56743748415678,-1.0644746757766024,-0.01980514579272589
296,296,296,10-23,8.68752010438163,-0.03430592232144758,0.05055161912783818
297,297,297,10-24,8.193550908606593,-0.4886220785302311,0.028231742445452783
298,298,298,10-25,9.702460747365453,0.8991610542518736,0.03700298053716607
299,299,299,10-26,8.512769766674309,-0.1950282961099826,0.5078941084573785
300,300,300,10-27,9.926578385001294,1.10528780170938,0.5254484426933408
301,301,301,10-28,10.639382541502963,1.7608720917446723,0.7569646693300941
302,302,302,10-29,8.802039039001068,0.07102008309432657,0.8139586528760555
303,303,303,10-30,9.703889681081234,0.9004752812902883,0.7920876797414141
304,304,304,10-31,10.07427150291265,1.2411249555276416,0.7929732113499859
305,305,305,11-01,8.370090442650822,-0.3262541349178314,0.7412182661705674
306,306,306,11-02,9.932355313651641,1.1106009913608117,0.5435138715083644
307,307,307,11-03,10.301749618284932,1.4503424206681603,0.504557668536318
308,308,308,11-04,7.512277983870122,-1.1152062848788922,0.4686536244861388
309,309,309,11-05,9.449751711437367,0.66673806345801,0.4456327500894955
310,310,310,11-06,9.840044854502793,1.0257006912265665,0.319586202093237
311,311,311,11-07,8.219909525820004,-0.4643793812976909,0.26892646840641704
312,312,312,11-08,9.110067427653787,0.35432170338326074,0.545608070733789
313,313,313,11-09,9.971261509084307,1.1463840185472407,0.2312441465249335
314,314,314,11-10,9.317261408557217,0.5448833290853397,0.250353026647943
315,315,315,11-11,7.398940715174612,-1.2194454817951232,0.3496575469933592
316,316,316,11-12,9.964705155716297,1.140353971964623,0.4331486732694367
317,317,317,11-13,8.867740865931648,0.13144774077480598,0.1780319848674399
318,318,318,11-14,9.654737177174999,0.8552684610397255,-0.0959522813920604
319,319,319,11-15,8.30696077476291,-0.38431611186473996,-0.05325153951514546
320,320,320,11-16,7.5298745528229025,-1.0990222684716622,-0.05197896588077111
321,321,321,11-17,7.677506874475942,-0.9632410305336336,0.3719349866978697
322,322,322,11-18,9.97300702435309,1.147989413770869,0.4112797398567431
323,323,323,11-19,11.633221662131085,2.6749314562466497,0.52519853880787
324,324,324,11-20,9.911409925571707,1.091336979992966,0.6884749145061884
325,325,325,11-21,9.050131054743265,0.2991966818420223,1.0241435093152178
326,326,326,11-22,8.59503808122311,-0.11936401428175206,0.8799958153377087
327,327,327,11-23,9.86730281581008,1.0507705383205437,0.3278961677878197
328,328,328,11-24,9.032632976539027,0.2831032499058141,0.2302263719664845
329,329,329,11-25,8.031497860401645,-0.6376664290526831,0.21655139871506854
330,330,330,11-26,9.274243012169595,0.5053182050649548,0.42478785151815707
331,331,331,11-27,8.960919846465526,0.2171468423335265,0.1921816055512577
332,332,332,11-28,9.95350695867484,1.1300547025367789,0.2862590596408211
333,333,333,11-29,8.349853101346698,-0.3448669374808523,0.5281678191541336
334,334,334,11-30,9.646364586592027,0.8475679744431942,0.31327129004593085
335,335,335,12-01,9.609634236420993,0.8137861280271923,0.5178212610543016
336,336,336,12-02,7.872325899501782,-0.7840609695842621,0.2596646431303075
337,337,337,12-03,10.295339280517679,1.4444466683837511,0.27624404285130005
338,338,338,12-04,8.269374683863338,-0.418885005007186,0.2623706488332984
339,339,339,12-05,8.458011870979112,-0.24539053915489664,0.07448719794235159
340,340,340,12-06,9.555858943874894,0.7643276103351844,0.14185745493793422
341,341,341,12-07,8.3839419179635,-0.31351457731848864,-0.17617865601654045
342,342,342,12-08,8.311828187225473,-0.37983942761076617,-0.05675730476359464
343,343,343,12-09,8.220572097242691,-0.4637699973430969,-0.1490018531091147
344,344,344,12-10,9.048441877894756,0.2976431025104889,-0.18114308554502145
345,345,345,12-11,7.856237559348493,-0.7988578292280172,-0.2799290751435141
346,346,346,12-12,9.346179690509924,0.5714802157197442,0.02713055926289613
347,347,347,12-13,7.739493308743664,-0.906230514909445,0.39627211335832696
348,348,348,12-14,10.314988302794957,1.4625183788276954,0.3202349383006134
349,349,349,12-15,10.628735057485784,1.751079327229488,0.4241612385560234
350,350,350,12-16,8.552399352895883,-0.1585799478357927,0.2009498243381159
351,351,351,12-17,8.53421993248842,-0.17530002769555725,0.3932689403191414
352,352,352,12-18,7.890018892411097,-0.7677882695877011,-0.14936128092134926
353,353,353,12-19,8.994122505901109,0.2476841809767081,-0.6941441439589621
354,354,354,12-20,6.775040048792528,-1.7932629486152485,-0.5404080236183911
355,355,355,12-21,7.0747436479919505,-1.5176178509961886,-0.4679038521721992
356,356,356,12-22,9.555325267218516,0.7638367742076329,-0.5289280486134373
357,357,357,12-23,9.00721425730154,0.2597250009815942,-0.7824654264974925
358,358,358,12-24,7.491916300280828,-1.1339334482351295,-0.5725689456105639
359,359,359,12-25,7.340124694807491,-1.2735400863276232,-0.5767111092308692
360,360,360,12-26,8.144338425389272,-0.5338840632936777,-1.1440463952579571
361,361,361,12-27,7.047721480221839,-1.5424708327180203,-1.508598114281779
362,362,362,12-28,5.854208969983247,-2.640174941954895,-1.5059165274677826
363,363,363,12-29,6.62899393204615,-1.9275853131613376,
364,364,364,12-30,7.509410126073392,-1.1178439273511518,
365,365,365,12-31,,,
