,unnamed: 0,unnamed: 0,mth_day,inspirational,inspirational_norm,inspirational_ravg
34,34,34,02-04,5.033919603362941,-1.267780455266556,-0.5510401740419955
35,35,35,02-05,5.215382928332735,-1.02026476297753,-0.6172429602456426
36,36,36,02-06,5.836441193387812,-0.17314225790651178,-0.5485661647117724
37,37,37,02-07,5.558996125468534,-0.5515768979068905,-0.7359021517582865
38,38,38,02-08,6.049326924484949,0.11723354734082428,-0.5509646793743923
39,39,39,02-09,4.8490941511788535,-1.5198820838330531,-0.227148791530867
40,40,40,02-10,5.847428476435202,-0.15815562096319058,-0.2347219887249173
41,41,41,02-11,6.639794620602741,0.922630564083622,-0.16038111952443898
42,42,42,02-12,5.8031279711648045,-0.21858144107081345,-0.1345584737983158
43,43,43,02-13,5.88600912043883,-0.1055316827040206,-0.07441226840292019
44,44,44,02-14,6.1629164050462295,0.2721694216975635,-0.3358307669262058
45,45,45,02-15,5.113667204655073,-1.1590048514606794,-0.6533028220384712
46,46,46,02-16,4.697492417546785,-1.726666612102904,-0.6767014356592252
47,47,47,02-17,5.243288382806846,-0.9822017665899708,-0.8546335991059371
48,48,48,02-18,5.700201400617978,-0.3589731227953375,-1.0095278562622636
49,49,49,02-19,5.103315424548078,-1.1731246633842909,-0.8539993025964839
50,50,50,02-20,5.48156258875182,-0.6571961212403954,-0.5819720076786205
51,51,51,02-21,5.797811184738072,-0.22583352946600185,-0.645368858896095
52,52,52,02-22,5.894094789586121,-0.09450284259572296,-0.8186348491766651
53,53,53,02-23,4.96441628444054,-1.3625828738948176,-0.5430821502554759
54,54,54,02-24,4.938033416607122,-1.3985690644787574,-0.5292274295595112
55,55,55,02-25,6.315425456559732,0.4801915301428442,-0.3859259974491471
56,56,56,02-26,5.542507177616477,-0.5740677970646069,-0.4311442872146498
57,57,57,02-27,6.428170111152682,0.6339750631961824,-0.3913975482435692
58,58,58,02-28,5.695187129201157,-0.3658125811887391,-0.29832156044903685
59,59,59,02-29,5.13925551205549,-1.1241024400683342,-0.5407786535716679
60,60,60,03-01,5.3474590509298485,-0.8401131377115633,-0.5618155889419025
61,61,61,03-02,5.248897434671698,-0.9745510285929418,-0.6629571032887582
62,62,62,03-03,5.449969232951545,-0.7002894092860144,-0.8222500813871257
63,63,63,03-04,5.983265580467111,0.027125977115048255,-0.8465031570814648
64,64,64,03-05,4.994484078430942,-1.3215704497789442,-0.7460015426922532
65,65,65,03-06,5.032570306389424,-1.2696208942343694,-1.1077452826388388
66,66,66,03-07,5.789548769199572,-0.2371034513762943,-1.008202866974996
67,67,67,03-08,3.657647492561424,-3.1450134682724555,-1.2875836799754
68,68,68,03-09,5.8878395971657085,-0.10303491530295852,-1.1284564164045543
69,69,69,03-10,4.7543163177120515,-1.6491589008873755,-0.9532113163319172
70,70,70,03-11,5.694458178833242,-0.3668068683538709,-1.0938488129647086
71,71,71,03-12,5.803444061901736,-0.21815029379854475,-0.6037895386507309
72,72,72,03-13,5.170908047431982,-1.0809284311730416,-0.6193202660887042
73,73,73,03-14,5.813335914420128,-0.2046578223885893,-0.4022680929938333
74,74,74,03-15,5.819522536198036,-0.19621927993079769,-0.19899165128360274
75,75,75,03-16,5.709092364211491,-0.3468458623181511,-0.4849954113438621
76,76,76,03-17,6.588637097178997,0.8528517819075123,-0.2061004583873682
77,77,77,03-18,4.545361567629938,-1.9341728541601009,-0.10473100297365594
78,78,78,03-19,6.397720093474294,0.5924412865659215,-0.011551499228119284
79,79,79,03-20,6.259243119566612,0.4035589100936843,0.15422939696832072
80,80,80,03-21,6.229403519799418,0.3628577425424223,0.02514853806121924
81,81,81,03-22,6.438334676779298,0.6478395148604889,0.5492537247989038
82,82,82,03-23,6.020832083348492,0.0783666284649033,0.4313437796777944
83,83,83,03-24,6.8508122388127495,1.2104582662660068,0.4916700157946826
84,84,84,03-25,5.879054052768531,-0.11501838416073465,0.3831445155144592
85,85,85,03-26,6.5246080979430285,0.7655163267950142,0.6231418649670154
86,86,86,03-27,5.7520180754406764,-0.2882952591389185,0.6517352335709473
87,87,87,03-28,7.494042699478983,2.0878236115758257,0.4322839559521852
88,88,88,03-29,6.1466095083910455,0.2499268400884943,0.5851150061682074
89,89,89,03-30,5.885482934542153,-0.10624939944656507,0.6055953682837361
90,90,90,03-31,6.551332168334005,0.8019679171353983,0.6266145925690424
91,91,91,04-01,6.614697770360151,0.8883984994881859,0.3231377926411487
92,92,92,04-02,5.844478112018325,-0.16217991342708024,0.2858482193585227
93,93,93,04-03,6.159099238153633,0.2669628120084639,0.29588746995380594
94,94,94,04-04,5.982578939856378,0.02618940039273853,0.5210163360661768
95,95,95,04-05,5.929643911400893,-0.04601389587486556,0.2190806480842032
96,96,96,04-06,7.541636230600731,2.152741113809624,0.41891816204937343
97,97,97,04-07,5.28653340159102,-0.9232156284036556,0.054757282053363394
98,98,98,04-08,6.723529764924583,1.0368451703639412,0.22672692075837197
99,99,99,04-09,4.5572167030251975,-1.9180024679675964,0.35748650737923954
100,100,100,04-10,6.739044491062533,1.05800723262279,-0.02132399728329215
101,101,101,04-11,6.504833366432076,0.7385436238503399,0.11626922792938492
102,102,102,04-12,5.875312457578361,-0.12012191416556678,-0.06534438693516721
103,103,103,04-13,5.891782884793598,-0.09765627712759307,0.2487317427483869
104,104,104,04-14,5.924641982699717,-0.05283651882337174,0.3037501827798548
105,105,105,04-15,5.938784835347184,-0.0335456898662714,0.07049429109055555
106,106,106,04-16,6.981061366124414,1.388117872811597,0.15853790667452505
107,107,107,04-17,5.4787798839245845,-0.6609917262854557,0.1543127035701496
108,108,108,04-18,6.262601531943152,0.4081397793382501,0.12659058199313902
109,109,109,04-19,5.8731969261361385,-0.1230074957538456,0.05502013146509418
110,110,110,04-20,5.802697026966399,-0.21916924828543505,-0.06988059098127296
111,111,111,04-21,5.6239584467098185,-0.4629683930345405,-0.047584696612639775
112,112,112,04-22,6.431644070356808,0.6387135381333943,0.031020532417475693
113,113,113,04-23,5.576855777728921,-0.5272163600736566,0.11560039683565722
114,114,114,04-24,6.60837272942733,0.8797711535189429,0.2720677155816723
115,115,115,04-25,6.245249541003777,0.3844716907552435,0.4841255617293683
116,116,116,04-26,6.490970476932692,0.7196346641906554,0.2832250544041628
117,117,117,04-27,6.556765287973683,0.8093786838516358,0.6301731592063707
118,118,118,04-28,5.547916488233723,-0.5666895058178391,0.7390456543104591
119,119,119,04-29,7.1030222063817074,1.5544722687395909,0.7061304507699137
120,120,120,04-30,7.087284545724034,1.5330061241434734,0.4960815844010924
121,121,121,05-01,6.100461090107089,0.18698046951197086,0.4272059414326311
122,122,122,05-02,5.567000800224345,-0.5406585340222718,0.6867954562276196
123,123,123,05-03,6.253792905085852,0.3961248260408679,0.16801818186078846
124,124,124,05-04,6.6898071549552895,0.9908475829520916,0.05803642348302085
125,125,125,05-05,4.821008126673685,-1.5581913774613951,-0.003615486632576122
126,126,126,05-06,6.603493266633342,0.8731155738768677,0.19328482395623472
127,127,127,05-07,5.829264694512467,-0.18293099118161096,0.07475945863248354
128,128,128,05-08,6.433132188903536,0.6407433295105933,-0.048912088686174617
129,129,129,05-09,5.732419734294102,-0.3150273659016393,0.09339190877344834
130,130,130,05-10,6.1457967940833615,0.2488182990401428,-0.021599878959977985
131,131,131,05-11,5.446979505620344,-0.7043673927036573,-0.006094336979692615
132,132,132,05-12,6.0976637100500275,0.18316484747630965,-0.026536617200141444
133,133,133,05-13,5.897470968882719,-0.08989773929989876,0.12173245032628024
134,134,134,05-14,6.343210032345432,0.5180896481879004,0.1282588722102154
135,135,135,05-15,6.384630454382862,0.5745870392568907,0.4464531738825149
136,136,136,05-16,6.174505427566646,0.28797683034375393,0.7767076000198188
137,137,137,05-17,6.8466627847024615,1.2047984173301394,0.9787290019330356
138,138,138,05-18,7.550397450653925,2.164691404300133,1.2399306957575231
139,139,139,05-19,6.786129177997576,1.1222306721794022,1.7660576829156625
140,140,140,05-20,7.492192403785206,2.0852998111348247,1.767013371466555
141,141,141,05-21,8.698974685969732,3.731348962205727,1.7734148424880871
142,142,142,05-22,6.1787093409543585,0.2937109616491095,1.5425137969420897
143,143,143,05-23,6.8748217803327325,1.2432072434593318,1.3533093499032685
144,144,144,05-24,6.5347025407364105,0.7792851310241456,0.9498954110030574
145,145,145,05-25,5.95385060023425,-0.012996010053524434,0.4120706235853955
146,146,146,05-26,5.7176422567219145,-0.3351838222664414,0.3678190032391712
147,147,147,05-27,6.3331737961735675,0.5044002376997562,0.1910397760950564
148,148,148,05-28,5.984053896952447,0.028201239571763424,0.17131046532636648
149,149,149,05-29,6.097199657553474,0.18253188059464315,0.2611934388725297
150,150,150,05-30,6.447916617023706,0.6609092664120062,0.5040020345027224
151,151,151,05-31,6.349230701278017,0.5263018312234552,0.4211656814661145
152,152,152,06-01,6.785716479091241,1.121667751514715,0.6726776424075944
153,153,153,06-02,5.96879059497818,0.007382119480108611,0.8215430853959219
154,154,154,06-03,7.090412761233739,1.5372730052206425,1.050183341909943
155,155,155,06-04,6.752033733113079,1.075724538524608,1.0651298412131762
156,156,156,06-05,7.45366669578315,2.0327508054961307,1.0242803699042031
157,157,157,06-06,6.414977840826402,0.6159808270428565,1.255124381520883
158,158,158,06-07,6.606026517171688,0.8765709236608763,0.8583830053155322
159,159,159,06-08,6.984234622221843,1.3924461891801867,0.6157238562176856
160,160,160,06-09,5.34521409653056,-0.8431752520114623,0.7045578302094525
161,161,161,06-10,5.6846169009337775,-0.3802303560624718,0.8697771968781383
162,162,162,06-11,7.844432424010257,2.565754649446733,0.8189266653148352
163,163,163,06-12,7.141750079333866,1.6072970270549714,0.848853141920403
164,164,164,06-13,6.382343571287593,0.5714677342810588,1.1297020449835633
165,165,165,06-14,7.115876165412628,1.5720050488135933,1.4028551832753235
166,166,166,06-15,6.580621240844866,0.8419181663674999,1.1912643445775248
167,167,167,06-16,6.886171668842643,1.2586884736880917,1.0223824447191223
168,168,168,06-17,6.913679870065158,1.2962096172599402,0.9360924671533434
169,169,169,06-18,6.398866972599699,0.5940056279045577,0.9600026727680758
170,170,170,06-19,6.002768455968339,0.053727868886383714,0.8162502275776492
171,171,171,06-20,7.221053143197801,1.7154662825019882,0.7171913960538291
172,172,172,06-21,5.948278383657472,-0.020596504775060517,0.6102983589347679
173,173,173,06-22,6.450428510022353,0.6643354845451717,0.7977374568383121
174,174,174,06-23,6.443475356912246,0.6548513945455731,0.8321215236351781
175,175,175,06-24,7.223380076080793,1.7186402153258231,0.5841367620666605
176,176,176,06-25,6.154018189572872,0.26003226966757925,0.838433716084073
177,177,177,06-26,6.1302098364182545,0.2275577130908833,1.0323347777606977
178,178,178,06-27,7.066887964624312,1.505185219329414,1.1191712773025646
179,179,179,06-28,7.303366706585503,1.82774185460492,0.8401634432938113
180,180,180,06-29,6.825454530593199,1.1758703917967752,0.7396911962292237
181,181,181,06-30,5.996071485252662,0.044593211273303235,0.8033047138242355
182,182,182,07-01,5.712057653230707,-0.3428012127199456,0.6729979214518061
183,183,183,07-02,6.410035013781212,0.6092388186609536,0.3467953305850435
184,184,184,07-03,6.49369027542637,0.7233444650948382,0.0813603556455869
185,185,185,07-04,5.86845630866237,-0.1294736905956568,0.24075387022608336
186,186,186,07-05,5.657850666684403,-0.4167394578399645,0.13375180337927076
187,187,187,07-06,6.697216779118477,1.000954298756282,-0.214522027674224
188,188,188,07-07,5.241373536621497,-0.9848136138008212,-0.4417013533850868
189,189,189,07-08,4.87803693805991,-1.4804041676600148,-0.3465871297229963
190,190,190,07-09,5.494366585845895,-0.6397314891703387,0.09693456550513364
191,191,191,07-10,6.286847800159952,0.4412116513768866,-0.051604022619248666
192,192,192,07-11,7.608828096067487,2.244390713528815,0.26086451720388903
193,193,193,07-12,6.043820483196492,0.10972277000998816,0.4620324925402029
194,194,194,07-13,6.615870151209128,0.8899976251380051,0.18748192216924053
195,195,195,07-14,5.762941067031478,-0.2733963156421321,-0.016471807363458168
196,196,196,07-15,4.286664748977493,-2.2870349113961126,-0.5098258357215578
197,197,197,07-16,5.3896896064618325,-0.7825107258193056,-0.33297182566038525
198,198,198,07-17,5.438646604659741,-0.7157334566197829,-0.5437033825603926
199,199,199,07-18,6.821771563464984,1.1708468303770234,-0.707375544832558
200,200,200,07-19,5.688897433540375,-0.3743917162620389,-0.13996983522411233
201,201,201,07-20,5.04297472074694,-1.2554292892751246,-0.22534521935967505
202,202,202,07-21,6.782587146144054,1.117399346254562,0.07569604930567546
203,203,203,07-22,5.014137633998073,-1.294763030632682,-0.09478481629654437
204,204,204,07-23,6.762876573109993,1.0905141553723199,-0.10066042015783656
205,205,205,07-24,6.071854875036602,0.14796163676370458,-0.12402871646363048
206,206,206,07-25,5.663051639206728,-0.40964533942979214,-0.3997874831702871
207,207,207,07-26,4.940181510975567,-1.3956390671098882,-0.2989177687728039
208,208,208,07-27,5.569570656561786,-0.5371532539853774,-0.5017946064299293
209,209,209,07-28,5.457846562366469,-0.6895447442477831,-0.4327251016136211
210,210,210,07-29,5.8704554458637155,-0.12674687057043238,-0.5245362724121984
211,211,211,07-30,6.375680023625942,0.5623786656615539,-0.4771675481157392
212,212,212,07-31,5.259189722370558,-0.9605123642212556,-0.26104318415083544
213,213,213,08-01,5.1485485716072406,-1.1114267213311326,0.03928941275583864
214,214,214,08-02,6.520265426562654,0.7595929298040447,0.04029956365496457
215,215,215,08-03,6.7789592028012144,1.1124508371922612,0.23502354946187184
216,216,216,08-04,5.874898929972089,-0.12068596517567687,0.4040694654005323
217,217,217,08-05,7.232238125193852,1.7307225805029975,0.5262013696939172
218,218,218,08-06,6.002794308288454,0.053763131410706884,0.4118797682673511
219,219,219,08-07,5.685786301458108,-0.3786352955708233,0.12427984983844667
220,220,220,08-08,6.017383906957537,0.07366332124464857,-0.06786490665903172
221,221,221,08-09,5.5138554760069685,-0.6131486733811654,-0.4389690689299649
222,222,222,08-10,5.029686424847461,-1.2735545041605474,-0.2739199596001141
223,223,223,08-11,5.5998132577512285,-0.4959023931226009,-0.1431201441827428
224,224,224,08-12,6.72881761336419,1.0440577873898118,-0.06412058173517828
225,225,225,08-13,6.261152716207013,0.4061635969334043,-0.2593650062324249
226,226,226,08-14,6.364889710900368,0.5476606959300357,-0.031535252029345415
227,227,227,08-15,4.655008052069591,-1.7846152203646453,-0.19760372089322287
228,228,228,08-16,6.031871240098665,0.09342402105792988,-0.4546634041145394
229,229,229,08-17,4.869305961329164,-1.4923132063058662,-0.6324695349510563
230,230,230,08-18,5.598055250744717,-0.4983003119380866,-0.6771735321979396
231,231,231,08-19,5.479013416596085,-0.6606731880856971,-0.15061235084229807
232,232,232,08-20,6.16824433690798,0.2794367124487359,-0.2749143447951426
233,233,233,08-21,6.971262230990293,1.374751867769204,0.03881018382649585
234,234,234,08-22,5.485087650392699,-0.6523879426591375,0.21411560418869452
235,235,235,08-23,6.249327459645812,0.3900339654239646,0.24512929777550185
236,236,236,08-24,6.369194345077506,0.5535322102351057,0.29010628516687026
237,237,237,08-25,5.615437444644005,-0.4745910265648534,-0.008429590807928489
238,238,238,08-26,6.366090548685903,0.5492986367969465,0.30033617487132797
239,239,239,08-27,5.658053064100818,-0.41646338807958816,0.12933849949085974
240,240,240,08-28,6.8432963835564005,1.2002066514164014,0.13345175345900315
241,241,241,08-29,5.497137411822623,-0.6359520868588449,0.33819112888495345
242,242,242,08-30,6.387287858291197,0.5782117340439662,0.16159777289068394
243,243,243,08-31,6.516051562644619,0.7538452259908485,0.2728738542981994
244,244,244,09-01,5.589286041870018,-0.5102614991686701,-0.12745502372457715
245,245,245,09-02,6.147537852763954,0.2511931003655042,-0.12720559282094349
246,246,246,09-03,5.0823169010285865,-1.2017666167202576,-0.21643788854055804
247,247,247,09-04,5.498234616465408,-0.6344555014370431,-0.12400772078908168
248,248,248,09-05,5.994769979697997,0.04281795972627886,-0.13871543715536067
249,249,249,09-06,6.922636343090294,1.3084262324997071,0.12669645330327373
250,250,250,09-07,5.5245892683477695,-0.598507797366344,-0.1198384534816174
251,251,251,09-08,7.3150401719196125,1.8436644431173104,-0.14471260335743788
252,252,252,09-09,3.997851261878767,-2.6809760574296044,0.02771249720341181
253,253,253,09-10,5.388817409810259,-0.7837004006919658,0.037488509822047836
254,254,254,09-11,6.753239031094225,1.077368563091377,-0.032201158363067695
255,255,255,09-12,6.965639380311536,1.3670823082115229,-0.35057333553192543
256,256,256,09-13,5.218036125281289,-1.0166458064770372,0.07943612727148608
257,257,257,09-14,5.914574448409728,-0.06656861989583615,0.04662025208008538
258,258,258,09-15,5.88939065076725,-0.10091928060913537,-0.14459114861040215
259,259,259,09-16,5.244465887635128,-0.98059565184037,-0.4684538511708221
260,260,260,09-17,5.9121322013686015,-0.0698998410515483,-0.07869714822150503
261,261,261,09-18,5.541021757966387,-0.5760939071509971,-0.03767256539713292
262,262,262,09-19,6.932510385697711,1.3218944112188653,-0.026576941895747042
263,263,263,09-20,6.095034696468256,0.1795788770503966,0.20665783888140374
264,264,264,09-21,5.938198434578147,-0.03434553960082005,0.3137941414152329
265,265,265,09-22,6.270426506786532,0.4188130328225349,0.3849816215789861
266,266,266,09-23,6.383406798214527,0.5729179741514266,-0.04041372007016627
267,267,267,09-24,5.854163524307045,-0.1489690261684777,-0.2984258700320723
268,268,268,09-25,5.061267740633152,-1.2304776386760492,-0.2090530991376812
269,269,269,09-26,4.960082592663354,-1.3684940227210398,-0.4311462401352814
270,270,270,09-27,6.3313342398665355,0.5018910857655269,-0.5222101889364384
271,271,271,09-28,5.293476089323321,-0.9137458131630662,-0.5327419566824774
272,272,272,09-29,5.98283178541798,0.02653428134448416,-0.4996346847549515
273,273,273,09-30,5.807836047240883,-0.21215963264471105,-0.3697673027494184
274,274,274,10-01,5.20690106809829,-1.0318340071108936,-0.5269832348333062
275,275,275,10-02,5.531347389474576,-0.5892897306878421,-0.3658319623408244
276,276,276,10-03,5.639767765587702,-0.44140450673779946,-0.32952707356445915
277,277,277,10-04,6.002353464955371,0.05316182179182434,-0.4319129238061872
278,278,278,10-05,6.142530892228347,0.24436361400267595,-0.28649757301731643
279,279,279,10-06,5.3574578919917615,-0.8264747340950791,-0.3136524284005425
280,280,280,10-07,5.846558767659043,-0.15934190237766907,-0.5442114876665901
281,281,281,10-08,5.411897742431749,-0.7522188629871986,-0.5729911364023056
282,282,282,10-09,4.6255771958648655,-1.824758862334085,-0.7931581030287761
283,283,283,10-10,5.875756624906603,-0.11951607062246815,-0.8419865076149894
284,284,284,10-11,5.174053392242593,-1.0766381857561471,-0.8712677194935929
285,285,285,10-12,5.142669942979508,-1.1194451616123586,-0.9458052602409128
286,286,286,10-13,5.717755635603111,-0.3350291736492911,-0.6112361782295938
287,287,287,10-14,5.0840196223660685,-1.199444107471116,-0.8313943128974186
288,288,288,10-15,6.09729038283255,0.182655629733828,-0.7372516383324275
289,289,289,10-16,4.907317975223237,-1.4404648786294167,-0.5748505940463834
290,290,290,10-17,5.588171202474135,-0.5117821383662005,-0.22296364458056608
291,291,291,10-18,5.857044854780259,-0.14503889589609426,-0.09564325353723653
292,292,292,10-19,7.265647212246628,1.776292523145613,-0.05867151618028488
293,293,293,10-20,5.644080633807678,-0.4355217612111389,-0.01969531586863164
294,294,294,10-21,6.259922844523946,0.4044860538755379,-0.01855395074427017
295,295,295,10-22,5.078767732719398,-1.206607676759497,0.02108978938486328
296,296,296,10-23,5.593191875916432,-0.5049339476200316,0.20761233369357746
297,297,297,10-24,6.031431007792425,0.09282354487870643,0.3522106637453047
298,298,298,10-25,8.086128550437381,2.8954277889978983,0.3663609535940458
299,299,299,10-26,6.28014439639837,0.4320682190992247,0.7232505657924694
300,300,300,10-27,6.322167592438527,0.4893877929679844,0.8574763926247142
301,301,301,10-28,6.648665182318264,0.9347299964310434,1.0269814169693718
302,302,302,10-29,6.183628739338177,0.3004210133734377,0.6994531682632498
303,303,303,10-30,6.777055134461942,1.109853690946652,0.7135218554891543
304,304,304,10-31,6.645386806378308,0.9302582967611664,0.7714787213057405
305,305,305,11-01,6.3420301880836485,0.5164803424546522,0.7852283711314231
306,306,306,11-02,6.577110108898253,0.8371289878675012,0.6115474848869088
307,307,307,11-03,6.709147582075576,1.0172278953851397,0.446054412551359
308,308,308,11-04,5.419635697680973,-0.7416643040936478,0.44148429472248135
309,309,309,11-05,6.049078910706196,0.11689525693335308,0.4951542977959191
310,310,310,11-06,6.625283625790543,0.9028375897879004,0.5459225543304186
311,311,311,11-07,6.578115515493258,0.8385003608952786,0.5015025291643012
312,312,312,11-08,6.800431140752159,1.1417385270744989,0.6540642298787677
313,313,313,11-09,6.513751353561549,0.7507077443884347,0.4714778909023285
314,314,314,11-10,6.0907289900375625,0.17370590019315174,0.3989261022283663
315,315,315,11-11,5.245912278522633,-0.978622776925282,0.2051279290801893
316,316,316,11-12,6.306140495505867,0.4675268577441266,0.09344858608271583
317,317,317,11-13,5.72562990828234,-0.3242886779937833,-0.05964350392117127
318,318,318,11-14,6.3091724720993625,0.4716624690896585,-0.11205082495786138
319,319,319,11-15,5.840324967821753,-0.16784479563488794,-0.22193568043404294
320,320,320,11-16,5.860197988787612,-0.14073802602698893,-0.09107298723019357
321,321,321,11-17,4.762547259017144,-1.6379319097823717,0.5064544255980782
322,322,322,11-18,6.8817834990745474,1.2527030169672229,0.4835203975637816
323,323,323,11-19,8.354052617719372,3.2608757989758472,0.4744231733760513
324,324,324,11-20,6.208289535500878,0.3340583008838783,0.563998017336795
325,325,325,11-21,5.800307806877301,-0.22242814076126932,0.87872657108414
326,326,326,11-22,6.254222679548308,0.39671103773747307,0.63884589071754
327,327,327,11-23,6.146985295193976,0.2504394127016992,-0.00825038654186779
328,328,328,11-24,5.8265886840845535,-0.18658106523237689,0.0618943123982745
329,329,329,11-25,5.507584800803317,-0.6217018645805998,0.08993054851482864
330,330,330,11-26,6.51684428241737,0.754926494524732,0.20915516153049066
331,331,331,11-27,5.923634499701465,-0.05421072406194452,0.21069403185895166
332,332,332,11-28,6.778671723469026,1.1120587158314452,0.5984169717861901
333,333,333,11-29,6.153754527251565,0.2596726346724649,0.7099002910396109
334,334,334,11-30,7.532116762621984,2.1397565743310545,0.4137125068975209
335,335,335,12-01,5.99798119393637,0.04719805093992548,0.5501333402575747
336,336,336,12-02,5.213963977040243,-1.0222002103278087,0.3769248031161358
337,337,337,12-03,6.523726828096353,0.7643142760983787,0.3738025123315667
338,338,338,12-04,6.016756466165563,0.07280749298281146,0.15029379939758114
339,339,339,12-05,6.1400200946089125,0.2409388899650503,0.2906816260939741
340,340,340,12-06,6.548939482014828,0.7987042967271414,0.4632921862753006
341,341,341,12-07,6.6155236595962,0.889525011118283,0.22789222461035666
342,342,342,12-08,5.973248834151288,0.013463150760149605,0.21820944197305348
343,343,343,12-09,5.488241941951778,-0.6480854938912847,-0.04011511655472368
344,344,344,12-10,5.9741635319703486,0.014710797158992378,-0.1046885891793442
345,345,345,12-11,5.003693758004765,-1.3090084612016126,-0.3714843112400658
346,346,346,12-12,6.264891623741015,0.41126346097941824,-0.36808919776168464
347,347,347,12-13,5.441934097695063,-0.7112493212460466,-0.20938436009809847
348,348,348,12-14,5.988183367992092,0.03383383163043662,-0.29760592626746696
349,349,349,12-15,6.186357861752052,0.304143532090232,-0.2459276604074181
350,350,350,12-16,5.586091682874595,-0.5146185998572181,-0.38257176631145134
351,351,351,12-17,5.231017768007826,-0.9989388660413192,-0.29700545072770396
352,352,352,12-18,5.663817156933078,-0.4086011744447815,-0.4185222898393415
353,353,353,12-19,5.818325945524503,-0.19785142774356207,-0.5846762001337005
354,354,354,12-20,5.453651206549939,-0.6952672030393893,-0.4028948104617121
355,355,355,12-21,5.4554747228307425,-0.6927799296759214,0.07776670867181996
356,356,356,12-22,6.385717478292612,0.5760697381747127,0.3302060221725122
357,357,357,12-23,7.34536704357181,1.885030248759873,0.4557293494098067
358,358,358,12-24,6.774255289334892,1.106034706559372,0.5347848861261348
359,359,359,12-25,6.3704819751750135,0.5552885356802043,0.4199209462414648
360,360,360,12-26,5.801403231897851,-0.2209339827414204,-0.11967571521962785
361,361,361,12-27,4.950207547456738,-1.3819635689839416,-0.6143196294096797
362,362,362,12-28,4.012122412239373,-2.661510230591843,-1.0035751336520304
363,363,363,12-29,5.169511561079308,-1.082833236380438,
364,364,364,12-30,5.061985717833236,-1.2294983188947326,
365,365,365,12-31,,,
