,unnamed: 0,unnamed: 0,mth_day,imdb top 250,imdb top 250_norm,imdb top 250_ravg
107,107,107,04-17,33.63778737852656,0.07062730388227997,-0.2478606629635017
108,108,108,04-18,34.16114523172646,0.2504723505517163,-0.1029929219875675
109,109,109,04-19,29.13052960127069,-1.478232582991623,-0.16294621642401036
110,110,110,04-20,33.631336008598744,0.06841037541038254,-0.1642722253577236
111,111,111,04-21,32.32576948614747,-0.3802303982489757,-0.2126610156853047
112,112,112,04-22,34.838742076671316,0.4833195992498773,-0.3054943962736368
113,113,113,04-23,32.7929049457733,-0.21970543808320656,0.02201308277592744
114,114,114,04-24,32.54024725305818,-0.306527932978276,-0.03676279436906128
115,115,115,04-25,34.84890598082164,0.4868122913057623,0.15739342791691274
116,116,116,04-26,32.60509200180943,-0.2842448874595497,0.08367216605346899
117,117,117,04-27,35.71579391760461,0.7847069354668685,0.22107890821455167
118,118,118,04-28,33.55154728119977,0.04099202806921469,0.35243569467681257
119,119,119,04-29,35.192066855129475,0.6047350148832895,0.3580187181903076
120,120,120,04-30,34.833775166311824,0.4816127857952895,0.2726795912354863
121,121,121,05-01,34.946387204391534,0.5203104323867324,0.1307567529948038
122,122,122,05-02,31.11504588363789,-0.7962796491884776,0.2600029739593969
123,123,123,05-03,33.237779649748674,-0.06683009397722656,0.1920920439348696
124,124,124,05-04,35.80822410352754,0.8164693538567735,0.21878213329041585
125,125,125,05-05,34.006322153076965,0.19726943473612527,0.14599954743247145
126,126,126,05-06,35.299791933262554,0.6417533219285668,0.24487532729096906
127,127,127,05-07,33.675581966537045,0.08361491723906578,0.09248953954115198
128,128,128,05-08,32.84144592095412,-0.2030249700374921,0.05176839542223
129,129,129,05-09,30.57707922306943,-0.9811448204761288,0.11191807688248866
130,130,130,05-10,35.09722101635013,0.5721424891432415,0.21903849494763397
131,131,131,05-11,35.056553185046184,0.5581675234976773,0.17247133813535345
132,132,132,05-12,37.170145765208616,1.284475830319439,0.10079556754157178
133,133,133,05-13,32.862505787785445,-0.19578802363461725,0.5348748643647779
134,134,134,05-14,31.589966001353368,-0.6330795936001822,0.5336042216235045
135,135,135,05-15,38.15623071301221,1.6233309604631088,0.7210647495619291
136,136,136,05-16,35.07503522242679,0.5645186326956,0.7614196028122349
137,137,137,05-17,38.3296688347166,1.6829306911282251,0.9188200707592444
138,138,138,05-18,37.87475330668058,1.5266049498212728,1.216888079858644
139,139,139,05-19,35.610763997492555,0.7486147840474395,1.212538645119806
140,140,140,05-20,36.7943206245827,1.1553284609962162,1.3606453211916494
141,141,141,05-21,38.08028831027029,1.5972343520300811,1.182872817105096
142,142,142,05-22,37.66102110757618,1.4531586891266612,1.0225053402805258
143,143,143,05-23,35.22570891522931,0.616295666608905,1.0609235018666174
144,144,144,05-24,35.07469025412653,0.5644000888738523,0.9976598892140676
145,145,145,05-25,36.28155633602852,0.9791237535639882,0.6423430568604725
146,146,146,05-26,35.68971944317685,0.7757467850809165,0.4066851368351048
147,147,147,05-27,31.8763524878454,-0.5346666420914892,0.4461032855313461
148,148,148,05-28,33.54636489441768,0.03921116897445477,0.5070727081154269
149,149,149,05-29,35.91396132120292,0.8528045587863531,0.3916264054331637
150,150,150,05-30,36.13923420589047,0.9302166243783376,0.33570488203237714
151,151,151,05-31,34.265830123361376,0.2864459374704085,0.42742298437542897
152,152,152,06-01,34.71331328765461,0.4402176446761968,0.5091033928320107
153,153,153,06-02,33.47777738213421,0.01564197196682184,0.4338896170580602
154,154,154,06-03,34.97252871744141,0.5292936197139452,0.5093016152743647
155,155,155,06-04,34.6007067962963,0.4015219041426498,0.6284893919723805
156,156,156,06-05,37.455949752620285,1.3826886136761647,0.5839967724191785
157,157,157,06-06,36.34688356671796,1.001572597658504,0.7749074011029135
158,158,158,06-07,33.93645913624492,0.1732619273569842,0.8687281852501109
159,159,159,06-08,36.81113279996599,1.1611057440692325,0.9548328076094053
160,160,160,06-09,36.61066705106123,1.09221832459713,1.1508737017029935
161,161,161,06-10,36.10411868813596,0.9181496382984144,1.1577504229747413
162,162,162,06-11,40.87888110510147,2.5589339782376967,1.2907316023776347
163,163,163,06-12,36.4669531315512,1.0428329252889887,1.31774141953701
164,164,164,06-13,36.258349425374014,0.971149003774346,1.2375516101302395
165,165,165,06-14,37.28273210789137,1.3231646470254834,1.2879319458728251
166,166,166,06-15,35.21052952344473,0.6110794681565079,1.1647504970933238
167,167,167,06-16,36.98377408635864,1.220431652753929,1.216985687167415
168,168,168,06-17,38.7280969790603,1.819845285560689,1.2139146149918392
169,169,169,06-18,37.3789948289435,1.3562440657335355,1.1264372566798309
170,170,170,06-19,36.20472760690539,0.9527225707208884,1.284693561537832
171,171,171,06-20,35.755351844794546,0.7983004971534355,1.353112083885997
172,172,172,06-21,37.97373089594851,1.5606172973045145,1.3282476894082416
173,173,173,06-22,38.178381498851685,1.6309427868429174,1.2012357770196178
174,174,174,06-23,38.29395737868826,1.6706589186941574,1.2638371817854592
175,175,175,06-24,35.161329687883374,0.5941725914017935,1.3209572483065208
176,176,176,06-25,37.297766444914714,1.3283309993159371,1.2480808769287586
177,177,177,06-26,36.752684913768476,1.1410208962798047,1.2061855106057626
178,178,178,06-27,36.701288135485896,1.123359069037941,1.2891326833564098
179,179,179,06-28,37.446876148533256,1.3795705889049412,1.3980768330426008
180,180,180,06-29,39.74223927681263,2.168341955198041,1.2817020111873074
181,181,181,06-30,37.0635264073711,1.2478374895189412,1.1321101773327973
182,182,182,07-01,35.265828015896275,0.6300820681841742,1.0626079940721214
183,183,183,07-02,34.140767739327764,0.24346989315274525,0.8788491777573489
184,184,184,07-03,35.48775968649153,0.7063459694738851,0.476253296923365
185,185,185,07-04,34.23839346655576,0.2770176910163059,0.4334424514551805
186,186,186,07-05,32.712797438883946,-0.2472333298058623,0.4057426310830568
187,187,187,07-06,36.31603652340169,0.990972416709834,0.3429770698116483
188,188,188,07-07,34.782181050051605,0.4638831459514319,0.17241793767541336
189,189,189,07-08,33.044862680715774,-0.13312347447570608,0.42997165706916224
190,190,190,07-09,32.509747351155056,-0.31700882334352426,0.5192895705115506
191,191,191,07-10,38.735356741167934,1.822340007378799,0.2581726199595196
192,192,192,07-11,34.27231433291626,0.28867415084846804,0.2814516036752609
193,193,193,07-12,31.756858190527247,-0.5757292866023521,0.1908913076533826
194,194,194,07-13,35.1886389147891,0.6035570482458801,0.0040279607399916475
195,195,195,07-14,31.4636534234509,-0.6764852506069761,-0.2977975093112009
196,196,196,07-15,29.24705865685609,-1.43818890482387,-0.2797026212304751
197,197,197,07-16,33.465395750669764,0.011387187071643705,-0.11513561500623905
198,198,198,07-17,34.588256371527784,0.3972434793328229,-0.22810469391867186
199,199,199,07-18,34.63024625475422,0.411672750743064,-0.07794092033514932
200,200,200,07-19,33.21616575372667,-0.07425742522871652,0.2285205127598737
201,201,201,07-20,34.08555683285151,0.22449739089415896,0.20631835261479844
202,202,202,07-21,34.597964918110364,0.4005796937462681,0.10518388828820993
203,203,203,07-22,33.077739540445044,-0.12182577379880785,-0.11773239929470032
204,204,204,07-23,32.822419042737565,-0.20956330662670816,0.004936525024891216
205,205,205,07-24,30.73806267094548,-0.9258249747543974,-0.23316016712058915
206,206,206,07-25,35.358001052785355,0.6617561206888326,-0.364059088007566
207,207,207,07-26,29.9283189451394,-1.2040827619787229,-0.4500287183206828
208,208,208,07-27,32.31243147172602,-0.3848138315755929,-0.3870855971069141
209,209,209,07-28,31.57668464921657,-0.637643555677509,-0.15293583068001515
210,210,210,07-29,33.921424349879125,0.16809542065590394,-0.4771282316489171
211,211,211,07-30,34.82638608114252,0.4790736238069963,-0.6270996225268304
212,212,212,07-31,29.69750690617711,-1.2833982851245789,-0.6853630348306622
213,213,213,08-01,27.309774594050328,-2.1039111072462027,-0.60475362203327
214,214,214,08-02,31.295135250958356,-0.7343943053985835,-0.7144640764002591
215,215,215,08-03,32.98414857476656,-0.15398707889315633,-0.6024612065055629
216,216,216,08-04,32.00584772652193,-0.4901673055460306,-0.5027421447207543
217,217,217,08-05,36.78198895014088,1.151090843175174,-0.1049676869187907
218,218,218,08-06,31.438630892585163,-0.6850839144157277,0.04656362161518037
219,219,219,08-07,34.25503297558243,0.2827356395655789,-0.014658260379234568
220,220,220,08-08,33.94091622059529,0.17479354580524287,-0.07294565637669546
221,221,221,08-09,31.915196607854266,-0.5213183708596459,-0.37587900625244297
222,222,222,08-10,30.98813274344831,-0.8398916815307959,-0.4331799331007848
223,223,223,08-11,31.49268405385313,-0.6665092560793112,-0.5224010742352999
224,224,224,08-12,30.438139949395598,-1.0288894755057785,-0.5136309306593594
225,225,225,08-13,32.69720575435129,-0.2525912072415121,-0.4713826158946429
226,226,226,08-14,34.094045492682355,0.2274144072608864,-0.2494975979162787
227,227,227,08-15,32.652864541201915,-0.2678284822713473,-0.29779912515520784
228,228,228,08-16,34.862310058317185,0.4914184263393897,-0.33487105116056765
229,229,229,08-17,30.64932526015204,-0.956318419512886,-0.5355525988892743
230,230,230,08-18,29.790853277870678,-1.2513210315379373,-0.5031594051350424
231,231,231,08-19,29.193247232018162,-1.4566804936137518,-0.2160405286531336
232,232,232,08-20,34.659640130581856,0.4217735697862777,-0.3330276043389651
233,233,233,08-21,37.66604410632836,1.4548847766201054,-0.08186336288980117
234,234,234,08-22,32.819681498334425,-0.21050402777559948,0.3532863941718894
235,235,235,08-23,35.034726380941,0.5506670291820978,0.6898504759880183
236,236,236,08-24,37.38869531668507,1.3595775108322063,0.8042406261623971
237,237,237,08-25,35.069754544913266,0.5627039972830217,0.7809766561273103
238,238,238,08-26,36.65692561153864,1.10811447083255,0.7871793214157413
239,239,239,08-27,37.25984838484656,1.3153009564095846,0.7099556410262409
240,240,240,08-28,32.927981848538806,-0.1732880360450138,0.5058616571154767
241,241,241,08-29,33.68637833355341,0.08732494684509429,0.4435815811367029
242,242,242,08-30,33.8251546604818,0.1350136073676217,0.25392371366704497
243,243,243,08-31,33.982326201514226,0.1890235414103783,0.13414590313602073
244,244,244,09-01,33.34544377093504,-0.02983273398539761,-0.1571861974948738
245,245,245,09-02,35.16849277818183,0.5966340932234395,-0.1148688199221632
246,246,246,09-03,27.841238157410626,-1.921280639830381,-0.11084417607158582
247,247,247,09-04,34.42525212372938,0.3412292122813579,-0.07386225034061601
248,248,248,09-05,33.89542611931393,0.15916147047108592,-0.002571713229875563
249,249,249,09-06,34.628041441923386,0.4109150957961972,0.16954724673222488
250,250,250,09-07,34.590197401241795,0.3979104886790451,0.3878332014906379
251,251,251,09-08,38.173740163604734,1.6293478529960421,0.26788240684382764
252,252,252,09-09,31.652574775739666,-0.6115649112799025,0.5641218727631706
253,253,253,09-10,32.330876163805485,-0.378475555599504,0.5958037260350139
254,254,254,09-11,39.0678538437739,1.9365982659871432,0.2195153108780549
255,255,255,09-12,35.18121586693458,0.6010062154272574,-0.12759437382473304
256,256,256,09-13,28.02009160892011,-1.8598200022627087,0.05427134300851932
257,257,257,09-14,32.11310353973879,-0.4533102552206856,0.016377410991982626
258,258,258,09-15,34.82800338704165,0.4796293897196116,-0.3709099964635974
259,259,259,09-16,31.669237026890144,-0.6058391476987242,-0.5702305825768619
260,260,260,09-17,32.30570242873293,-0.3871261787463371,-0.1403632683053654
261,261,261,09-18,31.70102013248588,-0.5949173012523294,0.2332694263435897
262,262,262,09-19,35.52570065151275,0.7193838833662699,0.35418407840599664
263,263,263,09-20,38.63683967519727,1.7884859126730448,0.6484740281056821
264,264,264,09-21,36.939208579368405,1.2051173020940535,0.8039737476554724
265,265,265,09-22,36.80762562792492,1.1599005504993891,1.0168695050712284
266,266,266,09-23,35.02077301545912,0.5458721385524041,0.5827749588921558
267,267,267,09-24,35.41824232858915,0.6824572432422061,-0.06140999923215385
268,268,268,09-25,27.946282903356146,-1.8851833937081648,-0.34410657447026644
269,269,269,09-26,27.389181883411137,-2.0766238360728133,-0.5840283098395839
270,270,270,09-27,32.00324368747377,-0.4910621493346218,-0.8100750866220771
271,271,271,09-28,32.618521951702775,-0.2796298617165159,-1.0845838329167197
272,272,272,09-29,31.073930174563237,-0.8104085221425534,-1.1532970945961492
273,273,273,09-30,30.62523932497265,-0.9645952345256502,-0.974187780576252
274,274,274,10-01,26.746529255928486,-2.297462963784741,-1.041419224965605
275,275,275,10-02,30.516482895349107,-1.001967951953429,-1.1252727473715929
276,276,276,10-03,30.82936300335973,-0.8944508156707386,-1.1397864102558797
277,277,277,10-04,31.154414923490506,-0.7827509961524456,-1.1855858312106038
278,278,278,10-05,30.820517375383435,-0.8974904994482726,-0.9540001381074384
279,279,279,10-06,29.82556803885533,-1.2393917602539952,-0.7844630207417679
280,280,280,10-07,30.79008319590633,-0.9079488051657476,-0.8573055075917192
281,281,281,10-08,33.47665055385404,0.01525475224059302,-0.8988715167069096
282,282,282,10-09,29.55751187666386,-1.3315057367704464,-0.6303690420746397
283,283,283,10-10,30.428660246356763,-1.0321470508435877,-0.5459364133175071
284,284,284,10-11,35.5086491189513,0.7135243483453467,-0.4027842067829801
285,285,285,10-12,31.299786433346142,-0.7327959877111996,-0.6665819421987127
286,286,286,10-13,33.28956259376079,-0.04903556595858556,-0.5332293469613668
287,287,287,10-14,28.87066493313464,-1.5675316602538027,-0.4548192924091139
288,288,288,10-15,31.885887194900953,-0.5313901653463713,-0.7396616095491814
289,289,289,10-16,31.797722733638306,-0.5616867235300701,-0.4675793082881839
290,290,290,10-17,30.53521894582289,-0.9955295544950584,-0.2600301138719717
291,291,291,10-18,36.050422996944405,0.8996978198547855,-0.1289121355041585
292,292,292,10-19,36.913432236032016,1.196259600538688,0.04013478673177215
293,293,293,10-20,31.16002318720829,-0.7808237900469236,0.16046881554627174
294,294,294,10-21,34.83749590305945,0.4828913680692127,0.3172106386659004
295,295,295,10-22,33.89879007422535,0.16031744935692746,0.10668690145472746
296,296,296,10-23,33.27197702419152,-0.055078615777286455,-0.06298646418814784
297,297,297,10-24,32.37461696742478,-0.3634446034122521,0.13963093397691215
298,298,298,10-25,33.9508856427547,0.1782194066814361,0.1281468087267221
299,299,299,10-26,34.69778222439291,0.4348805989434363,0.24623673853325154
300,300,300,10-27,34.63697971710525,0.4139866165680723,0.1902678425567529
301,301,301,10-28,35.96067478973835,0.868857028196104,0.3867430841600979
302,302,302,10-29,32.29474372964096,-0.3908919916362782,0.6173122816091811
303,303,303,10-30,35.805132154472155,0.8154068462078179,0.5542162782042755
304,304,304,10-31,37.97669127128911,1.561634591375935,0.6219890052048282
305,305,305,11-01,33.59610754947633,0.0563045785140033,0.6737937492047091
306,306,306,11-02,35.82031135393503,0.8206229785713883,0.6701789153030301
307,307,307,11-03,36.86520077277023,1.1796854921953897,0.7385301641154376
308,308,308,11-04,32.231627672385265,-0.4125809950463527,0.6102333703486228
309,309,309,11-05,36.99856495135351,1.225514339082263,0.6863264969191095
310,310,310,11-06,35.73659172554029,0.7918538287750465,0.6559839664110451
311,311,311,11-07,34.92471579649899,0.5128633379369233,0.6411027685293623
312,312,312,11-08,35.29052189612891,0.6385677955230019,0.9439047978795078
313,313,313,11-09,36.60537070503257,1.0903983049052928,0.5995279425387886
314,314,314,11-10,37.51863967388498,1.4042311810545205,0.6765446816662523
315,315,315,11-11,30.985644327496928,-0.8407467929620519,0.8364782073629818
316,316,316,11-12,37.08132651796277,1.2539542635398284,0.985508856144824
317,317,317,11-13,37.71720193543102,1.4724644921173002,0.7699256102217333
318,318,318,11-14,37.89264061505522,1.5327516882140546,0.707178554139935
319,319,319,11-15,32.841224173505715,-0.20310117063325087,0.5991419198248472
320,320,320,11-16,36.42305772129631,1.027748844563731,0.6912357681772052
321,321,321,11-17,29.09929309183527,-1.4889665988525786,0.6498922452568636
322,322,322,11-18,38.6893120474791,1.8065173536539767,0.5325437331924566
323,323,323,11-19,36.99533193233614,1.2244033545952504,0.5928896201228119
324,324,324,11-20,35.84370127018304,0.8286606158276126,0.3752213234125101
325,325,325,11-21,33.894881010372536,0.15897415094888045,0.7237626558150613
326,326,326,11-22,32.622505593151146,-0.2782609356980802,0.5364283614405949
327,327,327,11-23,35.18492670329345,0.6022813955627292,0.3552776073106845
328,328,328,11-24,35.41840047275848,0.6825115874071792,0.27215745522464024
329,329,329,11-25,33.83238677895981,0.13749882981578748,0.4522856364632271
330,330,330,11-26,34.39239910226649,0.3299397033113474,0.5507650596262693
331,331,331,11-27,37.039971741965644,1.2397432383804012,0.4186859017022308
332,332,332,11-28,34.34198512663112,0.3126156032801737,0.5695169570256841
333,333,333,11-29,32.87878597302482,-0.1901935519815016,0.5939503079919065
334,334,334,11-30,38.051954816516975,1.5874979193478993,0.4759918628841249
335,335,335,12-01,34.25900023354104,0.2840989356131217,0.5001561250763022
336,336,336,12-02,32.33281014805267,-0.3778109673353424,0.3354785609284401
337,337,337,12-03,37.46188682784407,1.3847288115334655,0.3078546583465745
338,338,338,12-04,31.466666688719634,-0.6754497816069993,0.1821360834361252
339,339,339,12-05,32.39646455400388,-0.35593696747269565,0.12981149751478718
340,340,340,12-06,35.85687172612465,0.8331864698852038,0.19025568767795112
341,341,341,12-07,33.34539765850769,-0.029848579914906668,-0.1086974600465806
342,342,342,12-08,33.388183388117874,-0.015145826356358713,-0.05070044869501605
343,343,343,12-09,32.242077425318485,-0.4089900748137248,-0.13136839785590487
344,344,344,12-10,32.479311470938924,-0.32746771349761195,-0.3790695810609244
345,345,345,12-11,30.98797856642546,-0.8399446624380285,-0.5165765717536415
346,346,346,12-12,31.53193661521672,-0.6530206293449136,-0.31907552698957464
347,347,347,12-13,30.944485380466656,-0.8548905240712086,-0.07407538361224504
348,348,348,12-14,36.83660939839702,1.1698604422280423,-0.053892218941861324
349,349,349,12-15,36.51985159078568,1.0610107854502528,0.3300372272520517
350,350,350,12-16,32.831715429622996,-0.20636872547530968,0.4376247112333922
351,351,351,12-17,37.69149899564013,1.4636320147254498,0.6667607252723439
352,352,352,12-18,33.41044555467549,-0.007495725456870648,0.35640445996165154
353,353,353,12-19,34.945267207456624,0.5199255601625011,0.11022391752097772
354,354,354,12-20,31.417698227425795,-0.6922771496361119,0.14415427277588622
355,355,355,12-21,32.221467312407896,-0.41607246919379,-0.00400712471218545
356,356,356,12-22,33.42414935694128,-0.0027865939458585147,-0.21586801130910505
357,357,357,12-23,35.104557658557475,0.5746636297970198,-0.48888118521557705
358,358,358,12-24,29.71129250576695,-1.2786610450383882,-0.4163218897904468
359,359,359,12-25,30.17837733518981,-1.1181534832763305,-0.4682533876772568
360,360,360,12-26,32.68460474901131,-0.2569213770853309,-0.8398474329242677
361,361,361,12-27,31.314728169434947,-0.7276614565146501,-1.3497850103247389
362,362,362,12-28,26.93600863634201,-2.2323508654279234,-1.2859646277634298
363,363,363,12-29,26.20089840132573,-2.4849618346058087,
364,364,364,12-30,30.82561505263393,-0.895738749670534,
365,365,365,12-31,,,
