,unnamed: 0,unnamed: 0,mth_day,nostalgic,nostalgic_norm,nostalgic_ravg
67,67,67,03-08,2.8525139139880906,-1.9002528462777155,-0.6440982832406295
68,68,68,03-09,3.5561626320573865,-0.724616843357652,-0.8478992594338867
69,69,69,03-10,3.775889339068812,-0.3575037925807165,-0.9145474384354092
70,70,70,03-11,3.424493323756292,-0.944606129692292,-1.1063640708226548
71,71,71,03-12,3.11652790157315,-1.4591458832306807,-0.8334827689504936
72,72,72,03-13,3.2404748281308966,-1.25205892979687,-1.0156298715329883
73,73,73,03-14,3.832473243766201,-0.2629650350447476,-1.1707122104695442
74,74,74,03-15,2.9020439682165486,-1.8174994588526217,-0.907027748869326
75,75,75,03-16,3.2189644641065627,-1.2879978262000524,-1.0662036544740183
76,76,76,03-17,4.3714253652330886,0.6375006399090175,-0.8520423433960171
77,77,77,03-18,2.544902390030136,-2.4142013168588345,-0.8117297880955335
78,78,78,03-19,4.009561509514141,0.03290893667113808,-0.4911957454121223
79,79,79,03-20,3.9772419193877053,-0.021089703241846808,-0.3782086488871005
80,80,80,03-21,4.053131724996079,0.10570479724784552,-0.6423215189921292
81,81,81,03-22,3.624718755897893,-0.6100752470499217,-0.08636394235157208
82,82,82,03-23,3.4229548419755136,-0.9471765807211546,0.005309900797067308
83,83,83,03-24,4.541432787869472,0.921544142984508,0.21084682181831424
84,84,84,03-25,4.338776583151581,0.5829519955629744,0.13948311460185334
85,85,85,03-26,4.715357070505671,1.2121318228856346,0.5256593963910311
86,86,86,03-27,3.79685351826469,-0.3224774460509198,0.7452229959253036
87,87,87,03-28,5.011538034763744,1.7069824436851453,0.8407228684707918
88,88,88,03-29,4.211441984066599,0.3702050164844801,0.8714592993009953
89,89,89,03-30,4.8843877300055025,1.4945433782574369,0.6891444754916035
90,90,90,03-31,4.449155901739882,0.7673705805441958,0.5300212403467108
91,91,91,04-01,4.0606360935712935,0.11824288002928335,0.3300138540924177
92,92,92,04-02,3.2254171545604247,-1.2772168569202758,0.10373565058416967
93,93,93,04-03,4.293280305708163,0.5069381261593864,-0.12353186317879908
94,94,94,04-04,3.398841651497021,-0.9874642045650079,-0.012977366206803028
95,95,95,04-05,4.068234629959711,0.1309382956796241,0.025161148981384246
96,96,96,04-06,4.8461743490037685,1.4306975623761722,0.2320425224639153
97,97,97,04-07,4.197597451957283,0.3470739711584069,0.03324622417720117
98,98,98,04-08,3.9683604442274207,-0.035928616025089496,0.050623311322807535
99,99,99,04-09,3.5793717824972817,-0.6858396635608983,0.03583643775675114
100,100,100,04-10,3.461245482598214,-0.8832016816913697,-0.32599707888017604
101,101,101,04-11,4.015132659946041,0.042217054283285635,-0.266659738904151
102,102,102,04-12,3.5467737377413178,-0.7403035374453906,-0.2939929358051592
103,103,103,04-13,4.410687097582627,0.7030980110145565,0.0561651881486858
104,104,104,04-14,3.870202669649105,-0.1999277974311384,0.2287318655262973
105,105,105,04-15,4.8368442370479565,1.4151090801621715,0.20129303250974964
106,106,106,04-16,4.08095934479689,0.1521983825742992,0.4959612067102719
107,107,107,04-17,3.916595529595549,-0.12241594381600013,0.1968357773002064
108,108,108,04-18,4.604973125223578,1.0277055077577428,0.4737058318685548
109,109,109,04-19,3.3364810112249685,-1.0916545654458367,0.21377161726238592
110,110,110,04-20,4.864486232681706,1.461292529978952,0.4507174399566647
111,111,111,04-21,3.9033799176377775,-0.14449620747484154,0.3832787143590957
112,112,112,04-22,4.931868762218197,1.5738733187399718,0.08135371052976896
113,113,113,04-23,3.6744125442305644,-0.5270482974014137,0.3854655253958727
114,114,114,04-24,3.520713330338656,-0.7838445152182176,0.06807728942763802
115,115,115,04-25,4.428593985727729,0.7330163237507853,0.316928927708117
116,116,116,04-26,3.724695558623,-0.4430368858304559,0.2871843390233176
117,117,117,04-27,4.797044976366381,1.3486136222080325,0.6074418427681811
118,118,118,04-28,4.82505130352058,1.3954057866311749,0.9382329757118671
119,119,119,04-29,4.824507206536351,1.3944967250677676,0.8471514642306636
120,120,120,04-30,4.708635898547081,1.2009022824438993,0.9093567372279524
121,121,121,05-01,4.101506067523234,0.1865272548635643,0.8706370152599767
122,122,122,05-02,3.9480843991806633,-0.06980524784672316,0.6246899907944714
123,123,123,05-03,4.6579964137546845,1.116295290400178,0.7359217788197951
124,124,124,05-04,3.9418171661774175,-0.08027636016185632,0.8243468617385515
125,125,125,05-05,5.223957911643227,2.0618874532197102,0.7861309503216943
126,126,126,05-06,5.02618416732965,1.7314527799564383,0.9394197243589114
127,127,127,05-07,3.964266767204784,-0.04276821363757944,0.7941992046704063
128,128,128,05-08,4.498568302758608,0.8499273963765791,0.8308816473572215
129,129,129,05-09,4.136486870346522,0.2449721722691467,0.6552722995267479
130,130,130,05-10,4.073549541035538,0.13981829595903494,0.28769574370642115
131,131,131,05-11,4.59331734513295,1.008231366236869,0.3068528154089295
132,132,132,05-12,3.7061594063345433,-0.4740065549655224,0.28462389743601924
133,133,133,05-13,4.033062800561793,0.07217421657747049,0.3792865593346215
134,134,134,05-14,4.418740790177219,0.7165538885391175,0.5477789818310125
135,135,135,05-15,4.4764352584285465,0.8129481436607605,0.4760614688212938
