,unnamed: 0,unnamed: 0,mth_day,1930s,1930s_norm,1930s_ravg
74,74,74,03-15,2.531774278691089,0.2709550754668151,0.016008583672233085
75,75,75,03-16,2.8452788454263436,1.0097057688356308,-0.1885496681868596
76,76,76,03-17,2.347668767920358,-0.16287616071339692,0.4085328250297459
77,77,77,03-18,1.6077207027458158,-1.9065099198548559,0.20719479100697727
78,78,78,03-19,3.820783497025322,3.3084114791158314,0.08996518895284085
79,79,79,03-20,1.8750713846559641,-1.2765174968081612,-0.07935499224618459
80,80,80,03-21,2.233281031127961,-0.4324225368580037,0.06780777389725558
81,81,81,03-22,2.41415112786628,-0.0062153183585219,0.5219899280655315
82,82,82,03-23,2.722378663858102,0.7201004361472441,-0.0011944120074742026
83,83,83,03-24,2.764171836311037,0.8185830051547992,0.17670930780679106
84,84,84,03-25,2.4886370936753757,0.1693054386777974,-0.05077188643485138
