,unnamed: 0,unnamed: 0,mth_day,blood,blood_norm,blood_ravg
69,69,69,03-10,1.7940370746567755,-1.3795658110092934,-0.7709116454298065
70,70,70,03-11,2.1378723572999383,-0.5461358775944637,-0.8136310818100053
71,71,71,03-12,2.078124089102931,-0.6909610241073133,-0.8921549660851841
72,72,72,03-13,2.1483593594295924,-0.5207162015814307,-0.8473901850413693
73,73,73,03-14,1.8753900589893409,-1.1823725160275405,-0.6005093989053084
74,74,74,03-15,2.04774825465087,-0.7645896799281721,-0.6471966407952635
75,75,75,03-16,2.4051477737826317,0.10171890580707203,-0.8221890601966505
76,76,76,03-17,2.022306162464896,-0.8262593289341941,-0.6941666136403052
77,77,77,03-18,1.6449606119614983,-1.740915540515635,-0.3519047165009021
78,78,78,03-19,2.4652567901422984,0.2474184777566412,-0.2645330494379685
79,79,79,03-20,2.7226002065207497,0.8711988668088779,-0.2406644746183402
80,80,80,03-21,2.2640217094558728,-0.24035967755057025,-0.21951892199548406
81,81,81,03-22,2.4642303037496336,0.2449303547248414,0.04662344085545859
82,82,82,03-23,2.0746483218082905,-0.6993860131970575,0.2379528913191421
83,83,83,03-24,2.3037500138196543,-0.1440613634099783,0.2446591207596633
84,84,84,03-25,2.938859762921997,1.395395180538742,0.3816287666612673
85,85,85,03-26,2.7392003179592996,0.9114362434520052,0.3082913879531371
86,86,86,03-27,2.6030663851311178,0.5814581978590551,0.3081206973215836
87,87,87,03-28,2.28269630316652,-0.19509391752394087,0.136268067682611
88,88,88,03-29,2.0742258066631654,-0.7004101569863784,-0.3479043882863833
89,89,89,03-30,1.8783585433493268,-1.175177141243814,-0.8716048922871135
90,90,90,03-31,1.740374564071294,-1.5096395552752233,-1.0594016045760613
91,91,91,04-01,1.4428702708082446,-2.230766780552375,-0.8842100070081732
92,92,92,04-02,2.13820809487443,-0.5453220758746326,-0.8897302456683094
93,93,93,04-03,2.7163528114202005,0.8560556678833876,-0.7524086881942412
94,94,94,04-04,2.060561410337572,-0.7335315889471951,-0.41871746677966976
95,95,95,04-05,2.2182743152748907,-0.3512477963994053,-0.13083261845060182
96,96,96,04-06,2.5663694857596675,0.4925077732122064,-0.033101250114373065
97,97,97,04-07,2.1554794360802623,-0.5034576905779676,-0.16421839635055438
98,98,98,04-08,2.380125198935999,0.04106613414274005,-0.04547025114574016
99,99,99,04-09,2.3917949867395047,0.06935279046629968,-0.22119988001659088
100,100,100,04-10,2.3545019116288257,-0.021042717718309626,-0.5397418948589109
101,101,101,04-11,1.7832860035590985,-1.4056255696245097,-0.5353737952369695
102,102,102,04-12,1.7778738055653993,-1.4187443158417137,-0.4457884919502538
103,103,103,04-13,2.1662919114275527,-0.4772490928463196,-0.7373172969630656
104,104,104,04-14,2.601878127463919,0.5785779538630342,-0.8890077176574475
105,105,105,04-15,1.6701658367556769,-1.679820039610571,-0.6317113162417863
106,106,106,04-16,1.9790185032515115,-0.9311852418846008,-0.5738444364594016
107,107,107,04-17,2.4201787573963096,0.1381528388694564,-0.5723111774252264
108,108,108,04-18,1.9211132609864283,-1.0715430371474055,-0.7320029288300045
109,109,109,04-19,2.170087229058304,-0.4680495386412676,-0.5873094627930158
110,110,110,04-20,2.2065888083841307,-0.3795725545656345,-0.5197961894784062
111,111,111,04-21,2.028329493687956,-0.8116592433886388,-0.3621618675046212
112,112,112,04-22,2.1461359379506537,-0.5261056019969435,-0.21708808050433925
113,113,113,04-23,2.8103752656597742,1.0839587707121672,0.06290784270370124
114,114,114,04-24,2.280218336703895,-0.2011003151457142,0.14452529962297633
115,115,115,04-25,2.863168724228826,1.2119260006069752,0.23586631045986545
116,116,116,04-26,2.408618710910949,0.11013218695001596,0.5740815428722142
117,117,117,04-27,2.2544283726854917,-0.26361317836730425,0.3107398776829592
118,118,118,04-28,2.9833292666393234,1.5031857924771497,0.27350677154948755
119,119,119,04-29,2.158518506608138,-0.4960912204233631,0.023392167799810758
120,120,120,04-30,2.188054220265473,-0.4244989519465441,-0.33330944427606896
121,121,121,05-01,2.2440532687441133,-0.2887616218910855,-0.12930008520825095
122,122,122,05-02,1.5256655457550532,-2.0300774855052626,-0.3989622617534392
123,123,123,05-03,2.7594182667935034,0.9604429760396039,-0.5676660414224385
124,124,124,05-04,2.3158271745749004,-0.1147872667939802,-0.6511511603795842
125,125,125,05-05,1.740921469786172,-1.5083138984373583,-0.6550042973000617
126,126,126,05-06,1.98140124329225,-0.9254096656894184,-0.27316561228057085
127,127,127,05-07,2.2345154945246044,-0.31188044341395,-0.5717250154497228
128,128,128,05-08,2.47084118865404,0.2609546246116821,-0.39754896860473465
129,129,129,05-09,2.020386086700131,-0.8309134429753074,0.18105068977910801
130,130,130,05-10,2.746969862607969,0.9302690142759484,0.5065248894915025
131,131,131,05-11,3.173144881267299,1.9632840518656969,0.4699378378870247
132,132,132,05-12,2.7870563485220745,1.0274355325849485,0.3833981793333689
133,133,133,05-13,2.1439505743665657,-0.5314027530408167,0.6673162475072708
134,134,134,05-14,2.2566272270552163,-0.25828332671025245,0.5790341462308067
135,135,135,05-15,2.723176173574666,0.8725949660681045,0.2529623161918914
136,136,136,05-16,2.5284427853261167,0.4005764066171644,0.3493753988716435
137,137,137,05-17,2.3660104454975204,0.006853071632205518,0.2836190869452949
138,138,138,05-18,3.0257102643793847,1.6059140286634603,0.8714364344593982
139,139,139,05-19,1.9811821937964296,-0.925940624598908,1.4294620806987008
140,140,140,05-20,3.711667434192583,3.2686207583743667,1.5548834977224402
141,141,141,05-21,4.104472175344191,4.220748843503923,1.5955255653900926
142,142,142,05-22,2.8389018171622005,1.1531049087595988,1.3928352306699037
143,143,143,05-23,2.4666128567868766,0.2507054776381217,1.4108392038434203
144,144,144,05-24,2.5239853869778557,0.3897720203423273,0.9004506580702215
145,145,145,05-25,2.0257479164081813,-0.8179167855578084,0.18328158681419326
146,146,146,05-26,2.448288837927939,0.20628948373517525,-0.11462086699357812
147,147,147,05-27,2.3292441416600584,-0.08226558403224575,-0.3250038414417234
148,148,148,05-28,2.101495801623012,-0.6343098140870295,-0.2739812314431559
149,149,149,05-29,1.9458461798356488,-1.01159236905075,0.1298007332906296
150,150,150,05-30,2.650283035958389,0.6959076803337322,0.2299187005432388
151,151,151,05-31,3.0252403541343136,1.6047750028449046,0.4558654283350724
152,152,152,06-01,2.696113554951816,0.80699728725083,0.5039049097655148
153,153,153,06-02,2.8885361989608205,1.273414782718756,0.8278016562374638
154,154,154,06-03,2.2204092316313795,-0.3460729255043749,0.7003162066373627
155,155,155,06-04,2.7475965723185047,0.9317881097809432,0.4567131281287806
156,156,156,06-05,2.334714848361339,-0.06900501726687365,0.425647810987302
157,157,157,06-06,2.4222430535078243,0.1431565317934119,0.2266606668176718
158,158,158,06-07,2.6192167337207266,0.6206053844019588,0.21674092488523566
159,159,159,06-08,2.395977929466562,0.07949191770097484,0.14738266201815806
160,160,160,06-09,2.1958546256518843,-0.4055913770989917,0.3585963672059413
161,161,161,06-10,2.5759121849903828,0.5156385325784774,0.5192693615866107
162,162,162,06-11,2.857537855620936,1.198277213859826,0.4968959995964908
163,163,163,06-12,2.819961269912489,1.1071944980774289,0.2058748371318536
164,164,164,06-13,2.5638353445832065,0.48636521246123904,0.0965863085675558
165,165,165,06-14,1.6756053608367407,-1.6666350570868484,0.05932138797541379
166,166,166,06-15,1.9253297697380003,-1.0613225484847784,-0.041706974874488933
167,167,167,06-16,2.4836693173604054,0.29204900902562536,-0.13002732671968242
168,168,168,06-17,2.607459611708026,0.5921070367604098,0.03062564340260102
169,169,169,06-18,2.601339509961466,0.5772723870062682,0.3072228357988355
170,170,170,06-19,2.9615039943985337,1.4502830331949397,0.7015447123443761
171,171,171,06-20,2.360273885540624,-0.00705190270944152,0.9113158112004426
172,172,172,06-21,2.901405394851893,1.3046087107884652,0.8242860247840401
173,173,173,06-22,3.0029214020798696,1.5506756021620238,0.5148314688089414
174,174,174,06-23,2.3920324233305945,0.06992831826199583,0.4115123736542053
175,175,175,06-24,1.835338262924764,-1.2794549488443243,0.5502461823578692
176,176,176,06-25,2.7057554387443723,0.8303684622665232,0.6804128527096353
177,177,177,06-26,2.7036854411995725,0.8253509495125416,0.4341278621657106
178,178,178,06-27,3.223610480822873,2.0856087328990616,0.6748501985427456
179,179,179,06-28,2.3932854919262336,0.07296565889847602,1.0618904914534228
180,180,180,06-29,2.9878989449055267,1.5142623365242056,1.08057242561695
181,181,181,06-30,2.793389586773704,1.0427868086197407,1.1187243607692563
182,182,182,07-01,2.7519993365639617,0.9424600672476832,1.1923830130804227
183,183,183,07-02,2.7981239600038705,1.0542625604263796,1.0175684296379397
184,184,184,07-03,3.4059397386604484,2.52756064676606,0.7314282330344705
185,185,185,07-04,1.9605622169523167,-0.975921841756424,0.5230366739847202
186,186,186,07-05,2.279608363321,-0.20257884309660806,0.4543270600946618
187,187,187,07-06,2.2775523143152685,-0.2075625456787612,0.5747247301600633
188,188,188,07-07,2.5819205676237167,0.5302023839073338,0.5677187865916925
189,189,189,07-08,3.096147574876201,1.7766485808187882,1.1374431536486729
190,190,190,07-09,3.3885977367205173,2.4855249853558354,1.1764025447888566
191,191,191,07-10,3.3708163793371813,2.44242436058546,1.3183806721338909
192,192,192,07-11,2.3760455998100056,0.031177503744492137,1.1916985449066544
193,193,193,07-12,2.6289946198115994,0.6443062183914448,0.8586260803562137
194,194,194,07-13,2.268340865662134,-0.2298903794560854,0.4758689879880534
195,195,195,07-14,2.271684278818749,-0.2217862064838566,0.11056226996971316
196,196,196,07-15,2.4411487352272405,0.1889824311468736,0.0745744091135284
197,197,197,07-16,2.4665627622876696,0.2505840524754181,0.1171692379205458
198,198,198,07-17,2.2869638727462136,-0.1847496613926164,0.24063242647696026
199,199,199,07-18,2.7344307536590375,0.8998751912335492,0.3433863280849229
200,200,200,07-19,2.5739526415151,0.5108887518824011,0.17332730350586156
201,201,201,07-20,2.526033795572736,0.3947372031639197,0.2226739330245448
202,202,202,07-21,2.0201970239592097,-0.8313717163274946,0.497014696916844
203,203,203,07-22,2.58871181137587,0.5466638295875175,0.3881644619122035
204,204,204,07-23,2.9660469988366653,1.4612949219611788,0.35207713444626504
205,205,205,07-24,2.4649908176688817,0.2467737812057061,0.2115585879804104
206,206,206,07-25,2.484624702057149,0.2943647870867702,0.3744682568063262
207,207,207,07-26,2.1782044301737957,-0.4483740756312076,0.1658778533957347
208,208,208,07-27,2.4234517412206005,0.14608629662800035,-0.09154701993647713
209,209,209,07-28,2.0723823340833816,-0.7048785908760318,-0.005429980062472588
210,210,210,07-29,2.328836234983485,-0.08325431803209203,-0.4077982087701537
211,211,211,07-30,2.6781586597991653,0.7634760204497334,-0.5924033872067677
212,212,212,07-31,1.4886317234214297,-2.119844585159316,-0.5873024201895801
213,213,213,08-01,1.7212462301359912,-1.5560051462508913,-0.3776724373656888
214,214,214,08-02,2.4360783030882924,0.17669209873112549,-0.5511125515628125
215,215,215,08-03,2.5912851104648817,0.5529013060673156,-0.6061238640747897
216,216,216,08-04,1.899515220973676,-1.123895003214834,-0.13384305873602362
217,217,217,08-05,2.5419876674138053,0.4334081453778701,0.18443006272488585
218,218,218,08-06,2.657681197264379,0.7138402468732802,0.13977748536021786
219,219,219,08-07,2.5090763112576218,0.3536335825145656,0.011359430751155123
220,220,220,08-08,2.325548568481668,-0.0912233654568825,0.2726082658032697
221,221,221,08-09,2.273408420420335,-0.21760702158706088,0.30241377702367794
222,222,222,08-10,2.5461915408818845,0.4435980070978534,-0.0264006089855629
223,223,223,08-11,2.6157660569141887,0.61224121270032,-0.060436003897821326
224,224,224,08-12,1.8437580383920509,-1.259046069182165,-0.015754673269754202
225,225,225,08-13,2.424827576046645,0.14942121304101494,0.20147802657830408
226,226,226,08-14,2.4361494768202503,0.17686461831152028,0.15618832627591847
227,227,227,08-15,2.8111304082464,1.0857891775012891,-0.1699897770855446
228,228,228,08-16,2.4340847186047623,0.17185980528353967,0.017236856319571725
229,229,229,08-17,1.8083685599096453,-1.3448274074684583,0.1261660073244125
230,230,230,08-18,2.307205196941376,-0.13568626875146714,0.06287632340948639
231,231,231,08-19,2.694462854950316,0.8029961190700596,0.07947323497463478
232,232,232,08-20,2.2794868073997585,-0.20287348517803644,-0.03531027179597745
233,233,233,08-21,2.852213193134803,1.1853706468921792,0.16492064681899998
234,234,234,08-22,2.1499579942510585,-0.5168412353401336,0.28390418672617274
235,235,235,08-23,2.304005577988381,-0.14344189577859395,0.08951400170463768
236,236,236,08-24,2.6017283771173685,0.5782149706915696,0.6127295724951922
237,237,237,08-25,2.213283562989356,-0.36334499105915097,0.6255945832195685
238,238,238,08-26,3.5746164862364624,2.936419939565291,0.4592609357221322
239,239,239,08-27,2.884058302756669,1.2625607112384374,0.5548546790865232
240,240,240,08-28,1.7382278098117896,-1.514843120324752,0.3726219547557512
241,241,241,08-29,2.5406313610384847,0.4301205644077521,0.6230426941914459
242,242,242,08-30,2.150642777009093,-0.5151813752930627,0.24593596698775136
243,243,243,08-31,2.8331568044323774,1.1391794455550175,0.07773575093009262
244,244,244,09-01,2.641153986730707,0.6737795763431238,0.3017964001086603
245,245,245,09-02,2.467707750585846,0.253359414892485,0.3892344369383569
246,246,246,09-03,2.292851205618076,-0.17047922525334586,0.4590222775421984
247,247,247,09-04,2.7570691027254366,0.9547487853859316,0.085400950484343
248,248,248,09-05,2.3233905097483807,-0.0964543316700139,-0.014613118225888696
249,249,249,09-06,1.9083218103440875,-1.1025485167921152,0.5004013979868956
250,250,250,09-07,2.3935864525838952,0.07369516408173361,0.5781787146531129
251,251,251,09-08,3.7425371368196734,3.3434465121691908,0.2942230997676482
252,252,252,09-09,2.4853755049283923,0.296184674743958,0.3450585260051772
253,253,253,09-10,2.0541860754584467,-0.7489849039268566,0.5480655266366251
254,254,254,09-11,2.449224817693496,0.2085582257551604,0.4653344711414125
255,255,255,09-12,2.4108305394557785,0.11549348699657185,-0.2851686018082578
256,256,256,09-13,2.188800029329248,-0.4226911688895413,-0.3029387801007851
257,257,257,09-14,1.8847965455627629,-1.1595719255288317,-0.14022559906239251
258,258,258,09-15,2.441388501120196,0.1895636049887945,-0.28449099428212704
259,259,259,09-16,2.45695442117557,0.2272941823034988,-0.05535047130896592
260,260,260,09-17,2.09212077605369,-0.6570341455632468,0.19588738486672694
261,261,261,09-18,2.978028284504352,1.4903366248355387,0.4111937521633544
262,262,262,09-19,2.8106959019784594,1.0847359681646156,0.5855000304813348
263,263,263,09-20,2.4177502302305367,0.13226627825093268,0.6819633331611001
264,264,264,09-21,2.8728535546469685,1.2354012748966774,0.8664701287856528
265,265,265,09-22,2.6957326479596184,0.8060739983820912,0.9621585098315264
266,266,266,09-23,2.5488354464511294,0.4500066281840682,0.9143770522696856
267,267,267,09-24,3.214888326771625,2.0644669111107805,0.8557186941454357
268,268,268,09-25,2.6924211654431653,0.7980472227935715,0.6459307884346347
269,269,269,09-26,2.272551607024884,-0.2196838704945668,0.5077457753694413
270,270,270,09-27,2.3535598674646003,-0.02332615936812827,0.39024972241924827
271,271,271,09-28,2.353679541014124,-0.02303608000906859,0.010519458321563388
272,272,272,09-29,2.257994283043018,-0.2549696895170901,-0.11409506125066875
273,273,273,09-30,2.2749317153077797,-0.2139146734753289,-0.12946272195534733
274,274,274,10-01,2.38395946873158,0.050360105360178785,-0.23933942799238386
275,275,275,10-02,2.234511620097796,-0.31188983472263826,-0.3835722055383041
276,276,276,10-03,2.081579079915853,-0.6825863955903474,-0.2784595395489699
277,277,277,10-04,1.9966562387860816,-0.8884327452845903,-0.20146494639153487
278,278,278,10-05,2.518182513180633,0.3757063064189151,-0.1577668539071849
279,279,279,10-06,2.4655185179090138,0.24805288546928075,-0.0720614291348803
280,280,280,10-07,2.492126541052308,0.3125486602662791,-0.14709859994683824
281,281,281,10-08,2.446660580214183,0.20234271391118927,-0.2716911648746881
282,282,282,10-09,1.8958375378824857,-1.132809420462095,-0.1926172283782269
283,283,283,10-10,1.688248887000594,-1.6359881348516894,-0.4084801496848816
284,284,284,10-11,2.7139163706884997,0.8501499253976823,-0.3839623030437351
285,285,285,10-12,1.9311871800204599,-1.0471246423706475,-0.6135985588325289
286,286,286,10-13,2.5528162311510507,0.4596557401131584,-0.6616933313481566
287,287,287,10-14,1.8782357342952567,-1.175474820821574,-0.4911568222227312
288,288,288,10-15,1.7767872443528538,-1.421378055555862,-0.667412701257824
289,289,289,10-16,2.1103825287036213,-0.6127690800991373,-0.526406075780521
290,290,290,10-17,2.277625417682477,-0.20738534881287515,-0.7895160596973929
291,291,291,10-18,2.2802247006208765,-0.20108488950682896,-0.4500003734304453
292,292,292,10-19,1.9015329590303185,-1.119004163388074,-0.05316618636139155
293,293,293,10-20,2.718648111645846,0.8616192967801124,0.07578145939277565
294,294,294,10-21,2.75908165977633,0.9596270668584602,0.0340027063637766
295,295,295,10-22,2.429570130058849,0.1609167944258659,0.09142172380882692
296,296,296,10-23,2.1742093383198364,-0.4580578669868695,0.34047565022453896
297,297,297,10-24,2.4223555502635294,0.14342921516347307,0.13909521514304035
298,298,298,10-25,2.5180228911713525,0.3753193951061982,0.2253229721956047
299,299,299,10-26,2.220165664311529,-0.3466633137088794,0.5870829640263265
300,300,300,10-27,2.9725235631385707,1.4769936091738465,0.7181367886262899
301,301,301,10-28,3.3250444396780567,2.331476745410197,0.9381662992420678
302,302,302,10-29,2.49861042123871,0.32826508061291104,1.194513212461499
303,303,303,10-30,2.96700055956216,1.463606278858141,1.2273243266270046
304,304,304,10-31,3.1525653511501766,1.9134008744227864,1.1168834150009677
305,305,305,11-01,2.3013839042183384,-0.14979662871584698,0.7944826845115257
306,306,306,11-02,2.6991461822082927,0.8143481394176241,0.7446338707424771
307,307,307,11-03,2.5269971760910623,0.3970723624735459,0.6331928983003261
308,308,308,11-04,2.3752183018689625,0.029172197998619337,0.3695563084030877
309,309,309,11-05,2.691147700997236,0.7949604442052348,0.5873986187146478
310,310,310,11-06,2.4999785569779207,0.3315813350393558,0.5077592607131524
311,311,311,11-07,2.840614877342026,1.1572572331535134,0.4177589809075188
312,312,312,11-08,2.502012721528991,0.3365119914086508,0.5107476012885398
313,313,313,11-09,2.304217044942129,-0.14292931636025538,0.2016178353315318
314,314,314,11-10,2.605395553412857,0.5871039202847457,0.3309587847413469
315,315,315,11-11,1.9259504154924567,-1.059818151536813,0.2226026621977283
316,316,316,11-12,2.8201397135284867,1.1076270314982464,0.380348145213892
317,317,317,11-13,2.572398031314552,0.5071204978918016,0.3691822091792563
318,318,318,11-14,2.8924843897325494,1.282984889505633,0.32062139473190765
319,319,319,11-15,2.2765777009359893,-0.20992493256806954,0.3816550262098044
320,320,320,11-16,2.4851916536622904,0.2957390336006535,0.329662266993448
321,321,321,11-17,2.077028617188119,-0.6936163626694325,0.29263984523852643
322,322,322,11-18,2.691440627903092,0.7956704762001083,0.07645406556570715
323,323,323,11-19,2.480755427626821,0.2849859673622721,0.2971350649601668
324,324,324,11-20,2.3573538717824216,-0.014129788531282763,0.2422206799607557
325,325,325,11-21,2.8228353580604955,1.1141610637986883,0.5781301180043602
326,326,326,11-22,2.3492605885750235,-0.033747276395812896,0.3556882980593266
327,327,327,11-23,2.908514350600633,1.321840265592194,0.2217432217083726
328,328,328,11-24,2.1408243639605424,-0.5389804434700932,0.31877563280432303
329,329,329,11-25,2.1491975509106247,-0.5186844907434519,0.4527763829235234
330,330,330,11-26,2.597540828048973,0.5680646780444198,0.5224915221551893
331,331,331,11-27,3.1545310455637057,1.9181655645138915,0.39132053944167705
332,332,332,11-28,2.5218283616379304,0.3845435589941821,0.6667848394660637
333,333,333,11-29,2.583823263028908,0.5348143693111203,0.8345019490418771
334,334,334,11-30,2.822688609480817,1.1138053566762265,0.5152344120673085
335,335,335,12-01,2.5643522565172283,0.4876181667114293,0.38307656381172417
336,336,336,12-02,1.80724924326282,-1.3475405438029924,0.15780980332266115
337,337,337,12-03,2.8273971429766944,1.1252184749803855,0.1378575159182572
338,338,338,12-04,1.964219445825343,-0.9670570039401959,-0.19010509334688205
339,339,339,12-05,2.534434825412116,0.4151006448846963,-0.2389221709170028
340,340,340,12-06,2.0108738766619463,-0.853970298914609,0.16159315653721856
341,341,341,12-07,2.4435140217154467,0.1947157012907048,-0.16502330780040236
342,342,342,12-08,2.7986556852217293,1.0555514209223356,-0.1255891668053118
343,343,343,12-09,2.018914559170533,-0.8344803110453397,-0.4826190903242421
344,344,344,12-10,2.061831843493488,-0.7304521579696528,-0.4562768163874559
345,345,345,12-11,1.6506689820456808,-1.7270788962288846,-0.6040698943807413
346,346,346,12-12,2.0760796210782093,-0.6959166552938922,-0.631543806956471
347,347,347,12-13,2.0776778113241585,-0.6920427666690077,-0.3203538280948222
348,348,348,12-14,2.7306487650208844,0.8907079454679573,-0.13577971785296514
349,349,349,12-15,2.7892115454993736,1.0326595621245531,0.06514064351246507
350,350,350,12-16,2.518713139587022,0.3769925034814899,-0.03678843766370336
351,351,351,12-17,2.148012596444975,-0.5215567280363035,-0.06338514569926801
352,352,352,12-18,1.8237718046874465,-1.3074911423509028,-0.35801121395523383
353,353,353,12-19,2.011842259289329,-0.8516230148823956,-0.7005347665649596
354,354,354,12-20,2.001352875411327,-0.8770484640678375,-0.5846857640235624
355,355,355,12-21,1.941353715092753,-1.0224817535338018,-0.5235936890865003
356,356,356,12-22,2.8054773144916214,1.0720865187298727,-0.6765171391528387
357,357,357,12-23,2.299235464818627,-0.15500427841393075,-0.9519629341890822
358,358,358,12-24,1.4452362452969554,-2.2250318427489333,-1.0655927215144507
359,359,359,12-25,1.330023819667595,-2.5042977850998565,-1.008331227288237
360,360,360,12-26,1.7200819840603152,-1.5588271880200488,-1.4268741676306602
361,361,361,12-27,2.0830946432437485,-0.6789127881765188,-1.5097986905073693
362,362,362,12-28,1.7694466338946848,-1.4391711233246671,-1.3896220256049132
363,363,363,12-29,2.0939701465125884,-0.652551415674184,
364,364,364,12-30,1.7427128001013403,-1.5039718533341984,
365,365,365,12-31,,,
