,unnamed: 0,unnamed: 0,mth_day,keanu reeves,keanu reeves_norm,keanu reeves_ravg
67,67,67,03-08,0.1924157005305553,-0.13927857363570764,0.3572577633522171
68,68,68,03-09,0.15741960130637586,-0.4901663830136558,0.09830091320660736
69,69,69,03-10,0.1862491717867817,-0.20110717197485828,0.057779285046971565
70,70,70,03-11,0.17083252589025075,-0.35568191677532324,-0.2308650347108037
71,71,71,03-12,0.1892826803389956,-0.17069174870733705,-0.2642934210896797
72,72,72,03-13,0.20348779376531392,-0.028264414157939382,-0.4824809887602153
73,73,73,03-14,0.17241164632257444,-0.33984889190896395,-0.4203451900118336
74,74,74,03-15,0.02685284640171893,-1.7992917890368691,-0.19003824932175192
75,75,75,03-16,0.22343217764088025,0.17170762051543131,-0.28574911544814435
76,76,76,03-17,0.3086516977109376,1.0261597273651673,-0.48753561744588
77,77,77,03-18,0.13200784413885452,-0.7449569454656918,-0.5179224877556746
78,78,78,03-19,0.08273568570208112,-1.2389834261443535,-0.06991673305056856
79,79,79,03-20,0.15422768153293287,-0.5221701137677319,-0.1626085595006266
80,80,80,03-21,0.29494629551511986,0.8887427391937673,-0.5374533249299401
81,81,81,03-22,0.16796398064422766,-0.38444333818491694,-0.4383674090436788
82,82,82,03-23,0.08433889594302976,-1.2229088652107143,-0.2886793980280088
83,83,83,03-24,0.1913023613844952,-0.1504414501481234,-0.26964568221231805
84,84,84,03-25,0.17231126535179128,-0.34085536005033323,-0.4321042923481649
85,85,85,03-26,0.1656177462115254,-0.4079678188735876,-0.4324086969993435
86,86,86,03-27,0.19772859535821585,-0.0860089216213138,-0.3274861524743688
87,87,87,03-28,0.1677818202768584,-0.3862697660919884,-0.4882395817845981
88,88,88,03-29,0.1471261404282494,-0.5933735980608664,-0.5342548158135516
89,89,89,03-30,0.09510506733644283,-1.1149620260094997,-0.4086013673360061
90,90,90,03-31,0.14477505030762794,-0.6169467642240543,-0.5598719278313685
91,91,91,04-01,0.2408106785378347,0.34595287199168506,-0.3743586098920811
92,92,92,04-02,0.10720599405990518,-0.993632284593488,-0.32469484962574185
93,93,93,04-03,0.2787958077992997,0.7268101415437365,-0.26276192490405154
