,unnamed: 0,unnamed: 0,mth_day,social commentary,social commentary_norm,social commentary_ravg
159,159,159,06-08,8.788784194637001,1.0366686344436633,0.40441391989958464
160,160,160,06-09,8.550597820176872,0.7712506155155824,0.6812876163314927
161,161,161,06-10,8.206049462738978,0.3873103390687526,0.8306946233366078
162,162,162,06-11,9.693157151458582,2.0444377778960536,0.775982350282756
163,163,163,06-12,8.476121468870941,0.6882594466654899,0.8481824805585604
164,164,164,06-13,7.614354401987977,-0.27203271189300565,0.824311810083293
165,165,165,06-14,9.177538974784824,1.4698694160984895,1.0248041968390171
166,166,166,06-15,8.42206845025545,0.6280265926639784,0.965448960432911
167,167,167,06-16,9.285581777110078,1.5902646596030967,1.0333365688519514
168,168,168,06-17,9.373564488792562,1.6883063594594183,1.2312291791417995
169,169,169,06-18,8.84165588251936,1.0955850971797318,1.3778184859398088
170,170,170,06-19,8.679888465600191,0.9153229498460864,1.6748275076144716
171,171,171,06-20,9.966835247777556,2.349405256886545,1.6189099870623027
172,172,172,06-21,10.021285466651165,2.410080722711955,1.4908768822007696
173,173,173,06-22,8.984499170671144,1.254759536290085,1.4461593969008424
174,174,174,06-23,8.684182331974366,0.9201077302902196,1.3935696172384888
175,175,175,06-24,8.600878807739447,0.8272801853801676,1.1657501018728975
176,176,176,06-25,8.39672376558424,0.5997842718719646,0.7306005034815373
177,177,177,06-26,8.740162591218454,0.9824881646929976,0.7010012763223599
178,178,178,06-27,7.678263566166617,-0.20081686763620568,0.8486200534420757
179,179,179,06-28,8.825124928507655,1.0771641733350208,0.9709163353612492
180,180,180,06-29,9.479021690652054,1.8058203930085144,0.8302000500685747
181,181,181,06-30,9.259371583427932,1.5610578768952086,0.7256008421300599
182,182,182,07-01,7.639050222015793,-0.2445134398840835,0.7320967690151772
183,183,183,07-02,8.176958038395076,0.3548929170619093,0.7368542050660084
184,184,184,07-03,7.7132402707575,-0.16184130632550264,0.4721013208274754
185,185,185,07-04,8.850740893450423,1.1057087896400088,0.2470803580461145
186,186,186,07-05,8.053484798786569,0.21730308757731512,0.35534926803187544
187,187,187,07-06,8.04776746885703,0.2109321002070432,0.3414513543190853
188,188,188,07-07,8.222013938806539,0.4051000200304822,0.3975106850831767
189,189,189,07-08,8.102126035055331,0.2715054347851685,0.28438769264934033
190,190,190,07-09,8.01508644088459,0.17451467825904526,0.6416498003368412
191,191,191,07-10,8.241640828321902,0.42697083503699096,0.5647144587984222
192,192,192,07-11,9.97712886422874,2.3608757337023194,0.6101226909293828
193,193,193,07-12,7.633516391038837,-0.2506799490234707,0.4735100804053781
194,194,194,07-13,8.466510274637788,0.6775494128162463,0.2219934071647683
195,195,195,07-14,7.366548340571897,-0.5481702283588599,0.15540508110105455
196,196,196,07-15,6.6608186766069855,-1.3345853611846137,-0.3371515278034148
197,197,197,07-16,7.883102277762173,0.027440878654708373,-0.13232026222656307
198,198,198,07-17,7.325004339334567,-0.5944639197244966,-0.2552760651189779
199,199,199,07-18,8.736410988493807,0.9783076444376396,-0.14845674860015712
200,200,200,07-19,7.804466370579092,-0.06018540453824255,0.14899015947016842
201,201,201,07-20,7.9417068582945625,0.09274567075406456,0.0035558811486358227
202,202,202,07-21,8.262393450929526,0.4500960872373397,0.2119098025554441
203,203,203,07-22,7.100025146476276,-0.8451647912744872,-0.0844180377091149
204,204,204,07-23,8.446866344292543,0.6556596087163529,-0.08779904659219245
205,205,205,07-24,7.140861729044152,-0.7996593971497142,-0.39556024808676704
206,206,206,07-25,7.786261647679041,-0.08047145783670782,-0.6476133543317905
207,207,207,07-26,6.284595745502727,-1.753821538213383,-0.4073290733270842
208,208,208,07-27,6.905237313820761,-1.0622225502328009,-0.3761877797921394
209,209,209,07-28,8.393813155973351,0.5965408947537502,-0.05052654998823478
