,unnamed: 0,unnamed: 0,mth_day,bad science,bad science_norm,bad science_ravg
64,64,64,03-05,1.6741150285303912,0.5082375579345249,0.08572442026010968
65,65,65,03-06,1.7554182385145438,0.7504348637796819,0.023698859352675312
66,66,66,03-07,1.2628998550186459,-0.7167473739839849,-0.04016556500028875
67,67,67,03-08,1.5905767435765363,0.2593821000172745,0.2777417263235301
68,68,68,03-09,1.5849444342598606,0.2426037939399213,0.11983025463457693
69,69,69,03-10,1.7124850176435191,0.6225394162537602,-0.28810872525150816
70,70,70,03-11,1.3560592310846102,-0.4392312721991941,-0.17842060667944962
71,71,71,03-12,0.9337720580998764,-1.6971990155368284,-0.4134803323996933
72,72,72,03-13,1.483827072336221,-0.05861866255163385,-0.5690922073611148
73,73,73,03-14,1.1171335686652055,-1.1509762543041882,-0.6031888588712548
74,74,74,03-15,1.2715203463609293,-0.6910674558286071,-0.4784233948534636
75,75,75,03-16,1.6438095910244208,0.4179595071929192,-0.4981716697476004
76,76,76,03-17,1.6073543316079972,0.3093615119075531,-0.2415395847276849
77,77,77,03-18,0.8939962694731621,-1.8156886649016488,-0.11888229580528008
78,78,78,03-19,2.0007199970754743,1.4811738475678589,-0.17854184092566502
79,79,79,03-20,1.3641825095907694,-0.4150325207697591,-0.30909972298997845
80,80,80,03-21,1.1513576754949848,-1.0490247265509165,-0.5337003901519358
81,81,81,03-22,1.3808477501355532,-0.3653877851929615,-0.25444387824146303
82,82,82,03-23,1.1549771639645894,-1.0382424910641908,-0.7546250791828869
83,83,83,03-24,1.4564579553636252,-0.14014959343881184,-0.5702099865674167
84,84,84,03-25,0.9932850778051844,-1.5199133580806852,-0.4546870649377176
85,85,85,03-26,1.7356203077159464,0.6914580349230628,-0.4549302629962492
86,86,86,03-27,1.3840370025205389,-0.3558871967727215,-0.4244052382165108
87,87,87,03-28,1.3803579152197218,-0.36684697354415147,-0.4444482134652388
88,88,88,03-29,1.2164588346407743,-0.8550923423857606,-0.28296132358032394
89,89,89,03-30,1.4160885989911065,-0.26040744493118,-0.4495145941775669
90,90,90,03-31,1.3185422677359824,-0.5509920187711957,-0.5863933099563338
91,91,91,04-01,1.4001587181909414,-0.3078615886603945,-0.8247226678655809
92,92,92,04-02,1.1083441181801057,-1.1771594914453232,-0.8169236818617862
93,93,93,04-03,0.9003292436240443,-1.7968231209996348,-0.8713331840846362
94,94,94,04-04,1.232167083612017,-0.8082984263629921,-1.0719729250979884
95,95,95,04-05,1.306500249056634,-0.5868644582682798,-1.1294080165928089
96,96,96,04-06,0.9144257577396984,-1.7548304648513096,-0.8027489064090477
97,97,97,04-07,1.28447640815118,-0.6524721376293168,-0.6589434948941241
98,98,98,04-08,1.7662812691115766,0.782795169657244,-0.6056922613974649
99,99,99,04-09,1.189973462294178,-0.9339906519100928,-0.432522209639616
100,100,100,04-10,1.3394225182780488,-0.4887910253830369,-0.35669758702258864
101,101,101,04-11,1.6552889615958943,0.4521558522788136,-0.26514813318676583
102,102,102,04-12,1.067147156347062,-1.2998827291491457,-0.27182362693472234
103,103,103,04-13,1.4688698169013266,-0.10317541461437993,-0.1652012653230859
104,104,104,04-14,1.7528358907318933,0.7427422071695052,-0.40261458413500417
105,105,105,04-15,1.4047258161620433,-0.2942564822402745,-0.4496068282731204
106,106,106,04-16,0.8612388775878292,-1.9132709382545467,-0.2773752932015173
107,107,107,04-17,1.5606400071959527,0.1702023874501162,-0.3562865992291769
108,108,108,04-18,1.4140455649719363,-0.2664935187195269,-0.4283812241234186
109,109,109,04-19,1.3099314060457008,-0.5766432507803375,-0.3692095069929602
110,110,110,04-20,1.60762722940386,0.3101744578040551,-0.18128069261310426
111,111,111,04-21,1.5239059332040448,0.060773820542476015,-0.3609023401003286
112,112,112,04-22,1.2397538029528536,-0.7856980519754111,-0.1454094471221803
113,113,113,04-23,1.1988568782121023,-0.9075274974732302,0.16359603522742402
114,114,114,04-24,1.8480784011364164,1.0264638391493628,0.21141732208794567
115,115,115,04-25,1.9323116805922589,1.2773896433172884,0.32284326569955074
