,unnamed: 0,unnamed: 0,mth_day,samuel l. jackson,samuel l. jackson_norm,samuel l. jackson_ravg
90,90,90,03-31,1.2522219111506083,-1.244447272337448,-0.8505602143697027
91,91,91,04-01,0.939773148276917,-2.0366885916111945,-1.0044976191175536
92,92,92,04-02,1.4487426000949644,-0.7461517808081668,-1.1610670847450943
93,93,93,04-03,1.2398129516321714,-1.275911280609663,-1.225488378794836
94,94,94,04-04,1.2351882589996808,-1.2876375955379156,-1.1325153813547824
95,95,95,04-05,1.4424553123542485,-0.7620937518646244,-0.9660706197874452
96,96,96,04-06,1.4722253166086834,-0.6866092876971255,-0.7959495748244835
97,97,97,04-07,1.333633896813953,-1.0380200222071705,-0.6366665986334431
98,98,98,04-08,1.851302593452926,0.27457448896960285,-0.4254694665588485
99,99,99,04-09,1.6167266594656842,-0.32021342346342024,-0.4101446165782467
100,100,100,04-10,1.7349472165330044,-0.02045480309034781,-0.508094524206577
101,101,101,04-11,1.4787187358933291,-0.6701446519810136,-0.33634308696427945
102,102,102,04-12,1.2404449735426133,-1.274308733467107,-0.11023860828504403
103,103,103,04-13,1.740051912001508,-0.007511398753385365,-0.24553239833413865
104,104,104,04-14,2.3863370299927156,1.6312013610450156,-0.4878866416944642
105,105,105,04-15,1.2965789244491568,-1.1319761637579882,-0.3011116926770086
106,106,106,04-16,1.1614607168548048,-1.4745802632523013,-0.178099129653387
107,107,107,04-17,1.9206871134815944,0.4505050421237196,-0.2394379114359509
108,108,108,04-18,1.5315314559029605,-0.5362333553253772,-0.5544248937640861
109,109,109,04-19,1.5949050279557957,-0.3755440894487693,-0.504644994144645
110,110,110,04-20,1.6409785851191536,-0.2587205329237943,-0.24710110351285705
111,111,111,04-21,1.4143738513761872,-0.8332967660413425,-0.4089572498955335
112,112,112,04-22,1.7708907078631981,0.0706830805384269,-0.19429391501586868
113,113,113,04-23,1.5376844742317517,-0.5206318361723387,0.1880864731625848
114,114,114,04-24,2.0394925413887086,0.7517466539526116,0.3336049451122762
115,115,115,04-25,2.499737505083164,1.918738239621951,0.38226000580957264
116,116,116,04-26,1.985321139059393,0.6143902987743542,0.6292162042644046
117,117,117,04-27,1.5295070550042231,-0.5413664018575638,0.7468603170015043
118,118,118,04-28,2.355266883258364,1.5524202712674182,0.708123716159995
119,119,119,04-29,1.816067511746957,0.18523284025025946,0.4473191822262355
120,120,120,04-30,1.947829538843297,0.5193270489035561,0.14278538123000953
121,121,121,05-01,1.882591804673444,0.3539110360193939,0.4528593854619102
122,122,122,05-02,1.2646982147586032,-1.2128125072030018,0.12795656201773145
123,123,123,05-03,2.2632398457429983,1.3190776235338406,-0.17810279706569396
124,124,124,05-04,1.5864444340655113,-0.39699666939765454,-0.4718483857756936
125,125,125,05-05,1.0918346363458562,-1.651123314250293,-0.5779073394798243
126,126,126,05-06,1.2527349239132448,-1.2431464833564416,-0.4003510651916101
127,127,127,05-07,1.6316229036301733,-0.2824426862053909,-0.7517263347375387
128,128,128,05-08,1.68485230335881,-0.14747486147371613,-0.6627585392919739
129,129,129,05-09,1.4317752482538568,-0.7891739937417316,-0.07532326407282948
130,130,130,05-10,1.79697026966355,0.13681010327573392,0.2276535403532595
131,131,131,05-11,2.481891583985324,1.8734883370645736,0.3829127107110099
132,132,132,05-12,1.9696735037575963,0.5747143432000924,0.2890338763920016
133,133,133,05-13,1.9990150190594325,0.6491123359411115,0.5195791820936775
134,134,134,05-14,1.4627054024381092,-0.7107478673877662,0.6071096525324119
135,135,135,05-15,1.977318080724595,0.5940978404683238,0.26032153647466444
136,136,136,05-16,2.0040949414295137,0.6619929259081402,0.5672767371591244
137,137,137,05-17,1.6612816369489602,-0.20724035928191095,0.4998727060979814
138,138,138,05-18,2.6960262226444978,2.4164455473068527,1.0440459400903264
139,139,139,05-19,1.839515844209071,0.2446881495742529,1.7634002782125449
140,140,140,05-20,2.750390729725116,2.5542915365663044,1.7644362625008958
141,141,141,05-21,3.679537095659217,4.9102238692016345,1.9177598919176562
142,142,142,05-22,2.0065464066690337,0.668208831638246,1.5365468017292052
143,143,143,05-23,2.024093652670281,0.7127014172186503,1.4856598483967576
144,144,144,05-24,1.7939559403484897,0.12916700617614787,1.1690620491683708
145,145,145,05-25,1.7191012793915503,-0.060633570420431215,0.3762828407711402
146,146,146,05-26,2.0012205845365965,0.6547047411959833,0.16949454416829887
147,147,147,05-27,1.8035717032752123,0.15354861881825094,0.09336036658436604
148,148,148,05-28,1.5172201429779786,-0.5725209479788022,0.16786345278419115
149,149,149,05-29,1.843936200491601,0.2558963517150535,0.4533365886001028
150,150,150,05-30,1.970253716395416,0.5761855233750985,0.7571730078813701
151,151,151,05-31,2.3946206643268475,1.6522052444750388,0.8726529295019786
152,152,152,06-01,2.720193283971892,2.477723256883587,0.9459988667749504
153,153,153,06-02,2.0768335827251727,0.8464281485419017,0.9880289979091088
154,154,154,06-03,1.6907797400746774,-0.13244532434097134,1.008333526771528
155,155,155,06-04,1.9433927334201684,0.5080771385200045,0.8902354698764786
156,156,156,06-05,2.0183006291437566,0.6980126965496142,0.5495352632262894
157,157,157,06-06,2.115163451907244,0.943616903104742,0.5356171997371154
158,158,158,06-07,1.9139892487449928,0.43352201698245146,0.4440484403974483
159,159,159,06-08,2.0438990592687865,0.7629197676068573,0.21865472187501814
160,160,160,06-09,1.4740992044031582,-0.6818578803789737,0.2411398538915049
161,161,161,06-10,1.4100401793545014,-0.8442851726145764,0.3692122142623207
162,162,162,06-11,2.07150753600928,0.832923488648535,0.5722126525579688
163,163,163,06-12,2.4182230090092998,1.7120510653296366,0.2683283814525139
164,164,164,06-13,2.394352246219828,1.6515246467563405,0.3780413405180776
165,165,165,06-14,1.3248131273405248,-1.0603858590258726,0.5940974993336182
166,166,166,06-15,1.7337146334191942,-0.023580125985591043,0.6393999164308841
167,167,167,06-16,1.9212971251172488,0.4520517802786675,0.5017344742145263
168,168,168,06-17,2.1787073285437395,1.10473799123213,0.30812287503959473
169,169,169,06-18,2.0924631977155035,0.8860584120314904,0.7414544890234516
170,170,170,06-19,1.9362062002979152,0.4898550517067502,0.8340974785150679
171,171,171,06-20,2.3502122582071103,1.539603824877268,1.0961345360728991
172,172,172,06-21,1.9529371360938423,0.5322778109641072,0.9466237379144378
173,173,173,06-22,2.5413593647595363,2.024274125625653,0.6629767299772994
174,174,174,06-23,1.8249176729093213,0.2076732022813637,0.6200700200884719
175,175,175,06-24,1.4212650067095631,-0.8158236355913391,0.5339823891473757
176,176,176,06-25,1.8346754058473,0.2324147923737856,0.8226315399894214
177,177,177,06-26,2.1465017992959545,1.0230780392306915,0.4828914287328942
178,178,178,06-27,2.6359719732655376,2.2641727160163807,0.7124596477780307
179,179,179,06-28,1.7374272177365908,-0.014166541913509632,1.098980866890422
180,180,180,06-29,2.368148410494607,1.5850825165521831,1.0701862124644144
181,181,181,06-30,2.3358959945010613,1.5033036790830083,1.091835802207173
182,182,182,07-01,1.7665381809848368,0.05964686581773945,0.7815690474118342
183,183,183,07-02,2.197731549882926,1.152975577687243,0.6989693623432296
184,184,184,07-03,1.901783073962685,0.4025721872443483,0.4606293986522356
185,185,185,07-04,1.5419703377260865,-0.5097646523251375,0.3875015925506125
186,186,186,07-05,1.8041609613152736,0.15504273440621866,0.3666173330293876
187,187,187,07-06,2.1628525644835643,1.0645368424732695,0.3307396183255337
188,188,188,07-07,1.7171194428388268,-0.06565869130960937,0.6132640377888419
189,189,189,07-08,2.112833572704225,0.9377092894641198,1.1707822115389803
190,190,190,07-09,2.570324866939403,2.0977187040241967,1.0882049662521591
191,191,191,07-10,2.8612339971437795,2.8353443901756936,0.8892695583557253
192,192,192,07-11,1.608757180898695,-0.3404207373147089,1.0652039708254604
193,193,193,07-12,1.6921087097248106,-0.12907560490533385,0.7964954467639077
194,194,194,07-13,2.1334356953675666,0.9899477835088006,0.3484947031921782
195,195,195,07-14,1.4769845412983982,-0.6745418549051958,-0.035460095868290235
196,196,196,07-15,1.510213953584374,-0.5902857574061798,0.04591990235496909
197,197,197,07-16,1.9526759678112464,0.5316155958128829,0.25496649485761064
198,198,198,07-17,1.8013278975396532,0.14785925202484695,0.023479891921110885
199,199,199,07-18,2.1867788130485333,1.1252039501105155,0.1495344238921912
200,200,200,07-19,1.5856654570595257,-0.3989718341101981,0.26311330872336985
201,201,201,07-20,1.7752692806383608,0.08178533692128624,0.356672485883768
202,202,202,07-21,1.7789773810204006,0.09118755158089203,0.6223609596812373
203,203,203,07-22,2.1740664591785324,1.0929706587752717,0.5057117146881397
204,204,204,07-23,2.430030538476771,1.7419900948096627,0.5284380717771144
205,205,205,07-24,1.910749946074102,0.4253084801519303,0.4413922688772722
206,206,206,07-25,1.6394431784506691,-0.26261369157634945,0.4911667899751925
207,207,207,07-26,1.5692914849762898,-0.4404894804777668,0.1049210507697106
208,208,208,07-27,1.8967595806708728,0.3898346781684137,-0.2518700000528922
209,209,209,07-28,1.260087343643755,-1.22450377645762,-0.3095940568037944
210,210,210,07-29,1.5857504961069522,-0.39875621012595386,-0.5246523727921586
211,211,211,07-30,1.7741566403646467,0.07896413964651687,-0.7535714789885373
212,212,212,07-31,1.1305474432128626,-1.5529635875065346,-0.8035349781358797
213,213,213,08-01,1.027596752910729,-1.8140041176560389,-0.6562246452522155
214,214,214,08-02,1.7785301994131115,0.09005368328435892,-0.6388017466698859
215,215,215,08-03,1.6086700051252778,-0.3406417791556345,-0.5647339029940907
216,216,216,08-04,1.6269785636814609,-0.2942188186319756,-0.22010755693820852
217,217,217,08-05,1.9494244954654565,0.5233712017012883,0.12024652820190727
218,218,218,08-06,1.94604196130402,0.5147944888287581,0.007405526110196253
219,219,219,08-07,1.8329817555903816,0.2281203931846563,-0.057323387332573375
220,220,220,08-08,1.5115128350274485,-0.5869923292659073,-0.0391775387612022
221,221,221,08-09,1.4555010014240453,-0.7290152598122523,-0.01737712714377664
222,222,222,08-10,1.6699173587138816,-0.18534372720374845,-0.2999878390030644
223,223,223,08-11,2.001011138128169,0.6541736714058416,-0.3676136406853275
224,224,224,08-12,1.2772959733297928,-1.1808697823269685,-0.15828072482443098
225,225,225,08-13,1.672957801575958,-0.1776344169089226,-0.07655934340966901
226,226,226,08-14,2.0068604696302814,0.6690051658994717,0.1250069913107113
227,227,227,08-15,1.6488795382575832,-0.2386869713236805,-0.08169803174424158
228,228,228,08-16,2.1468868152787124,1.0240542811185334,0.031034721402672605
229,229,229,08-17,1.5118819258888745,-0.5860564669238757,0.06731348068540402
230,230,230,08-18,1.5440571866054749,-0.5044732634454832,-0.02498121249551701
231,231,231,08-19,1.7588047765876096,0.0400381387874659,0.10551606765125683
232,232,232,08-20,1.7884621457663774,0.11523700681394555,-0.2063863178964965
233,233,233,08-21,1.9576772195824,0.5442967095569626,0.05190036519769037
234,234,234,08-22,1.408827498268448,-0.8473600321679866,0.2417246402566072
235,235,235,08-23,2.12306959789902,0.9636636316412456,0.25874337720041274
236,236,236,08-24,1.9932412303758056,0.6344723869080178,0.5138164403730139
237,237,237,08-25,1.7990764703839348,0.14215056045029933,0.4663489921313424
238,238,238,08-26,2.392045380509104,1.6456753858495523,0.4981775322494205
239,239,239,08-27,1.8453542812119763,0.2594920201069333,0.510213755901372
240,240,240,08-28,1.4841438525814417,-0.6563887914595177,0.5603204976610051
241,241,241,08-29,2.1515510953788843,1.0358809735529544,0.8475409521704537
242,242,242,08-30,2.1118095687864864,0.9351128374658164,0.7066198483618358
243,243,243,08-31,2.478730561885475,1.865473287506992,0.6884987776980219
244,244,244,09-01,2.0585816481087726,0.8001487629978457,0.6564531003098361
245,245,245,09-02,1.802474118515749,0.15076559612405027,0.5820421719341816
246,246,246,09-03,1.408313683072736,-0.8486628557886331,0.40768248728904405
247,247,247,09-04,1.9754713937806203,0.5894154032990286,0.1882351775471576
248,248,248,09-05,1.6992196184489217,-0.1110452704050098,0.07532067310613699
249,249,249,09-06,1.9594490845623749,0.5487894290556733,0.590096255145384
250,250,250,09-07,1.7913903540058524,0.12266173635172185,0.6688587225392061
251,251,251,09-08,3.0205953388014417,3.239419088359533,0.42472145206492334
252,252,252,09-09,1.5946904970513749,-0.3760880514257016,0.4439848616377001
253,253,253,09-10,1.3977656901626148,-0.8754082195466673,0.3618051667404565
254,254,254,09-11,1.7448029149267743,0.0045351870316507215,0.11570276167316534
255,255,255,09-12,1.7649860336259295,0.05571125967221198,-0.3888031188673768
256,256,256,09-13,1.209034522774998,-1.3539526940520248,-0.5409787462230026
257,257,257,09-14,1.8267754679931567,0.2123838051162796,-0.3681363416378786
258,258,258,09-15,1.2345950159140375,-1.289141815559456,-0.5970642452896409
259,259,259,09-16,1.8067652778203929,0.1616462079640762,-0.2846758819161012
260,260,260,09-17,1.2030873653099132,-1.369032234878923,0.09956755033463237
261,261,261,09-18,2.504195327291717,1.9300414399134496,0.4143780178859971
262,262,262,09-19,2.118275549176949,0.9515078994523768,0.5003214015352491
263,263,263,09-20,2.571716223289397,2.101246610424468,0.6741019842923888
264,264,264,09-21,1.4379641402839003,-0.7734815136639446,0.8245004518836998
265,265,265,09-22,2.217984890630129,1.2043297045069143,0.8858693431112438
266,266,266,09-23,1.558977526505357,-0.4666414293310567,0.9388047210442192
267,267,267,09-24,2.6494134597710013,2.2982547872787134,0.5784523943032759
268,268,268,09-25,2.243537332007752,1.269120167050229,0.6680761394241236
269,269,269,09-26,1.7190090800259463,-0.060867350021190425,0.4028029444574965
270,270,270,09-27,1.6500421594873396,-0.2357390429388584,0.2831588867040396
271,271,271,09-28,1.5902649302509746,-0.3873094652928479,-0.020576525613596647
272,272,272,09-29,1.2758619889477472,-1.1845057758517978,-0.16748052739489153
273,273,273,09-30,1.9306797746364777,0.4758423133728957,0.012268897172454338
274,274,274,10-01,1.8959161779394158,0.3876961563624597,-0.04245190241941662
275,275,275,10-02,2.1443528531945293,1.0176291973828848,-0.18195167195696585
276,276,276,10-03,1.5205555064689438,-0.5640638404900842,0.10876869573653546
277,277,277,10-04,1.2601645225636169,-1.2243080825181432,0.2198055553875274
278,278,278,10-05,1.9637979777797,0.5598164303092096,0.3677726571803645
279,279,279,10-06,2.1934279695662937,1.1420634712788476,-0.026633140140847573
280,280,280,10-07,2.2460529615918428,1.2754987671194822,-0.13191556325870432
281,281,281,10-08,1.2110644691234331,-1.3488055865443875,-0.2718959141454575
282,282,282,10-09,1.271424121458571,-1.1957583791972246,-0.2682571314853036
283,283,283,10-10,0.9289269079846272,-2.064190187838662,-0.5761115615042551
284,284,284,10-11,1.9724084840449387,0.5816491262701332,-0.5582256308610799
285,285,285,10-12,1.4649473907488408,-0.7050631088348615,-0.5218143494579218
286,286,286,10-13,2.2883767089123768,1.3828143509785338,-0.5601068294669022
287,287,287,10-14,1.2972250332264892,-1.1303378981254395,-0.33638967687020244
288,288,288,10-15,1.1808120487345228,-1.4255132592511062,-0.4391701132024526
289,289,289,10-16,1.4583121788251459,-0.7218872722584633,-0.3902495427680714
290,290,290,10-17,1.7291975880840824,-0.03503349172336779,-0.8820271851720608
291,291,291,10-18,1.580708874070436,-0.4115396862285743,-0.5576492366380393
292,292,292,10-19,1.1246758598913422,-1.5678515034454032,-0.3926141124839422
293,293,293,10-20,2.064805463006678,0.8159297930786896,-0.5272502218605681
294,294,294,10-21,1.5713371510096006,-0.4353025143265236,-0.5172378394985426
295,295,295,10-22,1.139720723498755,-1.5297039285182188,-0.5274585126006888
296,296,296,10-23,1.7528900394091493,0.025040802448785492,-0.2680000735371265
297,297,297,10-24,1.5565235412269325,-0.4728637248414513,-0.3682110255406088
298,298,298,10-25,1.7386362757166436,-0.011100869064029724,-0.07302632043478756
299,299,299,10-26,1.827674776549281,0.21466408105779608,0.3796808571114829
300,300,300,10-27,2.2698371687625043,1.3358057163084034,0.3115205215957465
301,301,301,10-28,2.210968542519649,1.1865391367594038,0.4555483800585893
302,302,302,10-29,1.5916012099262054,-0.3839212106456325,0.6231724002039501
303,303,303,10-30,1.8973388340014783,0.3913034259356056,0.4896891713607357
304,304,304,10-31,2.135287521604785,0.9946432518081362,0.2980498437898709
305,305,305,11-01,1.5118113998093674,-0.5862352920014912,0.0842157662923277
306,306,306,11-02,1.8163581388703016,0.18596975088321474,0.09499803357890046
307,307,307,11-03,1.7049697412786966,-0.0964653282258552,0.14242816159582605
308,308,308,11-04,1.6171154515546382,-0.319227606926196,0.01279182961939801
309,309,309,11-05,2.009573460961464,0.6758841940371589,0.14649450885313453
310,310,310,11-06,1.8285271149146944,0.21682525994956794,0.2036867663901114
311,311,311,11-07,1.8281940653167004,0.21598078340092794,0.15920825344959316
312,312,312,11-08,1.9516930400826995,0.5291232961050759,0.2418939211393901
313,313,313,11-09,1.5997195655711272,-0.3633364058689647,0.060816376092106425
314,314,314,11-10,1.8127757935379016,0.17688639921258573,0.1101208941767029
315,315,315,11-11,1.5810869362791058,-0.4105810762465429,0.05822321519832323
316,316,316,11-12,1.9451971393492016,0.5126523684571468,0.12615203477603598
317,317,317,11-13,1.7053878051660019,-0.09540529046935008,0.30103825709372445
318,318,318,11-14,2.112434029911276,0.9366962135713526,0.25978260284962057
319,319,319,11-15,2.0135554699410743,0.685980928037166,0.2268211409557178
320,320,320,11-16,1.7151519169499077,-0.07064752625203753,0.15600885542536574
321,321,321,11-17,1.5030897320886007,-0.6083498476099596,0.28240893329886096
322,322,322,11-18,1.7776329605671652,0.08777865527503484,0.21824567035191453
323,323,323,11-19,2.0044902149841306,0.6629951767716211,0.3545699432765494
324,324,324,11-20,1.9606035335057816,0.551716635889674,0.3290294199458855
325,325,325,11-21,2.3361416521210505,1.5039265655849752,0.7041963530176135
326,326,326,11-22,1.6547149915560542,-0.22389066623602066,0.6177125734136318
327,327,327,11-23,2.3908529016503848,1.6426517508204086,0.40838675987610057
328,328,328,11-24,1.5729850891028785,-0.43112402234885583,0.4905798996899444
329,329,329,11-25,1.5091593867161484,-0.5929597044535662,0.36122334115959737
330,330,330,11-26,2.155098399351067,1.0448754747727371,0.5541230809920364
331,331,331,11-27,2.03004327755415,0.7277872144028934,0.3589034745539877
332,332,332,11-28,2.1111765539841816,0.9335077727586136,0.4677126502662663
333,333,333,11-29,1.928901803900224,0.4713341121921161,0.5835030015818515
334,334,334,11-30,1.8304618819450376,0.2217310319248156,0.3194501542978593
335,335,335,12-01,1.7831558406332189,0.10178240343994527,0.41169030041294
336,336,336,12-02,1.5302661660906989,-0.5394416089312161,0.1958526524391432
337,337,337,12-03,2.248312525873831,1.2812280910933778,0.18856818519912466
338,338,338,12-04,1.600436673720416,-0.3615181150841672,0.06346721061910626
339,339,339,12-05,1.911664459253084,0.4276273087520049,0.09534178517915197
340,340,340,12-06,1.5344335598349124,-0.5288748155552948,0.2221062921106037
341,341,341,12-07,1.8585811269402333,0.2930298508002195,-0.09302702122755092
342,342,342,12-08,1.8302309298826256,0.2211454326574944,0.12549606944779187
343,343,343,12-09,1.5026078157252445,-0.6095717889355501,-0.07037375861841726
344,344,344,12-10,2.1175311575332776,0.9496204289678896,-0.014531562523800369
345,345,345,12-11,1.4481747322617806,-0.7475916596452499,-0.2039623380681959
346,346,346,12-12,1.6665737903033842,-0.19382163898759355,-0.20975045927853195
347,347,347,12-13,1.410328227003321,-0.8435548024661537,0.027435914489326068
348,348,348,12-14,1.8165344114037083,0.18641670539547808,-0.2546987564371831
349,349,349,12-15,2.0638655076785004,0.8135464536715981,-0.27451021593100106
350,350,350,12-16,1.449911632394846,-0.7431875965911653,-0.451556423854214
351,351,351,12-17,1.401294576993635,-0.8664604166081574,-0.4755664120726515
352,352,352,12-18,1.2476266794321922,-1.256098886526871,-0.6625276893793738
353,353,353,12-19,1.3535130299191316,-0.9876147317767784,-0.8184389439951619
354,354,354,12-20,1.3741251223755562,-0.9353509584448558,-0.4803546022430138
355,355,355,12-21,1.6949303554389412,-0.12192107402313092,-0.309945582900287
356,356,356,12-22,2.2499257070780034,1.2853184539217235,-0.3006936225588432
357,357,357,12-23,1.8045360084677964,0.15599369944820365,-0.4633905211249876
358,358,358,12-24,1.2695197326662035,-1.200587124478208,-0.4359947171064194
359,359,359,12-25,0.9685209061027776,-1.9637961231736447,-0.5910130744964058
360,360,360,12-26,1.4389522264305068,-0.7709761343334465,-1.0924955861186356
361,361,361,12-27,1.3281080793656808,-1.0520312183630496,-1.326991393834864
362,362,362,12-28,1.0632600797199605,-1.7235766158116552,-1.300998249389132
363,363,363,12-29,1.2496450435241766,-1.250981146849166,
364,364,364,12-30,1.3310277022281385,-1.0446282578038166,
365,365,365,12-31,,,
