,unnamed: 0,unnamed: 0,mth_day,oscar (best cinematography),oscar (best cinematography)_norm,oscar (best cinematography)_ravg
60,60,60,03-01,0.39763794324288415,-0.8925145127452636,-0.4277191505892964
61,61,61,03-02,0.41350628260921596,-0.7958320029194194,-0.395854191166319
62,62,62,03-03,0.30730864197234803,-1.4428722632342532,-0.2843523839833901
63,63,63,03-04,0.6798011877206053,0.8266477780859022,0.042653839675973935
64,64,64,03-05,0.7880560768616085,1.4862224280506873,0.12129951136373328
65,65,65,03-06,0.7204432751060669,1.0742716108181891,0.08110315416188346
66,66,66,03-07,0.4750858421616738,-0.42064048261870746,0.1660490540981519
67,67,67,03-08,0.3739221155131269,-1.0370101461305183,-0.10972880309813887
68,68,68,03-09,0.3909608167283772,-0.9331968636166426,-0.4292146952034647
69,69,69,03-10,0.4082234244461513,-0.8280193650918426,-0.6454908671101808
70,70,70,03-11,0.4734359515991553,-0.4306929245812679,-0.7141096196145126
71,71,71,03-12,0.5074609870676883,-0.2233854206221072,-0.7636550492700233
72,72,72,03-13,0.4075121525505255,-0.8323529976446974,-0.6201512308661781
73,73,73,03-14,0.32513126224045746,-1.3342827240635826,-0.5363719068738253
74,74,74,03-15,0.5322790734574525,-0.07217395319357155,-0.5069443359961765
75,75,75,03-16,0.4907267901978633,-0.3253434211377258,-0.7851116872183268
76,76,76,03-17,0.502415340875735,-0.2541274993153751,-0.7982486404089753
77,77,77,03-18,0.2335301217367529,-1.8923895279550087,-0.6075921450717616
78,78,78,03-19,0.3945752750215289,-0.9111747167885887,-0.5121575814527525
79,79,79,03-20,0.512884061119349,-0.1903437520403005,-0.2005903069898102
80,80,80,03-21,0.6262601696564721,0.5004334285204837,-0.2018063174875437
81,81,81,03-22,0.7975488982829856,1.5440602256399276,0.29176478071156225
82,82,82,03-23,0.5012178502053449,-0.2614235623017763,0.3639440472252224
83,83,83,03-24,0.7195841371989921,1.0690370612396267,0.4727518866616531
84,84,84,03-25,0.4656552520503525,-0.4780991177066276,0.2917134245798809
85,85,85,03-26,0.620034758282969,0.4625032845782837,0.2412938498195193
86,86,86,03-27,0.44797892148570334,-0.5857973439701497,0.4097811891849535
87,87,87,03-28,0.7478972131263998,1.2415427770777585,0.009931571935050973
88,88,88,03-29,0.6671391291293437,0.7495004738908285,-0.3293155346702769
89,89,89,03-30,0.3258242254973661,-1.3300606422597885,-0.5137307198309341
90,90,90,03-31,0.13157487538099466,-2.5135817573385952,-0.6760502787378359
91,91,91,04-01,0.4384282144909927,-0.6439878263856595,-0.5492664746501509
92,92,92,04-02,0.28813148778744324,-1.55971469741156,-0.6783713319936919
93,93,93,04-03,0.8727501011849671,2.0022456016038683,-0.7029815234563088
94,94,94,04-04,0.540000537432077,-0.025128670170417738,-0.1292393002045699
95,95,95,04-05,0.30158884699699456,-1.4777217910354892,0.11409298839891985
96,96,96,04-06,0.6965790104878774,0.9288715821718392,0.3938387892131583
97,97,97,04-07,0.6780545548478011,0.8160059052352788,0.0042182968484908824
98,98,98,04-08,0.563616762939453,0.11876010747387092,-0.22444893336753688
99,99,99,04-09,0.4890635249020362,-0.33547735258413675,-0.08200542281626362
100,100,100,04-10,0.3148159067746861,-1.397132051466584,-0.17589233133714388
101,101,101,04-11,0.4418629443511609,-0.6230607277278498,-0.3408501141476427
102,102,102,04-12,0.6041219986157985,0.3655501310465574,-0.5234536999798048
103,103,103,04-13,0.5156090773687955,-0.1737407916277143,-0.35161054488629834
104,104,104,04-14,0.3837942278368763,-0.9768614075191018,-0.07211013604776118
105,105,105,04-15,0.6582895105151669,0.6955815779769019,-0.15807271977110576
106,106,106,04-16,0.5900595272682544,0.2798704015646389,-0.1499889656729524
107,107,107,04-17,0.3572095698916508,-1.1388362300679171,-0.2299564236088263
108,108,108,04-18,0.6120826372223803,0.4140526556354777,-0.14142036267794322
109,109,109,04-19,0.4368595229928224,-0.6535455392429579,-0.4758697558388946
110,110,110,04-20,0.4709818854725866,-0.4456450419338032,-0.6721851310877175
111,111,111,04-21,0.3289337781638922,-1.3111147809888064,-0.5085161557460527
112,112,112,04-22,0.39673403316046457,-0.8980218499282983,-0.8725133578417918
113,113,113,04-23,0.5183858684262851,-0.15682237801792792,-0.8482569539881314
114,114,114,04-24,0.25362910876175737,-1.7699305569389572,-0.512319318510534
115,115,115,04-25,0.4607465020658744,-0.5080071161209959,-0.3250674147281976
116,116,116,04-26,0.8018031942253687,1.5699807709317812,-0.13953050664678238
117,117,117,04-27,0.5133338373821861,-0.18760335829478814,-0.3106072456857852
118,118,118,04-28,0.5794452160446807,0.21519959856019333,0.10784906404549292
119,119,119,04-29,0.34991462635904946,-1.1832828122519448,0.13962481685939865
120,120,120,04-30,0.665712333210102,0.7408073014487114,-0.0245282247092156
121,121,121,05-01,0.4920383104920316,-0.3173525992375616,-0.20062504696160252
122,122,122,05-02,0.6401502017874308,0.5850625215200957,-0.34672463406346976
123,123,123,05-03,0.3399189679171491,-1.24418429180911,-0.3360053234420728
124,124,124,05-04,0.4355707241480919,-0.6613979240510098,-0.5139523813650321
125,125,125,05-05,0.3604706819901984,-1.118966948523563,-0.3507011676397031
126,126,126,05-06,0.4904754071446799,-0.3268750460890437,-0.4499211118325848
127,127,127,05-07,0.6528032099154396,0.6621546831144121,-0.32013339624780396
128,128,128,05-08,0.5424413763216516,-0.010257143637194316,-0.353629587327464
129,129,129,05-09,0.4677300179316817,-0.4654579983004251,0.15169098875534925
130,130,130,05-10,0.4025846797132303,-0.8623750705289698,0.34602278382979224
131,131,131,05-11,0.8580952309091127,1.9129565079733164,0.2896681019754397
132,132,132,05-12,0.681847530983695,0.8391157243576145,0.7046818995997174
133,133,133,05-13,0.5973068092847136,0.32402659198829714,0.9063205139525756
134,134,134,05-14,0.9511345180868932,2.479825642108472,1.0559482874026955
135,135,135,05-15,0.6662976782668347,0.7443736878167231,0.5649668323106235
136,136,136,05-16,0.5499336237163635,0.03539157017175012,0.7247136903861916
137,137,137,05-17,0.3745914183160865,-1.032932222579116,0.6438928630047515
138,138,138,05-18,0.8391614460577582,1.7975968728110232,0.33888167641389505
139,139,139,05-19,0.5177168822710321,-0.16089837230034382,0.3594961627072126
140,140,140,05-20,0.650768648723158,0.6497585225633334,0.31740272859719226
141,141,141,05-21,0.6865982061464398,0.8680606055766281,0.5764787497299815
142,142,142,05-22,0.5084812721738565,-0.2171690344883717,0.20669744038194168
143,143,143,05-23,0.6297217143180907,0.5215239042176198,0.1282573355663705
144,144,144,05-24,0.4750119022386531,-0.42109098327721606,0.3822136840077111
145,145,145,05-25,0.4404714194430866,-0.6315390011937706,0.11044102032758113
146,146,146,05-26,0.9008572445960203,2.1734966132113764,0.0043416564281071705
147,147,147,05-27,0.4189646373321889,-0.7625753765041514,-0.2452142613121911
148,148,148,05-28,0.4039978004926898,-0.8537652178852154,-0.10435466491310942
149,149,149,05-29,0.3839665306320619,-0.9758116022241698,0.2860281551687776
150,150,150,05-30,0.6137262084368357,0.4240665951172741,-0.07418673134987923
151,151,151,05-31,0.8249087131999635,1.7107579192975515,-0.1845028738207628
152,152,152,06-01,0.5461284270852363,0.012207294099435427,-0.05862118350973782
153,153,153,06-02,0.3103286085737804,-1.4244722313294529,0.4451008199949864
154,154,154,06-03,0.5279623139581149,-0.0984750760190657,0.35553315282673553
155,155,155,06-04,0.8800168532167703,2.0465204188041755,0.09181720840899764
156,156,156,06-05,0.5255226559161168,-0.11333940789223165,0.3780199275140333
157,157,157,06-06,0.5652091598968031,0.12846225279112464,0.6001793074597725
158,158,158,06-07,0.827972281729045,1.7294236087296493,0.5422364778783392
159,159,159,06-08,0.5291045034534037,-0.09151595165501701,-0.09953774373480047
160,160,160,06-09,0.4709019530738176,-0.44613205350766616,-0.22216663770843625
161,161,161,06-10,0.24801684638212285,-1.8041249108746624,-0.5693520907782358
162,162,162,06-11,0.4047613987333987,-0.8491127717340462,-0.8663541878388441
163,163,163,06-12,0.2233113376977834,-1.9546504656276718,-0.9833835807851544
164,164,164,06-13,0.5354935235445858,-0.05258897363400024,-1.0673911581443605
165,165,165,06-14,0.4138574669550953,-0.7936923093328806,-0.8178845049128158
166,166,166,06-15,0.3881738102516764,-0.950177517662902,-0.8164517075647854
167,167,167,06-16,0.4937235158573583,-0.3070849914853945,-0.4582349173035887
168,168,168,06-17,0.4061723745925908,-0.8405159876458637,-0.3336402287986404
169,169,169,06-18,0.5760724899365081,0.19465027593950748,-0.2785931228124518
170,170,170,06-19,0.6581906362281719,0.6949791573956899,-0.012657144032750386
171,171,171,06-20,0.4680662060846485,-0.4634096734157494,0.21462868697388235
172,172,172,06-21,0.6500595868163561,0.6454383550153066,0.5321717627601439
173,173,173,06-22,0.7175477860010712,1.056629994554402,0.9139533585283482
174,174,174,06-23,0.7188792726084886,1.0647424670717058,1.2796807113016464
175,175,175,06-24,0.9520395559373214,2.4853398505487343,1.7703430029844596
176,176,176,06-25,1.0183479651893723,2.8893432740354794,2.2182705479762768
177,177,177,06-26,0.951255716123848,2.480564076681129,2.2741052944751567
178,178,178,06-27,1.0911651999160694,3.3330036249662087,2.49328762774763
179,179,179,06-28,0.7725321698864289,1.3916384735476872,1.942742699714556
180,180,180,06-29,0.9347234612049858,2.379836466706542,1.5813575568269667
181,181,181,06-30,0.4098794214820864,-0.8179297176497122,1.3273696927576062
182,182,182,07-01,0.6624667143020904,0.7210324167099487,1.0149654781302837
183,183,183,07-02,0.7011360846056548,0.956636892264962,1.0420903752144308
184,184,184,07-03,0.7835188982566413,1.4585783372022734,0.6842789960543895
185,185,185,07-04,0.7992439550676416,1.5543878560525706,0.8290939695371512
186,186,186,07-05,0.5823615456605257,0.2329681917462937,0.5497350522950564
187,187,187,07-06,0.5524888644117443,0.05096012324685755,0.31455376953054764
188,188,188,07-07,0.3873624304894093,-0.95512108674262,0.08149009742323587
189,189,189,07-08,0.4695366103529365,-0.4544508043220901,-0.21395297099029967
190,190,190,07-09,0.5540047834726434,0.060196304558402164,0.02363659250612316
191,191,191,07-10,0.5083004815400336,-0.2182705544286429,0.12788476737711754
192,192,192,07-11,0.8163326225544404,1.658505572724831,0.29148034664948363
193,193,193,07-12,0.6551493406542495,0.6764491724728239,0.4541875614230526
194,194,194,07-13,0.5484664507761235,0.026452388891576386,0.3746270451268394
195,195,195,07-14,0.6297657959230112,0.521792484319323,0.09929549422017954
196,196,196,07-15,0.4756559730193546,-0.4171667932188768,-0.2804852781738789
197,197,197,07-16,0.23716222731502085,-1.8702598598686024,-0.3297231020007655
198,198,198,07-17,0.4423359074084133,-0.6201790616395196,-0.34866493119875824
199,199,199,07-18,0.6066614083766056,0.3810222295115045,-0.5544931572960411
200,200,200,07-19,0.5298131054415264,-0.08719858629638055,-0.5304371465083986
201,201,201,07-20,0.4270723315871061,-0.7131768722643744,-0.1562286087134699
202,202,202,07-21,0.4993456110107183,-0.2728307284930213,-0.1551163428378606
203,203,203,07-22,0.6056715729374132,0.3749913669009696,-0.5495098983572739
204,204,204,07-23,0.44343123348620456,-0.6135054663858637,-0.5553975482958483
205,205,205,07-24,0.21827446264156533,-1.985339103604976,-0.4764747192090902
206,206,206,07-25,0.5240151243508149,-0.12252448592782735,-0.16391568109629231
207,207,207,07-26,0.5047931668005653,-0.2396398977438256,-0.2571622897269343
208,208,208,07-27,0.8071443781955341,1.6025235001837659,-0.032485780818068154
209,209,209,07-28,0.5138451091948458,-0.18448828488288194,0.4415464459116249
210,210,210,07-29,0.6646859214807977,0.734553587067333,0.6448869844759173
211,211,211,07-30,0.6850871834454254,0.8588542567731823,0.4665007843661881
212,212,212,07-31,0.7242587886092091,1.0975187454579276,0.15832418827399042
213,213,213,08-01,0.32912378667935005,-1.3099570984022009,0.5962596965572352
214,214,214,08-02,0.5036613084845276,-0.24653607636942004,0.3031118385121277
215,215,215,08-03,0.9451108642020408,2.4431247648165866,0.5593870267922618
216,216,216,08-04,0.3760027022913704,-1.0243335612033115,0.3486506220116053
217,217,217,08-05,0.9374593032502436,2.396505386453987,0.5472249609941223
218,218,218,08-06,0.5167318971006749,-0.16689968322601134,1.1150892968815886
219,219,219,08-07,0.5246738405264597,-0.11851106450709893,0.6018339065830098
220,220,220,08-08,1.0628770763910949,3.1606499389553786,0.9151146062663496
221,221,221,08-09,0.4396723482060592,-0.6364075769748867,0.4793966209583671
222,222,222,08-10,0.6845121401484489,0.8553506368967267,0.339660804223736
223,223,223,08-11,0.5083772983662604,-0.2178025253939082,0.27898739701656833
224,224,224,08-12,0.3791242554142395,-1.005314583633798,-0.12679480400555165
225,225,225,08-13,0.4649244886855159,-0.4825515077501051,-0.2330503921545992
226,226,226,08-14,0.6632749341069376,0.725956732822659,-0.5319149801481936
227,227,227,08-15,0.33503503156902925,-1.2739411058691716,-0.5407373413706014
228,228,228,08-16,0.3901992567487105,-0.9378368910648399,-0.35644794758606285
229,229,229,08-17,0.4996893016143116,-0.2707366927283551,-0.13435295069556194
230,230,230,08-18,0.5606069236314585,0.1004217790734331,-0.12457293648816367
231,231,231,08-19,0.6836369810631683,0.8500184735929005,0.4753799737638891
232,232,232,08-20,0.6729059987987889,0.7846368180670485,0.7766154759714774
233,233,233,08-21,0.9258506651834426,2.325776355643145,0.6950386790585336
234,234,234,08-22,0.6868469453634076,0.8695761221806897,0.6863232933695773
235,235,235,08-23,0.4193549184772971,-0.7601974742060185,0.3856225048465603
236,236,236,08-24,0.5520242731766897,0.04812946493969589,0.29513342528816594
237,237,237,08-25,0.3875158624491393,-0.9541862575452016,-0.05202100018547684
238,238,238,08-26,0.5837950669891288,0.2417023407166824,-0.43178081305619614
239,239,239,08-27,0.5839833980306101,0.2428498028012885,-0.2464021467247417
240,240,240,08-28,0.3128708705273954,-1.4089827550436258,-0.18237315367786047
241,241,241,08-29,0.6019102696317729,0.3520745237827082,-0.02978889620316773
242,242,242,08-30,0.6150781053196042,0.4323034232209831,0.03081768315621717
243,243,243,08-31,0.5377762632556323,-0.03868071269704503,0.14978313608057722
244,244,244,09-01,0.6434786087697225,0.6053418168729918,0.22440969799829905
245,245,245,09-02,0.7011370083334629,0.956642520347449,0.2296449041427385
246,246,246,09-03,0.3863608706765082,-0.9612233835372952,0.25112636943952765
247,247,247,09-04,0.6070657436406074,0.3834857606493453,0.14793715689378387
248,248,248,09-05,0.6362324081213966,0.561192215001718,0.15239776868451027
249,249,249,09-06,0.4361586213530821,-0.6578159879715075,0.2278187043075096
250,250,250,09-07,0.647871285488865,0.6321054876173503,0.3461210358935192
251,251,251,09-08,0.7754092838845119,1.4091681340854452,0.20976876921901744
252,252,252,09-09,0.5028614589721571,-0.2514093940212374,0.2136841657689696
253,253,253,09-10,0.4727901205817698,-0.4346278393976656,0.4180074181034509
254,254,254,09-11,0.6400881732222605,0.5846845943014305,0.16718587066792204
255,255,255,09-12,0.6373700326610768,0.5681235260353805,-0.09654061606759792
256,256,256,09-13,0.4008697476348154,-0.8728237969958228,-0.14062053045452436
257,257,257,09-14,0.5156993488229605,-0.17319078632767482,-0.38353138317816177
258,258,258,09-15,0.4594528812268806,-0.515888880342796,-0.6577101349038336
259,259,259,09-16,0.2335787976407087,-1.8920929557394903,-0.9932506552794756
260,260,260,09-17,0.3700851610585947,-1.0603879160526004,-0.702203654189986
261,261,261,09-18,0.30693979095134155,-1.4451195962184715,-0.6503974842850307
262,262,262,09-19,0.6874841058983994,0.8734582095411153,-0.3924124332992536
263,263,263,09-20,0.5667165112943835,0.13764623310205595,-0.009845468935048932
264,264,264,09-21,0.7135088225459637,1.0320214255718672,0.4893747549168722
265,265,265,09-22,0.6103192710819022,0.4033088304457377,0.6963847209613258
266,266,266,09-23,0.8617022660481991,1.934933427058927,0.3191101028463376
267,267,267,09-24,0.5107969973472055,-0.20305979995175089,0.02262077301270968
268,268,268,09-25,0.31595537632761084,-1.3901894991488128,-0.06361485052875714
269,269,269,09-26,0.2747427108973243,-1.6412897458997115,-0.14774665801420767
270,270,270,09-27,0.6285865666619463,0.514607684323066,-0.7327771384507513
271,271,271,09-28,0.5274687901570583,-0.1014820144669654,-0.7948793941691094
272,272,272,09-29,0.2855817937970545,-1.5752494555603351,-0.6310526166772258
273,273,273,09-30,0.44964055834316535,-0.5756733342618993,-0.5872478469352078
274,274,274,10-01,0.4772870736873429,-0.4072288341975115,-0.7907492912342308
275,275,275,10-02,0.3178803344477974,-1.3784611274476035,-0.7767216140720542
276,276,276,10-03,0.4281844472615027,-0.7064009814710723,-0.6570830024361886
277,277,277,10-04,0.5412828259406799,-0.017315951493905978,-0.9187339254810566
278,278,278,10-05,0.4033983106111769,-0.8574177857451418,-1.1857614714882894
279,279,279,10-06,0.19197457615865648,-2.1455788725311065,-1.113490660562498
280,280,280,10-07,0.2143263544527531,-2.0093941102409083,-1.0890183826769408
281,281,281,10-08,0.3890504616682992,-0.9448362618928552,-1.0948058455160654
282,282,282,10-09,0.4522840126071711,-0.559567314157731,-0.7399839041760841
283,283,283,10-10,0.5355835061009268,-0.05204072852865242,-0.3674868769156219
284,284,284,10-11,0.7528163174427557,1.2715138622947473,0.024396183673594567
285,285,285,10-12,0.5587984775343766,0.08940329103166614,0.15328316164834574
286,286,286,10-13,0.6002410400695002,0.34190425329439034,0.17631875697194935
287,287,287,10-14,0.5159744922973164,-0.17151439404434812,0.3923691842112116
288,288,288,10-15,0.4749687760514926,-0.4213537422161094,-0.1022369828353434
289,289,289,10-16,0.7483434875608095,1.2442618349069212,-0.0835792439794343
290,290,290,10-17,0.2657429972209427,-1.6961231399845826,-0.1949230185664547
291,291,291,10-18,0.5771720592198709,0.20134972416712069,0.07676555406272384
292,292,292,10-19,0.4905930300214886,-0.326158394227732,0.14697673569096878
293,293,293,10-20,0.7835252507664549,1.4586170417307232,0.045886167246628785
294,294,294,10-21,0.5441106421074149,-8.665244663976536e-05,0.2561083747348673
295,295,295,10-22,0.6487925274316356,0.6377184242408814,0.08757477416322378
296,296,296,10-23,0.472763522656521,-0.43478989505515137,0.20478924378882515
297,297,297,10-24,0.4112052236473565,-0.8098518792627406,-0.0931019320264576
298,298,298,10-25,0.6060223244831703,0.37712842352587617,-0.09816393206827773
299,299,299,10-26,0.4901709544875884,-0.3287300131609732,-0.27257879201541946
300,300,300,10-27,0.5391257362740426,-0.030458652697560533,-0.4506274811478184
301,301,301,10-28,0.4770340040032761,-0.40877073544196907,-0.3427473534353077
302,302,302,10-29,0.29742651322393104,-1.5030820298495449,-0.4167828298769885
303,303,303,10-30,0.5174423381270471,-0.1625711129876765,-0.4040578540855092
304,304,304,10-31,0.5331144075843924,-0.0670844351242084,-0.4023026285421001
305,305,305,11-01,0.5027021290289576,-0.2523801584120977,-0.2888478352627299
306,306,306,11-02,0.5408542297505219,-0.01992729943710601,-0.1365026209747411
307,307,307,11-03,0.5887608819507175,0.2719580242342523,0.008230492654727686
308,308,308,11-04,0.4474515114689889,-0.5890107441216126,0.11102356199956187
309,309,309,11-05,0.6599711679281337,0.7058275687891363,0.4209898055280248
310,310,310,11-06,0.6343419395428987,0.5496739809447968,0.4409182206310445
311,311,311,11-07,0.8079475898642262,1.6074173027586802,0.6136514940800962
312,312,312,11-08,0.560479135296984,0.09964319118101196,0.7247631170004524
313,313,313,11-09,0.7588634294260158,1.3083576649285624,0.5717793286658323
314,314,314,11-10,0.5568709055178261,0.07765899340052444,0.8984970060768886
315,315,315,11-11,0.5093173211125909,-0.21207516121858444,0.7586139204918831
316,316,316,11-12,0.9560837100954358,2.509980045411136,0.7520793146857977
317,317,317,11-13,0.6701949222304893,0.7681187892486471,0.5212853816789694
318,318,318,11-14,0.5540440514699536,0.0604355563444992,0.8882300408211606
319,319,319,11-15,0.5315844856394021,-0.07640593311240705,0.6767994726843279
320,320,320,11-16,0.9182270012844718,2.279326948253671,0.3257175071102488
321,321,321,11-17,0.30110683834863833,-1.4806585700395811,0.18138305079462555
322,322,322,11-18,0.6103487192374037,0.40348825196666094,0.20685088660616915
323,323,323,11-19,0.5280586781964683,-0.09788794864509258,0.2384985794122369
324,324,324,11-20,0.5791240124046602,0.2132425712137609,-0.3275988699384811
325,325,325,11-21,0.5627501844103202,0.11348022372399938,-0.3984199886992745
326,326,326,11-22,0.3607512102509149,-1.117257747850637,-0.421245462992404
327,327,327,11-23,0.23136432449640776,-1.9055852826043416,-0.4550375394318257
328,328,328,11-24,0.5878708766824287,0.2665354062078846,-0.4866545432379241
329,329,329,11-25,0.4947812547328235,-0.3006404072816231,-0.5190570946215517
330,330,330,11-26,0.5479885352405581,0.023540548377170463,-0.3562701755793
331,331,331,11-27,0.5308411235501959,-0.0809350845777657,-0.2510701182935928
332,332,332,11-28,0.521058886194482,-0.14053623359712716,-0.3170184525232322
333,333,333,11-29,0.33496218599426353,-1.2743849388900987,0.021199345845576482
334,334,334,11-30,0.5229269349031811,-0.12915459916995198,-0.03267221918176904
335,335,335,12-01,0.8278479995194922,1.728666382931229,-0.1674842193565196
336,336,336,12-02,0.4949374335931646,-0.29968884178690264,-0.10874463876553413
337,337,337,12-03,0.3980823087481984,-0.8898070856262691,0.1038125678751709
338,338,338,12-04,0.5789038635786704,0.21190124994878576,0.19571619241052401
339,339,339,12-05,0.5442821485692899,0.0009583009541313588,-0.2011599420321165
340,340,340,12-06,0.6134308681843846,0.4222671480421663,-0.09811960526861224
341,341,341,12-07,0.4370162845126303,-0.6525904237246138,0.09778678996642157
342,342,342,12-08,0.596408467090104,0.31855317879412304,0.14194055308675435
343,343,343,12-09,0.5910050516035926,0.2856312857839336,0.22421428131704305
344,344,344,12-10,0.6223851653419047,0.4768238286707824,-0.06965331731644843
345,345,345,12-11,0.6253028487668715,0.4946006703358635,0.03442116462199712
346,346,346,12-12,0.3240388700483138,-1.3409384437587824,0.1166002809603336
347,347,347,12-13,0.5395057131641585,-0.02814353209394066,0.06203441193798021
348,348,348,12-14,0.6773359963338722,0.8116278768241421,-0.17569858571065958
349,349,349,12-15,0.5372702202038769,-0.04176392835018685,-0.11901364708298764
350,350,350,12-16,0.3882728387964325,-0.9495741572210564,0.030425254833200688
351,351,351,12-17,0.6811244763636642,0.8347103021018951,0.2002961079997094
352,352,352,12-18,0.4712018190290298,-0.4443050322616524,-4.675001250581401e-05
353,353,353,12-19,0.7067894349883055,0.9910815869051116,-0.07979584194293657
354,354,354,12-20,0.4800443579836533,-0.3904292712491493,0.14021971547796855
355,355,355,12-21,0.4587357061213355,-0.5202584799327714,0.1768495107297627
356,356,356,12-22,0.6049375615461721,0.3705191873043744,-0.04481283541795094
357,357,357,12-23,0.7171964002114258,1.05448907361266,-0.3610309677554282
358,358,358,12-24,0.2529153881278127,-1.7742791091479342,-0.1407675936432007
359,359,359,12-25,0.3953873015461271,-0.9062272071197518,-0.0017472025194234706
360,360,360,12-26,0.6969531231790613,0.9311509734242156,-0.14126593990886627
361,361,361,12-27,0.5956388181215944,0.3138638668098921,-0.2751946925449356
362,362,362,12-28,0.4675436930887358,-0.4665932370322824,0.051626541310587484
363,363,363,12-29,0.5853073810972018,0.2509165577962442,
364,364,364,12-30,0.5747591379612348,0.18664829398520408,
365,365,365,12-31,,,
