,unnamed: 0,unnamed: 0,mth_day,lgbt,lgbt_norm,lgbt_ravg
122,122,122,05-02,0.5397502784213623,-1.1930546203993802,-0.7105434911249761
123,123,123,05-03,0.5998225104960778,-0.9258910971565354,-0.4704725732336581
124,124,124,05-04,0.7062509841794332,-0.4525641535657144,-0.5183374828059931
125,125,125,05-05,0.9953419045615146,0.8331305203184216,-0.2277240755640013
126,126,126,05-06,0.8266188278116184,0.08275634442945973,0.014490965009645309
127,127,127,05-07,0.8730557436399041,0.2892785529897443,-0.0012531091017302098
128,128,128,05-08,0.8665253849788727,0.2602356230424996,-0.09288839837398256
129,129,129,05-09,0.5785819984155335,-1.0203555418247885,-0.3456803169881503
130,130,130,05-10,0.582624757891211,-1.0023758891992285,-0.4719164965918848
131,131,131,05-11,0.6542974097754636,-0.6836209913665849,-0.4063851405989495
132,132,132,05-12,0.6563121410603436,-0.6746607331929471,-0.4916759124265999
133,133,133,05-13,0.9614648522845778,0.6824666889473557,-0.43935595919725423
134,134,134,05-14,0.7514586203950339,-0.2515090079234027,-0.3640749673327869
135,135,135,05-15,0.6491674511236407,-0.7064358224487143,-0.1924061582812503
136,136,136,05-16,0.6841872128073279,-0.5506899380124245,0.042370969199022335
137,137,137,05-17,0.8858977812369551,0.34639186294263485,-0.01308763159578961
138,138,138,05-18,0.9730526732252132,0.7340020316886887,0.5279889771049232
139,139,139,05-19,0.8866450139238593,0.349715084178484,0.5774948605672456
140,140,140,05-20,1.4814313175702605,2.9949506442808738,0.4400648307697632
141,141,141,05-21,0.7159564098328557,-0.4094005216747795,0.4746672631090793
142,142,142,05-22,0.4987787735753329,-1.3752701167973191,0.3758047859616382
143,143,143,05-23,0.9325803220405724,0.5540064569785313,0.5794010777840902
144,144,144,05-24,0.8396761643681103,0.14082716880404214,0.09149030628321346
145,145,145,05-25,1.1613191208555749,1.571292835113196,0.0982006018947832
146,146,146,05-26,0.8231852649297825,0.06748601527561351,0.11435867346281353
147,147,147,05-27,0.725009347083614,-0.3691387480053611,-0.19469962586514425
148,148,148,05-28,0.520577814402451,-1.2783216873891372,-0.26783311255564485
149,149,149,05-29,0.5156262036828021,-1.3003433389892154,-0.5638872301722933
150,150,150,05-30,0.7410109334658029,-0.2979737513389613,-0.6779325642308968
151,151,151,05-31,0.7619090941212743,-0.2050318705866944,-0.7221935183487561
152,152,152,06-01,0.6693253885937555,-0.6167859890760077,-0.5395617659556949
153,153,153,06-02,0.6652963830829209,-0.6347044727125171,-0.3489757335837364
154,154,154,06-03,0.7669684192455122,-0.18253117303077052,-0.06919171587442463
155,155,155,06-04,0.7727480194429747,-0.15682714475746407,-0.09934671175211687
156,156,156,06-05,1.1184707806475476,1.3807303549169092,0.2403336411131516
157,157,157,06-06,0.7212266411743523,-0.3859618458528479,0.95762150137115
158,158,158,06-07,1.1275920727771889,1.4212961281156031,0.8981514320755429
159,159,159,06-08,1.6329977133268951,3.669022688835472,1.1087646344317008
160,160,160,06-09,0.6867366624354075,-0.5393515888044114,1.3652561797121392
161,161,161,06-10,1.0568887213554392,1.1068520693794828,1.4737054073831997
162,162,162,06-11,1.4645064844651705,2.919679626599541,1.6867238354871406
163,163,163,06-12,0.8675367458002259,0.26473352017351465,1.4646525782890698
164,164,164,06-13,1.4149776925038615,2.699406696739249,1.908592006855357
165,165,165,06-14,1.333398817393777,2.3365951456470464,1.6762852748902042
166,166,166,06-15,1.285660468864844,2.1242849825933128,1.4339055949996689
167,167,167,06-16,0.7434810282899932,-0.28698832241143624,1.3239487444646083
168,168,168,06-17,1.1375092611052005,1.4654015472563304,0.9252423680013401
169,169,169,06-18,0.7191926897695781,-0.39500758303684935,1.2760883187149348
170,170,170,06-19,0.8770783186855422,0.30716843795963794,0.998182037484864
171,171,171,06-20,1.806729138492672,4.4416708499286175,1.1591572797541243
172,172,172,06-21,0.9107338976375472,0.4568472952128872,0.8164827277789956
173,173,173,06-22,0.960654585394778,0.6788631312041256,1.044530024837403
174,174,174,06-23,0.6752030683476432,-0.5906457645944418,1.2136164444568964
175,175,175,06-24,1.0268539300456752,0.9732761993135948,0.4078536628345256
176,176,176,06-25,1.1051947587618054,1.321686955676599,0.2782109228393632
177,177,177,06-26,0.7196652707777039,-0.39290583980560856,0.3637996097797713
178,178,178,06-27,0.7358313809482676,-0.32100914475808684,0.4458893744392581
179,179,179,06-28,1.076123270695373,1.1923952528465742,0.7326794870250742
180,180,180,06-29,0.7859513172192012,-0.09810717663752136,0.6432063130522486
181,181,181,06-30,1.413765780680218,2.694016874828492,0.753636766618123
182,182,182,07-01,0.9844854671762608,0.7848479118396443,0.6532388525058537
183,183,183,07-02,0.8686482701229105,0.26967688158963704,0.4930747654349648
184,184,184,07-03,0.6003833963619707,-0.9233966294317024,0.8028649632676563
185,185,185,07-04,0.8600440524299713,0.2314107304212407,0.5491764137245855
186,186,186,07-05,1.2038928482962938,1.7606340103586284,0.5000832985740871
187,187,187,07-06,1.0715116307602779,1.1718855775700672,0.3854265189489316
188,188,188,07-07,0.9182533789601428,0.4902892209366526,0.6327801442726878
189,189,189,07-08,0.7139634855165675,-0.4182637961612953,0.6906965312146035
190,190,190,07-09,0.9340910269084748,0.5607251225108347,0.20547284802854213
191,191,191,07-10,0.9381797184462032,0.578909052072735,-0.2443607974681315
192,192,192,07-11,0.5492719775120858,-1.15070808875774,-0.5526799128994025
193,193,193,07-12,0.4646358682469482,-1.5271162954099746,-0.6675608206634541
194,194,194,07-13,0.5022965021280574,-1.3596254716509737,-0.8045014502630535
195,195,195,07-14,0.5589763270514546,-1.1075492427456055,-0.8989625295359805
196,196,196,07-15,0.7493428431314414,-0.2609186550867613,-0.8598653536704509
197,197,197,07-16,0.8107411862566103,0.012142576435171977,-0.6235202128439924
198,198,198,07-17,0.6020184286791905,-0.9161250335645628,-0.4357857486494081
199,199,199,07-18,0.7834918253130543,-0.10904545045122303,-0.26279933746195544
200,200,200,07-19,0.7555712343511771,-0.23321868648346755,-0.3606422377056725
201,201,201,07-20,0.7923542907604987,-0.06963077562088993,-0.4010731166952569
202,202,202,07-21,0.6173418572417353,-0.8479760565490639,-0.2270454409164092
203,203,203,07-22,0.7561954208130389,-0.23044269750233445,-0.33278053744214625
204,204,204,07-23,0.8368011744653585,0.12804102110852364,-0.40523892355677865
205,205,205,07-24,0.6408433863381806,-0.7434560296056455,-0.5328135558293495
206,206,206,07-25,0.6578167894268746,-0.6679690031712621,-0.4917173534478341
207,207,207,07-26,0.6202418820670796,-0.835078569256315,-0.36099132525763583
208,208,208,07-27,0.6727852181516268,-0.6013988422599714,-0.4917678033235169
209,209,209,07-28,0.9325594141080942,0.5539134716388547,-0.3711973265624784
210,210,210,07-29,0.6603691186607951,-0.656617847286763,-0.11810282443848158
211,211,211,07-30,0.8035064079984668,-0.020033169039414444,0.05027995208380994
212,212,212,07-31,0.9992695031180472,0.8505980095727189,0.2324123817108059
213,213,213,08-01,0.8474090291204072,0.17521808987743415,0.21627911314382745
214,214,214,08-02,0.918502180888479,0.4913957355020042,0.232033427053756
215,215,215,08-03,0.9107938352959379,0.4571138602369843,0.1761898757288526
216,216,216,08-04,0.6816234453717411,-0.5620919638271922,-0.1635038135275086
217,217,217,08-05,0.7281672284350218,-0.35509447698883445,-0.13883782566951025
218,218,218,08-06,0.5409848266554799,-1.187564125965448,0.10200437425647206
219,219,219,08-07,0.8806861980012262,0.3232140170254242,0.09702529835426067
220,220,220,08-08,1.2434251722847487,1.9364489350578984,0.3471414270140041
221,221,221,08-09,0.90407650653448,0.4272394048237161,0.6078229185006818
222,222,222,08-10,1.0190580010499164,0.9386048081312685,0.562907237429708
223,223,223,08-11,1.0798556370341943,1.208994471931231,0.489860952800484
224,224,224,08-12,0.4803885629663641,-1.45705821239129,0.05807179872514286
225,225,225,08-13,0.7821386124061556,-0.11506369074992034,-0.15998410729853751
226,226,226,08-14,0.660893441393143,-0.6542859893941486,-0.1940222188609603
227,227,227,08-15,0.6098947672105046,-0.8810960313183662,-0.4131779729244099
228,228,228,08-16,0.9731367919190359,0.7343761387567317,-0.17721077365344587
229,229,229,08-17,0.7841900800268025,-0.1059400524494663,-0.17755585216537914
230,230,230,08-18,0.7987346347182603,-0.04125501676550581,-0.2145867449079536
231,231,231,08-19,0.7816730630032752,-0.11713416182151998,0.0408264699898378
232,232,232,08-20,0.6109346366334724,-0.8764713458495954,0.3038791009809468
233,233,233,08-21,0.9544756830642618,0.6513832580683824,0.13790526705122733
234,234,234,08-22,1.328024132188134,2.3126919247033846,0.14392900332727976
235,235,235,08-23,0.5602728652258832,-1.101783056027783,0.15988979585032184
236,236,236,08-24,0.8068613268461295,-0.005112599109191221,0.21560283965368968
237,237,237,08-25,0.8032059523940708,-0.021369406683267488,0.3636214849020421
238,238,238,08-26,0.6860977469934719,-0.5421930830293884,0.1052609446482391
239,239,239,08-27,1.1541693456005562,1.539495129558496,0.6717293187592669
240,240,240,08-28,0.979466945682524,0.7625286831805681,0.4497611455744519
241,241,241,08-29,1.3245018861537057,2.2970271886383835,0.6571964000014844
242,242,242,08-30,0.5074015027449518,-1.3369216382180813,0.5899687881102699
243,243,243,08-31,1.0830592480797596,1.2232421198789278,0.4869122698026218
244,244,244,09-01,0.5954001999405298,-0.9455587543766756,0.4127654489211303
245,245,245,09-02,1.0151346074122467,0.9211560197126076,-0.20548476452078732
246,246,246,09-03,0.8794346139286131,0.3176477578916193,0.008719985403665512
247,247,247,09-04,0.4904133881883681,-1.4124740920131231,-0.058580933483014325
248,248,248,09-05,0.7963876029306053,-0.05169313867136384,-0.05158970313732029
249,249,249,09-06,0.9922628017132248,0.8194366065588489,-0.2484523363461135
250,250,250,09-07,0.6048321494832654,-0.9036113723025114,-0.29762831079308216
251,251,251,09-08,0.7495449570270316,-0.2600197795401517,-0.004584763059821621
252,252,252,09-09,0.8130907392793773,0.022591911209807428,-0.012716111176431828
253,253,253,09-10,0.8857618203490498,0.3457871943864405,-0.09219945913289714
254,254,254,09-11,0.7854175073454238,-0.10048122737102508,0.035141884548303866
255,255,255,09-12,0.8850308996954623,0.34253651882005703,0.09470391740580213
256,256,256,09-13,0.7766298258457648,-0.13956331021530544,-0.17336977551264585
257,257,257,09-14,0.8299007829398035,0.09735241760483787,-0.09717677728521856
258,258,258,09-15,0.4514294264177756,-1.5858502463008803,-0.2275351993992924
259,259,259,09-16,0.9885546735745844,0.8029451837510042,-0.3693832627966394
260,260,260,09-17,0.609549455650082,-0.8826317600554681,-0.4209601280588682
261,261,261,09-18,0.6936620403468997,-0.5085518615640252,-0.6940202312689113
262,262,262,09-19,0.7070468816898151,-0.4490245017886776,0.014967031809771882
263,263,263,09-20,0.4615122464073825,-1.5410082016554212,-0.16405932225955086
264,264,264,09-21,1.4079323252128286,2.668073332171219,0.05643624701245545
265,265,265,09-22,0.7470281532187276,-0.2712129406649323,-0.0947350314373984
266,266,266,09-23,0.9070225728176796,0.44034165557657,-0.23492419370747056
267,267,267,09-24,0.4897151239750154,-1.4155795322631484,-0.02442610931806317
268,268,268,09-25,0.5179160649968604,-1.2901594754091106,-0.3976748783780491
269,269,269,09-26,0.7454976413423674,-0.2780196953189768,-0.5323986346262474
270,270,270,09-27,0.9043781033396768,0.4285807178113033,-0.7730800412432668
271,271,271,09-28,0.5652707788642345,-1.0795554781541217,-0.6721542307920082
272,272,272,09-29,0.5823165095301914,-1.0037467841255467,-0.3936849265145754
273,273,273,09-30,0.6258752996045108,-0.8100246695555975,-0.3500266188337021
274,274,274,10-01,0.8936022171150064,0.38065635025548666,-0.6220359210330266
275,275,275,10-02,0.8043975680799895,-0.016069849233736867,-0.44453621670675897
276,276,276,10-03,0.5374072145777457,-1.2034750953846438,-0.030285975533994564
277,277,277,10-04,0.8047376784332015,-0.014557252196515463,0.08621030004672453
278,278,278,10-05,1.1411862906144326,1.4817546629110396,0.3488374290348189
279,279,279,10-06,0.7830417694334882,-0.11104701607128308,0.2332743302115639
280,280,280,10-07,1.2479155077212667,1.9564191241840527,0.4246043017829328
281,281,281,10-08,0.6484900577839755,-0.7094484421732672,0.8166797267054834
282,282,282,10-09,0.7955326872973865,-0.055495265956430416,0.4869630555568409
283,283,283,10-10,1.3336911590024316,2.3378952973387883,0.6263792133499534
284,284,284,10-11,0.696361724422287,-0.4965453639808155,0.21900425251873304
285,285,285,10-12,0.9711297168656008,0.7254499306873925,0.4350041570258476
286,286,286,10-13,0.6983212466910236,-0.4878306408032692,0.6940958602870824
287,287,287,10-14,0.9398980217343528,0.5865509848694199,0.6201732383007965
288,288,288,10-15,1.1450762942544208,1.4990549536109783,0.6246979701631422
289,289,289,10-16,1.233961296565444,1.8943595654210728,0.6780142033613369
290,290,290,10-17,0.7024660923961356,-0.4693969728067412,0.8732575949464351
291,291,291,10-18,1.0430592623774029,1.0453473298765608,0.6920729138799936
292,292,292,10-19,0.9617263595146068,0.6836297087073198,0.5935869641947212
293,293,293,10-20,0.6954596775181816,-0.5005571015292284,0.21123540398001708
294,294,294,10-21,1.0122077629419024,0.9081392554993442,0.18502330360048594
295,295,295,10-22,0.7181263940933129,-0.3997497958671516,0.051784829013470514
296,296,296,10-23,0.6671030452693694,-0.6266695750839281,-0.22560297186854106
297,297,297,10-24,0.8633056986531311,0.24591648235446825,-0.4001792210287352
298,298,298,10-25,0.5874992761084785,-0.9806970965847496,-0.8161585206151584
299,299,299,10-26,0.4599368450523444,-1.5480145964903933,-0.8009719613005596
300,300,300,10-27,0.4510052891973319,-1.5877365420191951,-0.8515744235572088
301,301,301,10-28,0.7386147565274412,-0.3086304399795589,-1.0538448522026742
302,302,302,10-29,0.5988346794534934,-0.9302843486238233,-1.0826150355526565
303,303,303,10-30,0.5904203290348139,-0.9677060895183242,-0.9893216186552608
304,304,304,10-31,0.5486850897243308,-1.1533181966846404,-0.5111180680497279
305,305,305,11-01,0.5858000704555217,-0.9882540951060208,-0.5075506313210613
306,306,306,11-02,1.0961552181002387,1.2814847616140017,-0.2490126705477888
307,307,307,11-03,0.7434276265886329,-0.2872258196075588,0.14547223814090554
308,308,308,11-04,0.9476312260294684,0.6209434160158122,0.0889766249540165
309,309,309,11-05,1.1226244719599632,1.3992033626138425,0.3914569347323504
310,310,310,11-06,0.4724662059776615,-1.4922918758059749,0.1427872755535127
311,311,311,11-07,0.9938797471976032,0.8266277635639827,0.1848765109850247
312,312,312,11-08,0.7606721110919549,-0.21053319345902488,0.15885605231877414
313,313,313,11-09,0.8002106998465242,-0.034690407018486864,-0.06386372008986536
314,314,314,11-10,0.9125267249497594,0.4648206640183087,0.12986645880072634
315,315,315,11-11,0.8221506566719784,0.06288472816200505,0.10356516746566352
316,316,316,11-12,0.7338298260916243,-0.3299108024624246,0.0777560197891113
317,317,317,11-13,0.9583963715234072,0.6688200155536057,0.04245091121409325
318,318,318,11-14,0.7258526921071147,-0.3653880795183381,0.08840898009651868
319,319,319,11-15,0.7525801704239792,-0.2465210584685952,-0.003663348232814875
320,320,320,11-16,0.9745292860651402,0.7405690773128613,0.1089063630651758
321,321,321,11-17,0.6979348159481321,-0.4895492418139962,-0.08596724595231654
322,322,322,11-18,0.8856989227316591,0.3455074653255194,-0.03677376470827577
323,323,323,11-19,0.6954901366293131,-0.5004216385513484,0.10660175250020464
324,324,324,11-20,0.7922201853783204,-0.0702271920540935,-0.11363162902301273
325,325,325,11-21,0.9460097353369554,0.6137320447822873,-0.22184488509455705
326,326,326,11-22,0.6774098894152515,-0.580831211826443,-0.1472704615363882
327,327,327,11-23,0.5519430633304319,-1.138828778243262,0.2287954231636236
328,328,328,11-24,0.9863081381914892,0.7929540066745325,0.4941129271521992
329,329,329,11-25,1.2028449617237762,1.7559736696487218,0.2653776272928046
330,330,330,11-26,1.1501630919464128,1.5216778318773605,0.2967685950095566
331,331,331,11-27,0.6374203025420453,-0.7586797543740801,0.6223896344542243
332,332,332,11-28,0.7197598062341704,-0.3924854055259313,0.32685247825542585
333,333,333,11-29,0.9912421655244829,0.8148974584247444,-0.028843494407538712
334,334,334,11-30,0.5875955500720816,-0.9802689305182586,-0.3243716442482936
335,335,335,12-01,0.7229714200405689,-0.3782021663290653,-0.1141516324884691
336,336,336,12-02,0.7514626544085811,-0.25149106716716874,0.12725997588302534
337,337,337,12-03,0.9210305464833204,0.5026403161848667,0.09196675450107487
338,338,338,12-04,1.0454509931356255,1.0559842447030356,0.488813504881315
339,339,339,12-05,0.9436276732512912,0.6031381301330413,0.28937128969728715
340,340,340,12-06,1.1229860808804897,1.4008115717631822,0.3485555325499425
341,341,341,12-07,0.4539016258425058,-1.5748554574332323,0.0383614825244362
342,342,342,12-08,0.8313087994658763,0.1036143899487637,-0.15649700677372666
343,343,343,12-09,0.5025441737521833,-1.3585239839681709,-0.1364702595602202
344,344,344,12-10,0.7825651564293702,-0.11316669108594148,-0.4113104934382861
345,345,345,12-11,0.9706459890387624,0.72329861341408,0.25906515606418423
346,346,346,12-12,0.7521959495199697,-0.248229831505213,0.6227952582601486
347,347,347,12-13,1.3583131511586768,2.4473984395815886,1.0374881965540788
348,348,348,12-14,1.3220212780211504,2.2859950031245497,1.288280688969366
349,349,349,12-15,1.0620112026316029,1.12963364579541,1.17358984309215
350,350,350,12-16,1.1209122022558284,1.391588263405781,0.94772899775363
351,351,351,12-17,0.8159152452586177,0.03515353815078423,0.4639712689788526
352,352,352,12-18,0.4474844764922518,-1.6033949035363342,0.0095824767078021
353,353,353,12-19,0.7056700163888022,-0.4551479330670744,-0.5764359207689432
354,354,354,12-20,0.7090001144251431,-0.4403377505017527,-0.8400675716913494
355,355,355,12-21,0.27140701956106555,-2.386476739065062,-0.8977519936915352
356,356,356,12-22,0.7652436995151497,-0.19020164212865567,-0.8092270320822444
357,357,357,12-23,0.7380925258223003,-0.3109529938503308,-0.8107067639808611
358,358,358,12-24,0.5669145238351619,-1.0722451338805896,-0.6647399315650171
359,359,359,12-25,0.7036736930073069,-0.4640263244587746,-0.12521222246040553
360,360,360,12-26,0.9059256525898416,0.4354632439933109,-0.17836918603561985
361,361,361,12-27,0.99929007841588,0.8506895155626072,-0.2971453134165524
362,362,362,12-28,0.6935290264897856,-0.5091434235799415,0.02522679958321504
363,363,363,12-29,0.5778502816186776,-1.0236097581359265,
364,364,364,12-30,1.001830461867667,0.861987544118015,
365,365,365,12-31,,,
