,unnamed: 0,unnamed: 0,mth_day,friends,friends_norm,friends_ravg
71,71,71,03-12,3.2361855173177276,0.06735100636246916,0.07890197589905164
72,72,72,03-13,3.3040069369554246,0.20483209811100905,-0.05469983849913648
73,73,73,03-14,3.2612819724853472,0.11822413868399967,0.04340980943410335
74,74,74,03-15,3.0274715758936246,-0.35573392290340683,0.03296575860873679
75,75,75,03-16,3.321409719094301,0.24010935271133602,-0.19260397322090755
76,76,76,03-17,3.1649809289360618,-0.07698812131299304,-0.03929744038996479
77,77,77,03-18,2.568524565019086,-1.2860673846153967,0.07782704008979581
78,78,78,03-19,3.7577769745986513,1.1246712950966655,0.3687073665145021
79,79,79,03-20,3.6079572180526855,0.8209710215625632,0.514454954926448
80,80,80,03-21,3.888444518364163,1.389548035644831,0.4499074398160627
81,81,81,03-22,3.752806134229648,1.1145948831830113,0.8611732403413384
82,82,82,03-23,2.9739275679307933,-0.4642732119753052,0.5855032275376427
83,83,83,03-24,3.7858249261949495,1.1815274185362572,0.4533393505728181
84,84,84,03-25,2.941824844072132,-0.5293487817255079,0.09351503002562024
85,85,85,03-26,3.2167670559769648,0.027987759773615083,0.16395570418542954
86,86,86,03-27,2.823405133123464,-0.7693978876383556,0.3685369637505042
87,87,87,03-28,3.9613025810207234,1.5372389281418672,0.2405219132706319
88,88,88,03-29,3.5794650107240047,0.7632143454151428,0.4938885902170864
89,89,89,03-30,3.4069148223495467,0.4134371156570234,0.5844194987868171
90,90,90,03-31,3.6917616172317858,0.9908512799532192,0.8276718463657758
91,91,91,04-01,3.484728329583373,0.5711732111919987,0.5216445498705871
92,92,92,04-02,3.543404632684441,0.6901161978353977,0.219782721538214
93,93,93,04-03,3.055496316367868,-0.2989248508292661,0.1402364465814603
94,94,94,04-04,2.685988061790049,-1.0479566245790952,0.27913183254124724
95,95,95,04-05,3.171466824700884,-0.06384053408349866,0.244189125535274
96,96,96,04-06,4.102876286330361,1.8242235957119408,0.28765619850855
97,97,97,04-07,3.381301859878122,0.3615169691561594,0.27599989525391105
98,98,98,04-08,3.6720622637397002,0.9509186356750541,0.6830562751184429
99,99,99,04-09,3.020994974063877,-0.3688626703571001,1.0068943598362894
100,100,100,04-10,3.890829012812868,1.3943816546080965,0.7975964530409577
101,101,101,04-11,4.129991012673831,1.87918797422358,0.8161346851231052
102,102,102,04-12,3.4833780999752064,0.5684361549399506,0.7601951271043953
103,103,103,04-13,3.436172934935512,0.4727463616490437,0.7576856666873152
104,104,104,04-14,3.5064874843799254,0.6152812875627949,0.6441804458429153
105,105,105,04-15,3.0135672544038266,-0.38391943285957997,0.3852789480078476
106,106,106,04-16,3.554866367358855,0.7133503295416971,0.36020106326089857
107,107,107,04-17,3.3636717942484937,0.325778987213174,0.213664620779628
108,108,108,04-18,3.4091503909826333,0.4179688464582561,0.19826937273307504
109,109,109,04-19,3.0024416007714554,-0.40647229323858,0.2016662198292518
110,110,110,04-20,3.4609192874048182,0.5229097992834773,0.22382649576859728
111,111,111,04-21,3.0236215384988183,-0.3635383502825194,0.2026228744838329
112,112,112,04-22,3.6204582835120296,0.8463119851777703,0.3739444107433168
113,113,113,04-23,3.3009114679213027,0.19855725950458766,0.5065774650498648
114,114,114,04-24,3.916242805911154,1.4458980640151593,0.4040045726431036
115,115,115,04-25,3.3950204748353983,0.3893260326007084,0.6887155516519082
116,116,116,04-26,3.157315100491811,-0.09252755515708992,0.7226347868080065
117,117,117,04-27,3.8663339087846404,1.3447275237703076,0.8528011140096813
118,118,118,04-28,3.7208553920330663,1.04982739611436,0.8223438174846777
119,119,119,04-29,3.686189108107181,0.9795552227146368,0.8589926809654428
120,120,120,04-30,3.8260926450833534,1.2631542848651371,0.8404496889357066
121,121,121,05-01,3.5034969751785834,0.6092192134852995,0.6196054730666349
122,122,122,05-02,3.102429936526684,-0.20378550733550652,0.69807188779708
123,123,123,05-03,3.2126599504889057,0.019662228555878868,1.0126171146696659
124,124,124,05-04,3.9531071252662935,1.5206258844970293,1.0491985289101526
125,125,125,05-05,4.617207485490132,2.8668265839501514,1.04451397668436
126,126,126,05-06,3.9343695032864754,1.4826427703080574,1.849452339745674
127,127,127,05-07,3.4896312292081637,0.5811119001305437,1.7385144224026658
128,128,128,05-08,5.484956659700266,4.625844671032375,1.6420202829953918
129,129,129,05-09,2.884296233697331,-0.6459652755021704,1.107686773267757
130,130,130,05-10,3.6674953612883407,0.9416610480533848,0.8657357170765413
131,131,131,05-11,3.03564059237853,-0.33917447441565524,0.7735903820650277
132,132,132,05-12,3.2182216793918705,0.03093643316076157,-0.05377234788102806
133,133,133,05-13,3.216891435510456,0.028239890061461975,0.14998170345022388
