,unnamed: 0,unnamed: 0,mth_day,vampire,vampire_norm,vampire_ravg
40,40,40,02-10,0.6232919384729302,0.7801080829220675,-0.006137159297108489
41,41,41,02-11,0.5831947921987249,0.5066762567312555,-0.3729422067261375
42,42,42,02-12,0.2935849446463461,-1.4682410842075957,-0.1165805629122833
43,43,43,02-13,0.3172738598940045,-1.30670082614655,-0.12096956665602472
44,44,44,02-14,0.7425910139972672,1.5936364038759163,-0.2684780062233849
45,45,45,02-15,0.3869891076467048,-0.8312962331112431,-0.6252043564446019
46,46,46,02-16,0.4935045418759143,-0.1049425544820937,-0.4569635117116578
47,47,47,02-17,0.26932404399909593,-1.6336818445960468,-0.2185582252922571
48,48,48,02-18,0.44161404252857495,-0.458796015809931,-0.7327661920509779
49,49,49,02-19,0.5270381388063997,0.123730892369854,-0.6789303385798275
50,50,50,02-20,0.29015782772806203,-1.4916113966764082,-0.4535151722772449
51,51,51,02-21,0.4343573483120688,-0.5082811122843415,0.03608290844354541
52,52,52,02-22,0.6918392790184337,1.247548443333402,0.1850952145845224
53,53,53,02-23,0.7001038723398982,1.303906639728695,0.10067429746731754
54,54,54,02-24,0.5727246374998091,0.43527782103593066,0.3005377036397964
55,55,55,02-25,0.4527591952889271,-0.3827946103333751,0.3642143322445807
56,56,56,02-26,0.4660104856384762,-0.2924309596415349,-0.0108489375931868
57,57,57,02-27,0.4903841348127561,-0.12622134065563578,-0.3783068270360389
58,58,58,02-28,0.3618345315329262,-1.0028311756932031,-0.13563678312722086
59,59,59,02-29,0.37679082686467,-0.9008406969284176,-0.2553405482593909
60,60,60,03-01,0.7862413238899902,1.8912980844888392,-0.2952133798152757
61,61,61,03-02,0.34743613658847605,-1.1010172011263957,-0.3619944995708996
62,62,62,03-03,0.4309278082149485,-0.5316679489768432,-0.17953941696100414
63,63,63,03-04,0.4316258176592617,-0.5269080591893797,-0.13927243047860796
64,64,64,03-05,0.5223702285905721,0.0918993199661698,-0.34595827564226633
65,65,65,03-06,0.41222030710109336,-0.6592387780340404,-0.27114791970315183
66,66,66,03-07,0.6043858460886992,0.6511830135068887,-0.12312468130845147
67,67,67,03-08,0.4132590912906708,-0.6521550654917087,0.04768199603402367
68,68,68,03-09,0.5611681578753122,0.3564714813913588,-0.10240895193792401
69,69,69,03-10,0.5819124998225764,0.4979320048654712,-0.1191738830421724
70,70,70,03-11,0.3903105752772328,-0.8086463678655162,-0.3413663868176307
71,71,71,03-12,0.3974694442451744,-0.7598283646595311,-0.3963093158132561
72,72,72,03-13,0.4088866143635849,-0.6819720091458612,-0.625285560116236
73,73,73,03-14,0.3649167744939389,-0.9818126394654602,-0.8880951612925206
74,74,74,03-15,0.35970015565246205,-1.0173859844265212,-0.6220254352966191
75,75,75,03-16,0.3506757377945036,-1.0789256021922364,-0.4408041967165148
76,76,76,03-17,0.6244158044530865,0.7877719881098929,-0.5480085790604444
77,77,77,03-18,0.5569195261007137,0.3274990668210955,-0.310174615540424
78,78,78,03-19,0.3145613152212537,-1.3251983032094392,-0.20986470968197452
79,79,79,03-20,0.5741783668350146,0.4451911416546626,0.034921434687079166
80,80,80,03-21,0.4479592516909281,-0.41552654927582455,-0.1961152161850385
81,81,81,03-22,0.5660543052436754,0.3897912640220859,-0.3891246538597233
82,82,82,03-23,0.4211349242327192,-0.598447917122813,-0.14226339362742546
83,83,83,03-24,0.3870974297655945,-0.8305575592270135,0.3433641821057863
84,84,84,03-25,0.5317657028493763,0.15596925818434804,0.8151576237344148
85,85,85,03-26,1.0014646899429995,3.358956596053933,0.6691510885248865
86,86,86,03-27,0.8630734153287565,2.4152341004959457,0.7852009006986235
87,87,87,03-28,0.437588380537437,-0.4862479472350835,0.9158946373287468
88,88,88,03-29,0.5232430005012908,0.09785095591960842,0.8033160278116932
89,89,89,03-30,0.5020901710521962,-0.04639513944627326,0.5713547996289631
90,90,90,03-31,0.4327118135628712,-0.5195023989179738,-0.042744415310531636
91,91,91,04-01,0.7973703072379673,1.9671892269575515,0.13750768823311232
92,92,92,04-02,0.32274949492776817,-1.269361189141022,0.1728903727266207
93,93,93,04-03,0.5961857551600744,0.5952646740267803,0.06332044124633063
94,94,94,04-04,0.554374958228557,0.3101470628806586,0.1204388237209364
95,95,95,04-05,0.405683509888607,-0.7038147283280137,-0.26812187291878004
96,96,96,04-06,0.4829682340155221,-0.17679210407033907,0.16414793787696838
97,97,97,04-07,0.4554896569870199,-0.3641749528807476,-0.004312184813012525
98,98,98,04-08,0.7030882303602256,1.3242576756334683,-0.16338706786862306
99,99,99,04-09,0.4479637224514832,-0.4154960621131053,-0.07923769865291569
100,100,100,04-10,0.4144106619732608,-0.6443022354530045,-0.034698403645390063
101,101,101,04-11,0.4797235281263458,-0.1989185130337696,0.3032863079483569
102,102,102,04-12,0.5221567656158003,0.09044366597481468,-0.21983076752773573
103,103,103,04-13,0.7528703081280963,1.663733316681734,-0.04958124917469195
104,104,104,04-14,0.24281623819070136,-1.8144447772230872,-0.035070976487186954
105,105,105,04-15,0.5977601803609109,0.6060010480051575,0.04459285044225722
106,106,106,04-16,0.42717773158329536,-0.5572405993279744,-0.22214852050889444
107,107,107,04-17,0.5498168782455185,0.2790644485428955,-0.6036082020363304
108,108,108,04-18,0.28746058008222825,-1.5100045597320952,-0.3927921994189836
109,109,109,04-19,0.4172375869266464,-0.6250247724828815,-0.6114070329708904
110,110,110,04-20,0.4283056937157225,-0.5495487615190071,-0.6081356089179113
111,111,111,04-21,0.4054088126194393,-0.7056879533062831,-0.3026532359702311
112,112,112,04-22,0.4300561405221081,-0.5376120550101001,-0.34362912776833504
113,113,113,04-23,0.8185998848819139,2.1119586862289768,-0.300269112124063
114,114,114,04-24,0.25140735943048115,-1.755859910520719,-0.2852143553300093
115,115,115,04-25,0.455388512822016,-0.3648646786172489,-0.33441175957009445
116,116,116,04-26,0.44155183540383386,-0.4592202207546848,-0.3475674273462314
117,117,117,04-27,0.36212177742077983,-1.0008723787467944,-0.6782092930909375
118,118,118,04-28,0.41848093929180585,-0.6165460616669219,-0.5867329075685532
119,119,119,04-29,0.5276799410004045,0.1281074917607411,-0.5838478421060506
120,120,120,04-30,0.3318941570800055,-1.2070015973864137,-0.6892879063749277
121,121,121,05-01,0.4579269786649768,-0.34755428584223264,-0.2247017145406565
122,122,122,05-02,0.3487788965901845,-1.0918606063679477,-0.0789427448413929
123,123,123,05-03,0.7708945399145276,1.7866447722588326,-0.07392082656481053
124,124,124,05-04,0.546729039966018,0.25800775652865904,0.11064851375348267
125,125,125,05-05,0.5320985471557693,0.15823900142023525,-0.02664099625965552
126,126,126,05-06,0.4942901138252526,-0.09958555547665454,0.2574568479953869
127,127,127,05-07,0.33713085244368146,-1.1712913459210617,-0.07609400279767975
128,128,128,05-08,0.5987464217896399,0.6127264591623068,-0.08861685557782842
129,129,129,05-09,0.4774150842025512,-0.21466033249956729,0.1309193022438253
130,130,130,05-10,0.5357106300020172,0.18287063984776694,0.10728914495568767
131,131,131,05-11,0.7252605551476756,1.4754559483501577,0.19963587139051966
132,132,132,05-12,0.47349878415896,-0.2413664992054803,-0.0802878228181849
133,133,133,05-13,0.41838343191226507,-0.6172109873120691,-0.17424779473764784
134,134,134,05-14,0.3524515818216766,-1.0668157060899208,-0.3679448857825767
135,135,135,05-15,0.39474306777065743,-0.778420164016345,-0.5294950218303606
136,136,136,05-16,0.3652834920777734,-0.9793119064218059,-0.4787555879463426
137,137,137,05-17,0.5831183723747307,0.5061551320634545,-0.6537610449244476
138,138,138,05-18,0.5181425960515391,0.0630701040986271,-0.5050422759800827
139,139,139,05-19,0.2644023938233417,-1.6672437291806992,-0.4135425550888521
140,140,140,05-20,0.4833039039194101,-0.1745030924237313,-0.14779616116537309
141,141,141,05-21,0.4752503973760488,-0.2294218386689613,0.12363719976183025
142,142,142,05-22,0.5991042329352697,0.6151664571190674,0.006586042939557858
143,143,143,05-23,0.8219428719602792,2.1347552976266746,0.13906916129371125
144,144,144,05-24,0.415153472465194,-0.6392368368350073,-0.059576485918762835
145,145,145,05-25,0.3809695480463238,-0.8723450190557789,-0.2448098609172973
146,146,146,05-26,0.3085227085338878,-1.3663769756985755,-0.3123229021404988
147,147,147,05-27,0.3122701802816893,-1.3408220886601678,-0.6947896084835884
148,148,148,05-28,0.5397019242781776,0.2100882097798583,-0.7132775991786103
149,149,149,05-29,0.4854241056653037,-0.16004494043186293,-0.6087915691497826
150,150,150,05-30,0.3988865511442549,-0.7501647810051387,-0.49433421230790103
151,151,151,05-31,0.4729030662773706,-0.24542883888281256,-0.5895083425510708
152,152,152,06-01,0.4092296403504895,-0.6796328346472863,-0.7252783843019621
153,153,153,06-02,0.2285298693959141,-1.9118668701191863,-0.9573021183789904
154,154,154,06-03,0.42024272379853617,-0.6045320407254904,-0.9847665230263972
155,155,155,06-04,0.2812747262609862,-1.5521873448940338,-0.8527414252716281
156,156,156,06-05,0.3747216044555865,-0.9149512088895799,-0.6763606988809757
157,157,157,06-06,0.589067224567671,0.5467217476458028,-0.028742127457026763
158,158,158,06-07,0.5644207287741432,0.3786515236966284,0.2821695139007317
159,159,159,06-08,0.7983462718981589,1.973844558424508,0.7571045898962291
160,160,160,06-09,0.6938027493935566,1.2609378074210602,1.1222206792174818
161,161,161,06-10,0.6991531015380371,1.297423111078951,1.114826067840463
162,162,162,06-11,0.6959741838176597,1.2757453270379382,1.0419258497990809
163,163,163,06-12,0.5825609706727422,0.5023540793836867,0.4087296753245008
164,164,164,06-13,0.5002784360436643,-0.058749784551663166,0.0697452554007908
165,165,165,06-14,0.2412196202890659,-1.825332488422973,-0.1409765700844253
166,166,166,06-15,0.3955424906728542,-0.7729687121212,-0.14219732688419345
167,167,167,06-16,0.5137465091009454,0.033092158167654415,-0.2289369110548106
168,168,168,06-17,0.6949000836008538,1.2684207862393293,-0.13881901084894266
169,169,169,06-18,0.5062419150008715,-0.018083425640016287,0.2521833249067414
170,170,170,06-19,0.5795699510838475,0.4819576166835447,0.4870910710232176
171,171,171,06-20,0.5852485814110409,0.5206815261111314,0.7243226820940364
172,172,172,06-21,0.6022294090508888,0.6364777645776575,0.4034702373027472
173,173,173,06-22,0.7224781130803719,1.4564818245925668,0.5145339430864798
174,174,174,06-23,0.4125935008494784,-0.6566938825084062,0.2451126151584031
175,175,175,06-24,0.6039628947113584,0.6482988090623796,0.12683971521950696
176,176,176,06-25,0.3425157673228704,-1.134570350884916,-0.11868941417827356
177,177,177,06-26,0.4811844897829892,-0.1889558735222452,-0.6366714916703567
178,178,178,06-27,0.3861971156666326,-0.8366970118090257,-0.7063761242145202
179,179,179,06-28,0.2667242218536155,-1.6514106403599325,-0.9120803890559622
180,180,180,06-29,0.3512628894268867,-1.0749216777733877,-0.5436061890225757
181,181,181,06-30,0.4229710743044848,-0.5859267799862724,-0.5671856277082129
182,182,182,07-01,0.6667230281126008,1.0762748493154035,-0.5913978674431308
183,183,183,07-02,0.4604377855998004,-0.3304325056360682,-0.4851184721018444
184,184,184,07-03,0.364893632488351,-0.9819704502185336,-0.2540533145627773
185,185,185,07-04,0.3602356580379272,-1.0137342683122137,-0.16689709751429138
186,186,186,07-05,0.5545688516432393,0.3114692674610148,-0.39761900329942623
187,187,187,07-06,0.4996567103341567,-0.06298947769535697,-0.20850636851411167
188,188,188,07-07,0.4637190808294335,-0.3080565853954057,-0.056346768909907065
189,189,189,07-08,0.6268312245404921,0.8042433030758191,0.05276345086944704
190,190,190,07-09,0.4987734183351525,-0.0690128525933061,0.2194321179429521
191,191,191,07-10,0.4562378353291043,-0.3590729496360888,0.3439806598170126
192,192,192,07-11,0.7012146466717124,1.311481269902045,0.39485988759734797
193,193,193,07-12,0.6092425146935542,0.6843017735490061,0.3662749048418245
194,194,194,07-13,0.5084858923681103,-0.002781218713393359,0.15038569874310775
195,195,195,07-14,0.6016803212803716,0.6327334065426782,0.33643335625957066
196,196,196,07-15,0.3088202326385892,-1.3643480891856066,0.02680985146605697
197,197,197,07-16,0.6199345104675348,0.7572129954626885,0.1205300328907437
198,198,198,07-17,0.42878800633671577,-0.5462597588590369,0.22913666083409634
199,199,199,07-18,0.6917035480512795,1.2466228620971265,0.2801337707164522
200,200,200,07-19,0.6040449772265165,0.6488585489467225,0.4162750887693876
201,201,201,07-20,0.6465508530615748,0.9387160658368132,0.1226356541042597
202,202,202,07-21,0.4286061058482913,-0.5475001808679942,0.1946814708129967
203,203,203,07-22,0.3615716813630812,-1.0046236125280787,-0.1702315837871886
204,204,204,07-23,0.492178541913921,-0.1139848586066148,-0.19224090040135308
205,205,205,07-24,0.3706296116735906,-0.9428554655039852,-0.4760115392964253
206,206,206,07-25,0.584679767258802,0.5168026492617356,-0.4032913774015787
207,207,207,07-26,0.3968712241475636,-0.7639077675336202,-0.2338230011597891
208,208,208,07-27,0.4925899736197058,-0.11117920949891458,-0.08083372650993964
209,209,209,07-28,0.510680840286164,0.012186644922659187,0.2783656695804196
210,210,210,07-29,0.6267883291390273,0.8039507892924819,-0.03875229542969244
211,211,211,07-30,0.6866763044223069,1.2123409110381702,-0.01945192031779371
212,212,212,07-31,0.3056590196085556,-1.3859051407989371,0.05342759057419983
213,213,213,08-01,0.4138529334413921,-0.6481055168622278,0.2998841267444324
214,214,214,08-02,0.5567140468705539,0.3260978558530467,0.06730070055057814
215,215,215,08-03,0.7275291256972901,1.4909258619440542,0.10456473461059612
216,216,216,08-04,0.4221464966726901,-0.5915497678706435,0.5699445112614882
217,217,217,08-05,0.7194635942989902,1.4359251153982782,0.4657617492708581
218,218,218,08-06,0.7151300289797717,1.4063735191064155,0.563738185631362
219,219,219,08-07,0.3221862499030869,-1.2732020888060085,0.4571992424187206
220,220,220,08-08,0.6429200066134618,0.9139564740160704,0.9302348052098638
221,221,221,08-09,0.6337893226302816,0.8516922026682051,0.9434245542966421
222,222,222,08-10,0.8383535582654673,2.246663608876216,0.5722868356947081
223,223,223,08-11,0.7310687824547437,1.5150636099189472,0.6253879266803367
224,224,224,08-12,0.3885792335298315,-0.8204527925051883,0.32559275755320066
225,225,225,08-13,0.368907999354845,-0.9545955428922368,0.16829657497562636
226,226,226,08-14,0.3791409670717625,-0.8848145407467459,-0.2298323751217851
227,227,227,08-15,0.4953900412653015,-0.0920848927972405,-0.35145191265885184
228,228,228,08-16,0.4880541442482099,-0.14211009170825264,0.018199040781179177
229,229,229,08-17,0.6240601041813841,0.7853463846965466,0.1023357871670675
230,230,230,08-18,0.7138218775256551,1.397452928134998,0.2021583338670472
231,231,231,08-19,0.44293691121640144,-0.4497750645769069,0.15396588746594567
232,232,232,08-20,0.4669712532294447,-0.2858792605468676,0.12901520739618594
233,233,233,08-21,0.4529872325013735,-0.3812395712038499,0.35978168916565284
234,234,234,08-22,0.4661009338483372,-0.2918141721268109,0.14455094895061474
235,235,235,08-23,0.8271032722777751,2.1699452753133484,0.19463474286364268
236,236,236,08-24,0.5244480523934179,0.1060684868447696,0.4507031383198436
237,237,237,08-25,0.4870038489640888,-0.14927230109873926,0.7472972582733851
238,238,238,08-26,0.6922766696145108,1.2505311121903375,0.6906627886713089
239,239,239,08-27,0.7139497834418891,1.3983251485173989,0.4488049626388805
240,240,240,08-28,0.4162702910128153,-0.6316209897392678,0.6107532859094266
241,241,241,08-29,0.6143012273274692,0.7187983191187775,0.7091833418852009
242,242,242,08-30,0.6669405858524121,1.0777584264680458,0.40388239406840265
243,243,243,08-31,0.5736089323712696,0.4413080347559076,0.16258448498545922
244,244,244,09-01,0.4236532924575099,-0.5812745747104526,0.2009244412208193
245,245,245,09-02,0.5016403893758128,-0.04946230598026182,0.2039729539448543
246,246,246,09-03,0.4500042463039536,-0.4015812523271076,0.0042758815159335
247,247,247,09-04,0.6169835045660179,0.7370893954629879,-0.15255963538857645
248,248,248,09-05,0.4912342790498122,-0.12042400810547875,-0.09654979193176227
249,249,249,09-06,0.4356149742446343,-0.4997050666711521,-0.1593577326225303
250,250,250,09-07,0.4729343491034026,-0.2452155139695675,0.15795244404216185
251,251,251,09-08,0.4463779302800261,-0.4263099501248701,-0.009762022576637995
252,252,252,09-09,0.7291941141097431,1.5022798076610449,-0.15857745338993826
253,253,253,09-10,0.4694175479471692,-0.269197404249811,-0.06542414062785018
254,254,254,09-11,0.3602969076331644,-1.0133165929852803,-0.044316554669072916
255,255,255,09-12,0.5175772401545654,0.05921480990137616,-0.02824842919292142
256,256,256,09-13,0.4915061585406954,-0.118569998216904,-0.3522617705601139
257,257,257,09-14,0.4605156988026981,-0.32990119726796097,-0.3506044219968855
258,258,258,09-15,0.4441063715908173,-0.4418002405421095,0.06609537941346702
259,259,259,09-16,0.4708757896308728,-0.2592533128704411,-0.31894267420076816
260,260,260,09-17,0.7269361490634577,1.4868822154768349,-0.14548218933947524
261,261,261,09-18,0.17879603742512115,-2.251013511784035,-0.11187929408255322
262,262,262,09-19,0.6441278309591245,0.9221929109508537,-0.22130768697450887
263,263,263,09-20,0.4900816836799671,-0.1282838257264289,-0.15876179478458166
264,264,264,09-21,0.34782424516538824,-1.0983705978938438,-0.6134650201921553
265,265,265,09-22,0.5259076816295767,0.11602204026912287,0.022908690212846063
266,266,266,09-23,0.3268590550137588,-1.2413371369686068,-0.060582407091543035
267,267,267,09-24,0.7387184891742768,1.5672287506459734,0.08204706255516024
268,268,268,09-25,0.5706670026163743,0.4212463271245189,0.5958591786974702
269,269,269,09-26,0.6155762492638257,0.7274929921537907,0.5971452171619073
270,270,270,09-27,0.7999091366448448,1.9845020989600157,1.4099026943402366
271,271,271,09-28,0.5270392208466713,0.12373827105574485,1.1995322264770796
272,272,272,09-29,1.041975270310468,3.6352077261013687,0.7937001383107744
273,273,273,09-30,0.5536210437336235,0.30500594346703114,0.7190588569486577
274,274,274,10-01,0.2135898731102851,-2.013746201873313,0.3276306028328973
275,275,275,10-02,0.5499020572306934,0.27964530398109005,0.6369381996731548
276,276,276,10-03,0.4555054252016048,-0.3640674257345456,0.13740086311957267
277,277,277,10-04,0.7991879050800532,1.9795838520972893,0.2288672198083403
278,278,278,10-05,0.6024502464918118,0.6379837067798763,0.34852134619218145
279,279,279,10-06,0.6340990173713841,0.8538040835996371,0.2842852020003641
280,280,280,10-07,0.3188692564526695,-1.295821443570266,0.3855328836230412
281,281,281,10-08,0.4933829729902329,-0.10577156116981427,-0.05048844438965557
282,282,282,10-09,0.5445896365716945,0.2434186640015178,0.0948782968369713
283,283,283,10-10,0.4155483439165076,-0.6365441159788914,-0.052453510923791434
284,284,284,10-11,0.7303532393709442,1.5101841541396377,0.06897911264937316
285,285,285,10-12,0.5044670327792795,-0.030186762964939405,0.14135479111637286
286,286,286,10-13,0.4257134758189073,-0.5672257021312784,0.02557356857034625
287,287,287,10-14,0.5570637421226665,0.32848250963218395,0.086957136992872
288,288,288,10-15,0.44271788270362905,-0.4512686712746418,-0.10005996876187193
289,289,289,10-16,0.4695575488322463,-0.26824270544373696,-0.20452663901523926
290,290,290,10-17,0.5658035814245396,0.3880815196111739,-0.10720968594101138
291,291,291,10-18,0.4125505485217671,-0.6569867844851439,0.021617432967917943
292,292,292,10-19,0.5113391798213569,0.01667601631408927,0.3621197822353585
293,293,293,10-20,0.6704141132832864,1.10144522308576,0.4265876537863296
294,294,294,10-21,0.7423137131266613,1.5917454243300009,0.6398326271401393
295,295,295,10-22,0.5262805216824235,0.11856452386209004,0.5768676022820489
296,296,296,10-23,0.7534302013668679,1.667551359734032,0.5647538371584233
297,297,297,10-24,0.3571498766892504,-1.0347769336336865,0.4360177718300728
298,298,298,10-25,0.5006807114449414,-0.0560065744276647,0.34658939773127223
299,299,299,10-26,0.5571438569093785,0.3290288311156567,0.7009190434216447
300,300,300,10-27,0.6636288874297077,1.0551751797371975,0.395847824467632
301,301,301,10-28,0.83804249534425,2.244542398004324,0.7244560003138926
302,302,302,10-29,0.4850089544141562,-0.16287595399004434,1.1407940022577596
303,303,303,10-30,0.6462804496155858,0.9368721214438775,1.1645159119226645
304,304,304,10-31,0.8670016184736027,2.442021437235537,0.8582455530234051
305,305,305,11-01,0.5780159162081391,0.4713602891050854,0.6925976749888494
306,306,306,11-02,0.3941525601568088,-0.7824469736583589,0.8186792803516557
307,307,307,11-03,0.6922948560567542,1.2506551297969903,0.3761056039997184
308,308,308,11-04,0.5959436464684262,0.5936136781867939,0.010402090828385205
309,309,309,11-05,0.25687571165916623,-1.7185699366677456,0.08320630327836312
310,310,310,11-06,0.5452321858899476,0.2478003582075377,0.5307637009139484
311,311,311,11-07,0.6420737370548151,0.908185563804953,0.32516823098865805
312,312,312,11-08,0.7879422961015939,1.9028974121551527,-0.06380436674099325
313,313,313,11-09,0.5113987604027945,0.017082310245248162,0.13130518486705733
314,314,314,11-10,0.2537005791905283,-1.740221908191114,-0.04675503189496225
315,315,315,11-11,0.4285456230804466,-0.5479126270194425,-0.02291501638983713
316,316,316,11-12,0.388563373998072,-0.8205609423645799,-0.22134907924849315
317,317,317,11-13,0.6630497134553365,1.0512256568357037,-0.3720225026821196
318,318,318,11-14,0.6133472662163186,0.7122930350032166,0.2173415676896168
319,319,319,11-15,0.3788266077777232,-0.8869582303565107,0.5269048197332417
320,320,320,11-16,0.7722609311657644,1.7959625140393038,1.0747915354176945
321,321,321,11-17,0.7009192491772829,1.3094668852423064,1.2491851182690703
322,322,322,11-18,0.8706292860729031,2.4667593517421382,1.1490528945300298
323,323,323,11-19,0.8164923853993387,2.097587153943961,1.3747486762787875
324,324,324,11-20,0.5252445063154154,0.1114996925689716,1.0043295074782124
325,325,325,11-21,0.5774082484080079,0.4672164601360368,0.4741249385638963
326,326,326,11-22,0.4463423619688928,-0.4265524987641473,0.22318289670514027
327,327,327,11-23,0.2344112251953185,-1.87176052824359,0.03438828070698774
328,328,328,11-24,0.6498343647442523,0.9611071005896016,-0.007285100240892513
329,329,329,11-25,0.650378759807468,0.9648194579550456,-0.06802364040877873
330,330,330,11-26,0.4885775899241592,-0.1385405931183099,0.014573831219565625
331,331,331,11-27,0.5239665807677412,0.10278521912871952,0.31198632425918105
332,332,332,11-28,0.5190169210624647,0.0690323310059187,0.14916464966428974
333,333,333,11-29,0.4960938333244136,-0.08728557000589746,0.21710108005982026
334,334,334,11-30,0.506573400712514,-0.01582294697974589,0.2024647218581519
335,335,335,12-01,0.7101535934440467,1.3724380403282288,0.1826716123633447
336,336,336,12-02,0.4756995821828568,-0.2263587423283199,-0.0683238582507049
337,337,337,12-03,0.5065513321255263,-0.015973437840123794,-0.29538126335597764
338,338,338,12-04,0.2981749896842647,-1.4369404926783789,-0.3615633754714769
339,339,339,12-05,0.2963141490357044,-1.4496300006375342,-0.4988552849910423
340,340,340,12-06,0.4483421289428739,-0.4129156196727419,-0.4314578958174752
341,341,341,12-07,0.5893553559829253,0.5486865832108369,-0.17608952476634607
342,342,342,12-08,0.5350001327407025,0.17802559271308233,0.19685824959459555
343,343,343,12-09,0.7312408220906865,1.5162367884666512,0.2895887368213074
344,344,344,12-10,0.6263183884140312,0.8007461534872707,0.3812059503459883
345,345,345,12-11,0.3779043858901309,-0.8932470772772627,0.144639884167612
346,346,346,12-12,0.5289528361113359,0.1367876614753434,0.12103865522496245
347,347,347,12-13,0.381209341134276,-0.8707098138594208,-0.253780670768106
348,348,348,12-14,0.5142342560902493,0.03641821905718517,-0.05471243564109283
349,349,349,12-15,0.4014507120632948,-0.7326791674917595,0.056787387014416914
350,350,350,12-16,0.8014714037809881,1.9951555642493497,-0.17386624556678046
351,351,351,12-17,0.4760090892273202,-0.2242481413442042,-0.001010098257231103
352,352,352,12-18,0.32600895997679163,-1.2471341340118407,-0.13407609710426302
353,353,353,12-19,0.533299278570377,0.16642706999787496,0.021654585581691532
354,354,354,12-20,0.3971542461830788,-0.7619777740250064,-0.3421562263235785
355,355,355,12-21,0.5384725661034239,0.2017049286239678,-0.3168782313732609
356,356,356,12-22,0.4813672913009061,-0.18770930718227044,-0.2088802455766512
357,357,357,12-23,0.4982502922758825,-0.07258017164229842,-0.4241457693148225
358,358,358,12-24,0.4210325223937927,-0.5991462192321825,-0.6632038640810557
359,359,359,12-25,0.3438948486610492,-1.1251660724311527,-0.9076718478483112
360,360,360,12-26,0.18681558457054329,-2.196326342622405,-0.9168081668864592
361,361,361,12-27,0.3233739367806958,-1.2651029739795652,-0.87792509380272
362,362,362,12-28,0.4733285711712723,-0.2425272214111597,-1.0427702322590442
363,363,363,12-29,0.5324621166435691,0.16071826686013796,
364,364,364,12-30,0.27599118493085417,-1.5882170499701282,
365,365,365,12-31,,,
