,unnamed: 0,unnamed: 0,mth_day,lesbian,lesbian_norm,lesbian_ravg
155,155,155,06-04,0.8823316316384001,0.2746770101881862,0.1038751763505984
156,156,156,06-05,0.8001521635252092,-0.10818789519021002,0.5189125978013791
157,157,157,06-06,0.6573509110732456,-0.7734828802177621,0.5875690129173332
158,158,158,06-07,1.3426124142204474,2.4190734429813943,0.4336711438031502
159,159,159,06-08,1.0327657769948664,0.9755327853588516,0.20587926348137967
160,160,160,06-09,0.7835392482386913,-0.18558560030155613,0.19069118244996994
161,161,161,06-10,0.5889673357359787,-1.092074271742437,0.2368793790231206
162,162,162,06-11,0.7805920251585802,-0.19931638137866844,0.2747945119114525
163,163,163,06-12,0.7168348915713423,-0.4963537007788584,0.2806004608195026
164,164,164,06-13,1.3914418380266007,2.6465642403113865,0.4532208518015061
165,165,165,06-14,1.0402430325978738,1.0103684788071519,0.7498991997469547
166,166,166,06-15,1.0058503305621829,0.8501367455904644,0.762594608015038
167,167,167,06-16,0.9710478318957536,0.6879958159302552,1.140771819261882
168,168,168,06-17,0.7969419473002258,-0.12314393177016912,0.6130895060468718
169,169,169,06-18,1.2038746014462365,1.7727095667022068,0.7967532999035871
170,170,170,06-19,0.7118603267900578,-0.5195296389786757,0.9417769951374748
171,171,171,06-20,1.2767764836209443,2.1123512419474437,0.7972262033615779
172,172,172,06-21,1.192620702628824,1.7202789169937909,0.9417195942639416
173,173,173,06-22,0.7848864937849646,-0.17930893472512613,0.844637088237301
174,174,174,06-23,0.9830293610603116,0.7438164136440131,0.7850805818353157
175,175,175,06-24,1.0788458208561758,1.190214530542363,0.7884834332403007
176,176,176,06-25,0.6351598204228137,-0.8768686773905875,0.3795426042515862
177,177,177,06-26,1.281158883489956,2.1327683503773525,0.3657474171281438
178,178,178,06-27,0.665961726933275,-0.7333660569384961,0.2984702664574417
179,179,179,06-28,0.7671202092642249,-0.2620800574657806,0.1560187829462513
180,180,180,06-29,0.8963857374642807,0.34015350961980106,0.4292654835468455
181,181,181,06-30,0.8953881001442501,0.3355056294752204,0.2861220172814392
182,182,182,07-01,0.9870636100404278,0.7626115262129773,0.4957599089755679
183,183,183,07-02,1.0968099851241981,1.2739075527849149,0.4520746735850778
184,184,184,07-03,0.9359462075233784,0.5244612932262769,0.5407261540024122
185,185,185,07-04,0.7108596950458969,-0.5241914698087212,0.4245350992840389
186,186,186,07-05,1.010556528348494,0.8720623921238075,0.3797756291033192
187,187,187,07-06,0.7457501634914324,-0.36164069883501976,0.21384057821761296
