,unnamed: 0,unnamed: 0,mth_day,powerful ending,powerful ending_norm,powerful ending_ravg
74,74,74,03-15,3.717800405569399,0.5791130100415277,-0.0508861619066955
75,75,75,03-16,3.4292422482204317,-0.018044408169838447,-0.30399567691506024
76,76,76,03-17,2.855461962649924,-1.205455490565604,0.10501383410045148
77,77,77,03-18,3.013943253207513,-0.8774859776825391,0.026375183674580305
78,78,78,03-19,4.093774713036857,1.357174004136232,0.057256903937386174
79,79,79,03-20,3.5940174059626537,0.32294996428770506,0.15224184010813993
80,80,80,03-21,3.8073363171033394,0.7644033316183629,0.4205779783531165
81,81,81,03-22,3.7046337344999234,0.5518652088546842,0.5745559809317302
82,82,82,03-23,3.6334536202001075,0.4045613389042551,0.17467139162832146
83,83,83,03-24,3.4603743684344797,0.04638203778914395,0.23553448796466586
