,unnamed: 0,unnamed: 0,mth_day,police,police_norm,police_ravg
129,129,129,05-09,5.537711529453545,-1.260215024761029,-0.2424107312210523
130,130,130,05-10,7.01696168193572,0.7761056340588268,-0.03300964508344744
131,131,131,05-11,6.60267341878943,0.2058006403187292,0.07053204927345573
132,132,132,05-12,6.545657158880309,0.1273126389845639,0.06291266457128432
133,133,133,05-13,7.394608030739421,1.2959697425779126,0.4157157256572209
134,134,134,05-14,5.8956376045205525,-0.7674976437513046,0.5304540106225738
135,135,135,05-15,7.07543785849842,0.8566033417545904,0.6887887666685204
136,136,136,05-16,7.517059615319862,1.4645353438509447,0.7636071528889471
137,137,137,05-17,7.2927907959610625,1.1558091765944092,0.5424228362388215
138,138,138,05-18,6.8717603452689735,0.5762229563071235,0.5892430445420521
139,139,139,05-19,6.4305547534299885,-0.03113615732284084,0.3574425729207202
140,140,140,05-20,6.0997080193793,-0.4865763939319204,0.9637927500495116
141,141,141,05-21,6.0651130410209495,-0.5341994879734017,0.680785758042238
142,142,142,05-22,10.159895618845496,5.102636406623693,0.6112952268611358
143,143,143,05-23,6.059277397370187,-0.5422327754492341,0.757794850471739
144,144,144,05-24,6.568879131348706,0.15927976922051112,0.9375914706143579
145,145,145,05-25,7.069087559034858,0.8478615843407785,1.0983044822613242
146,146,146,05-26,6.883369010912591,0.5922033269237945,0.22270902275521984
147,147,147,05-27,6.7655962756872094,0.4300785819083949,0.5259290812932131
148,148,148,05-28,6.343527961687565,-0.15093635041293246,0.3758184588592004
149,149,149,05-29,7.3808914051206065,1.277087575778726,0.2872403238904597
150,150,150,05-30,5.914607437459209,-0.7413839653835655,0.10326974578009353
151,151,151,05-31,6.683011174380289,0.3163927745283342,-0.19516667805796364
152,152,152,06-01,6.0815154191122405,-0.5116201417384028,0.0264345483813171
153,153,153,06-02,5.464832203319959,-1.360539961119948,-0.02266655283262824
154,154,154,06-03,7.3093983807123974,1.1786710082227518,0.2108667320177252
155,155,155,06-04,7.166879497487555,0.9824809684950538,0.3000161247977923
156,156,156,06-05,6.932484889308333,0.659815743718555,0.3875702507820049
157,157,157,06-06,7.071577441561514,0.8512891312087372,1.035640355432005
158,158,158,06-07,6.463128561379283,0.013704614166872426,1.1944244884481103
159,159,159,06-08,8.28950855368878,2.527880666780053,1.2430398773904827
160,160,160,06-09,8.001474410953966,2.131375806319384,1.2560632895924524
161,161,161,06-10,7.378774381118492,1.274173302149288,1.3932522347180023
162,162,162,06-11,6.989248693384558,0.7379562169303728,1.5443323975736618
163,163,163,06-12,7.669528752766451,1.6744228019620375,1.3542050772864525
164,164,164,06-13,7.121626091146878,0.9201855913008284,1.1456544158411928
165,165,165,06-14,7.460820204510384,1.3871167450567967,1.166507934253907
166,166,166,06-15,7.092486144080668,0.8800718376478254,1.3720625278720096
167,167,167,06-16,7.469666461866741,1.3992944126255722,1.3995693957909765
168,168,168,06-17,7.885178308308396,1.971283778638987,1.4180222744458106
169,169,169,06-18,7.789420102060191,1.8394640094758383,1.2042400922852867
170,170,170,06-19,7.202054750883753,1.0309028632298354,1.11327850877945
171,171,171,06-20,6.5290298476550905,0.1044236520936534,1.1369871183289393
172,172,172,06-21,6.696021268016375,0.3343023366128051,0.7998732980815899
173,173,173,06-22,7.573002733998503,1.5415460699225092,0.7083508362997134
174,174,174,06-23,6.415835055776412,-0.051399142845110254,0.4794188810164359
175,175,175,06-24,7.3905105836795855,1.2903292387845793,0.6262688177898731
176,176,176,06-25,6.204232639830497,-0.34268886846983,0.9722412499451896
177,177,177,06-26,7.1690895271261965,0.9855232727342772,1.0394547042290203
178,178,178,06-27,8.203975638965932,2.4101369295447044,1.3957193035126751
179,179,179,06-28,7.865959087608838,1.9448267956254923,1.2164496682773722
180,180,180,06-29,7.968648834485815,2.0861884528568173,1.3834018582919292
181,181,181,06-30,6.609146506930694,0.2147114273727641,1.2678393291209855
182,182,182,07-01,6.931909938000405,0.6590242716175124,0.8588995469389703
183,183,183,07-02,6.665399045501123,0.2921480977086177,0.6799300282870251
184,184,184,07-03,6.421571971266498,-0.04350176354738865,0.5351141203873346
185,185,185,07-04,7.085903098070389,0.8710096837138209,0.6268557502262436
186,186,186,07-05,7.337454666962283,1.2172930054586752,0.6922591558873018
187,187,187,07-06,7.009011290525688,0.7651612064062182,0.5185824145600114
188,188,188,07-07,7.21697701929116,1.0514447055838612,0.4981533340855844
189,189,189,07-08,5.908412138812584,-0.7499123502551247,0.3811704396407288
190,190,190,07-09,6.332529844401133,-0.1660762463939505,0.20212823555825146
191,191,191,07-10,6.576021816762816,0.16911231704468707,0.04744909468042067
192,192,192,07-11,6.557081870931501,0.14303978096381142,-0.13838058962272584
193,193,193,07-12,6.3348272663005,-0.16291363886076668,-0.06266499728091987
194,194,194,07-13,6.407020332998576,-0.06353340023501802,-0.03559408136842389
195,195,195,07-14,6.238425885022295,-0.2956187962042889,-0.20304755672970712
196,196,196,07-15,6.450521054630076,-0.003650750918974554,-0.10669313383780198
197,197,197,07-16,5.846159617833678,-0.8356085351230123,0.03032051477430053
198,198,198,07-17,6.977051960036584,0.7211663183152424,0.14878009547645862
199,199,199,07-18,6.9320145306650005,0.6591682528118483,0.12726441414212286
200,200,200,07-19,6.923337894452369,0.6472240839779305,0.11055328756631634
201,201,201,07-20,6.144647703015284,-0.4247128842103036,0.15553494792023467
202,202,202,07-21,6.377683990108801,-0.1039175103738135,0.207900472225419
203,203,203,07-22,6.0422165432964805,-0.5657185729995023,-0.14329344489971876
204,204,204,07-23,7.205292172041736,1.0353594641463484,-0.3204682178347565
205,205,205,07-24,5.401301811502443,-1.4479952499389783,-0.5559733604372022
206,206,206,07-25,6.151104478035407,-0.415824553632296,-0.6735346223012311
207,207,207,07-26,5.1181757180768175,-1.837743739824978,-0.5577062064379097
208,208,208,07-27,5.8652818383598335,-0.8092850815579863,-0.5872595196751672
209,209,209,07-28,6.547065917835221,0.1292519221804256,-0.3711869192294735
210,210,210,07-29,7.0764811925237,0.8580395847228032,-0.4471611809413741
211,211,211,07-30,6.34307517839963,-0.15155964726481613,-0.004560153098694879
212,212,212,07-31,5.819963296310575,-0.8716701239036999,0.02370739934471644
213,213,213,08-01,7.047295186828335,0.8178624272310973,0.07770633594873355
214,214,214,08-02,5.9884887048651745,-0.6396797668975184,-0.0068786854714773145
215,215,215,08-03,6.782425515625661,0.4532455418045283,0.06316269644726806
216,216,216,08-04,6.707809180210857,0.3505294562015379,0.26838329989007353
217,217,217,08-05,6.648357328638421,0.2686886442476561,0.3945401422699361
218,218,218,08-06,6.714437182691087,0.3596534967531329,0.4730270203240168
219,219,219,08-07,7.59716200918401,1.5748034815102732,0.5587917007738803
220,220,220,08-08,6.330581368394803,-0.16875849857303374,0.8459380472228583
221,221,221,08-09,7.156239186130495,0.9678336245037088,0.7978252727773869
222,222,222,08-10,7.9593643562473835,2.0734075348954053,0.987543381978476
223,223,223,08-11,6.438653138996547,-0.019988002425171767,0.6383010696007266
224,224,224,08-12,7.541341945697278,1.4979621519596675,0.6490960231339243
225,225,225,08-13,6.074955548427235,-0.5206503927562229,0.5617652786180224
226,226,226,08-14,6.377632219421207,-0.10398877737384836,0.3843475419043653
227,227,227,08-15,6.775599673639183,0.4438491574082977,0.3598851209643589
228,228,228,08-16,7.186071958657648,1.0089011146134628,-0.05740053097813055
229,229,229,08-17,6.332031306873431,-0.16676252806520986,-0.07964313402565411
230,230,230,08-18,5.722561995915831,-1.0057517596952692,0.05545061164018592
231,231,231,08-19,5.978009007693171,-0.6541060110413643,0.15415286487298904
232,232,232,08-20,6.9664514007521,0.7065736966211917,-0.16072998045418022
233,233,233,08-21,7.20580300879439,1.0360626768051169,-0.01867166272168162
234,234,234,08-22,5.813624564539915,-0.8803959573495528,0.20274112137273945
235,235,235,08-23,6.951206250437415,0.6855873783297818,0.5679940752316737
236,236,236,08-24,6.687611070720163,0.3227249448712572,0.6947862868564512
237,237,237,08-25,7.5699994008079425,1.537411712112241,0.507271336410443
238,238,238,08-26,7.519087541530252,1.4673269663698565,0.3060250711079869
239,239,239,08-27,6.38850092671258,-0.08902702587093311,0.1931963229763589
240,240,240,08-28,4.9364732160652,-2.087873549164289,-0.007337256004690013
241,241,241,08-29,6.459431218380889,0.008614889540014006,-0.5482377574399601
242,242,242,08-30,5.813566034637987,-0.8804765290150364,-0.7158725783046758
243,243,243,08-31,5.212432150993213,-1.7079912964993795,-0.5334306735848128
244,244,244,09-01,6.788434930651671,0.4615180411815621,-0.18431879861485345
245,245,245,09-02,7.1836916474090025,1.0056244024482446,-0.18226639608317585
246,246,246,09-03,6.458111152740482,0.006797700655467241,-0.0469844250076684
247,247,247,09-04,6.468376813696997,0.02092930473007952,0.3872060248459436
248,248,248,09-05,6.403205614656326,-0.0687847025619919,0.3389101822718506
249,249,249,09-06,7.10489330057804,0.8971514026222924,0.25541196262780713
250,250,250,09-07,6.577932820831543,0.17174298573700414,0.2992310971548816
251,251,251,09-08,6.8197565659507875,0.5046350845839835,0.3666341643510991
252,252,252,09-09,6.649101096735978,0.26971250781791384,0.9290270034063663
253,253,253,09-10,6.76215961355983,0.4253477079073848,0.7934298796616538
254,254,254,09-11,8.854449300637068,3.3055723317696115,0.4942431504850429
255,255,255,09-12,6.513880097112068,0.08356866015401664,0.217328873599572
256,256,256,09-13,5.27389846994016,-1.6233773893226606,0.2501766032589675
257,257,257,09-14,5.61279885661422,-1.1568505767288422,0.13237275361155704
258,258,258,09-15,6.792271109465253,0.4667988857742871,-0.3284435277183585
259,259,259,09-16,6.248700119449768,-0.28147538997707783,-0.4092437137518172
260,260,260,09-17,6.84593688446799,0.5406746437901178,-0.14907241464532148
261,261,261,09-18,6.1617046565902855,-0.4012324560467357,0.1855086627441779
262,262,262,09-19,6.407880288199999,-0.06234959468368592,-0.02124866419821769
263,263,263,09-20,7.071102903972562,0.8506358876081541,0.1400879352130643
264,264,264,09-21,5.8910992648002845,-0.7737450758800866,0.016480756569260513
265,265,265,09-22,6.951901321813664,0.6865442064906142,0.2511262384580886
266,266,266,09-23,6.307183018573296,-0.20096842807270504,-0.08270114837638158
267,267,267,09-24,7.184429727005655,1.006640435286233,-0.16608129131825375
268,268,268,09-25,4.9528612741598295,-2.0653139156905067,0.1738107145079949
269,269,269,09-26,6.7076824712626255,0.3503550299569209,-0.050872850271535874
270,270,270,09-27,7.372551508389479,1.2656069590774053,-0.06905262899531044
271,271,271,09-28,5.97259623244828,-0.6615571821865704,-0.2555829392309815
272,272,272,09-29,6.227944691349857,-0.31004710041535244,-0.1197129009682681
273,273,273,09-30,6.37141929469415,-0.1125414261277932,-0.3472016576568032
274,274,274,10-01,5.545064001998456,-1.250093686114227,-0.7538287247271116
275,275,275,10-02,5.7161506811333025,-1.0145775101742895,-0.7721486965700235
276,276,276,10-03,5.600228033611004,-1.1741554433444454,-0.8571841732975288
277,277,277,10-04,5.892746859930098,-0.7714770132440409,-0.7526227231314478
278,278,278,10-05,5.857309325930178,-0.8202599607803844,-0.7236357571525821
279,279,279,10-06,6.8271605074506105,0.5148272748686927,-0.5593015000212374
280,280,280,10-07,5.671406502110642,-1.076171890241032,-0.6106147395054189
281,281,281,10-08,6.432417465148946,-0.028571967386221538,-0.5381716388744484
282,282,282,10-09,5.376574306966635,-1.4820348802495351,-0.32347858920964684
283,283,283,10-10,6.20849713390733,-0.3368184094582177,-0.5258635204851068
284,284,284,10-11,6.793069787067697,0.46789833720842494,-0.2763841931412763
285,285,285,10-12,5.945046172993614,-0.6994823127840669,-0.562646502494386
286,286,286,10-13,6.7587863253700755,0.4207040738219504,-0.3928389699805373
287,287,287,10-14,5.184715450459674,-1.7461458235048797,-0.5211380373192308
288,288,288,10-15,6.116696892107939,-0.4631896851664426,-0.6210258666548872
289,289,289,10-16,5.649293216482833,-1.1066128134903792,-0.5680745444221388
290,290,290,10-17,6.357699003583576,-0.1314286388055133,-0.4179126352975325
291,291,291,10-18,6.175839642031013,-0.38177437938757625,-0.15347063862012764
292,292,292,10-19,7.413281557270305,1.3216755285695885,0.0410704620481614
293,293,293,10-20,6.3373115179212105,-0.1594938434404507,0.5273848648161678
294,294,294,10-21,6.9646231307811615,0.7040569188432918,0.6448865662430675
295,295,295,10-22,7.768941665757318,1.81127360311766,0.6000082489974256
296,296,296,10-23,6.869841555395796,0.5735815697558851,0.3756030236133005
297,297,297,10-24,5.9802331475197805,-0.6510442828614281,0.4210068853181859
298,298,298,10-25,6.435189637131425,-0.024755823735161886,0.2015322248226312
299,299,299,10-26,6.535208648884335,0.11292932678886212,0.0935233705078104
300,300,300,10-27,6.008021555490428,-0.6127910441300367,0.21149401014378708
301,301,301,10-28,7.298174607958415,1.1632204772287351,0.3796186719839038
302,302,302,10-29,7.384028019833299,1.2814054075717454,0.8928005706786242
303,303,303,10-30,6.713020777756188,0.35770368817927234,0.9263521215083559
304,304,304,10-31,8.67194267091503,3.054335568433161,1.1640363792734034
305,305,305,11-01,6.681446334386157,0.31423863176725225,1.1499060872168123
306,306,306,11-02,7.043991425025588,0.8133145024602486,1.0971261401508012
307,307,307,11-03,7.236586360777018,1.0784387248891871,1.106908821999873
308,308,308,11-04,7.153981506066713,0.96472572517568,0.5005276837178539
309,309,309,11-05,6.755659544556236,0.41639977927370336,0.4223103563404422
310,310,310,11-06,6.028971720202861,-0.5839512612589536,0.08608753621500191
311,311,311,11-07,6.340528533600774,-0.15506533249721885,0.05745611876923625
312,312,312,11-08,5.578531682864587,-1.2040224182923929,0.175645924243099
313,313,313,11-09,7.111793553399693,0.906650220214593,-0.06318169523879344
314,314,314,11-10,7.669123226046237,1.6738645580188565,-0.04746156805372975
315,315,315,11-11,5.714706222184239,-1.0165659376176512,0.062076676408082475
316,316,316,11-12,6.0974894178498165,-0.4896304981485715,0.26560443046976595
317,317,317,11-13,6.817961586556213,0.5021641342736545,0.13118984700691905
318,318,318,11-14,6.465627121177088,0.017144106077707912,-0.07071512087632674
319,319,319,11-15,6.525934566342682,0.10016271943751172,0.16429076374439974
320,320,320,11-16,6.78910085854359,0.4624347507193819,0.3732549871010222
321,321,321,11-17,6.739002142830312,0.3934693701067077,0.22236126789919028
322,322,322,11-18,7.0082802343887405,0.7641548419911628,0.2233558005322003
323,323,323,11-19,6.160276689520577,-0.4031981809373368,0.28016797795332044
324,324,324,11-20,6.4699618880302046,0.023111301875768167,0.17896677092137284
325,325,325,11-21,6.773555946842965,0.4410357839642324,0.2087584717184336
326,326,326,11-22,6.348005591101337,-0.14477249147230356,0.11990664245912347
327,327,327,11-23,6.868852157627972,0.572219574889072,0.1310909105379228
328,328,328,11-24,6.621010926647218,0.23104386643530225,0.009471048232876698
329,329,329,11-25,6.2090244057193225,-0.3360925724645409,-0.07170145747249944
330,330,330,11-26,5.939869932972798,-0.7066078719545085,-0.3353260405839215
331,331,331,11-27,6.41975771495263,-0.0459992502680244,-0.5495139450990073
332,332,332,11-28,5.1989722998760985,-1.726519990140836,-0.5963368161269652
333,333,333,11-29,5.935293420575035,-0.7129078522014431,-0.6348751229385988
334,334,334,11-30,6.416928906044723,-0.049893359732444915,-0.4297483615126791
335,335,335,12-01,6.04105146104404,-0.5673224133343425,-0.33407202388039364
336,336,336,12-02,6.833934799829241,0.5241526966010104,-0.04830670374885748
337,337,337,12-03,6.8367723037458825,0.5280587755256883,0.2659909115211031
338,338,338,12-04,6.444508138883923,-0.011928069351618708,0.2948471178141128
339,339,339,12-05,7.3051900327784915,1.1728778394183204,0.2826469670787135
340,340,340,12-06,6.542701477395238,0.12324387802561305,-0.014946894249565744
341,341,341,12-07,5.9878759218455,-0.6405233177467382,-0.23635477388578194
342,342,342,12-08,5.536843117806798,-1.2614104713686651,-0.2502254019496714
343,343,343,12-09,5.871744605497887,-0.8003885022916087,-0.43121350373106776
344,344,344,12-10,6.384051662376662,-0.09515183773495547,-0.551739427636969
345,345,345,12-11,6.516335853065707,0.08694922872994218,-0.5028738119934189
346,346,346,12-12,6.0173775588552605,-0.5999116654097942,-0.1771701864051304
347,347,347,12-13,6.200861442800975,-0.34732962388543737,0.05947833203948361
348,348,348,12-14,6.956453931247243,0.6928112821610656,-0.01019548464388352
349,349,349,12-15,6.903200104839784,0.6195026083760754,0.2709013056095099
350,350,350,12-16,6.080371580834052,-0.5131947378351582,0.21950792742865954
351,351,351,12-17,7.741523452210032,1.7735299702503031,0.3130529082724162
352,352,352,12-18,5.793374539935862,-0.9082719344948968,0.15610439414819402
353,353,353,12-19,6.608586306498813,0.21394026117710294,-0.02177280172613751
354,354,354,12-20,6.272378623820982,-0.2488798025842678,0.11196764329641602
355,355,355,12-21,6.127905109975764,-0.4477605668699137,-0.070209986688938
356,356,356,12-22,6.66329227017372,0.28924793230016305,-0.13117603095022864
357,357,357,12-23,6.947484598552704,0.6804641903381791,-0.3242107318058564
358,358,358,12-24,5.527648128294934,-1.2740682000626409,-0.5535339480272166
359,359,359,12-25,5.767225857382141,-0.9442679439566636,-0.697779099110436
360,360,360,12-26,5.272851164055148,-1.6248190999124292,-0.8905896511272751
361,361,361,12-27,5.499198641344265,-1.3132314733692303,-1.210691589495216
362,362,362,12-28,5.822908795491368,-0.8676153798008709,-0.9197183324449172
363,363,363,12-29,5.552289281676514,-1.2401474398694676,
364,364,364,12-30,6.795883265022385,0.4717713422391508,
365,365,365,12-31,,,
