,unnamed: 0,unnamed: 0,mth_day,infidelity,infidelity_norm,infidelity_ravg
73,73,73,03-14,0.6256131979598926,-1.300206286371803,-0.08603464328563888
74,74,74,03-15,1.17612113071572,1.1071282369962274,-0.4490655002744495
75,75,75,03-16,0.6814303518136572,-1.0561215902700458,-0.7882960135110233
76,76,76,03-17,0.6931156854194466,-1.0050224047134113,-0.7289881341716354
77,77,77,03-18,0.5501411327394695,-1.6302406007648589,-0.5743643914257812
78,78,78,03-19,0.8110128034947722,-0.4894661599059216,-0.8748279362803782
79,79,79,03-20,0.83776883187212,-0.3724638298966775,-0.7486926686736127
80,80,80,03-21,0.7638621031295366,-0.695653032131355,-0.4853946539519902
81,81,81,03-22,0.8544976129120132,-0.29930998462945313,-0.2648578361884393
82,82,82,03-23,1.0543807552535849,0.5747656836163236,-0.2373957667668252
83,83,83,03-24,0.8527345607779718,-0.30701969418355324,-0.2294014648300247
