,unnamed: 0,unnamed: 0,mth_day,tom cruise,tom cruise_norm,tom cruise_ravg
63,63,63,03-04,0.4896944903564053,-0.2658690913380915,-0.2281903099004481
64,64,64,03-05,0.6566968933659714,0.7603382973259907,-0.1899342559469256
65,65,65,03-06,0.5549270269858712,0.13497610528236514,-0.37373008672881697
66,66,66,03-07,0.4875017728401422,-0.2793430466578446,-0.027127645579064885
67,67,67,03-08,0.3891392802500741,-0.8837673833397662,-0.10113917362733386
68,68,68,03-09,0.5933205639413413,0.37089924525295614,-0.3958079534025669
69,69,69,03-10,0.4174277935599933,-0.7099382596277053,-0.6400061211782663
70,70,70,03-11,0.3689749678100308,-1.0076743813254074,-0.8108308362772624
71,71,71,03-12,0.31648586228817016,-1.330212901371832,-0.6832840166585555
72,72,72,03-13,0.32070427227588594,-1.3042913372518217,-0.6513846901091679
73,73,73,03-14,0.5136791672622748,-0.11848646562752485,-0.5014271418879814
74,74,74,03-15,0.624467859782212,0.5622952045492823,0.022799121916926717
75,75,75,03-16,0.5638500733778908,0.1898070296994136,0.22038187536148154
76,76,76,03-17,0.8808425303118865,2.137683201504041,0.5736622934736472
77,77,77,03-18,0.5094105770172809,-0.14471638070450302,0.5703759266885008
78,78,78,03-19,0.665656059288999,0.815391171421172,0.21458792064294765
79,79,79,03-20,0.5104702769949494,-0.13820466633840306,0.05582646363751826
80,80,80,03-21,0.27706760154236965,-1.5724328317240364,-0.4252431940064129
81,81,81,03-22,0.4088314380527916,-0.7627617123331628,-0.2959352002214251
82,82,82,03-23,0.4111141514540095,-0.7487347443595456,-0.5345580023119567
83,83,83,03-24,0.6356701182892516,0.6311315820054235,-0.5389826795776125
84,84,84,03-25,0.4326588203164415,-0.6163456411220175,-0.10341562556680901
85,85,85,03-26,0.5061499120624677,-0.16475272993233786,0.2344599880999587
86,86,86,03-27,0.7023661064749581,1.0409694923407846,0.5066312546238718
87,87,87,03-28,0.7387415908580884,1.2644919696674437,0.5024280821753372
88,88,88,03-29,0.6768689455146232,0.8842928547839327,0.5383974564967376
89,89,89,03-30,0.6315660361694609,0.6059125473142158,0.4869987517011117
90,90,90,03-31,0.4677802120318783,-0.4005293951936148,0.14792038538313046
91,91,91,04-01,0.4559629383146577,-0.4731449587060933,0.08631396489602312
92,92,92,04-02,0.3712815560662279,-0.993500705567103,0.12516554314583075
93,93,93,04-03,0.6785875496234517,0.8948534467447996,-0.09865049136070636
94,94,94,04-04,0.714804592831752,1.1174023242827784,0.010817766136920473
95,95,95,04-05,0.4130264933389101,-0.7369836597250068,-0.028933030485011533
96,96,96,04-06,0.5746677413401936,0.25628014979214625,0.03865958937930684
97,97,97,04-07,0.4171492718136837,-0.7116497384376852,-0.27068740212035763
98,98,98,04-08,0.4372806712611488,-0.5879449863811929,-0.6063915323543241
99,99,99,04-09,0.3765334530642151,-0.9612285022531872,-0.6337238767356225
100,100,100,04-10,0.387014730459242,-0.8968224571210204,-0.6015833457176107
101,101,101,04-11,0.3863385124766558,-0.9009777260127964,-0.4020089205728334
102,102,102,04-12,0.6060505552234512,0.4491233359002163,-0.6168571967232758
103,103,103,04-13,0.6120187043276252,0.4857968124309788,-0.5383760804999611
104,104,104,04-14,0.2274974707350121,-1.8770346432838472,-0.43606256104616903
105,105,105,04-15,0.4531643669220584,-0.4903418049132993,-0.3831825909666913
106,106,106,04-16,0.4869161955893613,-0.2829413403982678,-0.6948544764394877
107,107,107,04-17,0.4379718304895561,-0.5836979055359299,-0.8083231005701538
108,108,108,04-18,0.3017263743642315,-1.4209079769365625,-0.5443688759873451
109,109,109,04-19,0.5012251175419424,-0.19501493235301773,-0.4768576323961115
110,110,110,04-20,0.4852289406705798,-0.2933092957869949,-0.5051344711267581
111,111,111,04-21,0.5190840242999538,-0.08527434336589756,-0.3836075612292886
112,112,112,04-22,0.4593059869529991,-0.4526023727821477,-0.3435813355969737
113,113,113,04-23,0.5566337279231236,0.14546355384888698,-0.23841367454357296
114,114,114,04-24,0.3408089766013964,-1.1807506231426736,-0.1359634697473008
115,115,115,04-25,0.6039134375179505,0.4359910339673869,-0.16414248180707627
116,116,116,04-26,0.5852638687687259,0.3213919329906381,0.0638548747838629
117,117,117,04-27,0.491569336058169,-0.2543484157245504,0.0827954710923504
118,118,118,04-28,0.6819282766643407,0.9153817667634874,0.1375402788741594
119,119,119,04-29,0.5751277972480539,0.25910713169981203,-0.07016368055470862
120,120,120,04-30,0.3942631685289792,-0.8522817764518197,-0.10846543566058413
121,121,121,05-01,0.4011061255317561,-0.8102327226058212,0.06452645459397355
122,122,122,05-02,0.5478650824444992,0.09158140235538513,-0.12772038221559553
123,123,123,05-03,0.6604829203461601,0.7836029258027957,-0.08777917496510564
124,124,124,05-04,0.4942136836522139,-0.2380992540939271,0.1387716431056735
125,125,125,05-05,0.6141273854226329,0.4987543752027514,0.14575339224579692
126,126,126,05-06,0.6154730220510212,0.5070231319728552,0.02912559665644592
127,127,127,05-07,0.4079232790417992,-0.7683422277650808,-0.2102196392408769
128,128,128,05-08,0.43398680207184215,-0.6081853711807209,-0.30321076137484265
129,129,129,05-09,0.4267802790363233,-0.6524684895811413,-0.4340189879308661
130,130,130,05-10,0.4034148391312543,-0.7960459868977218,-0.4897236883501868
131,131,131,05-11,0.4864029795593278,-0.28609498413338896,-0.5035514993129951
132,132,132,05-12,0.5610815670777826,0.17279492945693126,-0.6081193867712441
133,133,133,05-13,0.3944214604932664,-0.8513090935419312,-0.5198387063247877
134,134,134,05-14,0.3318841159516716,-1.2355926959302146,-0.1366276649776243
135,135,135,05-15,0.5129797311357888,-0.1227844069024025,-0.19662171800911396
136,136,136,05-16,0.7775916311036024,1.5032202611852588,0.20069372182479064
137,137,137,05-17,0.42782329401105823,-0.6460593023223272,0.15359138235958827
138,138,138,05-18,0.9490302445362993,2.5566875684603594,0.21984050899674
139,139,139,05-19,0.3484295647130108,-1.1339231303331454,0.03432398746922313
140,140,140,05-20,0.39657141094430776,-0.8380979361073045,-0.32589152392984005
141,141,141,05-21,0.3318367853610372,-1.2358835360675036,0.024472110548603786
142,142,142,05-22,0.4258682465159575,-0.6580728072091204,-0.3376559515104449
143,143,143,05-23,0.7699270609381458,1.456122504548336,-0.19647366841285555
144,144,144,05-24,0.5954393979154043,0.3839191961060674,-0.11366208687958206
145,145,145,05-25,0.4862834574063845,-0.2868294317476091,-0.0044705494572820905
146,146,146,05-26,0.4774306988378563,-0.3412284469076634,-0.10396443708831504
147,147,147,05-27,0.43845411830523895,-0.5807343115337038,-0.38597578708970265
148,148,148,05-28,0.32871994002728594,-1.255036132995318,-0.16775091123093708
149,149,149,05-29,0.49456416462818703,-0.23594559545998986,0.32114069484614616
150,150,150,05-30,0.8085195943793242,1.6932684512586609,0.5146879326303256
151,151,151,05-31,0.9636493812614019,2.64652020471489,0.3497719103192445
152,152,152,06-01,0.6664150357050842,0.8200549797974134,0.5899956051983165
153,153,153,06-02,0.2774260123397392,-1.5702304454001907,0.6034228378450108
154,154,154,06-03,0.5632803305358793,0.1863060362791142,0.04488495022136759
155,155,155,06-04,0.5076748485457073,-0.155382199579824,-0.08285576592064696
156,156,156,06-05,0.26314930898430033,-1.6579588744831988,-0.21249517907369087
157,157,157,06-06,0.8389201688612614,1.8800759078628029,0.1997980019924439
158,158,158,06-07,0.5398318883191017,0.0422185008791495,0.6140179671522693
159,159,159,06-08,0.6799993288628455,0.9035286409966184,0.797086821638135
160,160,160,06-09,0.9677350069709182,2.6716258272380657,1.3318455294289064
161,161,161,06-10,0.6864278313427696,0.9430309273353701,1.283024255524922
162,162,162,06-11,0.7853010117562391,1.5505933722614296,1.4469378471914427
163,163,163,06-12,0.7912498627417497,1.587148264438897,1.2689426300199096
164,164,164,06-13,0.6998811960708604,1.0257000508782732,0.8183389662981405
165,165,165,06-14,0.5062003717306863,-0.16444266203258134,1.082217605516614
166,166,166,06-15,0.5277543823269297,-0.031996155092547086,0.8408426443945832
167,167,167,06-16,0.944085497848646,2.526302762646211,0.4117109525278346
168,168,168,06-17,0.5496164962537989,0.10234360552924472,0.2503077709337671
169,169,169,06-18,0.3722350054665399,-0.9876418867615944,0.10943357200597492
170,170,170,06-19,0.5422831151526067,0.05728096131386836,0.1357555807114123
171,171,171,06-20,0.3686473000833527,-1.0096878555993345,-0.1128518498401892
