,unnamed: 0,unnamed: 0,mth_day,money,money_norm,money_ravg
47,47,47,02-17,2.7145824802476843,-1.3906546578823349,-0.5600722112752496
48,48,48,02-18,3.0726916654414884,-0.6501166812796348,-0.5004016560174938
49,49,49,02-19,3.0831173538755485,-0.6285572839313911,-0.4652529674431913
50,50,50,02-20,3.5914416101996585,0.42261211300157786,-0.4472325735262663
51,51,51,02-21,3.119820210810245,-0.5526590368779136,-0.1454740650481875
52,52,52,02-22,3.4431605743603897,0.11598010581210133,-0.07084986184543689
53,53,53,02-23,3.5901283429363025,0.41989639298613735,0.010508149494688923
54,54,54,02-24,3.2892121960476683,-0.2023714620631312,0.2921235779555258
55,55,55,02-25,3.3191758848667154,-0.1404092158906363,0.3117641952103347
56,56,56,02-26,4.408542756748042,2.112304683766599,0.26587750760076345
57,57,57,02-27,3.1768070419847105,-0.4348153333490601,0.13946187460015594
58,58,58,02-28,3.310021331024145,-0.1593400198453263,0.16132812391400592
59,59,59,02-29,3.223336085740064,-0.3385974050175078,0.0701145021474292
60,60,60,03-01,3.3526566510717086,-0.0711739661800312,-0.5248521461239823
61,61,61,03-02,3.0545215108729087,-0.6876909464900965,-0.6135061811723069
62,62,62,03-03,2.68225974335758,-1.4574952058618706,-0.8131674827763075
63,63,63,03-04,2.919579254146373,-0.9667395436390079,-0.8544897917256503
64,64,64,03-05,2.7307083318975387,-1.3573078294693293,-0.9873344182010392
65,65,65,03-06,3.1034402895293463,-0.5865312587135643,-1.165554486675268
66,66,66,03-07,2.967210806719019,-0.8682417250323643,-0.975879989423124
67,67,67,03-08,2.5374197913963594,-1.7570113573354698,-0.8357294888977235
68,68,68,03-09,3.2325962431110664,-0.31944822234900666,-0.4286293766285938
69,69,69,03-10,3.326222935902466,-0.12583654048660484,-0.3511908805480705
70,70,70,03-11,3.91190060645838,1.085292844145449,-0.3872285597847308
71,71,71,03-12,3.328126430768861,-0.12190028223042462,0.020723496516576085
72,72,72,03-13,2.8626482506681774,-1.0844678004523258,-0.004640876919649308
73,73,73,03-14,3.7210839633574655,0.6907009804723715,-0.3279585959432352
74,74,74,03-15,3.159002055713399,-0.471634462966359,-0.6963153508064573
75,75,75,03-16,2.3881234846136357,-2.06574285462812,-1.071818522111682
76,76,76,03-17,2.8431213553264145,-1.1248476850338842,-0.6589945558391422
77,77,77,03-18,2.2386120050749496,-2.3749193100617743,-0.7094272756259188
78,78,78,03-19,4.060448165280644,1.3924759971829137,-0.758626062227218
79,79,79,03-20,3.5747545048240563,0.3881046617517127,-0.4769359892713072
80,80,80,03-21,3.0162528279440783,-0.7668271825741538,-0.19102457020161787
81,81,81,03-22,3.2054412105690564,-0.3756024168926549,0.32446173601796224
82,82,82,03-23,3.672687226805672,0.5906208293842513,0.11085112613474296
83,83,83,03-24,3.73428450478171,0.7179985272557062,0.04258711732760398
84,84,84,03-25,3.440661546328584,0.11081233788359786,0.2546766543629073
85,85,85,03-26,3.3766879423166007,-0.021479391091121097,0.2518242511391293
86,86,86,03-27,3.631626086538688,0.5057100396376658,0.1844147090595163
87,87,87,03-28,3.1971650235813414,-0.3927168362353224,0.032259754554925565
88,88,88,03-29,3.4770998812451173,0.1861635769065732,-0.1092756866660733
89,89,89,03-30,3.292810156383189,-0.19493119977183812,-0.29329629282496256
90,90,90,03-31,3.0299994887453563,-0.7384003094423953,-0.4577568073181833
91,91,91,04-01,2.8427560867262835,-1.1256030280444564,-0.4281527338137355
92,92,92,04-02,3.1544474188470644,-0.4810530473216585,-0.5337288498514621
93,93,93,04-03,3.2830606101093758,-0.21509239520863568,-0.71948337662062
94,94,94,04-04,3.1707730371015335,-0.4472931193197862,-0.5312346598920499
95,95,95,04-05,2.7538473672022725,-1.3094583603867858,-0.3721284255859382
96,96,96,04-06,3.5761991167837306,0.39109199092902575,-0.4758178795098631
97,97,97,04-07,3.3043994248951614,-0.1709656222077864,-0.4948349419369598
98,98,98,04-08,2.8535946845019464,-1.103189770865208,-0.5064639353593647
99,99,99,04-09,3.2278830099399163,-0.3291947697712162,-0.3388510505606413
100,100,100,04-10,3.1370317612396814,-0.5170670798542154,-0.8827690866304595
101,101,101,04-11,3.2401725699578634,-0.3037810515944455,-0.9121953693006908
102,102,102,04-12,1.9980325606044416,-2.872416225489884,-0.7678556172399971
103,103,103,04-13,3.2190196946725806,-0.34752331822917343,-0.4643437664039602
104,104,104,04-14,3.272393390048378,-0.2371512585010451,-0.5817363716172479
105,105,105,04-15,4.108516158004941,1.4918763352450048,-0.5717478758992659
106,106,106,04-16,2.7964196263139183,-1.2214227111339415,-0.052145012222781034
107,107,107,04-17,3.2691539767936457,-0.2438500772865539,-0.08294014568589504
108,108,108,04-18,3.505649163786829,0.2452009565690253,-0.052876249154275384
109,109,109,04-19,3.1296682731316965,-0.5322941190078574,-0.3564785509195671
110,110,110,04-20,3.3596231432616848,-0.056767879311327124,-0.05160070158327682
111,111,111,04-21,3.2276205685019432,-0.3297374753467455,-0.012950307413520776
112,112,112,04-22,3.6810161898311455,0.6078443848838001,-0.11170518721511724
113,113,113,04-23,3.381297269379785,-0.011947712268017585,0.0657676931359684
114,114,114,04-24,3.219113990788117,-0.34732832224055343,0.12066167010465685
115,115,115,04-25,3.644602042239033,0.5325431630986565,0.15200847972045106
116,116,116,04-26,3.5188968441553614,0.2725959825008037,0.166987540202008
117,117,117,04-27,3.3185726666085333,-0.14165661765198054,0.2017268212785882
118,118,118,04-28,3.7244776136621915,0.6977187477731419,0.3971561131283507
119,119,119,04-29,3.482092550920575,0.1964879741914636,0.235415807266122
120,120,120,04-30,3.786147904066013,0.8252474288580215,-0.046046529967989074
121,121,121,05-01,3.1753160017496285,-0.4378986720747153,0.10361236166706372
122,122,122,05-02,2.7022398885292143,-1.4161780409038631,0.04412388394574504
123,123,123,05-03,3.752804741940897,0.7562967321583361,-0.058628608848685385
124,124,124,05-04,3.5518730670357015,0.3407878814452298,-0.10050270029211952
125,125,125,05-05,3.1839583892664685,-0.42002698257511895,-0.053380080113112176
126,126,126,05-06,3.664651122742258,0.5740028801974167,0.06496905413093461
127,127,127,05-07,3.3120412770197847,-0.15516295100067126,-0.1791745156907633
128,128,128,05-08,3.0456273719932723,-0.7060832354395823,-0.13798793634546894
129,129,129,05-09,3.0444273923260936,-0.7085646867718511,0.1964029690219208
130,130,130,05-10,3.671375046701301,0.5879073575169959,0.4531408620748502
131,131,131,05-11,4.1541864540581805,1.5863184496292198,0.6960143101362282
132,132,132,05-12,4.409570632026666,2.114430238514993,0.7711736155308991
133,133,133,05-13,4.0167333954940725,1.3020777373675971,1.0651825817098448
134,134,134,05-14,3.263700490172258,-0.2551274030715566,1.1989279888700646
135,135,135,05-15,3.897488123669264,1.0554891103018242,0.9014383246992624
136,136,136,05-16,4.059434486958117,1.3903798004783128,0.73975570404293
137,137,137,05-17,3.291026551886626,-0.19861953539559268,0.636713750457906
138,138,138,05-18,3.9404519639292297,1.1443345145769983,1.0812336204168094
139,139,139,05-19,3.717759369542873,0.6838260158574531,1.5966214727101642
140,140,140,05-20,4.55346539187568,2.4119918166818644,1.351153084454123
141,141,141,05-21,5.392874961413393,4.14781622406195,1.4013596902967065
142,142,142,05-22,3.347213204972185,-0.08243052905793162,1.0464785246293735
143,143,143,05-23,3.4366999456438236,0.10262009965990533,0.8818931735427241
144,144,144,05-24,2.910771846827513,-0.9849524794269984,0.6476789414268534
145,145,145,05-25,3.2402184911436214,-0.3036860906624437,0.04260757557633029
146,146,146,05-26,3.873897803388812,1.0067064239866412,0.023799152600921736
147,147,147,05-27,3.6372733259411594,0.5173880289588109,0.058889572449882036
148,148,148,05-28,3.292640967712426,-0.19528106691038294,0.30643593728375024
149,149,149,05-29,3.538514048827581,0.31316261875366713,0.5555363588496339
150,150,150,05-30,3.629022333440208,0.5003257095762108,0.3968450709891203
151,151,151,05-31,3.962978040148497,1.190916438732858,0.3354711654252558
152,152,152,06-01,3.4134584234629446,0.05455869682355968,0.3873062444463611
153,153,153,06-02,3.4591982507278707,0.14914459557562385,0.30624677627763597
154,154,154,06-03,3.4430393415908,0.11572940721624868,0.27086239159236264
155,155,155,06-04,3.3033217344672967,-0.17319419025868335,0.2105373299612877
156,156,156,06-05,3.526355297566969,0.2880194014645709,0.4072998489681479
157,157,157,06-06,3.787946163188645,0.8289660689464088,0.6074920580887114
158,158,158,06-07,3.9843606668413183,1.2351338108647212,0.4641426085655885
159,159,159,06-08,4.040051666666388,1.3502978502990044,0.4218916938382081
160,160,160,06-09,3.0271139776908167,-0.7443672899224894,0.5264043037966407
161,161,161,06-10,3.1807316084392347,-0.4266996786229649,0.6365092091829677
162,162,162,06-11,3.8295964015524175,0.9150950612151664,0.6026554816485062
163,163,163,06-12,4.107413192830739,1.4895955012643711,0.2889387732037647
164,164,164,06-13,3.8861347999755336,1.032011445657952,0.4592620670557938
165,165,165,06-14,3.1298093423640765,-0.5320024003694444,0.7082128228006499
166,166,166,06-15,3.5213033743834203,0.2775724731896854,1.0769513217536504
167,167,167,06-16,3.903056905263294,1.0670048558461718,0.8842418790990129
168,168,168,06-17,4.899483275001637,3.1275260549331687,0.8723284247538041
169,169,169,06-18,3.5482708638595755,0.33333884533654545,0.9504261214012044
170,170,170,06-19,3.851568166826117,0.9605307195866999,1.0329127897238315
171,171,171,06-20,3.356408139958908,-0.06341622048504232,0.9908023541250918
172,172,172,06-21,3.760636679485871,0.7724924831254478,0.6209573510838485
173,173,173,06-22,3.780874376424441,0.8143422422537329,0.35884555011499714
174,174,174,06-23,3.826385903590338,0.90845603668571,0.09825908810865523
175,175,175,06-24,2.7877590756167865,-1.239331960476563,0.10571699623940428
176,176,176,06-25,3.0954821169810893,-0.6029880524513511,0.13772543596314088
177,177,177,06-26,3.3780471009980566,-0.018668771700548176,0.029819199115594608
178,178,178,06-27,3.8535084832092497,0.9645431214678676,-0.11940602423962984
179,179,179,06-28,3.467786736554195,0.1669048211684553,0.4636766063816589
180,180,180,06-29,3.393412107502852,0.013104696554363285,0.9053985149080696
181,181,181,06-30,4.479560865799456,2.25916382325117,0.9847425099353281
182,182,182,07-01,4.377128793390595,2.0473433987071123,0.8500373645941129
183,183,183,07-02,3.608262006704184,0.4573951984630016,0.777766491675317
184,184,184,07-03,3.4626643831333195,0.15631224942057892,0.9964883851268921
185,185,185,07-04,3.2580943434678087,-0.26672041634432136,0.7969469257931303
186,186,186,07-05,4.028029006482053,1.325436057263814,0.6403292585966763
187,187,187,07-06,3.900595586458487,1.0619150672485982,0.6661663820620695
188,188,188,07-07,3.9227059795007926,1.1076373955283882,0.8777611697133064
189,189,189,07-08,3.6832278682071204,0.6124179392553606,1.2186677005400155
190,190,190,07-09,4.076602136964628,1.425880975328001,0.9299610126116508
191,191,191,07-10,4.247227356267474,1.7787187686159345,1.0586650495873773
192,192,192,07-11,3.1903527221542607,-0.406804070306373,1.2100214274986183
193,193,193,07-12,4.27402759887714,1.8341392891029555,1.0956218572704828
194,194,194,07-13,4.361863274982152,2.015775662995834,0.9370072339509576
195,195,195,07-14,3.3512999603188938,-0.07397948211345168,0.9721035234685184
196,196,196,07-15,3.616385197565841,0.474193235410849,1.1758340900335869
197,197,197,07-16,4.349058490169218,1.9892965057212988,1.0261593821448292
198,198,198,07-17,3.781472606590633,0.8155793290840379,0.8823365858275741
199,199,199,07-18,3.8397496330227012,0.9360910417704084,0.897649953392197
200,200,200,07-19,3.944564505476112,1.1528388850923033,0.8340792954806601
201,201,201,07-20,3.395731369006115,0.017900723274286042,0.8158282420765032
202,202,202,07-21,3.4319362923682486,0.09276928794162624,0.9255903579959692
203,203,203,07-22,4.296103448807464,1.879790185296359,0.8341678844388315
204,204,204,07-23,4.099945039921269,1.4741520246008346,0.5434140531446362
205,205,205,07-24,3.574489280022493,0.3875562004275817,0.3574400828397682
206,206,206,07-25,3.1009484784271493,-0.5916841026728681,0.3834681484907321
207,207,207,07-26,2.8561318690966297,-1.0979430985549221,0.013380056036396729
208,208,208,07-27,3.5074561685415,0.2489376818474089,-0.32227407125506824
209,209,209,07-28,3.222300758659772,-0.3407383694296527,-0.4411326425117262
210,210,210,07-29,3.126051763716432,-0.5397727391479552,-0.5738967454052301
211,211,211,07-30,3.2296236759548376,-0.32559522711236594,-0.7140410071554623
212,212,212,07-31,2.7157362715262203,-1.3882687200338917,-0.5971671495431982
213,213,213,08-01,2.4495062890133426,-1.9388086690563149,-0.3741869905994344
214,214,214,08-02,3.846563168390388,0.9501808275209938,-0.17777126435502458
215,215,215,08-03,3.869272923950167,0.9971425842329296,-0.16069427016479795
216,216,216,08-04,3.69594779530676,0.6387216183185036,0.18152311472377228
217,217,217,08-05,3.2791722096012275,-0.22313326197100605,0.7314209355663941
218,218,218,08-06,3.7086726993687273,0.6650355892975299,0.6021952900004818
219,219,219,08-07,4.045023062901494,1.3605782559994155,0.4414164150642587
220,220,220,08-08,3.4716177197959537,0.17482695412551968,0.4316040262730789
221,221,221,08-09,3.402776454743344,0.03246933461559159,0.3326833678448578
222,222,222,08-10,3.667477358955058,0.5798472855714251,0.1838397412111244
223,223,223,08-11,2.9921560334606467,-0.8166572125403329,-0.09150917685978684
224,224,224,08-12,3.2768060980125573,-0.2280261705048705,-0.06056567281692395
225,225,225,08-13,3.2461040623117,-0.29151525242605186,-0.09733170427428164
226,226,226,08-14,3.561399635402769,0.360487978382697,-0.1064794190422122
227,227,227,08-15,3.2961006002916458,-0.18812685412855445,-0.12341229845465253
228,228,228,08-16,3.640935460075348,0.5249609969638415,-0.07006279419848427
229,229,229,08-17,2.943025645761755,-0.9182544890149746,-0.1043747011177894
230,230,230,08-18,3.4315985443417723,0.09207085503213902,-0.20519334717419105
231,231,231,08-19,3.1465487977537263,-0.4973866939418826,-0.01571122081364405
232,232,232,08-20,3.268876488725819,-0.2444238979557125,-0.17231939644685665
233,233,233,08-21,3.8458789400148174,0.9487659040347272,-0.06087163320468255
234,234,234,08-22,3.1865401857534223,-0.414688056835434,-0.20242861747695928
235,235,235,08-23,3.2663889487709046,-0.2495679095619301,0.18135123769301587
236,236,236,08-24,3.020873980055714,-0.7572710506015214,0.4037613705721144
237,237,237,08-25,4.260077844778822,1.8052924370779684,0.3950352202521
238,238,238,08-26,3.914194735573088,1.0900368993188791,0.3675363799991769
239,239,239,08-27,3.8205602013703936,0.8964090021146404,0.36117608911066656
240,240,240,08-28,3.1067528885083107,-0.5796810983529723,0.6943833973149088
241,241,241,08-29,3.2479347007000983,-0.2877296548929924,0.4535778117745375
242,242,242,08-30,3.9876678629762647,1.2419727986239322,0.23041148222054955
243,243,243,08-31,3.5613855852116028,0.3604589238357399,0.3036625771818727
244,244,244,09-01,3.26668240023626,-0.2489610780050486,0.3606865785581724
245,245,245,09-02,4.033096687762315,1.335915571882579,0.4678825563154029
246,246,246,09-03,3.272206809694418,-0.23753709009517399,0.41936953947414574
247,247,247,09-04,3.5589615390005744,0.3554462116503909,0.2935526170336202
248,248,248,09-05,3.846908381508349,0.9508946975763888,0.15303982130993654
249,249,249,09-06,3.1963304739088523,-0.3944426108074138,0.3220328220130004
250,250,250,09-07,2.858987526705893,-1.0920378523471503,0.2841552806175349
251,251,251,09-08,4.523426267316328,2.3498735761009617,0.16808352544819347
252,252,252,09-09,3.1623059329142498,-0.4648023384679666,-0.03882430839812498
253,253,253,09-10,3.2221818222460232,-0.3409843193656579,-0.19012808077618634
254,254,254,09-11,3.246569723965016,-0.29055230550152183,-0.17234514274809026
255,255,255,09-12,2.7573258122576445,-1.3022652450757817,-0.6726718052548545
256,256,256,09-13,2.9105843413093133,-0.9853402241785736,-0.7725692221439807
257,257,257,09-14,3.0717391498263997,-0.6520863989396232,-0.7840258595531507
258,258,258,09-15,2.8724557129761816,-1.0641868398027234,-0.8538558548285907
259,259,259,09-16,3.188940633672707,-0.40972414382067823,-0.5646410855444722
260,260,260,09-17,3.043959485190527,-0.7095322771541613,-0.42068629432049626
261,261,261,09-18,3.5964762837796385,0.4330233706289289,-0.019315084967564605
262,262,262,09-19,3.3282660912160007,-0.1216114768347178,0.2445749142566389
263,263,263,09-20,4.236309135023074,1.7561408571779666,0.4695022435993701
264,264,264,09-21,3.638126905450407,0.5191531555424975,0.5588558647497556
265,265,265,09-22,3.841562472257699,0.9398398322357092,0.7261094419643896
266,266,266,09-23,3.3032171071513323,-0.1734105502518487,0.537684523474243
267,267,267,09-24,4.081758963259684,1.4365448339167337,0.2128905422400264
268,268,268,09-25,2.781555217532475,-1.252160987775597,0.2192490284204061
269,269,269,09-26,3.29392634048311,-0.19262303022733346,-0.041339056864699936
270,270,270,09-27,3.6565759171991465,0.557304072624776,-0.03330125963688416
271,271,271,09-28,3.0854717125040336,-0.6236886794749273,-0.4230184246428032
272,272,272,09-29,3.3265386040113136,-0.125183766884954,-0.4852732521539093
273,273,273,09-30,2.951002938647183,-0.9017581561187804,-0.6419729682884056
274,274,274,10-01,2.600924166117724,-1.6256899528422342,-0.98883637071653
275,275,275,10-02,2.8392654633532586,-1.1328213270343108,-0.7817952254196868
276,276,276,10-03,2.6501591687676647,-1.5238763419439711,-0.6961140998048321
277,277,277,10-04,3.6861971703717202,0.6185581923061316,-0.369396937260053
278,278,278,10-05,3.575140558670165,0.3889029868041758,0.00823626564513972
279,279,279,10-06,3.898965802654468,1.0585448191498927,-0.03208524327055895
280,280,280,10-07,3.696618832972536,0.6401092645889225,0.2934352520489117
281,281,281,10-08,2.722273467049476,-1.3747503805285028,-0.022317867451549508
282,282,282,10-09,3.5946499283977835,0.42924662997285296,-0.041535419018963515
283,283,283,10-10,2.7700462429166395,-1.275960524696636,-0.15961974625523995
284,284,284,10-11,3.519381243545247,0.2735976773996917,-0.05862073461519024
285,285,285,10-12,3.5563466510635813,0.3500388557322341,-0.2274341688850567
286,286,286,10-13,3.9896653065353807,1.246103334429221,-0.7364526697352615
287,287,287,10-14,2.2324648956634072,-2.387630986147702,-0.6510542023834374
288,288,288,10-15,2.117743627730091,-2.6248643751283764,-0.7245625115432649
289,289,289,10-16,3.017828070666727,-0.7635697205856908,-0.8759182050448789
290,290,290,10-17,3.3060984556539545,-0.1674521775592736,-1.2197223381169584
291,291,291,10-18,3.1171913413821253,-0.5580953052774501,-0.8958476660646119
292,292,292,10-19,2.992124962752916,-0.8167214640032557,-0.5606955356507883
293,293,293,10-20,3.1721803342611063,-0.4443829538336225,-0.5580275351222707
294,294,294,10-21,3.0901803707239237,-0.6139515926454353,-0.4592829341342102
295,295,295,10-22,3.0255692171754904,-0.7475617174145852,-0.5483954514386201
296,296,296,10-23,3.5926038048948867,0.4250154283690896,-0.4288031874488292
297,297,297,10-24,2.8586332770771645,-1.0927704091039103,-0.34947236606175663
298,298,298,10-25,3.339119360604114,-0.09916788006451024,-0.2935824299387068
299,299,299,10-26,3.4023570169318016,0.03160197448881275,-0.005350721250299857
300,300,300,10-27,3.252343825816763,-0.2786119759071366,-0.102139707761488
301,301,301,10-28,3.861867359390554,0.9818285347158566,0.12692932613295707
302,302,302,10-29,3.3117726292601115,-0.15571849069803914,0.5620163931092047
303,303,303,10-30,3.523272182895888,0.28164379426276004,0.4643363965864119
304,304,304,10-31,4.601515186066158,2.511354521792976,0.6232190786863877
305,305,305,11-01,3.1189405947924316,-0.5544780046479437,0.5405592207262848
306,306,306,11-02,3.7133385320376497,0.6746841166927189,0.7432908731734154
307,307,307,11-03,3.62203154825665,0.4858693869552389,0.856678909390166
308,308,308,11-04,3.899994185733661,1.0606714239847448,0.6036429446046215
309,309,309,11-05,3.852265146470187,0.9619720115632644,0.7781463806548982
310,310,310,11-06,3.867336742526096,0.9931387330797083,0.7715038807846194
311,311,311,11-07,3.625258584728635,0.4925426116537159,0.6850562763518581
312,312,312,11-08,3.6940654606380585,0.6348291174710461,0.7924310445734415
313,313,313,11-09,3.3712056716900416,-0.032816239641329036,0.4270801901342314
314,314,314,11-10,4.211539780745064,1.7049200333142451,0.4347174375692467
315,315,315,11-11,2.7922074511716306,-1.230133115071996,0.312334026794649
316,316,316,11-12,3.8894960527234512,1.0389622176898,0.2901812903396743
317,317,317,11-13,3.270165734138128,-0.2417578529938705,0.2470722362960366
318,318,318,11-14,3.6297897692973007,0.5019126987411978,0.08606209200234212
319,319,319,11-15,3.246125672777372,-0.2914705639031547,0.18311444053687484
320,320,320,11-16,3.7443722884405934,0.7388591675520779,-0.06423855753423781
321,321,321,11-17,3.0738027660881504,-0.6478190238648001,-0.04169534524689905
322,322,322,11-18,3.171806615639952,-0.44515577073687607,-0.13758553574796453
323,323,323,11-19,3.335574382760622,-0.10649857926983793,0.03427954200408561
324,324,324,11-20,3.3515664310754048,-0.07342844426519511,-0.2748906743968263
325,325,325,11-21,3.7447885225024415,0.7397199026091462,-0.046557634213345266
326,326,326,11-22,2.847321513628628,-1.116162130853393,-0.0590215784628691
327,327,327,11-23,3.736306201885335,0.7221792172360861,0.04833506555751083
328,328,328,11-24,3.1356427477991056,-0.519939436234019,0.14067368398681224
329,329,329,11-25,3.647067390789613,0.5376412848524417,0.2743652835994537
330,330,330,11-26,3.6194849588408977,0.4806032663106134,0.3420277862229462
331,331,331,11-27,4.132691841310018,1.5418695002849945,0.3401160967054447
332,332,332,11-28,3.0436428188005764,-0.7101871151124379,0.5202375602493802
333,333,333,11-29,3.73075947560996,0.7107090801310769,0.5510740501855756
334,334,334,11-30,3.658261324430784,0.5607893450295937,0.3702771442677
335,335,335,12-01,3.7365388072532073,0.7226602244696151,0.4935279753078276
336,336,336,12-02,3.0949066005978563,-0.6041781691966406,0.3999096381881982
337,337,337,12-03,4.490301493261082,2.2813744865257597,0.21688911521160392
338,338,338,12-04,2.7720112146072697,-1.271897137830214,0.1897362010141285
339,339,339,12-05,3.1997293399977087,-0.3874140577284888,0.05925595416839271
340,340,340,12-06,3.5794777242418734,0.397871859844741,0.2623826285748039
341,341,341,12-07,3.3579531598606907,-0.060221256604799774,-0.1971438353409745
342,342,342,12-08,3.684274304843224,0.6145818772418266,0.11445352096235725
343,343,343,12-09,3.1569952799364684,-0.4757842969689109,0.1901787189132676
344,344,344,12-10,3.6761042839694302,0.5976869999897767,0.20487546060434852
345,345,345,12-11,3.4194443833334716,0.06693712997697351,0.11989620257416132
346,346,346,12-12,3.622120006136517,0.4860523099912267,0.01574659283492937
347,347,347,12-13,3.1113876589973266,-0.5700968047859234,0.2562053089284118
348,348,348,12-14,3.3820864382351696,-0.0103157811935651,-0.022495906827864058
349,349,349,12-15,3.8546811052173813,0.966967999591984,0.02783307791656332
350,350,350,12-16,2.8674586632961625,-1.0745202945478791,-0.24680097779872465
351,351,351,12-17,3.5654728568586944,0.3689110384435378,-0.21980832061836528
352,352,352,12-18,2.825275163392393,-1.1617520243005008,-0.3539464585007361
353,353,353,12-19,3.189706276876341,-0.4081408617037672,-0.6062022038944223
354,354,354,12-20,2.9928874981820948,-0.8151446084877897,-0.24835893733018724
355,355,355,12-21,3.1227664515667115,-0.5465664727701337,0.1148708256188016
356,356,356,12-22,3.905733252839531,1.072539304837531,0.4352367152872925
357,357,357,12-23,4.6193762505337,2.5482896161374704,0.2950532148494058
358,358,358,12-24,3.7548099448985854,0.760443313710445,0.4405297845237935
359,359,359,12-25,2.7829668465794946,-1.2492418643310876,0.4115357563808835
360,360,360,12-26,3.4149846557367938,0.05771480955853653,-0.007894596496998271
361,361,361,12-27,3.0386408986163262,-0.7205306416275933,-0.7634648601156758
362,362,362,12-28,2.6887650486938166,-1.4440428124297602,-1.037815413962986
363,363,363,12-29,2.4271052798878485,-1.9851319655745945,
364,364,364,12-30,2.958787676764949,-0.8856600093734163,
365,365,365,12-31,,,
