,unnamed: 0,unnamed: 0,mth_day,dog,dog_norm,dog_ravg
74,74,74,03-15,1.3189786165942412,-0.04847728696791264,0.13893477996239134
75,75,75,03-16,1.5155214791615743,0.6150376919456639,0.03611286215963005
76,76,76,03-17,1.461058850448218,0.4311756606803945,-0.3172791496354453
77,77,77,03-18,1.0595269438681278,-0.9243680158870704,-0.2761460205086064
78,78,78,03-19,0.8487546154429344,-1.6359206778551263,-0.1671840953045348
79,79,79,03-20,1.3053982977702898,-0.09432349496758896,-0.31730318864797363
80,80,80,03-21,1.5126353330607307,0.6052942642565171,-0.4127749013191108
81,81,81,03-22,1.2487166237832437,-0.2856768681149691,-0.3797176740146021
82,82,82,03-23,1.291378126133761,-0.14165461534642873,-0.3610219531299328
83,83,83,03-24,1.1182791555538876,-0.7260246520600184,-0.5033670993110683
