,unnamed: 0,unnamed: 0,mth_day,low budget,low budget_norm,low budget_ravg
45,45,45,02-15,1.53268404425554,-0.6958153719548923,-0.5332144675773374
46,46,46,02-16,1.368597245330846,-1.1651762450724614,-0.5796469761083448
47,47,47,02-17,1.5401010147640872,-0.6745995533967117,-0.6591947950624019
48,48,48,02-18,1.3758692498170295,-1.1443750935031851,-0.7051118985646334
49,49,49,02-19,1.5872116481291152,-0.5398422898372023,-0.5621282718719821
50,50,50,02-20,1.7721408784549826,-0.010862837623349643,-0.2680642776925545
51,51,51,02-21,1.8326032784277977,0.16208638820101615,-0.05479104355740772
52,52,52,02-22,1.9854192547593,0.5992077200041039,0.22284954122072867
53,53,53,02-23,1.987458146002256,0.6050398514141689,0.21616601495454604
54,54,54,02-24,1.958241885676853,0.5214684151656336,0.3745318218124853
55,55,55,02-25,1.5731924340016652,-0.5799434474342979,0.10686873117989013
56,56,56,02-26,2.1043254272075558,0.9393320035242856,0.2319302028183053
57,57,57,02-27,1.2711592095116653,-1.4438921555945547,-0.0040134136862117024
58,58,58,02-28,2.2477453802455036,1.3495765498345946,-0.2014252539929211
59,59,59,02-29,1.4925481314313047,-0.8106218476129327,-0.2093472387078761
60,60,60,03-01,1.5441552568029526,-0.6630026266746228,-0.5359507267468985
61,61,61,03-02,1.5565754573324355,-0.6274753557240279,-0.5507819702018172
62,62,62,03-03,1.4192493085187436,-1.020288924709848,-0.6781283839303188
63,63,63,03-04,1.2400495273633514,-1.5328796163240677,-0.6602344519437299
64,64,64,03-05,1.9806264117069985,0.5854980674635842,-0.6701683697802826
65,65,65,03-06,1.5300820400464796,-0.7032582556933988,-0.8333332811179216
66,66,66,03-07,1.5233180945432956,-0.7226061336939388,-0.9183224606511604
67,67,67,03-08,1.2143244151389163,-1.6064648237498624,-0.7861536702188671
68,68,68,03-09,1.2409779201916804,-1.530224001909281,-1.1496857100278874
69,69,69,03-10,1.5172838046357735,-0.7398668737303072,-1.0414035591020514
70,70,70,03-11,1.2180897947629856,-1.5956941713905382,-1.0921851441316337
71,71,71,03-12,1.7572122404155732,-0.05356535013838196,-0.8798426434007828
72,72,72,03-13,1.4167997858081012,-1.0272956438714311,-0.7750876261591167
73,73,73,03-14,1.6597292609560763,-0.3324098193647584,-0.4828438962246298
74,74,74,03-15,1.4607096844051897,-0.9016938984592852,-0.12202182025659558
75,75,75,03-16,2.1302876687915018,1.0135955058766146,-0.436506385618572
76,76,76,03-17,1.9749420526050283,0.5692382844176672,-0.5166583055572885
77,77,77,03-18,1.0975565009153887,-1.9404727423102408,-0.6310774695282326
78,78,78,03-19,1.2486749242312654,-1.5082071635037306,-0.7104581467063164
79,79,79,03-20,1.4197262002800446,-1.0189248031904228,-0.6786840400797173
80,80,80,03-21,1.294202564268268,-1.3779779615277874,-0.5373355500399806
81,81,81,03-22,2.196936319034803,1.2042401456362095,-0.2877347277317123
82,82,82,03-23,2.271431460970984,1.417329224656087,-0.3045006716482219
83,83,83,03-24,1.621113562706639,-0.4428678084606314,0.014122788890446047
84,84,84,03-25,1.2135070579802338,-1.608802827002788,0.21517327026878488
85,85,85,03-26,2.088063593060579,0.8928159600415849,0.1884236689724896
86,86,86,03-27,1.7159215246816155,-0.1716750732577544,-0.1958046871975927
87,87,87,03-28,2.1408269579787764,1.043742537858438,-0.10988501736684364
88,88,88,03-29,1.4654827170808613,-0.8880409123644069,-0.044340756381892464
89,89,89,03-30,1.8013367265193938,0.07265021052386288,-0.22537236847847955
90,90,90,03-31,1.350991223221396,-1.215537261093081,-0.345249195668544
91,91,91,04-01,1.7083357618615114,-0.1933737125379376,-0.4813909061530886
92,92,92,04-02,1.4644705925890389,-0.8909360363981415,-0.3513290615935272
93,93,93,04-03,1.8552591731078931,0.2268922749511705,-0.4760209602104884
94,94,94,04-04,1.7382975121565534,-0.10766984500703818,-0.3357286462508842
95,95,95,04-05,1.5397858090771392,-0.6755011811779047,-0.26615678761040723
96,96,96,04-06,1.6452652204355185,-0.373783377335456,-0.06692489608217858
97,97,97,04-07,1.8542681252099704,0.22405743930492453,-0.2423513433956473
98,98,98,04-08,1.882374919902536,0.30445531277123034,-0.2766228612724508
99,99,99,04-09,1.4872886092830524,-0.8256664089296414,-0.169229400449555
100,100,100,04-10,1.6664103483372563,-0.31329895226785937,-0.2294752776995084
101,101,101,04-11,1.7650519131069835,-0.03114041624052993,-0.3165637472410223
102,102,102,04-12,1.5188948255533017,-0.7352586408351764,-0.3171755727148614
103,103,103,04-13,1.6715933134549876,-0.29847337794415874,-0.2513478828317984
104,104,104,04-14,1.881091568572,0.3007843599281958,-0.3054719475116492
105,105,105,04-15,1.6253672885957224,-0.4307002696312631,-0.4358533781147334
106,106,106,04-16,1.5528809295880477,-0.6380433403469639,-0.3580810736056463
107,107,107,04-17,1.4915667615461294,-0.8134289998590354,-0.4314435652215717
108,108,108,04-18,1.6820282594136404,-0.2686248137806534,-0.5588552987712955
109,109,109,04-19,1.5177098037737504,-0.7386483276397113,-0.31439436188562936
110,110,110,04-20,1.6138355866480438,-0.4636860413701464,-0.19527433670838887
111,111,111,04-21,2.138143042517411,1.0360653516827334,-0.11802236498047253
112,112,112,04-22,1.8027444108279889,0.07667681071647924,-0.11519404399042454
113,113,113,04-23,1.6536087570868985,-0.3499171694915372,0.05053314124172309
114,114,114,04-24,1.6879608818050968,-0.2516548878403657,0.10089814905921234
115,115,115,04-25,1.865335413964712,0.2557147837531746,-0.014113912993376812
116,116,116,04-26,1.7194800924079294,-0.16149599446521093,-0.044184856168050124
117,117,117,04-27,1.896896332182307,0.3459929793671985,-0.09248633219055527
118,118,118,04-28,1.7396682778720671,-0.10374884833156063,-0.07966232518179805
119,119,119,04-29,1.552292669132305,-0.6397260256265682,-0.09784295367732904
120,120,120,04-30,1.7148602300035702,-0.1747108457878223,0.06206961546380925
121,121,121,05-01,1.827200137211166,0.14663101277998855,-0.09718306268322234
122,122,122,05-02,2.054909094879814,0.7979794203816191,-0.06651052554793002
123,123,123,05-03,1.5628515021934373,-0.609523089514991,0.1738185625282084
124,124,124,05-04,1.804006300766893,0.08028637448019324,0.2373815222642519
125,125,125,05-05,2.056401550074664,0.8022485028302624,0.2568341149031999
126,126,126,05-06,1.848188462380376,0.2066669126284384,0.0019444160821597465
127,127,127,05-07,1.868003457296752,0.2633465686136767,0.21216919675575832
128,128,128,05-08,1.520258204864778,-0.7313587725446219,0.2599754460696812
129,129,129,05-09,2.0038142661271414,0.6518255945266006,0.2604314279947453
130,130,130,05-10,1.9042836123341809,0.3671238703637304,0.19951796551318696
131,131,131,05-11,2.05735800748818,0.8049843943806474,0.01630361782125499
132,132,132,05-12,1.7204177557559053,-0.15881386226091174,0.16745361282506746
133,133,133,05-13,1.4836971690862144,-0.8359395175379154,0.14910260075074971
134,134,134,05-14,1.8373070292321203,0.17554119747825267,-0.007714478002595866
135,135,135,05-15,1.9653215966171849,0.5417195220806942,0.0038662344874715866
136,136,136,05-16,1.5753476407635894,-0.5737786021563431,-0.08045905017860129
137,137,137,05-17,2.081649449113564,0.8744686693210519,-0.08899513575568241
138,138,138,05-18,1.5435389383457856,-0.6647655702573491,-0.022825602158730408
139,139,139,05-19,1.4657920682832384,-0.8871560310004021,-0.10610343681242408
140,140,140,05-20,1.976102752217885,0.5725583990599646,-0.07954017040459671
141,141,141,05-21,1.7906398867557622,0.04205251415853229,-0.3891371409544019
142,142,142,05-22,1.6310661499553742,-0.41439900370937904,-0.2076296732460924
143,143,143,05-23,1.4322458183821798,-0.9831131539777792,-0.2488896886138242
144,144,144,05-24,1.924264913555784,0.4242792359925083,-0.43268150719959664
145,145,145,05-25,1.3792459895659488,-1.1347161232067933,-0.5574256042311877
146,146,146,05-26,1.5905851740698662,-0.5301925124546698,-0.5197188112242171
147,147,147,05-27,1.5289794790949218,-0.7064120680310142,-0.5466026287708488
148,148,148,05-28,1.7101590694967952,-0.18815824566755573,-0.6697302937998265
149,149,149,05-29,1.3758549283431116,-1.1444160592575694,-0.4411549007111199
150,150,150,05-30,1.6659950972481572,-0.3144867541813584,-0.09099085231963104
151,151,151,05-31,1.858700584693455,0.2367362353254464,0.13115975728073326
152,152,152,06-01,2.3250813933746057,1.5707917778942633,0.3242529480982724
153,153,153,06-02,1.9949575931167405,0.6264915895711716,0.4917709563142586
154,154,154,06-03,2.11518699649405,0.9704008992376788,0.42711149821926414
155,155,155,06-04,1.7272369284807734,-0.1393080099616521,0.3692121994882234
156,156,156,06-05,1.5303668746158618,-0.7024435027513247,0.20898713244555026
157,157,157,06-06,1.737252320048081,-0.11065955706079787,0.17632495471537615
158,158,158,06-07,1.9889969023445084,0.6094413756382241,-0.2672498440331082
159,159,159,06-08,1.926446144933314,0.4305185231901273,-0.4477726215707119
160,160,160,06-09,1.1847544916260215,-1.6910478932532274,-0.2619735771871969
161,161,161,06-10,1.3485764171894508,-1.2224446751872742,-0.3715783113443461
162,162,162,06-11,1.9200947643778377,0.4123507635497651,-0.498411948721214
163,163,163,06-12,1.5073478988885387,-0.7682879620036934,-0.30713896174846145
164,164,164,06-13,1.7229535219292105,-0.15156044862298315,-0.14419066037166506
165,165,165,06-14,2.3276560533518453,1.5781564450266423,0.029563391803836606
166,166,166,06-15,1.5265511776455316,-0.7133580849924489,0.039620419871523545
167,167,167,06-16,1.7130390026491134,-0.17992036213426402,0.2937164258857705
168,168,168,06-17,1.9411901598848569,0.4726929319558867,0.3626976604881269
169,169,169,06-18,2.040333956752596,0.7562880740817879,0.10312593380085618
170,170,170,06-19,1.867647005601064,0.2623269589911553,0.09744134164056982
171,171,171,06-20,1.7831842471627393,0.0207260849030186,0.1335166008961934
172,172,172,06-21,1.5146273051943209,-0.7474656379541671,0.1043463300335273
173,173,173,06-22,1.7887096537493932,0.03653119339947762,-0.024753057129598244
174,174,174,06-23,1.8800032568799847,0.29767130677989,0.21051377348601466
175,175,175,06-24,1.7695379906291382,-0.018308248896965255,0.2274690326303388
176,176,176,06-25,2.361137409338286,1.6739279426848328,0.6203947250964581
177,177,177,06-26,1.818749216770684,0.12245763976896346,0.7417603184436453
178,178,178,06-27,2.338819385762796,1.6100885168425485,0.6743663059459872
179,179,179,06-28,2.0432833881937777,0.7647247534826014,0.9031876232806079
180,180,180,06-29,1.7386390945375283,-0.10669276820605884,0.7232682664179322
181,181,181,06-30,2.2495084309146183,1.3546196551107597,0.8495271508891863
182,182,182,07-01,1.9837426196606496,0.5944118015087767,0.4180201214910793
183,183,183,07-02,2.0835870084393737,0.8800109465964887,0.5745907458988445
184,184,184,07-03,1.4336999620177728,-0.978953659546094,0.8442450309565513
185,185,185,07-04,2.3717024026812776,1.7041484999291932,0.7631185112574507
186,186,186,07-05,2.304259848021547,1.511232942140182,0.7119425321488392
187,187,187,07-06,2.079339270836478,0.8678605369161562,0.5686501484688368
188,188,188,07-07,1.8763970387903117,0.28735592685710715,0.6586088495862938
189,189,189,07-08,1.7830201325662194,0.020256644516475,0.5764922578748508
190,190,190,07-09,1.6223953068650117,-0.43920145284135215,0.3066401641379822
191,191,191,07-10,2.199456489854689,1.2114489496605352,0.2023558308599626
192,192,192,07-11,1.7382241755084122,-0.10787962028102976,0.2008018288583476
193,193,193,07-12,1.860594802701404,0.2421545372480388,0.05043774426166514
194,194,194,07-13,1.8731373992007496,0.278031914847417,-0.04074185981682573
195,195,195,07-14,1.467619816163647,-0.8819278630636197,-0.2788268593506074
196,196,196,07-15,1.4311390234715782,-0.9862790773122974,-0.17973892581027273
197,197,197,07-16,1.7000547584832744,-0.21706104754215488,-0.44273223531162026
198,198,198,07-17,1.946068792619779,0.4866479809609783,-0.3439129341821993
199,199,199,07-18,1.308945961483939,-1.3358053197600464,-0.2276943212817997
200,200,200,07-19,2.080418539018816,0.8709477216239425,-0.3660831766291793
201,201,201,07-20,1.7113973603755768,-0.18461618566122226,-0.29578136733599203
202,202,202,07-21,1.1408576781607684,-1.8166122093965755,-0.4354945359653489
203,203,203,07-22,1.8475182498763096,0.20474980821696884,-0.1832613804376624
204,204,204,07-23,1.6530095976032229,-0.3516310308151628,-0.5308115215196846
205,205,205,07-24,1.8380245461342448,0.17759361340607235,-0.6739070541901363
206,206,206,07-25,1.3514051927995214,-1.214353124868191,-0.5544660152801423
207,207,207,07-26,1.4112433947453369,-1.043189381683933,-0.6485335805655771
208,208,208,07-27,1.391394510574639,-1.0999659759366112,-0.4693929511260517
209,209,209,07-28,1.6502042441160516,-0.35965558349564025,-0.407417657192817
210,210,210,07-29,2.0287709461814654,0.7232127458219904,-0.22519685813481125
211,211,211,07-30,1.968022526490492,0.5494453770054805,-0.13404168681466344
212,212,212,07-31,1.7336274357784982,-0.1210283305201566,0.3122500007666061
213,213,213,08-01,1.6024484285352982,-0.4962583537630463,0.3676164059251579
214,214,214,08-02,2.327525900251427,1.5777841495510059,0.2098277822799704
215,215,215,08-03,1.7663395682655632,-0.02745715254432879,0.09464224826212964
216,216,216,08-04,1.6977970839330023,-0.22351899604913505,0.20994642712205985
217,217,217,08-05,1.7264119452691051,-0.14166782710156378,0.2413791917438696
218,218,218,08-06,1.9754868837477848,0.5707967426394246,0.15629639206604276
219,219,219,08-07,1.6683810874792089,-0.3076617660321876,0.29824185720396124
220,220,220,08-08,2.1490581364181787,1.0672873514840449,0.4193940436753822
221,221,221,08-09,2.064081178148629,0.8242156382831819,0.4537931001516583
222,222,222,08-10,1.9519231809224744,0.5033941227793903,0.4628591661403148
223,223,223,08-11,1.7985666311814272,0.06472651175609302,0.3243336120704868
224,224,224,08-12,1.994503659522524,0.6251931385713637,0.4514946909004996
225,225,225,08-13,1.3778130060077816,-1.1388150904511556,0.6496488368000212
226,226,226,08-14,2.415788350648894,1.8302538244641215,0.5435826624882312
227,227,227,08-15,2.4797248505111287,2.013140513680311,0.3352605061794243
228,228,228,08-16,1.7294411631768145,-0.13300292309134984,0.41657331492734456
229,229,229,08-17,1.361594769252415,-1.185206426096748,0.7279272588570566
230,230,230,08-18,2.165063575312692,1.113069991058885,0.4038580264697253
231,231,231,08-19,2.0309020245192317,0.7293085731271169,0.06362711728176232
232,232,232,08-20,1.7360280295225934,-0.11416156985986607,0.14696115389356446
233,233,233,08-21,1.7660641602229503,-0.028244941447466462,0.4580167928402053
234,234,234,08-22,1.9042407609994303,0.3670012965794627,0.3874796792070871
235,235,235,08-23,2.0140580699516795,0.6811274075830969,0.4355580364903489
236,236,236,08-24,2.017106514837224,0.689847309260176,0.5802423513453182
237,237,237,08-25,2.1317501036328745,1.017778716826688,0.8972633857398796
238,238,238,08-26,2.0395145888705133,0.7539443192699494,0.9347415865496768
239,239,239,08-27,2.431040340023546,1.8738812649199017,0.821979833945104
240,240,240,08-28,1.9828541906978543,0.5918705014382457,0.6176471273387509
241,241,241,08-29,1.7775315580190851,0.004556891955660611,0.3939843077580059
242,242,242,08-30,1.5885028327285533,-0.5361489303779422,0.20100700779428293
243,243,243,08-31,1.662600012023732,-0.32419820065778193,-0.18802658396366045
244,244,244,09-01,1.634729751917399,-0.40391948051238863,-0.5508588870977248
245,245,245,09-02,1.6150122422181226,-0.4603202856277587,-0.5499858139964565
246,246,246,09-03,1.2217853256393507,-1.58512331736614,-0.5305603129847801
247,247,247,09-04,1.7793628964874513,0.009795330563269805,-0.44666109038668106
248,248,248,09-05,1.6292493260271026,-0.4195959243078839,-0.19053788084911427
249,249,249,09-06,1.8385851312385244,0.1791971349308126,0.28147334374463995
250,250,250,09-07,2.1719680262225203,1.132819776713012,0.4171336102199614
251,251,251,09-08,2.6050923533148147,2.3717470619347667,0.5086638029095075
252,252,252,09-09,1.506343244402604,-0.7711617185142111,0.7702730650914313
253,253,253,09-10,1.9713545666532681,0.5589764867005459,0.9115706017039126
254,254,254,09-11,2.17799502076758,1.1500596487836594,0.8209478192615108
255,255,255,09-12,2.1349676608433628,1.0269823546057002,0.3991662364804574
256,256,256,09-13,1.9818797193487017,0.5890830820586017,1.0871758940243108
257,257,257,09-14,1.7203728072959303,-0.15894243475155315,0.9423748562294704
258,258,258,09-15,2.949496802377609,3.3568962267489098,0.7553336338363381
259,259,259,09-16,1.667623171896243,-0.3098297400684987,0.4410218730987329
260,260,260,09-17,1.7856615663967912,0.02781231442486571,0.5686679162932041
261,261,261,09-18,1.4756743924302649,-0.8588882098199307,0.9274615709532972
262,262,262,09-19,2.2496271839048814,1.3549593412254286,0.5143815064241017
263,263,263,09-20,2.4729702942993224,1.993819493209005,0.7269197386475598
264,264,264,09-21,2.083029365013396,0.8784158395737377,0.95650157048057
265,265,265,09-22,2.1134385796827986,0.9653996532722494,1.0795082918715695
266,266,266,09-23,2.267227244760993,1.4053033054229271,0.5865009861414086
267,267,267,09-24,1.7336905200875232,-0.12084788147393205,0.3114832574607178
268,268,268,09-25,1.2155061660225075,-1.6030844931555386,0.2554252084600294
269,269,269,09-26,1.8960993023010082,0.3437131211248603,-0.022993385756780026
270,270,270,09-27,1.9654432643221789,0.5420675455696069,-0.4063635729286983
271,271,271,09-28,1.5294340087516456,-0.7051119120286071,-0.5539706881309653
272,272,272,09-29,1.46307857682833,-0.8949178176085827,-0.5226291927992022
273,273,273,09-30,1.424073160576839,-1.0064905726875335,-0.5513346603668965
274,274,274,10-01,1.2812473805597582,-1.4150355211649603,-0.7583461652132374
275,275,275,10-02,1.83588736021644,0.17148031571869413,-0.7389407154297775
276,276,276,10-03,1.531220595374084,-0.7000014835084387,-0.7721758673628395
277,277,277,10-04,1.5701384430456085,-0.5886792133278468,-0.6618876500355908
278,278,278,10-05,1.3933652708650612,-1.0943287292069548,-0.39632152040914176
279,279,279,10-06,1.6554112406362669,-0.3447612687240411,-0.28060055503919634
280,280,280,10-07,1.8382929113103683,0.1783612565937342,-0.25719355621236056
281,281,281,10-08,2.0786210501796423,0.8658061079383669,-0.10854460421333624
282,282,282,10-09,1.5803185887933286,-0.5595594905474239,0.18018913297005806
283,283,283,10-10,1.8819411359503573,0.3032144986662993,0.2725402727868274
284,284,284,10-11,1.9990066533002724,0.6380736938934115,0.8348700597597422
285,285,285,10-12,1.849124911001603,0.2093455701765744,0.44455428560770544
286,286,286,10-13,3.017823204129786,3.5523399784312235,0.32803272527117344
287,287,287,10-14,1.25990347546976,-1.476088536973854,0.2934703816464069
288,288,288,10-15,1.3359055888642586,-1.258688852566616,0.21925176399956955
289,289,289,10-16,1.8094439425939441,0.09584043691770036,0.2504845620898967
290,290,290,10-17,1.84332735294366,0.19276198801238711,-0.2168181883351964
291,291,291,10-18,1.9146381246539816,0.3967423587185375,-0.11946565388691845
292,292,292,10-19,2.037619482375352,0.7485234758806654,0.23329299828193786
293,293,293,10-20,1.4641079585412224,-0.8919733302841865,0.2870041516684234
294,294,294,10-21,2.075844190600388,0.8578630604465216,0.3055822019487716
295,295,295,10-22,1.9221072479163803,0.4181073572366139,0.2796342192553397
296,296,296,10-23,1.8822962526798004,0.3042302896944761,0.5668707024105286
297,297,297,10-24,1.860210220720216,0.24105446255794594,1.0845667510761747
298,298,298,10-25,2.640120258491589,2.4719423748117992,1.19442398666752
299,299,299,10-26,2.550015527409625,2.21420296170969,1.4228426916853865
300,300,300,10-27,2.306278253079872,1.517006473994594,1.5634530985838084
301,301,301,10-28,2.401233177676408,1.7886195873438129,1.8035657932460032
302,302,302,10-29,2.1772374744762937,1.1478927310850089,1.9523706404368133
303,303,303,10-30,2.3638651997124622,1.681730630531113,2.2511220148112807
304,304,304,10-31,2.9522499536385762,3.3647714579566648,2.590544272372109
305,305,305,11-01,3.1766696799364817,4.006711207956496,2.3909968899513454
306,306,306,11-02,3.018242733932518,3.553540019359562,2.306134555245748
307,307,307,11-03,1.982667083774204,0.5913352928192307,2.0769376005551363
308,308,308,11-04,1.999232153002093,0.6387187228514266,1.5082151495744207
309,309,309,11-05,1.8831068309715275,0.30654890238744303,0.9969233208270032
310,310,310,11-06,1.7593105528122583,-0.04756324792762738,0.5796232657720514
311,311,311,11-07,2.1041954584923563,0.9389602354719879,0.7613195119645576
312,312,312,11-08,2.1429235395106976,1.0497396890298514,0.6559276667116226
313,313,313,11-09,2.363789036479794,1.6815127699742682,0.6741586109342766
314,314,314,11-10,1.7781645926987997,0.0063676513338167895,0.7967740785418181
315,315,315,11-11,1.9213476488607584,0.4159345677233666,0.5461393037226693
316,316,316,11-12,2.016505995347618,0.6881295577176225,0.20027450314273795
317,317,317,11-13,1.5784696012074766,-0.5648484134429054,-0.1031561060328062
318,318,318,11-14,1.4174453255607302,-1.0254491144497369,-0.07677611521461758
319,319,319,11-15,1.7273198264494125,-0.1390708850789965,-0.24843606843314794
320,320,320,11-16,1.833498667142646,0.1646475962429485,-0.3812464923205315
321,321,321,11-17,1.5612775981967464,-0.6140251515878157,-0.2440776919457241
322,322,322,11-18,1.7379258421947106,-0.10873298560667873,-0.20536201783742816
323,323,323,11-19,1.8661917866935849,0.2581643888059388,-0.21526286296466265
324,324,324,11-20,1.4986544513719138,-0.793155069799961,-0.20325078397029336
325,325,325,11-21,1.706552036759749,-0.19847595584240346,-0.1195811921037719
326,326,326,11-22,1.8586949334294984,0.2367200702091643,-0.06761020756433864
327,327,327,11-23,1.7367810491621718,-0.11200760038868693,-0.2611551389215715
328,328,328,11-24,1.8469390085466184,0.20309292162992085,-0.0795120423620151
329,329,329,11-25,1.4602162989172156,-0.9031051993374584,0.09960976344170784
330,330,330,11-26,1.8796649186048,0.2967035095573774,0.05041007285013197
331,331,331,11-27,2.082273901303597,0.8762548789799343,-0.12560004692315524
332,332,332,11-28,1.7554947708300708,-0.058478073340290836,-0.22952650852527745
333,333,333,11-29,1.3675861871347654,-1.1680683190284102,-0.07763182130713814
334,334,334,11-30,1.6289452039766648,-0.4204658479828123,-0.1172709384692433
335,335,335,12-01,1.7788271728966791,0.008262923971377548,-0.0983647905380814
336,336,336,12-02,1.7965187994475489,0.05886880658474634,-0.21490215598426365
337,337,337,12-03,2.121931011280602,0.9896917665669056,-0.33367825547884383
338,338,338,12-04,1.5110486184590606,-0.7577022660173844,-0.3382308351876233
339,339,339,12-05,1.1184441166587114,-1.880724915995892,-0.4524460572754629
340,340,340,12-06,1.6193958153414172,-0.4477813262354889,-0.5430461658643934
341,341,341,12-07,1.5392518961201822,-0.6770284085556607,-0.975873170216756
342,342,342,12-08,1.6064780527379685,-0.4847318449488362,-0.9934150161196512
343,343,343,12-09,1.214042837808326,-1.6072702595472699,-0.7621892947204737
344,344,344,12-10,1.4742532376811408,-0.8629533414347549,-0.6901185773271293
345,345,345,12-11,1.6034579807428655,-0.4933705876008268,-0.8302782513414929
346,346,346,12-12,1.7705697285148474,-0.015357021875422882,-0.461673928057216
347,347,347,12-13,1.245256121467044,-1.5179864526418418,-0.10405937134896308
348,348,348,12-14,2.379654177229748,1.726894094756825,-0.05254238481665598
349,349,349,12-15,1.9641670755110128,0.5384170807022479,0.26485754280887525
350,350,350,12-16,1.5823141080411045,-0.5538514222409123,0.4886099930163194
351,351,351,12-17,2.2692289184489227,1.4110289781523606,0.6800647703532298
352,352,352,12-18,2.2399078273073285,1.327157679369242,0.2746458508406163
353,353,353,12-19,1.6468473492580045,-0.3692577886203803,0.20750460499462808
354,354,354,12-20,1.5292565850597322,-0.7056194223188557,0.14653082266877296
355,355,355,12-21,1.823333110802696,0.13556960562631898,-0.3293686271279569
356,356,356,12-22,1.4544168758701408,-0.9196941161960432,-0.6966025574786205
357,357,357,12-23,1.2709929537615785,-1.444367720628019,-0.7689300399705257
358,358,358,12-24,1.469606208160471,-0.876245902734739,-0.7262153997647186
359,359,359,12-25,1.4951348513983145,-0.8032226835718117,-0.7896088648245382
360,360,360,12-26,1.6188538520671412,-0.4493315810840133,-0.7790681088571989
361,361,361,12-27,1.6903604066403104,-0.24479118473259834,-0.7383826081226051
362,362,362,12-28,1.4765269281219038,-0.8564495803920072,-0.6656747918410054
363,363,363,12-29,1.356333943527236,-1.2002547162204569,
364,364,364,12-30,1.62211648560915,-0.4399990050451408,
365,365,365,12-31,,,
