,unnamed: 0,unnamed: 0,mth_day,movie to see,movie to see_norm,movie to see_ravg
184,184,184,07-03,6.337869586833447,1.6630065440830564,0.4819894377134071
185,185,185,07-04,5.833627550252218,0.9001740886277141,0.598375733009005
186,186,186,07-05,5.814208812475778,0.8707968405103619,0.7092813540675409
187,187,187,07-06,6.014249835216041,1.1734248911254366,0.559991554100244
188,188,188,07-07,5.600736710103532,0.5478498503547695,0.252363160812149
189,189,189,07-08,4.05188269711783,-1.7953028900998858,0.1666135522095364
190,190,190,07-09,5.117791706566477,-0.1827638156455136,0.09302829946305136
191,191,191,07-10,5.493538003967654,0.3856764370120383,-0.3321107854415977
192,192,192,07-11,5.522364037582838,0.4292853240314517,-0.4877698563259416
193,193,193,07-12,4.32811550936616,-1.3774096183024576,-0.19999871169863376
194,194,194,07-13,4.983380856767072,-0.3861045749512935,-0.3280323386211509
195,195,195,07-14,5.193205201149752,-0.06867602233603902,-0.41072073980876295
196,196,196,07-15,4.6100004898037765,-0.9509655771806166,-0.3348809041887765
197,197,197,07-16,5.1655894418556825,-0.11045397011363378,0.14762453301753872
198,198,198,07-17,5.823150661645764,0.8843243377513703,0.3549789186097021
199,199,199,07-18,6.241769202875052,1.5176230049354338,0.3659929653530212
200,200,200,07-19,5.805764306270128,0.858021738601687,0.3681284578802886
201,201,201,07-20,5.236887758081892,-0.0025917418761251354,0.6208733844584198
202,202,202,07-21,4.61847001749641,-0.938152622017012,0.30142127900110555
203,203,203,07-22,6.167995269782264,1.4060155893551534,-0.1979870417867461
204,204,204,07-23,4.556179029062513,-1.032388294992515,-0.2547643348756829
205,205,205,07-24,4.261077372378439,-1.4788269197916761,-0.4397170878037491
206,206,206,07-25,5.5805811927778315,0.5173579800680659,-0.1762284018004446
207,207,207,07-26,4.503350907565341,-1.1123082594445224,-0.277191275833745
208,208,208,07-27,5.663486422052334,0.6427794940028153,0.02017517657558621
209,209,209,07-28,5.767568742115007,0.800238345155351,0.4841051244184418
210,210,210,07-29,5.735557262131892,0.7518104194634723,0.26331648629041643
211,211,211,07-30,6.101059245658866,1.3047527672654575,0.02269013423812975
212,212,212,07-31,4.704916463930783,-0.8073738487000871,-0.2926142902220436
213,213,213,08-01,3.549008278751537,-2.5560663717582424,-0.28055869901113506
214,214,214,08-02,4.412964811474288,-1.2490470527582251,-0.5416722245356099
215,215,215,08-03,5.815382144554082,0.8725718924208022,-0.7272468169807773
216,216,216,08-04,4.699960926807322,-0.8148707336833767,-0.5245691140807184
217,217,217,08-05,5.365056131765969,0.19130521259445346,-0.0478582277792828
218,218,218,08-06,5.508751829998901,0.40869236870026654,0.19942847210408868
219,219,219,08-07,5.4396803374719145,0.3041989460503712,0.06575678553298986
220,220,220,08-08,5.393722892310366,0.23467314654200402,0.3736601897441312
221,221,221,08-09,5.28522994936759,0.07054177299420936,0.4087945512268413
222,222,222,08-10,5.921129521557615,1.032549691583471,0.1185134128202458
223,223,223,08-11,5.504401713050507,0.4021113814907141,-0.056031996613466716
224,224,224,08-12,4.357474497490373,-1.3329944617393064,-0.007516250331242281
225,225,225,08-13,4.747419812115343,-0.7430735105519041,-0.07028056886131777
226,226,226,08-14,5.586140075428285,0.5257676242353506,-0.18469269583448888
227,227,227,08-15,5.036301832264757,-0.3060441381862436,-0.29998541091745823
228,228,228,08-16,5.467362221789762,0.3460769297444447,-0.04184683870860173
229,229,229,08-17,5.047141933076562,-0.2896449090071019,-0.0382569742243675
230,230,230,08-18,5.3812719390378865,0.21583697151383266,-0.048482424784744384
231,231,231,08-19,4.761657490905507,-0.7215343236464987,-0.014690413598177004
232,232,232,08-20,5.545585151641403,0.4644149208730893,-0.08652704362066799
233,233,233,08-21,5.170323548978837,-0.10329207106683932,-0.0459980486635633
234,234,234,08-22,5.182452619179438,-0.08494285039050116,0.2364372157865905
235,235,235,08-23,5.207883045846041,-0.04647093926447378,0.5485567475143406
236,236,236,08-24,6.501431931682884,1.910448558214756,0.6398293563985499
237,237,237,08-25,5.999547571824283,1.1511828667200017,0.7656091127254872
238,238,238,08-26,5.907579342046298,1.0120505741783443,0.6676624084253434
239,239,239,08-27,5.669175741520599,0.6513864668947849,0.8064501080412461
240,240,240,08-28,4.793988452772862,-0.6726230761913635,0.6161915286318144
241,241,241,08-29,5.758325742453438,0.7862552584309426,0.3746266812268632
242,242,242,08-30,5.746851765049588,0.7688970817581654,0.12407004052954625
243,243,243,08-31,5.041482798223123,-0.2982062177097051,-0.023135310135459133
244,244,244,09-01,4.9138524243150465,-0.491289270005557,-0.1513775890898283
245,245,245,09-02,5.085347993101038,-0.2318456370952474,-0.0421772580354969
246,246,246,09-03,4.285369705995732,-1.4420767499175784,-0.3076565332259316
247,247,247,09-04,6.191422658551318,1.4414572447569307,-0.2993492592549297
248,248,248,09-05,4.693940530598549,-0.823978569384443,-0.2102442300083851
249,249,249,09-06,5.074430086049852,-0.2483625738836937,-0.1555474804619457
250,250,250,09-07,5.267249827078318,0.04334090547371067,0.06301744876341826
251,251,251,09-08,5.30227951080271,0.09633486018338902,-0.2682563363905442
252,252,252,09-09,5.152215034216943,-0.13068717456539464,0.3026802665344667
253,253,253,09-10,4.877565334594401,-0.5461854661668437,0.4440920454668881
254,254,254,09-11,6.958319032264407,2.601641048165622,0.3884964484722659
255,255,255,09-12,5.635280083153572,0.6001080997108358,0.4312387771698158
256,256,256,09-13,5.046753411229433,-0.2902326764940233,0.5785650867113677
257,257,257,09-14,5.471798875506289,0.3527888323686884,0.5264288693166715
258,258,258,09-15,5.736522514848863,0.7532706826839172,0.0750243274453315
259,259,259,09-16,4.6707890844435,-0.8590027705350203,0.06752433342315839
260,260,260,09-17,5.168013882916607,-0.1067862030624187,0.027578818866556287
261,261,261,09-18,5.605534529725355,0.5551081355777971,-0.06432144511023223
262,262,262,09-19,4.8883264266280815,-0.529905763833636,0.0552554565090016
263,263,263,09-20,5.107315356705183,-0.1986127514920426,0.2890128888673699
264,264,264,09-21,6.210773708300494,1.47073209239932,0.4736320075866411
265,265,265,09-22,5.597889049177103,0.5435418236151895,0.22274988671317994
266,266,266,09-23,5.900227514487399,1.000928509253208,0.0031142722138041514
267,267,267,09-24,4.610516732569309,-0.9501845896629698,-0.3637875619445707
268,268,268,09-25,4.017234678219231,-1.8477194508298904,-0.6872797587127529
269,269,269,09-26,3.652154448762632,-2.4000237564422915,-0.9082892194753044
270,270,270,09-27,4.927778762686988,-0.4702210882097733,-1.06061883269398
271,271,271,09-28,4.72134852076888,-0.7825149409601186,-1.0433419883479715
272,272,272,09-29,5.296076546459956,0.08695082994115272,-1.046316485307452
273,273,273,09-30,4.6790380267257925,-0.8465235235869182,-0.8350672220064276
274,274,274,10-01,4.005437594385735,-1.8655664325867733,-0.9216334125365112
275,275,275,10-02,4.489985282975967,-1.1325281766361446,-0.698285190461442
276,276,276,10-03,4.5844505896408165,-0.9896182313902752,-0.8292638352108938
277,277,277,10-04,5.6071647565138925,0.5575743914902969,-0.8904577546004324
278,278,278,10-05,4.776605162371902,-0.6989210385555571,-0.7336753860129294
279,279,279,10-06,4.436338233459002,-1.2136870399241506,-0.5216357764284268
280,280,280,10-07,4.627248532852442,-0.9248722210617544,-0.3473648294604695
281,281,281,10-08,5.330950691367961,0.13970948087087015,-0.6239168107335046
282,282,282,10-09,5.275622575737886,0.0560074504174692,-0.3888509101249169
283,283,283,10-10,4.510338317677197,-1.1017374961479138,-0.3710913272384338
284,284,284,10-11,5.708894612874553,0.7114743650959695,-0.1792868455756628
285,285,285,10-12,4.506774105814494,-1.1071295426052523,-0.3460358118454223
286,286,286,10-13,5.387959866782082,0.2259546689148719,-0.6864490790263971
287,287,287,10-14,4.669611459548133,-0.860784316747687,-0.55270380698939
288,288,288,10-15,3.925517362764391,-1.98647215266838,-0.9577843835684781
289,289,289,10-16,5.040782358483998,-0.2992658639258716,-0.9263526474464944
290,290,290,10-17,4.102313874577462,-1.7190090943785588,-0.8345955448143477
291,291,291,10-18,4.631434789995575,-0.9185391258733502,-0.8950217607284824
292,292,292,10-19,5.751875596673847,0.7764972847077507,-0.5235150076827167
293,293,293,10-20,4.4299564373407785,-1.2233416122324947,-0.4667235774609901
294,294,294,10-21,5.3989417333700525,0.2425683656062139,-0.2356125723721022
295,295,295,10-22,5.266021540932815,0.04148271740448778,-0.1465808797791934
296,296,296,10-23,5.018917905113583,-0.3323430638452313,-0.3487952922019795
297,297,297,10-24,4.984541333947155,-0.3843489703158973,-0.3716422356386849
298,298,298,10-25,4.949877676289521,-0.43678918982896603,-0.4959619096245957
299,299,299,10-26,4.339343701562743,-1.360423272852728,-0.6200790333991751
300,300,300,10-27,4.905880339748425,-0.5033496783092496,-0.7576171157803074
301,301,301,10-28,4.773763477035882,-0.7032200252429891,-0.6745904488486137
302,302,302,10-29,4.473431286619289,-1.1575715581320252,-0.5311456652901442
303,303,303,10-30,5.313831484030231,0.11381103127426502,-0.602539050108204
304,304,304,10-31,5.5187907261830365,0.4238795115218516,-0.5280618692641015
305,305,305,11-01,4.056192043541607,-1.788783581761086,-0.2279171234545747
306,306,306,11-02,5.201262570111778,-0.05648659324463483,-0.1954734350079257
307,307,307,11-03,5.964160635524462,1.097648449614172,0.05192776324480535
308,308,308,11-04,4.602105451591309,-0.9629094274521308,-0.171026313657211
309,309,309,11-05,6.295043674210019,1.5982182207906508,0.0900887090689001
