,unnamed: 0,unnamed: 0,mth_day,harrison ford,harrison ford_norm,harrison ford_ravg
73,73,73,03-14,1.4140536162338049,-1.5615926019619888,-0.7528815400442173
74,74,74,03-15,1.687804739759661,-0.7938496350204749,-0.72794317200526
75,75,75,03-16,1.7429038983766338,-0.6393224463545978,-0.8592630524343209
76,76,76,03-17,2.201726454529964,0.6474587219702723,-0.07499801173706126
77,77,77,03-18,1.5192991341211504,-1.2664284940693136,0.19483999921471906
78,78,78,03-19,3.0989493592431687,3.163746385013735,0.1027955077496358
79,79,79,03-20,1.9913441562876304,0.057435463748692926,0.2929327590095301
80,80,80,03-21,1.4908850619150409,-1.3461165838109743,0.14104787468163504
81,81,81,03-22,2.1496828991445764,0.501501061204768,0.22041407901714627
82,82,82,03-23,1.8767844399101927,-0.26385058399709804,-0.4792230360634119
83,83,83,03-24,1.689094926794174,-0.7902312680562462,-0.4001484510984734
