,unnamed: 0,unnamed: 0,mth_day,true story,true story_norm,true story_ravg
74,74,74,03-15,6.460378469475943,0.13745813235291413,-0.3574022513100557
75,75,75,03-16,6.294802299204076,-0.07522110548712638,-0.3991329271334516
76,76,76,03-17,5.672852409783222,-0.8741031441255037,-0.07402609018759193
77,77,77,03-18,5.953182942212107,-0.5140242518406144,-0.16839704376884648
78,78,78,03-19,6.861142704245631,0.6522316765435662,-0.30262402561769297
79,79,79,03-20,6.091216011046575,-0.3367235700563126,-0.24586233097321936
80,80,80,03-21,5.833383850892655,-0.6679037587401652,-0.06669314970237382
81,81,81,03-22,6.559944795843316,0.2653490623797154,0.15400886122614296
82,82,82,03-23,6.509778867678987,0.20091194349956973,-0.13217112461917854
83,83,83,03-24,6.984115555436769,0.8101878137304862,0.14613230970544824
84,84,84,03-25,5.524352525402759,-1.0648482385283629,0.25160434928614306
