,unnamed: 0,unnamed: 0,mth_day,british,british_norm,british_ravg
74,74,74,03-15,1.0824420561646677,-0.956485118687842,-1.2457653385490957
75,75,75,03-16,0.9880500257717008,-1.2894789546061989,-1.2514880157839452
76,76,76,03-17,1.0643301509893903,-1.0203798432212223,-1.103854910759088
77,77,77,03-18,1.1334082463149602,-0.776687872144506,-0.9528834200540608
78,78,78,03-19,1.15219207953803,-0.7104227367071104,-0.8709775850487161
79,79,79,03-20,1.0803555068606936,-0.9638459949574856,-0.6913230948502394
80,80,80,03-21,1.2217465819532116,-0.4650501086557736,-0.6093887578825271
81,81,81,03-22,1.2936043682828091,-0.2115520134153378,-0.3780566564401496
82,82,82,03-23,1.2036831525959442,-0.5287738214149496,-0.4025842561517812
83,83,83,03-24,1.526855290582257,0.6113047365097595,-0.3303872831487939
