,unnamed: 0,unnamed: 0,mth_day,siblings,siblings_norm,siblings_ravg
73,73,73,03-14,1.2116463192578737,0.8824640483532444,0.1370139519660684
74,74,74,03-15,1.0321670093349942,0.13501786674312224,0.514625844509582
75,75,75,03-16,1.2836915566310545,1.1824982840593985,0.6035121463641405
76,76,76,03-17,1.3618039816412113,1.507799478025634,1.004794117180818
77,77,77,03-18,1.1791864536428491,0.747284106888388,0.9960336509864346
78,78,78,03-19,1.3776284589651009,1.5737009190151254,0.7345989261057411
79,79,79,03-20,1.1990247622881107,0.8299012511869445,0.6488397544680958
80,80,80,03-21,0.6555074571217228,-1.4335904825410393,0.454163137231308
81,81,81,03-22,1.160134859249107,0.6679432542335265,0.3567790947689946
82,82,82,03-23,1.0813255275710192,0.3397397746049073,-0.025271494815541844
83,83,83,03-24,1.0388813360142997,0.16297985211450747,-0.2172467888178646
