,unnamed: 0,unnamed: 0,mth_day,relationships,relationships_norm,relationships_ravg
73,73,73,03-14,1.9997760355716965,-0.805139823123363,-0.364283432967128
74,74,74,03-15,2.1642752486443038,-0.3430724237964957,-0.2697569324163341
75,75,75,03-16,2.2875575498843923,0.003219398839127896,-0.5167649644889208
76,76,76,03-17,2.486095352704452,0.5608989433403135,-0.7313782494110153
77,77,77,03-18,1.4171953549664458,-2.4415703868764362,-0.7898622063989538
78,78,78,03-19,1.801314476191574,-1.3626052048492396,-0.8935738775199429
79,79,79,03-20,1.8748518589355183,-1.156043565050994,-0.8403995015364476
80,80,80,03-21,1.942742784193863,-0.9653424505224306,-1.0779829343087408
81,81,81,03-22,2.4011402395654384,0.32226565474009905,-0.5756335661573931
82,82,82,03-23,1.978607209800639,-0.8646016532934468,-0.11593469465606115
83,83,83,03-24,2.4902346025151982,0.5725258220316513,-0.2176514734276329
