,unnamed: 0,unnamed: 0,mth_day,history,history_norm,history_ravg
57,57,57,02-27,4.42722287500728,-0.5203408019908273,-0.6194263561482747
58,58,58,02-28,4.4153435248591775,-0.5374419303416536,-0.5262986502306498
59,59,59,02-29,3.921985448305104,-1.24766426446616,-0.4752152447003843
60,60,60,03-01,4.773411635463298,-0.021978656556697947,-0.4738211988415213
61,61,61,03-02,4.082758815516104,-1.016220123684698,-0.4281678000088373
62,62,62,03-03,5.1365048427961515,0.5007185839909121,-0.5441621676061209
63,63,63,03-04,4.617502498336899,-0.2464204089947236,-0.6714021325047931
64,64,64,03-05,3.9318885107942174,-1.2334081359253553,-0.7362719835496132
65,65,65,03-06,3.39165970668562,-2.011104053858194,-0.9428077430783618
66,66,66,03-07,4.503039414821099,-0.4111977628256181,-1.1251083829833175
67,67,67,03-08,3.221934703137163,-2.255434680857189,-1.0318396913182155
68,68,68,03-09,4.376690722033915,-0.5930852554388221,-0.8766930361299682
69,69,69,03-10,5.006238758336373,0.3131917409958879,-0.6995061763105279
70,70,70,03-11,4.578527049542734,-0.30252820479587106,-0.8303823785980979
71,71,71,03-12,4.130160011317131,-0.9479828949415524,-0.6667852230430037
72,72,72,03-13,3.95755813389046,-1.1964549765510382,-0.7538839188616081
73,73,73,03-14,3.903794234579857,-1.2738517475266244,-0.9385952410449044
74,74,74,03-15,4.013670498860519,-1.1156774303504484,-0.8511007201389705
75,75,75,03-16,4.236377111483668,-0.7950761921038906,-0.8300291277421116
76,76,76,03-17,4.943197039227437,0.22243892063973267,-0.6627980108907617
77,77,77,03-18,4.2179846808214565,-0.8215533405603985,-0.5795589554115382
78,78,78,03-19,4.654563718076786,-0.1930682754429401,-0.4887539875683962
79,79,79,03-20,4.2507277932607215,-0.774417414651283,-0.2495568520895076
80,80,80,03-21,4.392138159964456,-0.5708476232915968,-0.27587435806957417
81,81,81,03-22,5.2333311610003985,0.6401066207694416,-0.0501485298053711
82,82,82,03-23,4.833507832007295,0.06453388475933311,-0.0220734983842661
83,83,83,03-24,5.158791426345283,0.53280162902482,0.1049857921645115
84,84,84,03-25,4.7715781472401755,-0.024618086916310136,0.1101115477400545
85,85,85,03-26,4.780300499002872,-0.01206167135861737,0.1778135830311245
86,86,86,03-27,4.413501888955774,-0.5400930898383388,0.16918653238300507
87,87,87,03-28,5.515507693377451,1.0463188325158614,0.0946348820837202
88,88,88,03-29,4.797550992215676,0.01277158087061662,0.2861238380854532
89,89,89,03-30,4.8480662601963465,0.08549172722911068,0.24455535413098195
90,90,90,03-31,5.569688416167321,1.1243156490940878,0.40630590898280383
91,91,91,04-01,4.607046465973956,-0.261472575085445,0.19857938019346832
92,92,92,04-02,5.087664940065282,0.4304102392725924,0.06370969427167486
93,93,93,04-03,4.6497205523485,-0.2000403402201514,0.15025610303762918
94,94,94,04-04,4.2354251989130685,-0.7964465346601441,0.2509462900871689
95,95,95,04-05,5.2087845962148975,0.6047701798248366,0.2356620426077263
96,96,96,04-06,5.989356860459773,1.728456771391326,0.2599135149005649
97,97,97,04-07,4.543342975595865,-0.3531780599621005,0.10818741543130517
98,98,98,04-08,5.1887430882658565,0.5759190730296242,0.10346320152476927
99,99,99,04-09,4.01733860939414,-1.1103969370357099,-0.12968064087005768
100,100,100,04-10,4.215735062676801,-0.8247918180993595,-0.5902823696266207
101,101,101,04-11,4.237060175978571,-0.7940928745441251,-0.5237294496486063
102,102,102,04-12,4.069606618556098,-1.035153601148052,-0.4762362180160082
103,103,103,04-13,4.820730089561118,0.04613945990598597,-0.15508622752411202
104,104,104,04-14,5.386690983862349,0.8608784628252132,0.2913353324665255
105,105,105,04-15,5.355865439500822,0.8165030059156668,0.4946010855425716
106,106,106,04-16,6.076383523759742,1.8537375418444653,0.7793847261916891
107,107,107,04-17,5.084255169562085,0.4255016439121516,0.7616654176236862
108,108,108,04-18,5.256561484101773,0.6735482427466519,0.5818047162910923
109,109,109,04-19,4.746877464210319,-0.06017639150202976,0.439517128083515
110,110,110,04-20,4.637046327025416,-0.21828574517035013,0.08482817163337804
111,111,111,04-21,4.762822437645839,-0.037222523329797606,0.05778209447161468
112,112,112,04-22,4.59806903331286,-0.2743961968563565,-0.10696602457523624
113,113,113,04-23,4.971529337390312,0.26322518094157143,-0.2269734833186736
114,114,114,04-24,4.56990483118998,-0.3149404715344535,-0.3181123902145579
115,115,115,04-25,4.246696215271236,-0.7802211439626536,-0.2061745263702945
116,116,116,04-26,4.257186835328453,-0.7651191865456564,-0.1050133641415752
117,117,117,04-27,5.229370276650542,0.6344046597357823,-0.046218959079387965
118,118,118,04-28,5.0197004635380855,0.3325707765159596,0.0787866077593035
119,119,119,04-29,5.216579597287124,0.6159916113146948,0.1711930153877674
120,120,120,04-30,5.0909177848880285,0.4350929294976953,0.05844530800509716
121,121,121,05-01,4.631838546102457,-0.2257826981918703,0.0710840901316888
122,122,122,05-02,3.787263634852663,-1.4416054308416777,0.2752021409986764
123,123,123,05-03,5.2820476843328645,0.710237352495332,0.1255951005780074
124,124,124,05-04,5.870447764436535,1.5572790817178852,0.23082237542992026
125,125,125,05-05,4.593029718711078,-0.2816506312093189,0.2821957120350734
126,126,126,05-06,5.529496439156584,1.0664565786091724,0.6299118008641186
127,127,127,05-07,4.845958401104708,0.08245732143904858,0.3569132470268587
128,128,128,05-08,5.236515784742358,0.6446911021325938,-0.024164779129791283
129,129,129,05-09,4.144212094389988,-0.9277539705282276,-0.08222253447691984
130,130,130,05-10,4.282145795025008,-0.7291890752220149,-0.18394030854826413
131,131,131,05-11,4.351049754430611,-0.6299971632920902,-0.16189914122929205
132,132,132,05-12,5.105545096406475,0.4561499341811068,-0.4388443807365638
133,133,133,05-13,4.93782417939144,0.2147043253528811,-0.22919825780687145
134,134,134,05-14,4.082230732505503,-1.0169803349110365,0.12223628007596805
135,135,135,05-15,5.017999946413349,0.3301227670499263,0.35774233361711144
136,136,136,05-16,5.74689613570482,1.379418152075022,0.3969269934782022
137,137,137,05-17,5.332619677053155,0.7830391579547703,0.3401969573230983
138,138,138,05-18,5.2688635460578,0.6912578933476514,0.585877525306203
139,139,139,05-19,4.701378039847043,-0.12567589157774256,0.7149532165514906
140,140,140,05-20,5.106207197139812,0.4571030729875917,0.5276657964751802
141,141,141,05-21,5.5559768449390345,1.1045769145216522,0.6079405416293666
142,142,142,05-22,4.966297524041687,0.25569363161715897,0.4736473754054049
143,143,143,05-23,5.66719823333546,1.2646876288798892,0.2600681251279087
144,144,144,05-24,4.709140639588385,-0.11450110399611955,0.3481228089845628
145,145,145,05-25,3.8111972355050527,-1.4071513932427195,-0.08390874121076804
146,146,146,05-26,5.4732119000767945,0.9854311761275164,-0.08659199765989305
147,147,147,05-27,3.7553047648829567,-1.487612386650333,-0.2496549704517641
148,148,148,05-28,4.9551139311550445,0.23959409292240905,-0.0387964681939696
149,149,149,05-29,4.987565131853606,0.28630979212866275,0.39515966088459104
150,150,150,05-30,5.587981589251406,1.1506499095506473,0.41730714465657504
151,151,151,05-31,5.619890802555148,1.1965853812286442,0.8805193703961475
152,152,152,06-01,5.565520796623068,1.1183160787594204,1.0002856632897337
153,153,153,06-02,5.685935344183866,1.2916609677871007,1.011095358033656
154,154,154,06-03,5.454290020604517,0.958191850283924,1.1470206282344255
155,155,155,06-04,5.032619053287144,0.35116796059219696,1.177389115870521
156,156,156,06-05,6.154506971284143,1.9662015307552672,1.0095023477932676
157,157,157,06-06,5.746464169188028,1.3787963070452154,0.7470855693983555
158,158,158,06-07,4.865782511882337,0.1109954702959004,0.6701734535191758
159,159,159,06-08,4.592203726712081,-0.28283970258237306,0.7048722845928698
160,160,160,06-09,5.1337266274470945,0.4967191550088464,0.6975538061412796
161,161,161,06-10,5.177240936334192,0.5593609470343613,0.6936177843457126
162,162,162,06-11,6.124004153121178,1.9222906600457257,0.8847465496350132
163,163,163,06-12,5.730059153048432,1.355180176271814,0.9808872788973532
164,164,164,06-13,5.662391535451176,1.2577680620317035,0.9325193243073188
165,165,165,06-14,4.992910403945851,0.2940046729916675,0.9451792279770476
166,166,166,06-15,4.9321329582803,0.20651142746864035,0.6387144752900561
167,167,167,06-16,5.2300063768766085,0.6353203690527333,0.3844097005372206
168,168,168,06-17,4.8466841901803805,0.08350214392377718,0.4195943377171236
169,169,169,06-18,4.670137701674462,-0.17064847224519936,0.4113436343477846
170,170,170,06-19,5.809038218518905,1.4688758851111217,0.339515748601466
171,171,171,06-20,4.958522148756441,0.2445004527756333,0.4172165029398025
172,172,172,06-21,4.632760219473663,-0.22445588700927108,0.5430772365348941
173,173,173,06-22,5.5538567504733525,1.1015248950827523,0.7690592630888681
174,174,174,06-23,5.371261408806176,0.8386665454943268,0.7104553464837414
175,175,175,06-24,5.612012260665015,1.1852436870786451,1.0101680476438484
176,176,176,06-25,5.564781898893463,1.1172523854803622,1.2044445306542992
177,177,177,06-26,6.2077001145165625,2.0427766597362744,1.1802473402665303
178,178,178,06-27,5.442488672430957,0.9412030110534344,1.2344327876196308
179,179,179,06-28,5.453004844802674,0.9563417527561401,1.2295775549693841
180,180,180,06-29,5.59710191084813,1.1637792296129317,1.1503376458633112
181,181,181,06-30,5.59177604904685,1.156112291177163,1.0525248799710705
182,182,182,07-01,5.234516454416141,0.6418129308439249,1.2317774333259923
183,183,183,07-02,5.800024525695359,1.45590006438283,1.0346909675194358
184,184,184,07-03,6.189598618357445,2.016718331182965,0.6468055336892471
185,185,185,07-04,4.631564613934487,-0.22617704208319955,0.5365405558062978
186,186,186,07-05,3.980427224375177,-1.1635333733682025,0.3316128288311106
187,187,187,07-06,5.132200661573278,0.4945224238794685,0.06993121991533995
188,188,188,07-07,4.380394489881983,-0.5877534310071983,-0.4251466313042293
189,189,189,07-08,4.7093570343379785,-0.1141895891117939,-0.2953504619718305
190,190,190,07-09,4.126154724636765,-0.95374877613445,-0.10877327162765722
191,191,191,07-10,5.172544406057103,0.5525999739111934,-0.3962875537431125
192,192,192,07-11,4.758065656744675,-0.04407023130316265,-0.3109665615354352
193,193,193,07-12,3.9338647062741927,-1.2305632688132626,-0.4329071959241539
194,194,194,07-13,4.736005390154394,-0.07582747776113519,-0.3373408680248818
195,195,195,07-14,4.201118467805472,-0.8458333954441057,-0.4454125313182716
196,196,196,07-15,4.524467344082963,-0.3803508087388172,-0.4016664937431094
197,197,197,07-16,4.722110573968579,-0.09583000584914544,-0.016705185337974344
198,198,198,07-17,4.940395554732597,0.21840599414781064,-0.02199252280111678
199,199,199,07-18,5.53835187771706,1.079204581617548,0.09441993636979733
200,200,200,07-19,4.713968201103245,-0.10755150253998977,0.2640918243198763
201,201,201,07-20,4.686316053271068,-0.14735864041862107,0.08177000734975558
202,202,202,07-21,5.231645862096233,0.6376805189616563,0.14689061250850746
203,203,203,07-22,3.9622081889349903,-1.1897609076698694,-0.052365405267438464
204,204,204,07-23,5.2118128979629805,0.609129625100322,0.19079676168773665
205,205,205,07-24,4.707869132116457,-0.11633152503812755,-0.02297556125636081
206,206,206,07-25,5.727448176730382,1.351421499191061,-0.3006762660955455
207,207,207,07-26,3.795330537884216,-1.429992578083206,-0.1318349707690651
208,208,208,07-27,4.074212092294628,-1.0285237100734517,-0.33913063316506104
209,209,209,07-28,4.66592486499126,-0.17671313571098726,-0.31173091993598634
210,210,210,07-29,4.347821572735838,-0.6346443492756533,-0.6562077794140776
211,211,211,07-30,4.822068890423068,0.04806675433632023,-0.3808596228993708
212,212,212,07-31,4.291696869199362,-0.7154396576774872,-0.18187492828859286
213,213,213,08-01,4.942959079148798,0.22209636100503505,-0.13177597275272965
214,214,214,08-02,4.903563985187901,0.16538445759121564,-0.0282008366295259
215,215,215,08-03,4.874733204179946,0.1238805975041924,0.4312698757343221
216,216,216,08-04,4.779514248237748,-0.01319353253643078,0.5776361672821628
217,217,217,08-05,6.737105148731037,2.804891028519408,0.4644984326130434
218,218,218,08-06,4.901739572174144,0.16275809160955745,0.29064900074791705
219,219,219,08-07,4.471410276920424,-0.4567300470096814,0.33519010409621025
220,220,220,08-08,4.178973806642817,-0.8777121335995427,0.24777853020761026
221,221,221,08-09,5.060376871124875,0.3911272175939518,-0.3948995111452087
222,222,222,08-10,4.41518997492068,-0.5376629758680308,-0.5407389030967501
223,223,223,08-11,4.05847576389577,-1.0511772195975055,-0.5796790975087458
224,224,224,08-12,4.293892943517592,-0.7122782600996916,-0.5845770462810053
225,225,225,08-13,4.309110739217832,-0.6903712134816554,-0.5770381905103654
226,226,226,08-14,4.158559557730288,-0.9070998262330998,-0.44684992188758815
227,227,227,08-15,5.091798203885465,0.4363603522177911,-0.2420737324812417
228,228,228,08-16,4.957804004738378,0.2434666358686324,-0.3103971557111899
229,229,229,08-17,4.9119661322671755,0.17747991684057254,-0.1863961282631527
230,230,230,08-18,4.0091265171572985,-1.1222187994793802,-0.12179478757641855
231,231,231,08-19,4.82593685509524,0.05363495120656801,0.12622593354811687
232,232,232,08-20,4.427812649214463,-0.5194917821126949,-0.052604254854253886
233,233,233,08-21,6.125528234950108,1.924484678965004,0.07238637511609462
234,234,234,08-22,4.212454441305505,-0.8295144945455921,0.45022234924096427
235,235,235,08-23,5.432916830322607,0.9274236966626636,0.4548846889452088
236,236,236,08-24,5.5839158795078925,1.1447970452698375,0.6362085285511467
237,237,237,08-25,4.845369104729262,0.08160898943203491,0.4990654266905232
238,238,238,08-26,5.183555546415741,0.5684512555229329,0.9993689620113876
239,239,239,08-27,5.553927030405996,1.1016260678012628,0.8383244090457284
240,240,240,08-28,6.297678557919955,2.1723067173795942,0.5558941391496915
241,241,241,08-29,4.761696337191341,-0.03884362113129166,0.7827849537065763
242,242,242,08-30,4.406769670314227,-0.5497845741063825,0.6664023987776688
243,243,243,08-31,5.791031417606753,1.4429538767733436,0.3253134504545821
244,244,244,09-01,4.698482599379057,-0.12984407405051152,0.019126546051735287
245,245,245,09-02,4.132296258802894,-0.9449076221372572,0.12169082269679073
246,246,246,09-03,5.021516643847402,0.3351852909625131,-0.12149112910064645
247,247,247,09-04,5.1891758332661055,0.5765420387390409,-0.3465784561869924
248,248,248,09-05,3.39320723308665,-2.0088762848910053,-0.2980588092892655
249,249,249,09-06,4.85288589264316,0.09242991425526813,-0.0621566161011792
250,250,250,09-07,4.900708509647451,0.1612738073358498,-0.3335443899816944
251,251,251,09-08,5.115517258995423,0.4705055369912606,-0.4733778927013182
252,252,252,09-09,3.8903946527005218,-1.293141352320578,-0.23201311327919816
253,253,253,09-10,4.606361258520741,-0.2624589775787021,-0.2360073198250422
254,254,254,09-11,4.399195844839205,-0.5606876083582855,-0.3342870189354797
255,255,255,09-12,4.836238367234826,0.06846467498020413,-0.4800595741652397
256,256,256,09-13,4.491086781455459,-0.4284043873267753,-0.1028783196344644
257,257,257,09-14,4.507949200315486,-0.4041297943872993,-0.04073843268670437
258,258,258,09-15,5.4624551974617095,0.9699461748640736,0.05204820844360066
259,259,259,09-16,4.865355212629146,0.11038034410785816,0.05778470507653681
260,260,260,09-17,4.7859229577317315,-0.0039677615764553064,0.01027971296886454
261,261,261,09-18,4.860147614880267,0.10288365477782108,0.07291850325734546
262,262,262,09-19,4.29308986916307,-0.7134343399728091,-0.21205147246502892
263,263,263,09-20,4.76902254264421,-0.028297052656413742,-0.07355854238768304
264,264,264,09-21,4.274723702607833,-0.739873679470173,0.05729656729833165
265,265,265,09-22,5.442582390511607,0.9413379245719338,0.0008853794860723893
266,266,266,09-23,5.331316326428416,0.7811628965396329,0.295247138936861
267,267,267,09-24,4.625030409087289,-0.2355834720957345,0.2995597314473044
268,268,268,09-25,5.519965548588731,1.0527362167319223,0.4257308669029219
269,269,269,09-26,4.786997074649347,-0.0024214975937534447,0.24846344901051595
270,270,270,09-27,4.8005946507392485,0.017153133263531916,0.46078426291884494
271,271,271,09-28,4.703746326436724,-0.1222665827825021,0.5044705611584973
272,272,272,09-29,6.216252071159687,2.055087779989607,0.09986964705943567
273,273,273,09-30,4.807111318422682,0.026534317342179318,-0.02001240065284143
274,274,274,10-01,3.8336221108144466,-1.374869267862447,-0.232822236483574
275,275,275,10-02,4.287338528606009,-0.7217137838674161,-0.3515993297363608
276,276,276,10-03,3.9136207027290535,-1.2597058817208635,-0.6796339699435959
277,277,277,10-04,4.208693139988162,-0.8349291422992231,-0.6952672703651065
278,278,278,10-05,4.8490305854942335,0.08687993874619591,-0.5157912635881913
279,279,279,10-06,4.741953004000005,-0.06726548518688412,-0.3874741072560328
280,280,280,10-07,4.58166339228343,-0.2980132272009558,-0.3751489685000586
281,281,281,10-08,4.822153915804104,0.04818915412553478,-0.3960312307567116
282,282,282,10-09,3.964990870557457,-1.1857550491850188,-0.5077151564547466
283,283,283,10-10,4.121657582985524,-0.9602227158391408,-0.5693815026693521
284,284,284,10-11,4.383541139863271,-0.5832236154420138,-0.7420604346099516
285,285,285,10-12,4.484932728843001,-0.4372635624745159,-0.9645510563799106
286,286,286,10-13,3.8619517614574885,-1.3340868188445536,-0.7065945530440634
287,287,287,10-14,3.894831245702007,-1.2867545764942183,-0.8824202237700245
288,288,288,10-15,5.040132427269564,0.3619839708300637,-0.8538152476896331
289,289,289,10-16,3.3888306028952324,-2.015176740194908,0.09651311961129633
290,290,290,10-17,4.502764334917765,-0.4115937589596657,0.22185042138396696
291,291,291,10-18,8.445823448769302,5.2647066413310615,0.3576978026108237
292,292,292,10-19,4.384347359162264,-0.5820630082085297,0.2902027271215883
293,293,293,10-20,4.4610319928773885,-0.4716702891330782,0.5020996299112407
294,294,294,10-21,4.758818486378454,-0.04298648210534866,0.4066151815678174
295,295,295,10-22,4.271999520839243,-0.7437953234569933,-0.5020948079340564
296,296,296,10-23,4.1047929827472505,-0.9845004490202056,-0.18521991649021047
297,297,297,10-24,4.6583947153254766,-0.1875532956801821,-0.05429121552032401
298,298,298,10-25,5.705055926941072,1.319186340454545,-0.010452640392433436
299,299,299,10-26,5.006732084011691,0.3139019166862412,0.10181276253864026
300,300,300,10-27,4.9415340732992314,0.22004496866199472,0.2988221196859526
301,301,301,10-28,4.739912515903684,-0.07020290587055106,0.4332659763903177
302,302,302,10-29,4.9259118310456484,0.1975556938636685,0.4842195197528333
303,303,303,10-30,5.218745687362486,0.6191098445460079,0.3087926737153006
304,304,304,10-31,5.917426118125781,1.6249076006296388,0.3743505955020092
305,305,305,11-01,4.275567372524157,-0.7386591595389552,0.5904033380604817
306,306,306,11-02,5.214774116380468,0.6133924993822458,0.57453682024189
307,307,307,11-03,5.640402633277499,1.2261135494802848,0.4834735413134565
308,308,308,11-04,4.859781485632835,0.10235658695211808,0.3134310305173673
309,309,309,11-05,4.8392014068333165,0.07273017097540688,0.5014958774650853
310,310,310,11-06,5.208702874476755,0.6046525358531033,0.4027910036737439
311,311,311,11-07,5.0594062356480825,0.38972992214735297,0.2936700711218426
312,312,312,11-08,4.80338029497745,0.021163256634197488,0.4873516575768799
313,313,313,11-09,5.185595532946394,0.5713879541688772,0.4007002448183896
314,314,314,11-10,5.667030458521209,1.2644461056823408,0.18308199016687884
315,315,315,11-11,4.478045422782883,-0.447178305575535,0.13090429041443147
316,316,316,11-12,4.301687831051475,-0.7010569920559611,0.3480656109242644
317,317,317,11-13,4.84193386099558,0.07666372363266874,0.2038989387731005
318,318,318,11-14,5.7084908743630765,1.3241311796931952,-0.03328997145157553
319,319,319,11-15,4.584720663275812,-0.2936120787381063,-0.15147185155171994
320,320,320,11-16,4.678446527214802,-0.15868735566571526,0.19670817588990566
321,321,321,11-17,3.985473035954536,-1.1562695861764016,0.43372816520645796
322,322,322,11-18,5.752873639041268,1.3880231725937926,0.4565919473433719
323,323,323,11-19,5.8298137438063184,1.4987836595319832,0.5002429498825397
324,324,324,11-20,5.80378524376691,1.461313872514678,0.4805450215393708
325,325,325,11-21,4.766654463025388,-0.03170606350309914,0.6046743537369154
326,326,326,11-22,4.596347176863066,-0.27687492572472866,0.5897075583307393
327,327,327,11-23,4.502833915508512,-0.4114935929911346,0.5151596820203673
328,328,328,11-24,5.690493262877473,1.2982224001567364,0.4963405633982854
329,329,329,11-25,5.519104307333752,1.0514964016697512,0.5500576434230381
330,330,330,11-26,5.725348700281312,1.3483991607821866,0.5654086819045999
331,331,331,11-27,4.990542848443022,0.29059641664541724,0.4835477802123027
332,332,332,11-28,4.660329046661968,-0.18476869483535768,0.4625920334078282
333,333,333,11-29,4.161644388820265,-0.9026590031449176,0.2907882680792378
334,334,334,11-30,5.603151428304323,1.1724879193298894,-0.12861285235732658
335,335,335,12-01,4.8030402991939996,0.020673809698208468,-0.3815563234062738
336,336,336,12-02,3.977319215923252,-1.1680075618371997,-0.4655689142808507
337,337,337,12-03,3.9362951992970627,-1.2270644096482664,-0.3881529378522573
338,338,338,12-04,4.310171455873451,-0.6888442400828189,0.521129069741893
339,339,339,12-05,4.484307831437412,-0.4381631445733565,0.6195731459438819
340,340,340,12-06,9.392964286258463,6.628179964894791,0.7825297385981607
341,341,341,12-07,5.213347137626722,0.6113382669101418,1.213565912791932
342,342,342,12-08,4.6565089337134555,-0.19026800591152715,1.2636225832057548
343,343,343,12-09,5.732818633786964,1.3591526355143633,1.239822679155558
344,344,344,12-10,4.51880355414032,-0.3885042175998827,0.3620674275287141
345,345,345,12-11,4.3851117826492425,-0.5809625688745383,0.17640702141951495
346,346,346,12-12,5.734552362378242,1.361648455133728,0.4163365126068483
347,347,347,12-13,4.43952978678381,-0.5026241697450528,0.41143962365880377
348,348,348,12-14,5.656515381779019,1.2493089412124732,0.4020965746227442
349,349,349,12-15,5.712408802134871,1.329771301826096,0.4287280698058837
350,350,350,12-16,4.4798624917706364,-0.4445625118162399,0.15498928206971116
351,351,351,12-17,4.496109671124625,-0.4211735977757016,0.04799651540497235
352,352,352,12-18,4.593631538234576,-0.2807842712833069,-0.1712339461510778
353,353,353,12-19,3.993592707387538,-1.1445807697334855,-0.5592959244945139
354,354,354,12-20,4.742780792156325,-0.06607382812382788,-0.5515209203545369
355,355,355,12-21,4.094998292605139,-0.9986005682345206,-0.4241989362274399
356,356,356,12-22,4.512268071573425,-0.39791248697637815,-0.43013121986929015
357,357,357,12-23,5.0267772621636375,0.3427583069868813,-0.4363757106676734
358,358,358,12-24,4.568906266388057,-0.31637797313440874,-0.5298482017517846
359,359,359,12-25,3.967566181709652,-1.1820477145237849,-0.6158523619201071
360,360,360,12-26,4.353195112887413,-0.6269087746284949,-0.935497663817546
361,361,361,12-27,3.7365400042839454,-1.5146255292444553,-1.3470685930032085
362,362,362,12-28,3.1800126601628844,-2.3157842983610117,-1.3651200122932172
363,363,363,12-29,3.311383372962052,-2.1266672681270924,
364,364,364,12-30,4.4936694307768414,-0.4246864888744604,
365,365,365,12-31,,,
