,unnamed: 0,unnamed: 0,mth_day,childish,childish_norm,childish_ravg
92,92,92,04-02,3.0766629078919694,0.6421185891673235,-0.3156032389015053
93,93,93,04-03,2.582749732833684,-0.2866543839791964,-0.30374188720661865
94,94,94,04-04,2.020501915607421,-1.3439263969979875,-0.4962556372558395
95,95,95,04-05,2.670167824124994,-0.12227010622462255,-0.4263224720676301
96,96,96,04-06,1.8817433184845358,-1.6048532993513278,-0.3806113817840299
97,97,97,04-07,2.8190272443053455,0.15765076498003075,-0.4343452584424181
98,98,98,04-08,3.2225154061243053,0.9163851308689248,-0.1649558921042448
99,99,99,04-09,2.4112985576000474,-0.6090576439295253,0.20097868597950688
100,100,100,04-10,2.8800550751115788,0.2724098010310517,0.5782952329009374
101,101,101,04-11,3.837772273548053,2.073337362277888,0.5543051173571844
102,102,102,04-12,3.085664744367325,0.6590459821772553,0.5579563501889288
103,103,103,04-13,2.7424808687271165,0.013710071717512066,0.6220579231615296
104,104,104,04-14,3.2341655642551617,0.9382925278593908,0.4259477928689453
105,105,105,04-15,2.615830422857929,-0.2244482060939197,0.2351949858669587
106,106,106,04-16,2.2543173765709645,-0.9042509807244542,-0.07044944282388528
107,107,107,04-17,3.2291284351828184,0.9288205202659684,-0.18598189317670413
108,108,108,04-18,2.110430874013808,-1.1748205899678086,-0.2311024314717516
109,109,109,04-19,2.3738461149656773,-0.6794846303994012,-0.22025305383151314
110,110,110,04-20,3.0901973676733037,0.6675692980891059,0.08827144268167278
111,111,111,04-21,2.650448035854628,-0.1593519402524888,-0.1400726419867858
112,112,112,04-22,3.2387408130529853,0.9468959983546612,0.11586405383901885
113,113,113,04-23,2.5005403617231203,-0.4412439877447827,0.26900908838833226
114,114,114,04-24,2.927059973077662,0.3607995849870191,0.19449465628006554
115,115,115,04-25,2.8624930875562304,0.2393855768964795,0.2733040950537274
116,116,116,04-26,2.852440709279758,0.2204827054395055,0.2353065022247275
117,117,117,04-27,2.9019089714418667,0.3135046923894822,0.6839835181895616
118,118,118,04-28,3.1175001293033566,0.7189104413806623,0.9678299037299756
119,119,119,04-29,3.932154949603092,2.2508181080442218,1.1378725362135544
120,120,120,04-30,3.832741815020973,2.0638778982295034,1.2841912145946472
121,121,121,05-01,3.405056010467539,1.2596413717979524,1.648790883431512
122,122,122,05-02,3.3193065102819377,1.0983947757260617,1.7059137639596875
123,123,123,05-03,4.0652540639481725,2.5011027054106734,1.8461609025260148
124,124,124,05-04,3.2997647565430785,1.061647724549716,1.6667644848168397
125,125,125,05-05,4.3796480066036185,3.0923009394421834,1.685732365014905
126,126,126,05-06,3.2603333352739434,0.9874993919744506,1.5838088211428338
127,127,127,05-07,3.465577706535069,1.373448652986345,1.2822796945680608
128,128,128,05-08,2.9940943263194826,0.4868535124936354,1.2572245425362447
129,129,129,05-09,3.1031510791387507,0.6919279459620354,0.6893494104992381
130,130,130,05-10,3.219820119590448,0.9113168123588204,0.7934825082799691
131,131,131,05-11,2.5677024551467054,-0.3149498527798554,0.4577174194289775
132,132,132,05-12,3.592595645487111,1.6122979786588367,0.17715402135686373
133,133,133,05-13,2.394236447241392,-0.6411418801196049,0.12967116158522965
134,134,134,05-14,2.098887664927461,-1.1965268759390473,0.029947002786064582
135,135,135,05-15,2.9516453137338687,0.40703078733223097,-0.012730540770170136
136,136,136,05-16,2.901625615702303,0.3129718595638302,-0.3318465887233419
137,137,137,05-17,2.4315292353114883,-0.5710151141172637,-0.3039547318346432
138,138,138,05-18,2.574377254036964,-0.30239830906019355,-0.07892820236059554
139,139,139,05-19,2.4832322900951995,-0.4737907387874127,-0.020425267188991292
140,140,140,05-20,2.8168902609871136,0.15363230090523847,0.027273702055620592
141,141,141,05-21,3.1383133454032897,0.7580483983618564,0.15833354422435472
142,142,142,05-22,3.0538209316370435,0.5991656750315015,0.2777790121100336
