,unnamed: 0,unnamed: 0,mth_day,insanity,insanity_norm,insanity_ravg
75,75,75,03-16,3.663124728021976,-0.4446765033933003,-0.5844360567494398
76,76,76,03-17,4.265050795992549,0.6504905807312007,-0.3633703612534334
77,77,77,03-18,3.088780050592532,-1.4896609610087532,-0.35045481473920265
78,78,78,03-19,3.880326612482552,-0.04949116896670665,-0.06274064623064694
79,79,79,03-20,3.7468954561450363,-0.29226086809304685,0.07474594353009807
80,80,80,03-21,4.594088941166492,1.2491550433467258,-0.19526174956000272
81,81,81,03-22,4.1165172572880975,0.3802430351711698,0.10341340206839633
82,82,82,03-23,3.3746405304934437,-0.9695555778094042,-0.07037683709786356
83,83,83,03-24,4.073727620107463,0.3023899487616413,0.20038705744209007
84,84,84,03-25,3.3072147458308683,-1.092232603964266,0.06489239242874738
