,unnamed: 0,unnamed: 0,mth_day,realistic,realistic_norm,realistic_ravg
36,36,36,02-06,4.854803160677039,0.4339416443130638,-0.17094843784907676
37,37,37,02-07,4.387482976467762,-0.3714754768270137,-0.3072063621523597
38,38,38,02-08,4.5746850021155145,-0.04883647756375165,-0.024271833974954898
39,39,39,02-09,4.368630981415008,-0.4039665185072029,0.21657683622865545
40,40,40,02-10,5.05775573342816,0.7837264008815455,0.2800126640356308
41,41,41,02-11,5.128742936318488,0.9060714450752908,0.4905269569641074
42,42,42,02-12,5.075644078691752,0.8145566111549156,0.938188226485524
43,43,43,02-13,5.120352260478762,0.8916102807438459,0.7851867784811243
44,44,44,02-14,6.133140675170843,2.6371311395647483,0.5956014566391916
45,45,45,02-15,3.8359827697815696,-1.321975206533602,0.3817739126383679
46,46,46,02-16,4.397747060646506,-0.3537855301700505,0.3342910796083597
47,47,47,02-17,4.384339138867278,-0.37689381892965146,0.18286916230384187
48,48,48,02-18,4.9103407666865255,0.5296596129748669,-0.11821939845966545
49,49,49,02-19,4.5932029131599155,-0.016921223083261258,-0.13838225102286042
50,50,50,02-20,5.084952664366162,0.8305997749837044,0.0815577451346677
51,51,51,02-21,3.765789268352056,-1.442952321912772,0.1881803098976882
52,52,52,02-22,5.163430308406381,0.9658544467751182,-0.0549510422396897
53,53,53,02-23,4.7555272497089485,0.2628415696484716,-0.057689276456385136
54,54,54,02-24,4.063920804018788,-0.9291284998494004,-0.10787125398782482
55,55,55,02-25,4.583670221949605,-0.03335062838343387,0.15959735338354675
56,56,56,02-26,4.910252745267473,0.5295079097950663,0.0783355019579619
57,57,57,02-27,4.69693519698634,0.16185932231545747,-0.05976504694113303
58,58,58,02-28,4.880531156794333,0.4782833382216092,-0.13007898308385238
59,59,59,02-29,4.274753954056324,-0.565761723746098,-0.2988674324939624
60,60,60,03-01,3.819134935467726,-1.3510121167057167,-0.3633799060897385
61,61,61,03-02,3.996062281663377,-1.046081324844094,-0.5921873793568581
62,62,62,03-03,4.685663670216034,0.14243306822040933,-0.8844964201108628
63,63,63,03-04,3.900381353648912,-1.2109855172872588,-1.0848428604844853
64,64,64,03-05,3.86290753405954,-1.2755709063024208,-0.9439362670940984
65,65,65,03-06,3.5772822989575688,-1.7678403659878317,-1.0510916238935422
66,66,66,03-07,4.3096769921323865,-0.5055725563633943,-1.1835738219343117
67,67,67,03-08,3.6230193470336,-1.6890134656407572,-1.1350763262734989
68,68,68,03-09,4.224449696230287,-0.6524601200242083,-0.8986468071467382
69,69,69,03-10,4.0692170389928135,-0.9200005433223823,-0.8635668472506093
70,70,70,03-11,4.685996218400627,0.1430062084581442,-1.0644868830720682
71,71,71,03-12,3.6994071425231567,-1.5573606066110581,-0.9448355817741506
72,72,72,03-13,3.610208463190435,-1.7110927712921475,-0.8969915688135041
73,73,73,03-14,4.039564762042459,-0.9711056578532522,-0.787771032788445
74,74,74,03-15,4.391010394009582,-0.36539604226032857,-0.4505054892917773
75,75,75,03-16,4.4494495397056175,-0.2646773271720276,-0.5986108636712832
76,76,76,03-17,5.860128168994409,2.16659946943815,-0.4413004280405117
77,77,77,03-18,3.183803768663088,-2.4459928528880943,-0.5319228532084811
78,78,78,03-19,4.157857673723384,-0.7672301575075177,-0.6375392976908486
79,79,79,03-20,3.724078383781413,-1.5148402088610695,-0.6808017863060543
80,80,80,03-21,4.023324917784563,-0.999094709154534,-0.9833871784382922
81,81,81,03-22,4.298838630513186,-0.5242522588632619,-0.4088583009963816
82,82,82,03-23,4.806729197365042,0.35108711664472186,-0.2679060250356706
83,83,83,03-24,5.183927186399628,1.0011804117633696,0.16662942823933874
84,84,84,03-25,4.64855876639524,0.07848349825674791,0.2831556853100216
85,85,85,03-26,5.236838786360104,1.0923725107889866,0.4652085488066404
86,86,86,03-27,4.428991029096482,-0.29993716673043697,0.2797080360735917
87,87,87,03-28,4.932624345805446,0.5680649221164502,0.09057993053871707
88,88,88,03-29,4.160941084552524,-0.7619159597535701,0.0679973959535163
89,89,89,03-30,4.525510233509914,-0.13358822144587806,-0.2992207117494499
90,90,90,03-31,4.5699415584024665,-0.0570117092544568,-0.28681742265624016
91,91,91,04-01,3.958432137935606,-1.110936135428811,-0.628346070955165
92,92,92,04-02,4.4721709456269485,-0.2255174321711784,-0.7463932787782395
93,93,93,04-03,3.7436511294684602,-1.4811069676770992,-0.7023135789910769
94,94,94,04-04,3.749980044932344,-1.4701992066920166,-0.5536492877407111
95,95,95,04-05,4.678966122765915,0.13088997727709695,-0.4091330636112282
96,96,96,04-06,5.087490705165983,0.8349740382477389,-0.3057222915410001
97,97,97,04-07,4.461540502847108,-0.2438387906519145,-0.25492215352789466
98,98,98,04-08,4.832177752917136,0.39494720025018987,0.04165763078657225
99,99,99,04-09,3.920503067906549,-1.1763061395984655,0.0411692216429268
100,100,100,04-10,4.782471526432495,0.3092794991947848,-0.1025000610559666
101,101,101,04-11,4.677265810381285,0.12795952241522426,-0.029267063295705286
102,102,102,04-12,4.587330821097281,-0.0270416579456216,0.006931595345113617
103,103,103,04-13,4.716488582086443,0.19555919590965345,0.42662150920653097
104,104,104,04-14,4.958197153648607,0.6121391520951033,0.4100683725770955
105,105,105,04-15,5.38158127974443,1.3418333435700385,0.4464951708336661
106,106,106,04-16,4.724844629840384,0.20996067941817184,0.5031981718262127
107,107,107,04-17,4.804079439925081,0.3465203119546479,0.3662864574953581
108,108,108,04-18,4.784732561191012,0.313176348009658,-0.04664707028272062
109,109,109,04-19,4.239854009399912,-0.6259110900754743,-0.3414697673877589
110,110,110,04-20,3.5206401372721676,-1.865462014573369,-0.4027583719467263
111,111,111,04-21,4.35520679499165,-0.4271028390601913,-0.3934362046480057
112,112,112,04-22,4.5114789000539295,-0.15777094793563326,-0.4489420269912449
113,113,113,04-23,4.83653296114972,0.4024533157469719,-0.05006362816178581
114,114,114,04-24,4.591498592545699,-0.01985858604977714,0.22304892500214635
115,115,115,04-25,5.6284805130498015,1.7673593029012802,0.6117198862426507
116,116,116,04-26,4.471434491932309,-0.226786695589776,0.6084765126112057
117,117,117,04-27,5.708297861245155,1.904922928382835,0.4780937631106393
118,118,118,04-28,4.500187652899207,-0.17723118972430324,0.446425423041696
119,119,119,04-29,4.382627855968428,-0.3798431812564263,0.09414572688507067
120,120,120,04-30,4.481250716312285,-0.2098686264634374,-0.015285631285902997
121,121,121,05-01,4.402079373714173,-0.3463188740384713,-0.35789399510994885
122,122,122,05-02,4.090468050198298,-0.8833748446156181,-0.14339044496128506
123,123,123,05-03,4.515565801112705,-0.1507272545614401,-0.10434995089193452
124,124,124,05-04,5.246944849422102,1.1097901111676796,0.017002146902608192
125,125,125,05-05,4.5185406177007685,-0.14560021684032312,0.046110472645786216
126,126,126,05-06,4.903717161638805,0.5182439603038188,0.2903435337488693
127,127,127,05-07,4.503415000618183,-0.17166891957940314,0.19626287405929324
128,128,128,05-08,4.940723423040105,0.5820235220028808,-0.14408829259541314
129,129,129,05-09,4.1880401744826505,-0.7152112126988968,0.03380489551288008
130,130,130,05-10,4.062070832799919,-0.9323168887605592,0.12473590879216932
131,131,131,05-11,5.137845138955551,0.9217589118094364,0.3138986752798966
132,132,132,05-12,5.220277836305341,1.0638300399795542,0.02091172288854461
133,133,133,05-13,5.161952619650547,0.9633076793469604,0.20647780622399928
134,134,134,05-14,3.92073976759982,-1.1758981923452312,0.6446573391655509
135,135,135,05-15,4.834056560063582,0.3981852873138314,0.6228412886126774
136,136,136,05-16,5.5875174716381375,1.6967603088887508,0.6031790124318155
137,137,137,05-17,5.061896313219218,0.7908626084921948,0.8847411052482076
138,138,138,05-18,5.151827005408122,0.9458563828943828,1.307559657403507
139,139,139,05-19,6.142162592552936,2.652680236245313,1.6018441079811472
140,140,140,05-20,5.392709795259185,1.3610131205865657,1.2287161871621015
141,141,141,05-21,5.858557232156572,2.1638919907796703,1.1621093579188737
142,142,142,05-22,4.2885368258533205,-0.5420072160255236,1.0548363509468863
143,143,143,05-23,4.8300160993930135,0.39122163303282703,0.5817105133257067
144,144,144,05-24,4.7783744919487265,0.3022183410624609,0.3656756448524008
145,145,145,05-25,4.495056407785024,-0.1860747894817659,-0.07394662521162765
146,146,146,05-26,4.640621577509362,0.06480390974673013,-0.04395494225440418
147,147,147,05-27,4.328087952303072,-0.4738416296045003,-0.11423396717595675
148,148,148,05-28,4.392947708883543,-0.3620571182821828,0.02799224737811961
149,149,149,05-29,4.5853517682506695,-0.03045251649648863,0.3466884035278275
150,150,150,05-30,5.2735105826048345,1.1555756283869192,0.5405983541463891
151,151,151,05-31,5.604542231884615,1.7261021474164813,0.6446755303574386
152,152,152,06-01,5.315685701163504,1.2282636134581002,0.790285926392014
153,153,153,06-02,4.690414730929896,0.1506214276617974,1.0222345855562271
154,154,154,06-03,4.899865244989624,0.5116052579252688,1.0393926465749015
155,155,155,06-04,5.39284110973088,1.3612394384887891,1.0482626634227008
156,156,156,06-05,5.3332434193583245,1.2585239944989666,0.930661547808572
157,157,157,06-06,5.6354216691236845,1.7793222485032771,0.9402554640834732
158,158,158,06-07,4.9062776548019995,0.5226569197733278,1.0200896884471622
159,159,159,06-08,4.723814299450581,0.20818492531120364,0.9001594674824348
160,160,160,06-09,5.177794358662057,0.9906106041074026,0.8797644217772884
161,161,161,06-10,4.975324683900531,0.6416581127004249,0.6459810825730273
162,162,162,06-11,5.26224157746258,1.1361537202680885,0.7269897458136912
163,163,163,06-12,4.821545204809034,0.3766222132777103,0.6489933762305693
164,164,164,06-13,5.188295375318698,1.0087088992173117,0.4865822927177101
165,165,165,06-14,4.452283360925373,-0.259793292187528,0.6928653273511997
166,166,166,06-15,4.612388120283936,0.016144103030247228,0.4700305118162634
167,167,167,06-16,5.6934635703030105,1.8793563205013617,0.5177441994162951
168,168,168,06-17,4.486480514201679,-0.20085517294152933,0.4127064478511899
169,169,169,06-18,4.987652197272678,0.662904338877901,0.4233003442339183
170,170,170,06-19,4.822624518899472,0.37848238982668025,0.5524234781017082
171,171,171,06-20,4.489164188107663,-0.19622991389115746,0.5615664220503515
172,172,172,06-21,5.0619080904034695,0.7908829062369868,0.727072373713197
173,173,173,06-22,5.725293156276402,1.934213984193221,0.7377742594897255
174,174,174,06-23,5.06266100345672,0.7921805370355444,0.6449842591905172
175,175,175,06-24,5.024908970945887,0.7271156535370721,0.7571710109953192
176,176,176,06-25,4.499592100830998,-0.17825761196856954,0.8630304831806396
177,177,177,06-26,4.879723058609813,0.47689059693765506,0.7287612035429271
178,178,178,06-27,5.430439625754357,1.4260397393489082,0.7517638448864791
179,179,179,06-28,5.257857765244803,1.1285983063669454,0.7210219412423471
180,180,180,06-29,5.1427407408336885,0.9301963850968574,0.8707881189328225
181,181,181,06-30,4.9178863236975845,0.5426642316722793,0.9853500066605873
182,182,182,07-01,5.020977275615182,0.7203394541742841,1.029598993669451
183,183,183,07-02,5.278550556097222,1.1642619233042435,0.990813124123688
184,184,184,07-03,5.5844848593405425,1.6915336614020906,0.7812253772395331
185,185,185,07-04,5.122831434973705,0.8958830890923666,0.7246978531627754
186,186,186,07-05,4.4130970674292636,-0.3273300962080718,0.8149373311928859
187,187,187,07-06,4.721095476288838,0.20349908721173188,0.7022268399809497
188,188,188,07-07,5.3351304893160805,1.2617763223549472,0.2672456755978088
189,189,189,07-08,4.8861683769779924,0.4879989760326268,0.2439427748495704
190,190,190,07-09,4.070172790240076,-0.9183533248967548,0.3698774692643428
191,191,191,07-10,5.041706396150127,0.7560656846029367,0.2734651021475677
192,192,192,07-11,4.851517034282799,0.4282780702805628,0.2243014060028001
193,193,193,07-12,4.38545241150804,-0.3749751154889186,0.027438415460525483
194,194,194,07-13,5.163975541631879,0.9667941454863416,0.06420374219270787
195,195,195,07-14,4.200823753009874,-0.6931789672210209,-0.2586819013194361
196,196,196,07-15,4.1981649484152905,-0.6977613645036606,-0.30050501304803284
197,197,197,07-16,3.917635592755447,-1.1812481764699274,-0.06399386677147446
198,198,198,07-17,4.705917068022728,0.17733939990898245,-0.12748513302570352
199,199,199,07-18,5.2088252667241575,1.0440917621704315,-0.14604869101373671
200,200,200,07-19,4.9429416242033,0.5858465479609671,-0.2228049151231001
201,201,201,07-20,4.136197920425627,-0.8045603151492199,-0.1167372678726329
202,202,202,07-21,3.9309513629437856,-1.158298709159841,-0.14008087883888584
203,203,203,07-22,4.286891853771375,-0.5448422929671242,-0.2617759146935197
204,204,204,07-23,4.6246503035808395,0.03727773411146483,-0.4069616915780158
205,205,205,07-24,4.785164941556689,0.31392154704262804,-0.6771134658003377
206,206,206,07-25,4.43750232659669,-0.28526811334600943,-0.472390132531745
207,207,207,07-26,3.1957110081384856,-2.4254709604831515,-0.3735090295116472
208,208,208,07-27,4.6436604174490475,0.07004129045171577,-0.2416592140822311
209,209,209,07-28,4.631129397761692,0.048444325153462295,0.0023302266412381554
210,210,210,07-29,5.083662746330126,0.8283766266879616,-0.05132436875843899
211,211,211,07-30,5.634572191970823,1.7778581913834437,0.21962161823464169
212,212,212,07-31,4.25071308598289,-0.6071956857440723,0.2349845713773699
213,213,213,08-01,4.138962835513157,-0.7997950385246678,0.1643693779032047
214,214,214,08-02,4.697143895047557,0.16221900930808544,-0.0569540919162283
215,215,215,08-03,4.3852947536537386,-0.37524683569152906,0.09805342006932194
216,216,216,08-04,4.313163173094467,-0.4995641922286362,0.20618938018980146
217,217,217,08-05,6.17420417013666,2.707903263296745,0.4169569380425551
218,218,218,08-06,4.627169822325554,0.04162007497880476,0.6454991504636665
219,219,219,08-07,4.872713817774369,0.4648103085918541,0.6372191042289318
220,220,220,08-08,5.492774278397612,1.533472283834753,0.5668446370078205
221,221,221,08-09,4.356469197577649,-0.4249271130999369,-0.02118622982022508
222,222,222,08-10,4.068166576010609,-0.9218109955553041,-0.26757372659647605
223,223,223,08-11,4.1270758998721115,-0.8202819376715289,-0.3748811920157882
224,224,224,08-12,3.76941415243846,-1.436704905678701,-0.5624409017873347
225,225,225,08-13,4.49914134316047,-0.17903448392401908,-0.3858672016442993
226,226,226,08-14,4.839817425457057,0.4081140252054736,-0.216504707577614
227,227,227,08-15,4.9711801485484015,0.6345150877582761,-0.2795546527244153
228,228,228,08-16,4.657772953982955,0.09436396884480792,-0.08407790678367566
229,229,229,08-17,3.90757836593332,-1.1985816085523364,-0.13388647002944914
230,230,230,08-18,4.449932804381313,-0.2638444300342632,-0.21109762938744914
231,231,231,08-19,4.325741401637503,-0.4778858633986602,-0.00010332095203791081
232,232,232,08-20,4.5710200612059655,-0.055152930942526136,-0.11365656377246285
233,233,233,08-21,5.705720523942258,1.9004809383707435,0.2690730758646087
234,234,234,08-22,4.262456880165553,-0.5869554880777416,0.24572488303679665
235,235,235,08-23,5.239985743449993,1.097796229270093,0.011640926234296356
236,236,236,08-24,4.368650088976887,-0.4039335870011357,0.17972139959768854
237,237,237,08-25,3.510818388887029,-1.8823896042136616,0.1322599821652712
238,238,238,08-26,5.156163304719176,0.9533299092378272,0.6862557385111671
239,239,239,08-27,5.540491766654692,1.6157124337762394,0.4003344792242833
240,240,240,08-28,6.191097770294051,2.7370190499976337,0.2798677527457368
241,241,241,08-29,4.244600082637428,-0.6177313264512095,0.6087404089305032
242,242,242,08-30,3.949265911525919,-1.1267339458724148,0.4731251266245256
243,243,243,08-31,4.6557319466130735,0.09084633289493636,0.1809805087889268
244,244,244,09-01,4.6840420370278695,0.13963821540196114,-0.2917299193377693
245,245,245,09-02,4.523440554015249,-0.13715527323735313,-0.16782161772875384
246,246,246,09-03,4.545437762194517,-0.0992435187625428,-0.038051982605261804
247,247,247,09-04,4.6759655116540255,0.12571848320288326,-0.16475514261120885
248,248,248,09-05,4.401036564512577,-0.3481161351314626,-0.05072726480024592
249,249,249,09-06,4.214636699046972,-0.6693726271407459,0.07030582492483366
250,250,250,09-07,5.081010470886215,0.8238054822677388,-0.03899237714242658
251,251,251,09-08,4.944796427645144,0.5890432651131243,-0.10397615569160128
252,252,252,09-09,4.164934880521122,-0.7550327311661043,-0.03335282833459673
253,253,253,09-10,4.449735669512887,-0.2641841880921649,0.208213014982808
254,254,254,09-11,4.6468995253338985,0.07562382901056479,-0.1195014525938463
255,255,255,09-12,5.055606612162033,0.7800224327636825,0.15861014264793635
256,256,256,09-13,3.940128947489853,-1.1424813231921869,0.3356937878281948
257,257,257,09-14,5.912994087028067,2.25771283656382,0.3725547935704781
258,258,258,09-15,4.781421117383942,0.30746913991544633,0.6209545868399501
259,259,259,09-16,4.578060917696631,-0.04301815363846472,0.2732676865247892
260,260,260,09-17,5.51166065917163,1.5660225886273964,0.5581917138042688
261,261,261,09-18,3.845194501186993,-1.3060989691272824,0.2546780215552469
262,262,262,09-19,4.932042916679523,0.5670628404846898,0.2477175889711236
263,263,263,09-20,4.8563633982907035,0.436630683069689,0.5548952865679571
264,264,264,09-21,4.7571895691438115,0.2657065444107067,0.4164619019410462
265,265,265,09-22,5.6474472105239055,1.8000480319425365,0.494834325248712
266,266,266,09-23,5.029728653209389,0.7354222808659314,0.40412332539461776
267,267,267,09-24,4.11803460604016,-0.8358644292812875,0.4997464140466494
268,268,268,09-25,4.616248180891306,0.022796841360124432,0.3382173141586515
269,269,269,09-26,5.189258725921233,1.0103692149818788,-0.07659734561953276
270,270,270,09-27,4.194853804977536,-0.7034680549172813,-0.2479039748280628
271,271,271,09-28,4.203341356807877,-0.6888399267265689,-0.3296970420364574
272,272,272,09-29,4.433354103301523,-0.29241749438524883,-0.6222186992091127
273,273,273,09-30,3.8332861180957054,-1.326622832531655,-1.0179299815422092
274,274,274,10-01,3.597884370683552,-1.7323331016758072,-1.0854283888038887
275,275,275,10-02,3.811657993333156,-1.363898479016701,-1.030658480860057
276,276,276,10-03,3.959869715709275,-1.1084584984873591,-0.9021535987854395
277,277,277,10-04,4.394013366113116,-0.3602204790635777,-0.7657775564332159
278,278,278,10-05,4.880721736196358,0.4786117980624556,-0.5178133945835085
279,279,279,10-06,4.308055840970936,-0.5083665784183123,-0.3897827556525463
280,280,280,10-07,4.461128928699974,-0.24454813057756306,-0.4210874550395705
281,281,281,10-08,4.2573746303345406,-0.5957146454309272,-0.4741001415090739
282,282,282,10-09,3.850887791932049,-1.2962866948095035,-0.6250431514702581
283,283,283,10-10,4.209458820975392,-0.6782965978805983,-0.5197084073034283
284,284,284,10-11,4.3552396223794965,-0.4270462617046499,-0.5388156810709658
285,285,285,10-12,4.674760626024435,0.12364188658266692,-0.6145780068491818
286,286,286,10-13,4.394610243195921,-0.3591917731827886,-0.546402147619876
287,287,287,10-14,3.993621130865724,-1.0502886001002234,-0.6722803344484776
288,288,288,10-15,4.0882303136447735,-0.8872315394336694,-0.6995811676325423
289,289,289,10-16,3.7712355755588782,-1.4335657188522064,-0.7744548101726064
290,290,290,10-17,4.2601964697736685,-0.5908512608090378,-0.7393860161748879
291,291,291,10-18,4.414100924318216,-0.3255999686577182,-0.6613362803332394
292,292,292,10-19,4.516696214607702,-0.14877900919647735,-0.2847960656345881
293,293,293,10-20,4.265337854836341,-0.5819901850503331,0.027700825101441232
294,294,294,10-21,5.399090273359269,1.372009748758238,0.08661011249281325
295,295,295,10-22,4.859139723935102,0.44141562556396974,0.1745467916546584
296,296,296,10-23,4.465279016291216,-0.2373955364608057,0.2611172806585124
297,297,297,10-24,4.720237340041505,0.20202010631335274,0.3373740696242806
298,298,298,10-25,4.8180764743998115,0.3706439248266468,0.21655926063325712
299,299,299,10-26,4.5308127428018246,-0.12444945125572425,0.27018767289575824
300,300,300,10-27,4.9784943065416645,0.6471208948120971,0.18868889870894906
301,301,301,10-28,5.045837812462606,0.7631860991389765,0.09641951301564283
302,302,302,10-29,4.181555058857343,-0.726388181581661,0.2451398255413779
303,303,303,10-30,4.399017352132359,-0.3515962078464844,0.475431004573585
304,304,304,10-31,5.335820649592981,1.2629657999810573,0.9183133703291072
305,305,305,11-01,5.332531852433607,1.2572976229375177,0.9817351971845202
306,306,306,11-02,6.520313048524296,3.304415089345232,0.8816035881097833
307,307,307,11-03,5.26662998857384,1.1437170602714541,1.2461300793002013
308,308,308,11-04,3.832964093233912,-1.3271778360300812,1.069547244123705
309,309,309,11-05,5.668053600861223,1.8355627392960228,0.8241803843743966
310,310,310,11-06,4.721077896575258,0.20346878892207848,0.2504984016141316
311,311,311,11-07,4.478329354717224,-0.21490353555833253,0.35663924893114524
312,312,312,11-08,4.523137948882153,-0.1376768072163591,0.8147914670658146
313,313,313,11-09,5.636141083024652,1.7805621441735362,0.5500048840310899
314,314,314,11-10,5.427942198528094,1.421735472777935,0.4467415001827805
315,315,315,11-11,4.746244678412861,0.2468432410876743,0.7606433212586823
316,316,316,11-12,4.361584196016048,-0.416111514167778,1.0583745601733503
317,317,317,11-13,5.5711245263011575,1.6685073908970791,0.7738566903972647
318,318,318,11-14,5.559638021422284,1.64871062627165,0.5435494951821572
319,319,319,11-15,4.645641081288532,0.07345492551702082,0.3173959774133463
320,320,320,11-16,4.6261673313117235,0.03989230148729018,0.6043908274999189
321,321,321,11-17,3.958930124430968,-1.1100778655251913,0.6560479701299401
322,322,322,11-18,5.360707378446474,1.3058575863516573,0.4365462343310522
323,323,323,11-19,5.750959978833494,1.9784502466772056,0.4006630444431961
324,324,324,11-20,4.795480501682008,0.3317002114783229,0.2933012707212441
325,325,325,11-21,4.520719930732361,-0.14184421381011614,0.5358558529893583
326,326,326,11-22,4.25240579168795,-0.6042783408444216,0.4519198203364813
327,327,327,11-23,4.803342162053585,0.3452496280834937,0.11707142191292748
328,328,328,11-24,5.0684985250840215,0.8022413904343957,0.1986592638940924
329,329,329,11-25,4.585242902851982,-0.03064014386411725,0.24309572958614345
330,330,330,11-26,5.079514533314502,0.8212272633653126,0.2569146190663015
331,331,331,11-27,4.675417839091378,0.12477458034218986,0.047551412179559285
332,332,332,11-28,4.300513877358843,-0.5213650039634733,-0.08491977615725284
333,333,333,11-29,4.074480186009689,-0.9109296132369592,0.2345532567916989
334,334,334,11-30,4.607322879487973,0.007414260413522814,0.12767612741502773
335,335,335,12-01,5.697433289837573,1.8861980538295933,0.0850492813993519
336,336,336,12-02,4.707440199577722,0.17996448710528545,0.05020914802721238
337,337,337,12-03,4.5270198102232415,-0.13098649575186505,0.22895236714653164
338,338,338,12-04,4.179223948565443,-0.7304058041963104,0.6615680462022511
339,339,339,12-05,4.6967439439498815,0.16152970147895618,0.2376472494702941
340,340,340,12-06,6.113399918490816,2.60310833474784,0.1676924674881576
341,341,341,12-07,4.221625987366779,-0.6573267265621481,0.2705501147498497
342,342,342,12-08,4.463904664430889,-0.23976420478753385,0.3220406057012907
343,343,343,12-09,4.885101008678223,0.4861593878182876,0.2550478445420205
344,344,344,12-10,4.358479231957428,-0.4214628584876641,-0.16367152956285755
345,345,345,12-11,4.4635201745719275,-0.2404268654766656,-0.19912683214737206
346,346,346,12-12,4.655700473797837,0.09079209011857166,0.05522195589243283
347,347,347,12-13,4.098194452823257,-0.870058542069235,0.1222052730956969
348,348,348,12-14,5.349376199815564,1.2863285234512951,-0.0176833562716076
349,349,349,12-15,5.118291900548528,0.8880592910378721,0.1352590134018612
350,350,350,12-16,3.8714810418605294,-1.2607946346914911,0.13019980984203344
351,351,351,12-17,4.995962715162854,0.6772273525641472,0.16181242779962787
352,352,352,12-18,4.638087727228574,0.06043686875960515,-0.3938858572016184
353,353,353,12-19,4.2082483421150725,-0.6803828343236684,-0.7486847276876095
354,354,354,12-20,3.4148082491568874,-2.0478611865561818,-0.6901147002176751
355,355,355,12-21,3.8831206893029178,-1.240733931878075,-1.0188106108720316
356,356,356,12-22,4.07538251334389,-0.9093744698718844,-1.2071049143290573
357,357,357,12-23,3.8516644665852833,-1.2949481113619925,-1.2559769797645253
358,358,358,12-24,3.982573512786209,-1.0693289519825495,-0.9999875712657496
359,359,359,12-25,4.03810865655938,-0.9736152269364758,-0.9906490858656456
360,360,360,12-26,4.305991322339653,-0.5119247355635279,-1.1545422772504492
361,361,361,12-27,3.9156310191893873,-1.1847030194774495,-1.3139613209245409
362,362,362,12-28,3.504816571461419,-1.8927336181807075,-1.2569849551895886
363,363,363,12-29,3.2966745000140136,-2.251462373406541,
364,364,364,12-30,4.180926925188045,-0.7274707575728385,
365,365,365,12-31,,,
