,unnamed: 0,unnamed: 0,mth_day,stranded,stranded_norm,stranded_ravg
32,32,32,02-02,0.28944492871083577,-1.3702352419353214,-0.11253557508522337
33,33,33,02-03,0.5703246077704631,0.497186867535169,0.05978686522137086
34,34,34,02-04,0.5794040999175623,0.5575516630056779,0.10722796545468556
35,35,35,02-05,0.6989739274397874,1.3525089211744867,0.1125818804797386
36,36,36,02-06,0.5509230437531749,0.3681960137806696,0.13422810596395235
37,37,37,02-07,0.3857855332133676,-0.729716940682251,-0.13402909582648226
38,38,38,02-08,0.3089798314069882,-1.2403578890300389,-0.02099289209143877
39,39,39,02-09,0.32823259323702925,-1.1123563432074384,-0.31013654845433103
40,40,40,02-10,0.6814150136778806,1.2357688854159388,-0.17976229652923315
41,41,41,02-11,0.4380326748238006,-0.3823530170028669,-0.02129327284349073
42,42,42,02-12,0.6685808925683332,1.1504415253312568,0.1343102320732675
43,43,43,02-13,0.5287978547062245,0.22109720143220368,0.1182005932828092
44,44,44,02-14,0.4494061302065617,-0.3067368595294894,-0.17153753520430254
45,45,45,02-15,0.3136942513690084,-1.2090141759501882,-0.17185812842646575
46,46,46,02-16,0.4199372723742623,-0.5026598855067318,-0.5541216212829263
47,47,47,02-17,0.4377433515233217,-0.3842765763358461,-0.6281056579909077
48,48,48,02-18,0.3236024970190387,-1.1431394318075068,-0.6599861406244864
49,49,49,02-19,0.4620300498890291,-0.2228070188156847,-0.44627285684234064
50,50,50,02-20,0.4206351961419822,-0.4980197553309618,-0.3155926506855051
51,51,51,02-21,0.5065624355521626,0.07326552674268645,0.042905902998069734
52,52,52,02-22,0.537871233352755,0.28142135143428143,0.06347295751530609
53,53,53,02-23,0.7612747851225583,1.7667147457656027,-0.0949460773423713
54,54,54,02-24,0.3421634885893096,-1.0197371047040886,0.02984973184887952
55,55,55,02-25,0.31906284142952096,-1.173321227961749,0.18824618184881944
56,56,56,02-26,0.5332587106302975,0.25075509981654304,0.09529609942533594
57,57,57,02-27,0.6495092620287413,1.0236442267423258,-0.5539492732306285
58,58,58,02-28,0.4539872870700042,-0.27627914310661955,-0.33015072679305785
59,59,59,02-29,0.17535530507228594,-2.1287574901701842,-0.29295389311623304
60,60,60,03-01,0.5441332422254174,0.3230541739213352,-0.5050130770511331
61,61,61,03-02,0.35263158194789274,-0.9501402259008004,-0.6002909622246402
62,62,62,03-03,0.3418832892195365,-1.0216000037928574,-0.4658561090117326
63,63,63,03-04,0.5635245614943677,0.4519769157012831,-0.1670413526888713
64,64,64,03-05,0.5753096755113936,0.5303299761708257,-0.3916239316105246
65,65,65,03-06,0.4450243609175489,-0.33586895223301505,-0.4824707241861914
66,66,66,03-07,0.34145592882105585,-1.0244412996085848,-0.409337206473888
67,67,67,03-08,0.2706457754839693,-1.4952209813548016,-0.5043560408657407
68,68,68,03-09,0.4078835326975085,-0.5827988975190361,-0.7453678436042758
69,69,69,03-10,0.4777736445273265,-0.11813609064983345,-0.6723640060173189
70,70,70,03-11,0.3578056067971905,-0.9157408402603846,-0.6650792674086877
71,71,71,03-12,0.5109075729697825,0.10215407328872664,-0.6542109145515118
72,72,72,03-13,0.3480301308679807,-0.9807328679567978,-0.7858470117014917
73,73,73,03-14,0.2804540543308851,-1.4300108642117462,-0.8695332868693981
74,74,74,03-15,0.2890869161233405,-1.3726154804189161,-0.7117323746507233
75,75,75,03-16,0.4022499351581933,-0.6202537416572713,-0.8572496845051046
76,76,76,03-17,0.5002149828708164,0.031064633051664844,-0.5646350443522067
77,77,77,03-18,0.3795836850852961,-0.7709497858375618,-0.5081618416693641
78,78,78,03-19,0.6121038155399458,0.7749549729605907,-0.4548851252175461
79,79,79,03-20,0.33141899138903275,-1.0911716481146898,-0.37554150986062695
80,80,80,03-21,0.33716714482722104,-1.0529551817080087,-0.3313778500533853
81,81,81,03-22,0.4738545577141546,-0.14419204951575684,-0.33926013754966805
82,82,82,03-23,0.5400710214060161,0.29604659189511545,-0.4875825852049782
83,83,83,03-24,0.3724702176876993,-0.8182435108152578,-0.10600662333599303
84,84,84,03-25,0.47824839651020706,-0.11497971297126995,0.11674642061823899
85,85,85,03-26,0.6757769161338113,1.1982841230992205,0.12650540075635794
86,86,86,03-27,0.5381933718750329,0.2835630820173836,0.12490263756810348
87,87,87,03-28,0.4826616694921812,-0.08563816868704315,0.36698266619940495
88,88,88,03-29,0.5386245880335855,0.28643001276558866,0.530940807174001
89,89,89,03-30,0.5909383200108067,0.634236660972551,0.39647170902479295
90,90,90,03-31,0.6262144394822994,0.8687691328763064,0.1868281519754378
91,91,91,04-01,0.5544236229280346,0.3914695342039724,0.10194407518292098
92,92,92,04-02,0.34899796268828503,-0.9742982602787472,0.13606738660997764
93,93,93,04-03,0.4060569892996069,-0.5949426294421442,0.17858529549932012
94,94,94,04-04,0.5694195905565055,0.4911698813279287,0.18877090048138467
95,95,95,04-05,0.6293091303676936,0.8893441143086059,0.4025386316693075
96,96,96,04-06,0.6354065641033417,0.9298827627686936,0.324286511799027
97,97,97,04-07,0.7473409438428879,1.6740759213315095,0.15437743366700915
98,98,98,04-08,0.2783783736727127,-1.4438109795004304,0.17324961444887926
99,99,99,04-09,0.2527204498219721,-1.6143970982342513,-0.0574777286273564
100,100,100,04-10,0.5864510224570413,0.6044029660191489,-0.3593077540568686
101,101,101,04-11,0.4210863988978079,-0.49501994414880796,-0.624903976729256
102,102,102,04-12,0.3630163415288449,-0.8810973898083798,-0.4976663417705951
103,103,103,04-13,0.5076503626764608,0.08049858529718504,-0.10620991435212004
104,104,104,04-14,0.3932055438885405,-0.6803851697484644,0.020928332011945217
105,105,105,04-15,0.6059951223499952,0.7343414662765995,0.28583852213921473
106,106,106,04-16,0.7011884982120057,1.3672324442035404,0.7458935761680671
107,107,107,04-17,0.6601578615474734,1.094441196614809,0.9262392429335252
108,108,108,04-18,0.778198689226412,1.8792329343647345,0.9822155565895706
109,109,109,04-19,0.6704055300614281,1.1625725858899345,0.9678851697744828
110,110,110,04-20,0.4437220573267665,-0.3445272878121925,0.952059812449197
111,111,111,04-21,0.5930624883332644,0.6483591453860716,0.6742949594332549
112,112,112,04-22,0.6869067096522979,1.2722803002518266,0.3447597926024028
113,113,113,04-23,0.4094855501075559,-0.5721479214808441,0.2123223536189381
114,114,114,04-24,0.4808056206890927,-0.09797806662037843,0.13266973870422696
115,115,115,04-25,0.5508857326835261,0.3679479519891461,0.046273096882468855
116,116,116,04-26,0.3718385743154788,-0.8224429773004596,-0.1954590411956427
117,117,117,04-27,0.515092775207379,0.1299792944555232,0.0185110893228686
118,118,118,04-28,0.4687525654421389,-0.17811252821684256,-0.17190657277637614
119,119,119,04-29,0.6025855287902354,0.7116728616302236,-0.2279238013702981
120,120,120,04-30,0.3089608571089313,-1.240484039215847,-0.1299736407969162
121,121,121,05-01,0.5003322950558695,0.031844580425614534,0.20681617006965072
122,122,122,05-02,0.4602349026854741,-0.2347420138601685,0.47999050920990505
123,123,123,05-03,0.8190328865737709,2.1507181596549247,0.6072700705503332
124,124,124,05-04,0.7152821111166207,1.4609335066246831,1.0551885926652214
125,125,125,05-05,0.7174505359854859,1.4753502296727932,1.1301863614846377
126,126,126,05-06,0.7131904421559874,1.4470270934734826,1.31368699109446
127,127,127,05-07,0.5680149548980802,0.4818311933421125,0.7867707208519565
128,128,128,05-08,0.6258373051331813,0.8662617637987647,0.7029722642444014
129,129,129,05-09,0.3435108111101497,-1.0107794618000951,0.42790813061651023
130,130,130,05-10,0.6396571622261006,0.9581427669793526,0.2823744565170108
131,131,131,05-11,0.4692155220085217,-0.17503457209455422,0.1328848071610392
132,132,132,05-12,0.5818517861570178,0.573825048876486,-0.2443947668467663
133,133,133,05-13,0.4331061803230139,-0.41510670279371703,-0.17654332837768202
134,134,134,05-14,0.2853567085107713,-1.3974156802480684,-0.2271698997388317
135,135,135,05-15,0.4047441771422175,-0.6036708309855895,-0.0637445713158361
136,136,136,05-16,0.5939685895878304,0.6543833388124546,0.03497348866904665
137,137,137,05-17,0.6167007217334441,0.8055173984434194,-0.02692947641086001
138,138,138,05-18,0.6709411148052853,1.1661334087857824,0.01869297340330633
139,139,139,05-19,0.3772410873385027,-0.786524493273157,0.02797521712652155
140,140,140,05-20,0.3265292500483153,-1.1236809813630704,-0.010281701843884569
141,141,141,05-21,0.4131210522730444,-0.5479773686462982,0.04618300196856786
142,142,142,05-22,0.5594431620445158,0.4248418249900178,-0.3313516818377325
143,143,143,05-23,0.6676579888813702,1.1443056213181342,-0.2591357668655752
144,144,144,05-24,0.3302302912043166,-1.0990746940520195,0.2329180279844825
145,145,145,05-25,0.4424132289261219,-0.35322900344021296,0.3839558938031682
146,146,146,05-26,0.7705892553678783,1.828641787737276,0.1906626013076348
147,147,147,05-27,0.5494270338564992,0.35824982626581603,0.04880924687281404
148,148,148,05-28,0.3850032504085161,-0.7349179299831827,0.3861189400881317
149,149,149,05-29,0.5396406826758169,0.29318549470920985,0.7473132376816801
150,150,150,05-30,0.6346395767971204,0.9247834652398861,0.7014885505273526
151,151,151,05-31,0.7683774698068628,1.8139367821210768,0.5738658699388549
152,152,152,06-01,0.7292342022527635,1.553693664811311,0.7112368445446196
153,153,153,06-02,0.4342523744713507,-0.4074862572651695,0.8424457740412548
154,154,154,06-03,0.5089753777503608,0.08930791765140397,0.5186918887955034
155,155,155,06-04,0.6580517965419438,1.0804390716890215,0.2291895715109445
156,156,156,06-05,0.34246389700530616,-1.0177398462346214,-0.0862848936102552
157,157,157,06-06,0.5071125392262914,0.07692287841372332,-0.21095468696206784
158,158,158,06-07,0.4445303870884168,-0.339153125915887,-0.2598738063590163
159,159,159,06-08,0.32174258452884097,-1.1555050173760455,-0.2984990891750218
160,160,160,06-09,0.4648277161593008,-0.2042067987302866,-0.26668097539507457
161,161,161,06-10,0.6231939345108792,0.8486873747929882,-0.4656441603320922
162,162,162,06-11,0.3711785455300419,-0.8268311635549379,-0.3265650972471452
163,163,163,06-12,0.3275557633488643,-1.1168562312083832,-0.1969721241253276
164,164,164,06-13,0.5700439999082534,0.495321252593796,0.1758847373529918
165,165,165,06-14,0.4386953586688889,-0.3779471786451402,0.15629734964481154
166,166,166,06-15,0.8013169814071219,2.0329343701396296,0.3117317599896377
167,167,167,06-16,0.6055170553140805,0.7311630485439069,0.3964999184294339
168,168,168,06-17,0.5114522428512862,0.1057752985140188,0.5275658356371701
169,169,169,06-18,0.4040558315968413,-0.6082472805696059,0.7221560447316021
170,170,170,06-19,0.6883260505734986,1.2817167558402127,0.2924506624577121
171,171,171,06-20,0.6143056886571776,0.7895940759214516,0.08118018732190972
172,172,172,06-21,0.41352406864941227,-0.5452979235037098,0.15148130130382712
173,173,173,06-22,0.4148534138696333,-0.5364598022709075,0.443501737695068
174,174,174,06-23,0.5748963487102694,0.5275819824055233,-0.04905273484614829
175,175,175,06-24,0.6675932697682732,1.1438753377778392,-0.1392832987120051
176,176,176,06-25,0.2438142025072152,-1.673610079407085,0.2083595829618529
177,177,177,06-26,0.5328760053794187,0.24821069272631066,0.11291184145053396
178,178,178,06-27,0.7272586673886491,1.5405593665394384,0.15288088585695428
179,179,179,06-28,0.3287154243919333,-1.1091462513388213,0.14126022014575926
180,180,180,06-29,0.6109669049329713,0.7673962488440453,0.4556040183394459
181,181,181,06-30,0.6571060569237861,1.0741513435106689,0.4492896307913388
182,182,182,07-01,0.5274976333820778,0.2124527097550354,0.1904299101661829
183,183,183,07-02,0.5271775085940079,0.21032436743766786,0.3398899249270049
184,184,184,07-03,0.4936475254344335,-0.012598957211496642,0.3522577023879272
185,185,185,07-04,0.4635974548617463,-0.2123861627738894,0.3104842563639374
186,186,186,07-05,0.6221283579744257,0.8416029136095791,0.27733489063675704
187,187,187,07-06,0.6194070962455496,0.8235106673667302,-0.005715371653584461
188,188,188,07-07,0.4975815801472124,0.013556515391953386,-0.1837194786774664
189,189,189,07-08,0.2717353144805485,-1.4879772063043812,-0.1018758607429218
190,190,190,07-09,0.3330055274674915,-1.080623599354788,-0.07173433237709652
191,191,191,07-10,0.5374582355238708,0.2786755448333779,-0.33457239614194273
192,192,192,07-11,0.6493299513500987,1.0224520838045306,-0.4655271774167386
193,193,193,07-12,0.382205649543634,-0.7535177152223472,-0.4117172382035912
194,194,194,07-13,0.3793998254729527,-0.7721721722568217,-0.13509156141489967
195,195,195,07-14,0.3202967566304195,-1.1651175710254975,-0.2721269404156141
196,196,196,07-15,0.5826497752956102,0.5791304613773612,-0.5238758928610702
197,197,197,07-16,0.4137889705676503,-0.5435367291709086,-0.3526427926319797
198,198,198,07-17,0.4221360096872982,-0.4880416308682059,-0.43785484715358347
199,199,199,07-18,0.5367370690641073,0.2738808861521957,0.009739974617970456
200,200,200,07-19,0.30249915774070824,-1.2834444993864444,-0.06536278396071278
201,201,201,07-20,0.7242342143172409,1.5204513596038258,-0.06620727179483958
202,202,202,07-21,0.5148723661525172,0.12851390990526185,0.0216899842614581
203,203,203,07-22,0.41302685212442414,-0.5486036561756693,0.2268291771208192
204,204,204,07-23,0.5014599706046783,0.039341905469580135,1.1290140684110677
205,205,205,07-24,0.7218674593299473,1.5047160433083624,0.9286806872658953
206,206,206,07-25,1.1166870205691175,4.129664848355048,0.946029946600527
207,207,207,07-26,0.5434408880019346,0.3184510727327919,1.1323190017643632
208,208,208,07-27,0.5305294188428124,0.2326094659130521,1.179285874673322
209,209,209,07-28,0.5811457035443947,0.5691306748073484,0.8624610994773456
210,210,210,07-29,0.5438458033166298,0.3211431429233325,0.2657779944610943
211,211,211,07-30,0.4359450402136261,-0.3962326078674952,0.43924387548604216
212,212,212,07-31,0.5782030060959614,0.5495662182575386,0.4293735663897815
213,213,213,08-01,0.6999873080415848,1.359246358882479,0.5622219955866067
214,214,214,08-02,0.5216218368758307,0.1733876113354882,0.31126219051547804
215,215,215,08-03,0.7010364041004477,1.3662212499882995,0.7327660668589894
216,216,216,08-04,0.3173640374177588,-1.1846156875034397,0.8843433520584396
217,217,217,08-05,0.8163364029676777,2.1327906501935723,0.8259808084372705
218,218,218,08-06,0.7149957933409085,1.4590299294542397,0.4108605753538776
219,219,219,08-07,0.6473173119921143,1.009071097155465,0.2142124037458536
220,220,220,08-08,0.14699147157716946,-2.3173337871648694,0.3497485936483791
221,221,221,08-09,0.5235688405041719,0.186332220340156,0.14370659201943686
222,222,222,08-10,0.43968034071433054,-0.3713985480882865,-0.12663980910629713
223,223,223,08-11,0.6303912618123645,0.8965386404199185,-0.3843881952905044
224,224,224,08-12,0.4710183551451505,-0.16304847730016436,-0.1275465969699944
225,225,225,08-13,0.4147091074868616,-0.5374192199497786,-0.143498307296788
226,226,226,08-14,0.3787813342104732,-0.7762841972418093,0.12253766675422645
227,227,227,08-15,0.5091730231225975,0.09062195837939448,0.20577399425291087
228,228,228,08-16,0.6797677809266103,1.2248172962178001,0.21855671559195786
229,229,229,08-17,0.7055089103676612,1.395956605412025,0.4513293783136327
230,230,230,08-18,0.4825542793981997,-0.08635214926588257,1.1165375256248735
231,231,231,08-19,0.6247776628527112,0.85921675638027,1.3580353646375798
232,232,232,08-20,0.9791066167817832,3.2149646866256374,0.9532068034577499
233,233,233,08-21,0.7271157212564957,1.5396089924556309,0.9223320042996916
234,234,234,08-22,0.3144252616481916,-1.2041540708611789,0.8803093133230985
235,235,235,08-23,0.6776455677375209,1.2107078104636742,1.0101922850467489
236,236,236,08-24,0.4446303845437871,-0.3384882951254414,0.7680932876816701
237,237,237,08-25,0.7419921498014406,1.6385145867221724,0.4128842054637986
238,238,238,08-26,0.7606213958913359,1.7623707024351651,0.4637387332899741
239,239,239,08-27,0.4065529116813943,-0.5916455008515978,0.04280186519674722
240,240,240,08-28,0.36031955640492,-0.8990269039041264,-0.02601993857549009
241,241,241,08-29,0.2977659085599333,-1.3149133980956875,-0.3340860838247849
242,242,242,08-30,0.38252130039676935,-0.7514191177588653,-0.6901981529021156
243,243,243,08-31,0.4639740641165902,-0.2098822847735966,-0.8606993363575418
244,244,244,09-01,0.4392436747073582,-0.37430171202881934,-0.4934131742667604
245,245,245,09-02,0.2526820194646599,-1.6146526015841554,-0.26709686941467864
246,246,246,09-03,0.6917814754041108,1.3046900686405625,-0.4540986202781459
247,247,247,09-04,0.5020078442758112,0.04298443101680301,-0.2501953207542482
248,248,248,09-05,0.2137592679679707,-1.8734296229396687,-0.3640917544203493
249,249,249,09-06,0.6479891072255456,1.0135375123697896,-0.04107486963507157
250,250,250,09-07,0.3364564358546221,-1.0576803140254256,-0.27670765172840905
251,251,251,09-08,0.5441925841169838,0.3234487071275107,-0.4309088793012717
252,252,252,09-09,0.47913177009756797,-0.10910662391946276,-0.3574964663620401
253,253,253,09-10,0.3628470479300486,-0.882222934420373,-0.6837605905817057
254,254,254,09-11,0.2800112038772369,-1.4329551453042781,-0.5635043127041871
255,255,255,09-12,0.3535480313657069,-0.9440472329482048,-0.8022664865534591
256,256,256,09-13,0.444983194418235,-0.33614264676031463,-0.5814564220102095
257,257,257,09-14,0.328718720691285,-1.1091243359681209,-0.6414858295416643
258,258,258,09-15,0.6784045314540125,1.2157537633400346,-0.40357249992857
259,259,259,09-16,0.3086727700223433,-1.2423993796091015,0.35962981333129523
260,260,260,09-17,0.4947190173710428,-0.005475167625712006,0.2687996918747514
261,261,261,09-18,1.0423093554996932,3.6351666466109855,0.6072324648309633
262,262,262,09-19,0.3630124330110187,-0.8811233754995779,0.3307297881476293
263,263,263,09-20,0.6341415434235956,0.9214723017691502,0.436454592012996
264,264,264,09-21,0.4288712865853487,-0.4432622967599691,0.4618982107164858
265,265,265,09-22,0.4040854209524533,-0.6080505564169014,0.14762757860267875
266,266,266,09-23,0.5176809243313653,0.14718654459522693,0.11561250547560308
267,267,267,09-24,0.7586919542544374,1.7495428539281443,-0.10905921444391944
268,268,268,09-25,0.3341200360985071,-1.073213814262032,-0.007669363408888702
269,269,269,09-26,0.4313837836282048,-0.4265580177479848,0.36767905306375503
270,270,270,09-27,0.5203718059618637,0.1650768094502152,0.5142103094960627
271,271,271,09-28,0.742823220680881,1.644039942418961,0.40009044751992223
272,272,272,09-29,0.6499198607887927,1.0263740831890733,0.44816265858176535
273,273,273,09-30,0.6557030797724609,1.0648236820713008,0.33808294065770755
274,274,274,10-01,0.3775033948354318,-0.7847805478909732,0.023039932630051274
275,275,275,10-02,0.3320409868882085,-1.0870363252923314,-0.5724232111901358
276,276,276,10-03,0.2360573645636769,-1.7251812387157226,-0.9350579465664379
277,277,277,10-04,0.20544017520925228,-1.9287389205021623,-1.302156575256199
278,278,278,10-05,0.3226556790963624,-1.1494343290687403,-1.3297741491959842
279,279,279,10-06,0.32441040259992904,-1.1377680900672629,-1.2254057032639636
280,280,280,10-07,0.3525795752064183,-0.9504859915296846,-1.1659514335215382
281,281,281,10-08,0.42622957590191696,-0.4608256497002067,-0.9440187273963108
282,282,282,10-09,0.2897126022925866,-1.368455620261172,-0.8294027790017803
283,283,283,10-10,0.4057260782832949,-0.5971426837507977,-0.7980860747824908
284,284,284,10-11,0.4260922528744216,-0.4617386387015574,-0.5343737727249676
285,285,285,10-12,0.35267254789330393,-0.9498678647515268,-0.37789447294220596
286,286,286,10-13,0.5905699890191657,0.6317878208154544,0.024293180376622498
287,287,287,10-14,0.5674462465610853,0.4780501489963628,-0.1742669787654394
288,288,288,10-15,0.6526718017570363,1.0446702996517987,-0.3598606453789333
289,289,289,10-16,0.22653301799657186,-1.788503638603169,-0.2875887377507188
290,290,290,10-17,0.25860096341331834,-1.5753006383825208,-0.4113980605483874
291,291,291,10-18,0.4178952207427625,-0.5162364189822395,-0.7176628606048303
292,292,292,10-19,0.4788367413223407,-0.11106811597055737,-0.8939027277926467
293,293,293,10-20,0.2910538070236525,-1.3595386513422951,-0.866693744056469
294,294,294,10-21,0.4936219637514396,-0.012768903475099194,-0.637615918480417
295,295,295,10-22,0.2510881003657847,-1.6252497361861031,-0.3007189771420592
296,296,296,10-23,0.4653350675063349,-0.2008336849262082,-0.23804179408234016
297,297,297,10-24,0.7219320133224105,1.5051452290479073,-0.0758703847573593
298,298,298,10-25,0.5354005368548909,0.264994982387757,0.15118815258067556
299,299,299,10-26,0.43740739202034296,-0.38651019539241,0.2368303372116777
300,300,300,10-27,0.6985337363126184,1.3495823205531103,0.5216011600477636
301,301,301,10-28,0.3283769443110096,-1.1113966284000902,0.22071448621023507
302,302,302,10-29,0.7223300026678106,1.5077912520903074,0.2531214385549017
303,303,303,10-30,0.4503931300066265,-0.30017481397726403,0.3160165462457359
304,304,304,10-31,0.564646589992127,0.4594366964557568,0.15859506796876024
305,305,305,11-01,0.4941678563193271,-0.009139549247405024,0.30651049421681337
306,306,306,11-02,0.5564667850712626,0.4050534508912563,0.3070162033603702
307,307,307,11-03,0.4618650418605294,-0.22390407091177145,0.4588786723789725
308,308,308,11-04,0.7227863861106949,1.5108255069516483,0.156478632946675
309,309,309,11-05,0.5874432849003453,0.6110000001343499,0.1911470170344349
310,310,310,11-06,0.2917419512628149,-1.354963540138028,0.2122653941515353
311,311,311,11-07,0.525454766375823,0.19887075527915427,0.0604679968707306
312,312,312,11-08,0.5755253245096543,0.5317637135938588,-0.05535321920139772
313,313,313,11-09,0.3248736117577481,-1.1346884545965996,-0.1818906817983789
314,314,314,11-10,0.6182621036777545,0.8158982105188781,-0.039109885146054735
315,315,315,11-11,0.4732479938528244,-0.1482247754475371,-0.2518830527896502
316,316,316,11-12,0.4205962391162054,-0.4982787602240831,-0.2222257951245193
317,317,317,11-13,0.33343500157659584,-1.0777682505824184,-0.23090045227703096
318,318,318,11-14,0.6022898818291539,0.7097072595846445,-0.5625517485101708
319,319,319,11-15,0.3170450606082472,-1.1867363975116698,-0.6266503477495933
320,320,320,11-16,0.318959308107595,-1.1740095668799606,-0.7123869697549744
321,321,321,11-17,0.41540142378845135,-0.5328163708840723,-0.5780910974262858
322,322,322,11-18,0.3432221689997612,-1.012698492256369,-0.3596725212102673
323,323,323,11-19,0.4546319650078917,-0.2719930166102872,-0.22009518201493064
324,324,324,11-20,0.7994044151007292,2.0202187168807555,-0.08357652202425618
325,325,325,11-21,0.443008348838671,-0.34927236233964964,-0.03558312750010815
326,326,326,11-22,0.4421622536313702,-0.3548976069359138,0.04886001218153632
327,327,327,11-23,0.4587136535705454,-0.2448560037391841,0.19060398750389027
328,328,328,11-24,0.4194289200678192,-0.5060396541665023,0.11617034811948572
329,329,329,11-25,0.5825505606867257,0.5784708353238365,0.3333451803450882
330,330,330,11-26,0.732230860812696,1.573616880574328,0.4732440888785801
331,331,331,11-27,0.6390004500331425,0.9537766310139654,0.4709628676211186
332,332,332,11-28,0.5684157460701679,0.4844958442650376,0.4481981091686266
333,333,333,11-29,0.4566549373603959,-0.2585433312839521,0.5757007949944285
334,334,334,11-30,0.39888458352308703,-0.6426282048814544,0.17212838588929205
335,335,335,12-01,0.6976169293209062,1.3434869502786482,-0.14864003788288074
336,336,336,12-02,0.3680219714398053,-0.8478175740564905,-0.2308916462804411
337,337,337,12-03,0.3495190367051051,-0.9708339116190716,-0.31653079095597064
338,338,338,12-04,0.4941867693915238,-0.009013806120324468,-0.3792074702484906
339,339,339,12-05,0.3793688368604152,-0.7723781993371293,-0.5682649629192295
340,340,340,12-06,0.34232124262144803,-1.0186882806365742,-0.4859874754981306
341,341,341,12-07,0.5269996673878806,0.2091419942542148,-0.060140595148032674
342,342,342,12-08,0.4422743029618639,-0.35415264952989634,-0.23190003024933445
343,343,343,12-09,0.733829796895885,1.5842473704815154,-0.1814436472782491
344,344,344,12-10,0.3391803524853983,-1.039570416728135,0.15123750724487234
345,345,345,12-11,0.4249038208907155,-0.4696399015106171,0.10591632677196898
346,346,346,12-12,0.6425534464849975,0.9773986465021544,0.19556926946087785
347,347,347,12-13,0.4860990100765818,-0.06278508858320545,0.015514003380857212
348,348,348,12-14,0.5231827048968251,0.18376500660355685,-0.06244812911043954
349,349,349,12-15,0.5713367051848987,0.5039157740013915,-0.20104448258270047
350,350,350,12-16,0.26882246615030897,-1.5073432116759156,-0.23858808805652176
351,351,351,12-17,0.2998258353039593,-1.301218022344183,-0.3162314106233457
352,352,352,12-18,0.6086717574889784,0.752137013659227,-0.6233859712740571
353,353,353,12-19,0.4160288376830147,-0.5286450239841496,-0.4558268706087477
354,354,354,12-20,0.2459872899563787,-1.6591623573007117,-0.1360199592560969
355,355,355,12-21,0.7225524785648239,1.5092703779932486,0.3114089034056654
356,356,356,12-22,0.5574361507572259,0.4114982564399894,0.4185294328396294
357,357,357,12-23,0.7036135211488638,1.3833551536263908,0.36242917191914986
358,358,358,12-24,0.7053439981426161,1.394860190263011,0.9199456069800612
359,359,359,12-25,0.3654004665099637,-0.8652465895070273,0.6231597025710431
360,360,360,12-26,0.7491248609090297,1.6859362530647566,0.4754648897737671
361,361,361,12-27,0.4547143851083956,-0.2714450484608604,0.15445152860811345
362,362,362,12-28,0.4241471485325485,-0.4746706203436669,0.1024954008855726
363,363,363,12-29,0.4139110610544149,-0.542725013367531,
364,364,364,12-30,0.6584555509965353,1.0831234239277654,
365,365,365,12-31,,,
