,unnamed: 0,unnamed: 0,mth_day,anthony hopkins,anthony hopkins_norm,anthony hopkins_ravg
331,331,331,11-27,0.8747148446268012,0.34058987047350986,-0.4342028476914246
332,332,332,11-28,0.710469525151297,-0.4715470141761357,-0.7258744950814547
333,333,333,11-29,0.6442721207462077,-0.7988705199973173,-0.6556392449481433
334,334,334,11-30,0.5556628745676948,-1.2370129119532938,-0.5066940351511354
335,335,335,12-01,0.65054390101415,-0.7678587133639263,-0.4781503377404471
336,336,336,12-02,0.7845054067105905,-0.10546492188965027,-0.3693162627617364
337,337,337,12-03,0.9093506464639736,0.5118520549376399,-0.3695884461135955
338,338,338,12-04,0.8425321447852577,0.18145743569612915,-0.4484581619369061
339,339,339,12-05,0.6439418450814005,-0.8005036201084719,-0.3760540670313241
340,340,340,12-06,0.4599599315009221,-1.7102312068931576,-0.5271150120693121
341,341,341,12-07,0.7384012604608811,-0.33343414393043425,-0.7181758665081447
342,342,342,12-08,0.6012034019845817,-1.0118305921175783,-0.6641139912234979
343,343,343,12-09,0.6775115193189986,-0.6345130716953559,-0.6513098513247995
344,344,344,12-10,0.9081324898408986,0.5058286874040091,-0.2507158767840361
345,345,345,12-11,0.6594787829155541,-0.7236787807162809,-0.10920516003679642
346,346,346,12-12,0.9460530020560941,0.6933326403514222,0.3569835842472231
347,347,347,12-13,0.9101147239471606,0.5156301565530039,0.4404713471288162
348,348,348,12-14,1.1668911870469096,1.7853018735865391,0.1831151763460602
349,349,349,12-15,0.7788181429630996,-0.13358649440579762,0.42289694577544784
350,350,350,12-16,0.5958485833604694,-1.0383083372925268,0.3050658735898996
351,351,351,12-17,0.9504373693463716,0.7150118358600449,0.35035193084328503
352,352,352,12-18,0.8030731488240458,-0.013653792761866774,-0.18992902763711544
353,353,353,12-19,0.9650662210306382,0.7873465000733165,-0.2966613160824592
354,354,354,12-20,0.5112976265813486,-1.456383877295864,-0.06589603294013535
355,355,355,12-21,0.6493058958623931,-0.7739802250778602,-0.2421602334365568
356,356,356,12-22,0.8758662875428159,0.3462833615614163,-0.4776417880566151
357,357,357,12-23,0.7365529579632957,-0.342573367118484,-0.679419151245083
358,358,358,12-24,0.5173325755276248,-1.426543120482216,-0.427378400547003
359,359,359,12-25,0.7202233520053379,-0.4233176790574917,-0.34841063534567124
360,360,360,12-26,0.8171316385689492,0.05586062689261642,-0.5697226280665914
361,361,361,12-27,0.7451278150652473,-0.3001736338698693,-0.5812136450195563
362,362,362,12-28,0.6073194972029899,-0.9815885947641042,-0.4031024605749858
363,363,363,12-29,0.7226094039673283,-0.4115194688362741,
364,364,364,12-30,0.7334581741368718,-0.3578760138147929,
365,365,365,12-31,,,
