,unnamed: 0,unnamed: 0,mth_day,suspenseful,suspenseful_norm,suspenseful_ravg
61,61,61,03-02,4.670349492260037,1.6967878434958217,0.2505236698862096
62,62,62,03-03,3.3034674526001058,-0.6967894263038843,0.19932689742326845
63,63,63,03-04,2.9415482233216315,-1.3305541664711544,-0.01115401878604973
64,64,64,03-05,4.044940766230607,0.6016208374746831,0.030223471831190712
65,65,65,03-06,3.5854859025091805,-0.2029407021415192,-0.2224473975588825
66,66,66,03-07,3.7660313695384176,0.1132164449331994,-0.3149656110956626
67,67,67,03-08,3.804604456144821,0.18076262715538274,-0.18019973071169204
68,68,68,03-09,2.986465400432149,-1.2518987075245651,-0.4169300375576927
69,69,69,03-10,3.403306605923308,-0.5219588841673307,-0.2449744645565379
70,70,70,03-11,3.2338140679108327,-0.8187610036013208,-0.440290476155824
71,71,71,03-12,4.174670101374119,0.8287927358654096,-0.5821395015170141
72,72,72,03-13,3.0968055584107543,-1.0586796246625167,-0.12472289514724845
73,73,73,03-14,3.3185765658673487,-0.6703315250117579,0.061536806017340726
74,74,74,03-15,4.553746018721147,1.492600930694029,-0.07066374160361534
75,75,75,03-16,4.041502105470997,0.5955993228202042,-0.5500947363056949
76,76,76,03-17,2.7808454761976935,-1.6119642893270572,-0.5654205359924038
77,77,77,03-18,2.5319599431946687,-2.0477932323470682,-0.5019280605233055
78,78,78,03-19,3.0442936284233646,-1.1506344227827698,-0.6042176751733269
79,79,79,03-20,3.536125567858469,-0.28937667219716817,-0.7192960419949129
80,80,80,03-21,4.203263486472126,0.8788632427939007,-0.3559523581281499
81,81,81,03-22,3.647200518269713,-0.09487087810931172,-0.03584760126546286
82,82,82,03-23,4.025797027085993,0.5680978138735211,-0.0038078123431879436
83,83,83,03-24,3.6287587350764015,-0.12716469117094584,0.1134632026406628
84,84,84,03-25,3.1540739457373337,-0.9583956892491204,-0.035707020034006755
85,85,85,03-26,3.9379399889175297,0.4142494177059363,-0.11916331242774746
86,86,86,03-27,3.6921504320526033,-0.016158093254116643,-0.3030287587998852
87,87,87,03-28,3.3612480020699977,-0.5956086324717558,-0.470349083740477
88,88,88,03-29,3.3958051412226333,-0.5350948643593055,-0.28625933072710397
89,89,89,03-30,3.0554566321938075,-1.1310866408144968,-0.5302495809685616
90,90,90,03-31,3.7848343901673616,0.14614282883111826,-0.6560731993137184
91,91,91,04-01,3.1019380053214336,-1.0496920837428088,-0.6483240167911479
92,92,92,04-02,3.2610315885099106,-0.7710998033250583,-0.7449838126811391
93,93,93,04-03,3.387799603839765,-0.5491135373363325,-0.6089660287037749
94,94,94,04-04,3.064612476687647,-1.1150536396992523,-0.4984961381758821
95,95,95,04-05,3.5215045054055074,-0.3149799369503121,-0.44383254649597204
96,96,96,04-06,4.163345611486934,0.8089621719984759,-0.437544090651512
97,97,97,04-07,3.2892359446024804,-0.7217105336633488,-0.4441808189466154
98,98,98,04-08,3.2825781935669665,-0.7333690682582984,-0.5396252946020282
99,99,99,04-09,3.3650596869217573,-0.588933907106953,-0.6379867935176304
100,100,100,04-10,2.7375839544731284,-1.6877204936317296,-1.0243741820833263
101,101,101,04-11,3.184481168933857,-0.9051489304439252,-0.8829196609572505
102,102,102,04-12,2.83943769730688,-1.5093621593956996,-0.8552996387071915
103,103,103,04-13,3.7739121156093414,0.12701659309310598,-0.6018107173728816
104,104,104,04-14,3.3772147348433785,-0.5676489347579439,-0.4626998288909816
105,105,105,04-15,4.233607675398347,0.9319996208989054,-0.3992449984027344
106,106,106,04-16,3.2142299622361192,-0.8530551627403289,0.025449542464687745
