,unnamed: 0,unnamed: 0,mth_day,disability,disability_norm,disability_ravg
69,69,69,03-10,1.6812402204182686,-0.8710997724926001,-0.7522953469784478
70,70,70,03-11,2.2094698764732965,0.38096193348625057,-0.8380326801633142
71,71,71,03-12,1.5377616361623292,-1.2111867761579291,-0.5880294672778944
72,72,72,03-13,1.616632321958433,-1.024239746059141,-0.654840093048462
73,73,73,03-14,1.9737780297473948,-0.17769798330228428,-0.7158575435332427
74,74,74,03-15,1.615983261082859,-1.0257782137650715,-0.5341539895795965
75,75,75,03-16,1.5267850842423771,-1.2372044754012843,-0.6311429162581704
76,76,76,03-17,2.6694210371097773,1.4711832572081285,-0.3280112746637046
77,77,77,03-18,1.2922509214622913,-1.7931203362293724,-0.16214046801878113
78,78,78,03-19,2.3839577118216644,0.7945501035076539,-0.00939336360547142
79,79,79,03-20,2.39365132540954,0.8175268565672567,0.2300538094622443
80,80,80,03-21,2.0026361714419285,-0.10929558728521316,-0.058099775658733
81,81,81,03-22,2.1329042424384577,0.19947856300501046,0.33914041285777125
82,82,82,03-23,1.940010010004785,-0.25773825351773594,0.18112162905321452
83,83,83,03-24,2.2977958422084828,0.5903207948696528,0.036455267429134734
84,84,84,03-25,1.983960455676568,-0.15356259931968613,0.02209849345149644
85,85,85,03-26,2.0274534196105867,-0.05047131317722242,0.12030423544649793
86,86,86,03-27,1.9662944780059544,-0.19543623115104292,0.2131430251228432
87,87,87,03-28,2.381495114927892,0.7887130149750194,0.11969809071016392
88,88,88,03-29,2.175015369749232,0.2992944845403356,0.2752460813118752
89,89,89,03-30,2.061256131765196,0.029651188393577336,0.19294717049818888
90,90,90,03-31,2.377703325616145,0.7797253442905818,0.3955165984993232
91,91,91,04-01,1.8191279426222284,-0.5442647780593403,0.2786469948403065
92,92,92,04-02,2.479063994568952,1.0199803368557625,0.2798870720103673
93,93,93,04-03,2.085659900500532,0.08749539302091999,0.3175476026363223
94,94,94,04-04,2.17815441090301,0.3067349475607001,0.2892224674741887
95,95,95,04-05,2.156587259828947,0.2556143721493074,0.3707527702331419
96,96,96,04-06,2.3060031386383377,0.6097745333177803,0.25483488006564303
97,97,97,04-07,2.025507821083993,-0.05508296150562125,0.1321639263972248
98,98,98,04-08,2.185637878453058,0.3244729958507692,0.005179117264354188
99,99,99,04-09,1.7751395706088735,-0.6485303289895894,0.10301826762104273
100,100,100,04-10,1.85671430104822,-0.4551739072365235,-0.1363724474785141
101,101,101,04-11,2.4042501689084586,0.8426492742894385,-0.11723872040223815
102,102,102,04-12,1.7000268940364986,-0.8265697572795606,-0.17507409671952853
103,103,103,04-13,2.0739415461518025,0.059719400952034624,0.11067567329164278
104,104,104,04-14,2.0392376133830004,-0.022539262052973186,0.32740083295345274
105,105,105,04-15,2.4984657549815497,1.0659682910774384,0.14608802679138208
106,106,106,04-16,2.40531660714844,0.8451770507343359,0.25397045594312306
107,107,107,04-17,1.9452881188113191,-0.2452275626829853,0.14446637309971125
108,108,108,04-18,1.973112628580165,-0.17927518236911452,0.1938169018887108
109,109,109,04-19,1.7967508754007535,-0.5973050961084363,-0.09018502490400776
110,110,110,04-20,2.1641599525482267,0.27356391068102404,-0.2588068776515287
111,111,111,04-21,1.779563933806211,-0.6380432696788729,-0.4550645938022617
112,112,112,04-22,1.9784795134739728,-0.16655406575078968,-0.6219659694568167
