,unnamed: 0,unnamed: 0,mth_day,political,political_norm,political_ravg
178,178,178,06-27,2.44497157811849,0.9590597005424428,0.7352303410433411
179,179,179,06-28,2.7214687419232355,1.6326478654968075,0.8437652676811066
180,180,180,06-29,2.405538169121033,0.8629940583528933,1.0107574791267238
181,181,181,06-30,2.348440693408435,0.7238961256307527,1.005512360305234
182,182,182,07-01,2.4424398743647417,0.952892094111228,0.9841043725944582
183,183,183,07-02,2.4213788531092013,0.9015843176972778,0.6831133647067155
184,184,184,07-03,2.3922457596487066,0.8306117742777871,0.4525326442224908
185,185,185,07-04,1.9801567859686853,-0.17329818182964926,0.3573653863642443
186,186,186,07-05,1.8376399913411807,-0.5204902645524546,0.17057018133019575
187,187,187,07-06,2.1140528737828093,0.15289257848127405,0.02503211713724714
188,188,188,07-07,1.9823812175348128,-0.16787913609306318,-0.15935760090695045
189,189,189,07-08,2.0629325733022243,0.028355932539585793,-0.16733990899868886
190,190,190,07-09,1.9381115863373493,-0.2757265339873985,-0.1281523845229627
191,191,191,07-10,1.9604971274757463,-0.22119203038007976,-0.25318243012904285
192,192,192,07-11,1.9341551019485783,-0.2853651176980977,-0.1467793886112886
193,193,193,07-12,1.806115874894463,-0.5972876951552066,-0.1943709609862659
194,194,194,07-13,2.244441693628696,0.4705391130134625,-0.1350872114493296
195,195,195,07-14,1.9457190995448783,-0.25719350171027816,-0.09776175781574614
196,196,196,07-15,2.0841217699436867,0.07997596323421938,-0.15796704991513547
197,197,197,07-16,2.0524261363660132,0.0027606914214209056,0.28076092021892113
198,198,198,07-17,1.785875247483096,-0.6465968702944338,0.5827338361892117
199,199,199,07-18,2.886660745501848,2.035080125649133,0.4851341310412187
200,200,200,07-19,2.9881719949230265,2.282376608835206,0.5716136202699283
201,201,201,07-20,1.7053403957703446,-0.8427917325982364,0.30570062372554824
202,202,202,07-21,2.297112449499121,0.5988528986064773,0.482824735641645
203,203,203,07-22,1.3975079547053524,-1.5927172878448603,0.36685826281372863
204,204,204,07-23,2.2221149304313834,0.41614780120214667,0.03605732724186191
205,205,205,07-24,2.601046456222896,1.3392812886816343,-0.11346726922468242
206,206,206,07-25,2.1734410489678733,0.2975709954040059,-0.2366460404020833
207,207,207,07-26,1.3370756696982975,-1.7399393113975024,0.061550127822761175
208,208,208,07-27,1.9937349617980489,-0.1402197284579275,0.05868784792577522
209,209,209,07-28,2.1319364888871988,0.19645972150420632,-0.04767491366077111
210,210,210,07-29,2.215065409836684,0.39897412182023095,-0.2205138986098016
211,211,211,07-30,2.3390851857325248,0.7011047191623565,-0.06833411985393796
212,212,212,07-31,1.7477552223482582,-0.739462914290177,-0.0352537575476843
213,213,213,08-01,1.7118798548396508,-0.826860638862321,0.003203122920163221
214,214,214,08-02,2.075208718296715,0.05826244537959451,-0.02619930325312632
215,215,215,08-03,2.2266520934482594,0.4272010043112914,0.11519227645290515
216,216,216,08-04,2.1426500569353117,0.2225595647804937,0.07322583412976995
217,217,217,08-05,2.687319072329143,1.5494541973985454,0.2067384392028488
218,218,218,08-06,1.6443959038711424,-0.9912615682289884,0.2152485479698589
219,219,219,08-07,2.040708583331849,-0.025785008423848,0.18135712094116824
220,220,220,08-08,2.09616829918164,0.10932309798165524,-0.015653875443163778
221,221,221,08-09,2.143180762404045,0.22385244213914768,-0.4813664250073391
222,222,222,08-10,1.6574308867709544,-0.9595064135254984,-0.28769082480103736
223,223,223,08-11,1.5403137732247958,-1.2448210999865057,-0.03718635517219727
224,224,224,08-12,2.121400313461851,0.1707920330088218,0.024691102815300948
225,225,225,08-13,2.657677042486522,1.4772418093491926,0.10992659432608903
226,226,226,08-14,2.248566537694186,0.4805878459066445,0.6164512235605634
227,227,227,08-15,2.3531075950095413,0.7352653912038762,0.9023090984517405
228,228,228,08-16,2.904952419962421,2.079641361881347,0.8422580453805187
229,229,229,08-17,2.2443542754567543,0.470326149360557,0.3540061941060948
230,230,230,08-18,1.9735003349151141,-0.18951428541850845,0.17414927593632767
231,231,231,08-19,1.4551596071428556,-1.4522692982973515,0.2365799400921141
232,232,232,08-20,1.8055962153046403,-0.5985536631119581,-0.2103609751044284
233,233,233,08-21,2.5068683272043333,1.1098493761385952,-0.17139798934072667
234,234,234,08-22,1.80417985414532,-0.6020041292979076,0.08887220775749544
235,235,235,08-23,2.340316368773148,0.704104063942767,0.207077384491294
236,236,236,08-24,2.614520843273685,1.3721068971708241,0.328998184109984
237,237,237,08-25,1.7462876092164816,-0.7430382378945604,0.1155623302882958
238,238,238,08-26,2.1058754398274617,0.13297113460018165,1.0902182920807058
239,239,239,08-27,1.9811963100309973,-0.1707657467915339,1.2188450506848263
240,240,240,08-28,4.204663916740862,5.245931641456552,1.1331063701296051
241,241,241,08-29,2.6571117264752524,1.47586461556749,1.2908816391175524
242,242,242,08-30,2.403354704360132,0.8576748138394957,1.0865086096676009
243,243,243,08-31,2.1348729496075545,0.20361337603312385,1.4091999713487136
244,244,244,09-01,1.6025242890103408,-1.0932670420995272,0.6160238176725441
245,245,245,09-02,2.775954154048318,1.7653824232951412,0.1761786331370392
246,246,246,09-03,2.25114719866839,0.4868747193995355,-0.00891602175170686
247,247,247,09-04,1.5738152640546432,-1.1632064916455396,-0.0535368474640984
248,248,248,09-05,1.947484339277718,-0.2528931154929805,-0.06476318882240557
249,249,249,09-06,2.0249761396752897,-0.06411157824122546,-0.4676760140486718
250,250,250,09-07,1.5748748880234384,-1.1606250902493702,-0.7558647862387131
251,251,251,09-08,1.7836185469359147,-0.652094528062456,-0.5208692954596359
252,252,252,09-09,1.541365920165818,-1.242257913740712,-0.5697729029883759
253,253,253,09-10,2.15258659723317,0.2467664530289239,-0.5786062950868562
254,254,254,09-11,1.8270394488978536,-0.5463147606654214,-0.3380342570121828
255,255,255,09-12,2.0032203429815887,-0.11711193083210708,-0.2536718624953456
256,256,256,09-13,2.167380721817722,0.2828071381986708,-0.3560512798188292
