,unnamed: 0,unnamed: 0,mth_day,computers,computers_norm,computers_ravg
74,74,74,03-15,0.8384571310795996,1.7513804479699442,0.34365004739428995
75,75,75,03-16,0.659644329492935,0.7035098222022685,0.12114644078641852
76,76,76,03-17,0.5092066345878151,-0.1780782973310647,0.028419169562229923
77,77,77,03-18,0.4266591610409377,-0.6618192375410078,0.01430760691956324
78,78,78,03-19,0.3897719214087844,-0.8779841571284503,-0.2795865065837618
79,79,79,03-20,0.42847759450900574,-0.6511629366543071,-0.3482671814332641
80,80,80,03-21,0.5375495847867039,-0.011984233050006149,-0.04935029098654873
81,81,81,03-22,0.5893246721838745,0.2914257731052543,-0.07917142483857781
82,82,82,03-23,0.8152568204102877,1.6154230453492278,0.01462452231339369
83,83,83,03-24,0.3961263813669257,-0.8407460406531824,-0.1640575238325181
