,unnamed: 0,unnamed: 0,mth_day,christianity,christianity_norm,christianity_ravg
61,61,61,03-02,0.3728993236507578,-1.4973637780936433,-0.8645929925851981
62,62,62,03-03,0.4453818052244515,-1.1136050370635322,-1.0732310563004706
63,63,63,03-04,0.5409667418448095,-0.6075302705480256,-0.9285984850389838
64,64,64,03-05,0.3663282625247998,-1.5321542831947377,-0.907736803189534
65,65,65,03-06,0.617123953816901,-0.20431565713749067,-0.917290774228389
66,66,66,03-07,0.5628910792036427,-0.491451793099775,-0.655200873801255
67,67,67,03-08,0.3620722785975991,-1.5546876043267732,-0.5235989049052516
68,68,68,03-09,0.7423953871541003,0.4589343654992718,-0.32351246339458195
69,69,69,03-10,0.6901047746613899,0.18208154282799469,-0.3931925505200571
70,70,70,03-11,0.5930763767855527,-0.33163563413071984,-0.3727820096274319
71,71,71,03-12,0.5381589413056265,-0.6223961798903407,-0.10798725094209838
72,72,72,03-13,0.5860213404222568,-0.3689885477440237,-0.1691850418261047
73,73,73,03-14,0.6621511432358549,0.03408094778522787,-0.4740134157171712
74,74,74,03-15,0.6730429434047702,0.09174762019523396,-0.6087353568925015
75,75,75,03-16,0.34465778469487945,-1.646888700518404,-0.5622923117524488
76,76,76,03-17,0.4404026329755542,-1.1399672811827013,-0.5468266295384648
77,77,77,03-18,0.5907905580534929,-0.3437379090500244,-0.3978987040642883
78,78,78,03-19,0.6035478367270547,-0.2761944544601206,-0.037663852072344885
79,79,79,03-20,0.8309238297161367,0.9276485006302868,0.21663697904845824
80,80,80,03-21,1.0812793674396235,2.253156732146895,0.5138871902655603
81,81,81,03-22,0.6328443978218337,-0.1210837137935856,0.5411016061781446
82,82,82,03-23,0.7772616642432689,0.6435339861199116,1.0691613200892325
83,83,83,03-24,0.6216313158894369,-0.18045141357451888,1.0305991363552574
84,84,84,03-25,1.2019719150523562,2.8921638290064053,0.6724990123872808
85,85,85,03-26,0.7872232052388443,0.6962753982264372,0.7873266743165781
86,86,86,03-27,0.6754621255854293,0.1045559883390358,0.9302654048303332
87,87,87,03-28,0.7629729343226488,0.5678822577821974,1.0399292626370955
88,88,88,03-29,0.93924709091243,1.5011663692024426,0.5282842123803629
89,89,89,03-30,0.7459079673831702,0.4775317332660562,0.4481743316875864
90,90,90,03-31,0.6221497669815393,-0.1777064725339911,0.6310690181952167
91,91,91,04-01,0.6964386211181239,0.21561611406977824,0.5976214710124182
92,92,92,04-02,0.8827276702210726,1.2019241073848173,0.3950100687375497
93,93,93,04-03,0.7250684756642511,0.3671969746854075,0.595076383056951
94,94,94,04-04,0.7096375629169838,0.28549795555323115,0.9208674785799976
95,95,95,04-05,0.9726332724888852,1.6779296191824642,0.9364781823906844
