,unnamed: 0,unnamed: 0,mth_day,dystopia,dystopia_norm,dystopia_ravg
106,106,106,04-16,5.9319566301293705,-1.2569756201808633,-0.10053797483442546
107,107,107,04-17,7.094287346279257,0.005411113521447677,0.0453361967066185
108,108,108,04-18,7.505102549392514,0.4515902045560869,0.051507566038494206
109,109,109,04-19,7.753929082375343,0.7218362798479276,-0.007869324491956398
110,110,110,04-20,7.5302937238389,0.4789498914211427,-0.01313952016121922
111,111,111,04-21,6.6767877150278006,-0.4480278161174741,-0.013776932473015795
112,112,112,04-22,5.9028417314554655,-1.2885967941964402,0.00010304198993475268
113,113,113,04-23,7.090765997920277,0.0015866396506682106,-0.08679864439005765
114,114,114,04-24,7.5817816853194975,0.5348700513337902,-0.21034449131916044
115,115,115,04-25,7.273845618244888,0.20042616156797324,-0.3168449213040585
116,116,116,04-26,6.847771661915942,-0.26232519015347394,-0.1142973822365242
117,117,117,04-27,6.0884320974513795,-1.0870303960268626,-0.2277165656153065
118,118,118,04-28,7.021804184973838,-0.07331155979123435,-0.4366854691534064
119,119,119,04-29,6.464188117518297,-0.6789284606220255,-0.4527982781718978
120,120,120,04-30,6.427344766023864,-0.7189433698948086,-0.5327667882067482
121,121,121,05-01,7.184831313773913,0.1037493074570242,-0.2690180693597954
122,122,122,05-02,6.405990139391644,-0.7421362503625759,-0.2113447215563005
123,123,123,05-03,7.5454970161957755,0.4954619170548541,0.020262062649168227
124,124,124,05-04,7.340417341460031,0.2727285270297351,0.021431247422441013
125,125,125,05-05,7.743686731518452,0.7107122446107869,-0.16315363794834034
126,126,126,05-06,6.4338038613480535,-0.7119282612551718,-0.09994571028705547
127,127,127,05-07,6.1651025272986,-1.003760004767664,-0.1376414828638962
128,128,128,05-08,6.755178770086888,-0.3628886843948668,0.040044616787853315
129,129,129,05-09,7.337248847079348,0.26928728159380994,0.08756069850213964
130,130,130,05-10,8.322034175403095,1.3388451249402318,0.19962838596213006
131,131,131,05-11,8.00618664448392,0.9958087348965048,0.6866870465735454
132,132,132,05-12,7.052915478786912,-0.03952213649522887,0.9366683337282484
133,133,133,05-13,8.855830622017177,1.918591958900828,0.7520440881290406
134,134,134,05-14,8.1361862890923,1.1369990385333508,0.4488730371414676
135,135,135,05-15,6.317302617242472,-0.8384581920014369,0.4599334288758585
136,136,136,05-16,6.6471828066304095,-0.4801811809852054,0.5944670788957539
137,137,137,05-17,8.067289154684559,1.06217108530285,0.4875581669974445
138,138,138,05-18,7.796139039043803,0.767679763624144,0.5426041671434776
139,139,139,05-19,8.26521836915329,1.2771384875109708,0.6566341711847206
140,140,140,05-20,8.440284811658112,1.4672750394095495,0.5914116579920042
141,141,141,05-21,6.947254941936756,-0.15427816775397915,0.4839466949127311
142,142,142,05-22,6.2868647118130605,-0.8715162601415039,0.5928402433590768
143,143,143,05-23,7.473605028439258,0.41738130682721103,0.6115701166954182
144,144,144,05-24,8.397715304560503,1.4210410543022185,0.31606885877777924
145,145,145,05-25,8.368690497815061,1.3895177275290194,0.6810624455440011
146,146,146,05-26,6.807804782033862,-0.3057325080962842,1.0810811243523517
147,147,147,05-27,8.963641422101436,2.035683352843352,0.9401701589557556
148,148,148,05-28,8.496745337137902,1.5285958127085992,0.7695987380863855
149,149,149,05-29,6.695150349139278,-0.4280844855523634,0.6223432719615231
150,150,150,05-30,7.455403112199246,0.3976125290859969,0.7362114150468831
151,151,151,05-31,7.555185982146133,0.505984930779845,0.3089197520069236
152,152,152,06-01,7.4368629150082315,0.377476350415877,-0.03943401116072679
153,153,153,06-02,6.603092733905712,-0.5280666253964051,0.2139641978394922
154,154,154,06-03,6.5722846237620365,-0.5615267662973035,0.2149968880705412
155,155,155,06-04,8.095034460125719,1.0923047684489506,0.0934716649890448
156,156,156,06-05,7.461108151124817,0.4038086704722912,0.061982136820121526
157,157,157,06-06,6.8838267426823565,-0.2231664077091336,0.19590864524603452
158,158,158,06-07,7.262900793018261,0.18853918140233736,0.5080237640071186
159,159,159,06-08,7.3429621746765665,0.2754924251590733,0.5860619407248077
160,160,160,06-09,8.29654699039901,1.3111639462692002,0.710301292159572
161,161,161,06-10,8.526151965132833,1.5605338287550856,0.8243481236058431
162,162,162,06-11,8.147461439567502,1.1492447790808769,1.2309520735966877
163,163,163,06-12,7.513872029426454,0.4611145809684918,1.5246055234933655
164,164,164,06-13,9.509161377504148,2.6281628813474027,1.4514683129131647
165,165,165,06-14,8.965234093127096,2.0374131245391442,1.4218082060207553
166,166,166,06-15,7.892504596346398,0.8723406827879951,1.6437544129947559
167,167,167,06-16,8.362296377784117,1.3825731874006293,1.8981118860510808
168,168,168,06-17,9.373590739622433,2.480922020924881,1.534784481017498
169,169,169,06-18,8.919055540577093,1.987259419306442,1.3350312054993907
170,170,170,06-19,7.501979624329213,0.4481984511459047,1.3470244998181815
171,171,171,06-20,7.861708390958246,0.8388934714305,1.4682940557660116
172,172,172,06-21,7.958760874247893,0.9443004487007404,1.0899467231274134
173,173,173,06-22,9.03224319859058,2.1101905230876072,0.7898902147412414
174,174,174,06-23,7.283432243693924,0.2108380250932909,0.8184573420703917
175,175,175,06-24,7.261410286709063,0.1869203689894105,0.6703917161276722
176,176,176,06-25,7.659797107737588,0.6196012151208065,0.6157663350993258
177,177,177,06-26,7.043728193078097,-0.049500284225816975,0.4690695776671225
178,178,178,06-27,7.656986038269883,0.6165481625306617,0.5934227871103244
179,179,179,06-28,8.221825237576514,1.2300099784943879,0.8479571278503607
180,180,180,06-29,7.970414534281295,0.956957281752502,0.6136951749234248
181,181,181,06-30,8.667570893400951,1.7141264134296286,0.3524588315782587
182,182,182,07-01,6.365630163918389,-0.7859705024408091,0.16787484280654474
183,183,183,07-02,5.6005427510658325,-1.6169183442968136,0.08271035665194278
184,184,184,07-03,6.637262205005539,-0.4909557700996218,-0.1536989648407142
185,185,185,07-04,7.751338838092731,0.7190230615667759,-0.40102921628271604
186,186,186,07-05,6.66438457395758,-0.4614986472034397,-0.3202616068810413
187,187,187,07-06,7.301208871640804,0.2301449047776174,-0.20126977340177807
188,188,188,07-07,6.8118262658161175,-0.3013648460307604,-0.19464868588198714
189,189,189,07-08,6.257906422584997,-0.9029673434212346,-0.2322346177903402
190,190,190,07-09,6.673840029501521,-0.4512292449808762,0.006667752547827321
191,191,191,07-10,7.543697477553057,0.4935074701166576,-0.04025171200878932
192,192,192,07-11,7.98418724199108,0.9719155748255656,0.29562392393599024
193,193,193,07-12,7.042004936506668,-0.051371882562082416,0.4551908374014048
194,194,194,07-13,8.667352269262171,1.7138889696379171,0.3030499228900433
195,195,195,07-14,7.139424834576576,0.05443413737125299,0.2619217196062168
196,196,196,07-15,5.8333461298180485,-1.364074732049045,0.545134904018899
197,197,197,07-16,7.316487038625294,0.24673825041369826,0.6700877791163729
198,198,198,07-17,9.548782502728873,2.6711946813016585,0.3061048617596981
199,199,199,07-18,7.732300046172877,0.6983453680227609,0.5434165503159473
200,200,200,07-19,6.6565491752369095,-0.47000853450213104,0.7585705350612636
201,201,201,07-20,8.450439870839004,1.4783042687087466,0.8859822996643932
202,202,202,07-21,7.021952181331726,-0.07315082357714675,0.3951999467452375
203,203,203,07-22,8.020366144655249,1.0112088380324755,-0.06698111381657028
204,204,204,07-23,6.8374830799161685,-0.2734994362132763,0.106103322967982
205,205,205,07-24,5.179006849539516,-2.0747409953480846,-0.20011989432678265
206,206,206,07-25,7.6127443822579774,0.5684980862051826,-0.18389347608838344
207,207,207,07-26,6.758726981480264,-0.3590350350598406,-0.5220068830719451
208,208,208,07-27,7.111594113529187,0.02420768585324841,-0.4315756200735275
209,209,209,07-28,6.1524777013420175,-1.0174716038688942,0.11393494458757045
210,210,210,07-29,7.337065490965536,0.2690881417772289,-0.0023926847472220034
211,211,211,07-30,8.19264919080663,1.1983223926185025,-0.0365438925499742
212,212,212,07-31,6.970098956242532,-0.129467689803572,-0.1605919111958523
213,213,213,08-01,6.570060560503203,-0.5639422818763538,-0.1891165392943891
214,214,214,08-02,6.426297832285288,-0.7200804260220203,-0.06669968579877865
215,215,215,08-03,5.994895002535709,-1.188619372460115,0.037464423974350784
216,216,216,08-04,8.013350492353654,1.0035892627508916,0.003815002451535825
217,217,217,08-05,8.768097939169037,1.8233070512572789,0.12095017539006325
218,218,218,08-06,6.784204625262342,-0.3313642189404618,0.1518394533777111
219,219,219,08-07,7.2171672156025375,0.13886875575481086,0.25367060373841965
220,220,220,08-08,6.59694390600996,-0.5347447580961332,0.1680084378255963
221,221,221,08-09,6.557455448230509,-0.5776324702958637,-0.18891527050901472
222,222,222,08-10,7.540114689120562,0.4896162672739514,0.1874324195022964
223,223,223,08-11,6.796293047163862,-0.31823519875038725,0.18623990082436004
224,224,224,08-12,8.863316208299736,1.9267219211274047,0.2257967974050771
225,225,225,08-13,7.210579213438335,0.13171364368719266,0.33023872614498256
226,226,226,08-14,6.81547374969655,-0.2974033786118308,0.14262198091308356
227,227,227,08-15,7.134438991802616,0.04901910214356889,0.2534857687552976
228,228,228,08-16,6.503636563875013,-0.6360842041174426,-0.2171817553843364
229,229,229,08-17,7.408753789078393,0.3469475283028969,-0.4678768484536048
230,230,230,08-18,6.2631400223668985,-0.8972832237103993,-0.6006594937803538
231,231,231,08-19,5.825628313924942,-1.3724569147284176,-0.7675150573345748
232,232,232,08-20,6.081923516089716,-1.0940992505723248,-0.6565129171975973
233,233,233,08-21,6.212654843560902,-0.9521142791817576,-0.647057871111429
234,234,234,08-22,7.116861625237267,0.029928636704422293,-0.4504737618808026
235,235,235,08-23,7.460987657805778,0.40367780481990667,-0.2532295011524624
236,236,236,08-24,7.3491578441587615,0.2822214316733592,-0.1494494867255869
237,237,237,08-25,6.915293105425628,-0.18899135035837653,0.0880757511953466
238,238,238,08-26,6.655250351379231,-0.4714191640110717,0.01697176542817509
239,239,239,08-27,7.524849621241835,0.4730371483438432,-0.18904540416470786
240,240,240,08-28,6.724051666966476,-0.3966952778986067,0.15125351216916547
241,241,241,08-29,6.322857426178027,-0.8324252127373911,0.2408992155935527
242,242,242,08-30,9.229120010589394,2.3240149296766,0.5618469913679697
243,243,243,08-31,7.410535736923051,0.3488828701879466,0.3972085679433746
244,244,244,09-01,8.428308233420763,1.4542674906354305,0.4050222206939208
245,245,245,09-02,6.615313938573498,-0.5147933922037276,0.6694269052710036
246,246,246,09-03,6.767217750805077,-0.34981336139532976,0.3142717638353856
247,247,247,09-04,7.783546190594356,0.7540028947251058,0.38220611104465135
248,248,248,09-05,7.267085466649762,0.19308408106289127,0.1056122291052594
249,249,249,09-06,7.785835205785537,0.7564889534435415,0.1824701649736708
250,250,250,09-07,6.900280935790257,-0.2052958010009218,0.3076577078576317
251,251,251,09-08,7.03991126958822,-0.05364577699325918,0.03332137576287899
252,252,252,09-09,7.4588092694197154,0.4013118959084356,0.42108664170028615
253,253,253,09-10,6.267990599728233,-0.8920150978434104,0.5051834867143036
254,254,254,09-11,9.409272803805486,2.5196756766873345,0.2491184384393464
255,255,255,09-12,8.250423482015659,1.2610700235276462,0.07966920758608123
256,256,256,09-13,5.485664021671583,-1.7416860906506657,0.11749784539887093
257,257,257,09-14,6.1037985526662375,-1.0703411621128498,0.2617759848582552
258,258,258,09-15,7.667791445036983,0.6282837227851736,-0.21740516672038795
259,259,259,09-16,7.0650470421899225,-0.02634626108710458,-0.5736259240318902
260,260,260,09-17,6.762063563354428,-0.3554112327845243,-0.09030578642218784
261,261,261,09-18,6.282502003282957,-0.8762545203413671,0.3941826246225599
262,262,262,09-19,8.1557388569638,1.1582347350075484,0.3732502874600217
263,263,263,09-20,8.780327448646021,1.8365893041556367,0.5078945998585481
264,264,264,09-21,7.552151929212219,0.5026896998099449,0.5144579914902079
265,265,265,09-22,7.808881950514902,0.7815196133040535,0.928504078323828
266,266,266,09-23,6.798322650171152,-0.3160308829945645,0.4870572583594271
267,267,267,09-24,8.569876252932831,1.6080220006603538,-0.04686256000808157
268,268,268,09-25,5.716990802856112,-1.4904461847788573,-0.4304936156065856
269,269,269,09-26,5.830717531423613,-1.3669296060494154,-0.40908287883230815
270,270,270,09-27,5.4328038038557445,-1.799096633781079,-0.4681303051536543
271,271,271,09-28,7.927164358007362,0.9099840339497182,-0.7049593345787396
272,272,272,09-29,6.472118474427261,-0.6703154409226416,-0.8572550567033673
273,273,273,09-30,7.261527639812874,0.187047824109842,-0.9874034997753468
274,274,274,10-01,4.87564167724612,-2.404220517526624,-0.8000536720534855
275,275,275,10-02,5.111719799573304,-2.147820264481293,-0.9123016335328096
276,276,276,10-03,6.467807358374372,-0.6749976674499105,-0.8456235207533398
277,277,277,10-04,7.307056826918268,0.23649626507377405,-1.025940074404344
278,278,278,10-05,6.840477947048715,-0.2702467642458236,-0.634273730875016
279,279,279,10-06,6.26537901113943,-0.894851497796182,-0.2978171169086957
280,280,280,10-07,7.039380297491813,-0.05422245635065591,-0.2819878796608633
281,281,281,10-08,6.9704553833253735,-0.12908058068337147,-0.5558966821987948
282,282,282,10-09,6.555255086595122,-0.5800222439629159,-0.6425051191509679
283,283,283,10-10,5.7938630989711175,-1.4069565501538157,-0.4483717866991671
284,284,284,10-11,6.362014522839536,-0.7898973859588618,-0.18986103323786035
285,285,285,10-12,7.337857654869268,0.26994849691462275,-0.19577546746669408
286,286,286,10-13,8.467508371945977,1.4968420644171845,0.10281559488634824
287,287,287,10-14,6.93778142507174,-0.16456718605637394,0.5138711891806089
288,288,288,10-15,8.204804566521496,1.211524130155338,0.8331445966535981
289,289,289,10-16,8.064716541286202,1.0593770156117488,0.7337453308716458
290,290,290,10-17,8.125822451653868,1.1257430588790729,0.6180492261687128
291,291,291,10-18,6.7887320183429525,-0.3264470977770917,0.5959408969672612
292,292,292,10-19,7.8283517681338335,0.8026654361995869,0.6707502452000416
293,293,293,10-20,6.815645207567759,-0.2972171612650842,0.5643784775829611
294,294,294,10-21,8.61808459070758,1.6603802195520208,0.7400059160059477
295,295,295,10-22,7.47707171170272,0.42114640990926544,1.0955937320799949
296,296,296,10-23,9.096066327771307,2.1795076894169925,1.1776707711800611
297,297,297,10-24,8.753156848914655,1.807079798667192,1.2437566120482355
298,298,298,10-25,8.281781740533111,1.295127670799984,0.8289000568010816
299,299,299,10-26,7.1807327074263565,0.09929788394396392,0.8286738467676207
300,300,300,10-27,6.326232954027077,-0.8287591119309037,0.4573861209396806
301,301,301,10-28,7.475822027133769,0.4197891497085007,0.2700678653125122
302,302,302,10-29,7.044908231423531,-0.048218665550647716,0.2920428398242088
303,303,303,10-30,7.718327712652121,0.6831702649041811,0.33944455333902074
304,304,304,10-31,8.40318124757631,1.4269775178701634,0.4887017984071145
305,305,305,11-01,7.442600799725537,0.3837081650328359,0.4973328457544171
306,306,306,11-02,7.150796184544044,0.06678435847765844,0.35657951400228177
307,307,307,11-03,7.523503761311496,0.4715754337923165,0.2152613345490196
308,308,308,11-04,6.267324390299986,-0.8927386560634599,0.15278568426954986
309,309,309,11-05,6.937623402267742,-0.16473881181539188,0.2177421866967256
310,310,310,11-06,8.05803804196786,1.0521236161933445,0.34376171425210994
311,311,311,11-07,7.801449333074789,0.7734471795958903,0.3822444096187599
312,312,312,11-08,7.84698395554225,0.8229015238099644,0.4799778737286688
313,313,313,11-09,7.736099240988537,0.7024716059922159,0.4050144773344763
314,314,314,11-10,6.807247399459876,-0.3063378714040069,0.42681985240821385
315,315,315,11-11,6.523492347704062,-0.6145191901805471,0.3316832770272007
316,316,316,11-12,8.178500606483455,1.18295586663577,0.2752936929538154
317,317,317,11-13,7.275872689202656,0.20262772730981105,0.25597716583193536
318,318,318,11-14,7.535462879363698,0.4845640193696528,0.518977208998205
319,319,319,11-15,7.629386176582723,0.5865724432609357,0.7066048313997825
320,320,320,11-16,8.26017630164044,1.2716623875936108,0.7464026769654559
321,321,321,11-17,7.560030563259898,0.5112465442289176,0.8544459285149357
322,322,322,11-18,8.398361559245085,1.4217429400298105,0.7673579310338546
323,323,323,11-19,7.872751537479353,0.8508872366066897,0.6832630462110542
324,324,324,11-20,7.054350150065413,-0.03796396551683355,0.4256048005797915
325,325,325,11-21,7.164808729318397,0.08200313432413286,0.25128963923421466
326,326,326,11-22,6.8367578586018976,-0.27428708619396497,0.18246396513987365
327,327,327,11-23,6.5970362878287725,-0.5346444238445438,-0.07428752273791818
328,328,328,11-24,8.018138005287305,1.0087888954637645,0.14403931031793465
329,329,329,11-25,6.454342426498072,-0.6896216906600613,0.4332383900279684
330,330,330,11-26,8.260484423084737,1.2719970328182832,0.27388713986832763
331,331,331,11-27,8.762472730951608,1.8171976125843359,0.4310178511225893
332,332,332,11-28,5.956430866377128,-1.2303945871518096,0.2763824491593642
333,333,333,11-29,7.465096038135253,0.4081398436810264,0.31470947354451545
334,334,334,11-30,7.163863450394403,0.08097648368441371,0.01300098157130917
335,335,335,12-01,6.666077910619498,-0.459659544349154,-0.32500570490855424
336,336,336,12-02,6.593712879081412,-0.5382539190209543,-0.11835652958974956
337,337,337,12-03,6.8951738590407645,-0.2108425062948449,-0.3461425105368378
338,338,338,12-04,7.098052577985183,0.00950046476101832,-0.20730459515424207
339,339,339,12-05,6.206705236197842,-0.9585760420015028,-0.2174470726674079
340,340,340,12-06,7.930865681836409,0.9140039759799882,-0.1860873251863661
341,341,341,12-07,6.610046365752872,-0.5205144094281489,-0.17430698759039698
342,342,342,12-08,6.766958034982336,-0.35009543413470323,-0.18104915701194824
343,343,343,12-09,6.960253669540291,-0.14016048071903048,-0.15852772051473338
344,344,344,12-10,7.0608058433533705,-0.0309525517682892,-0.4133068454782517
345,345,345,12-11,6.331123641653162,-0.8234474230182137,-0.3366757776359166
346,346,346,12-12,6.523352778510603,-0.6146707738011216,-0.23973526621929256
347,347,347,12-13,7.033390377155558,-0.060728002374138536,-0.17575615954218654
348,348,348,12-14,7.30250042172002,0.2315476343650409,-0.1430861745277768
349,349,349,12-15,7.313702635204883,0.2437141593436056,0.4327604753313538
350,350,350,12-16,7.241289332594597,0.16506735831816935,0.4645182291306961
351,351,351,12-17,9.512355974285287,2.631632476136569,0.3190177924910799
352,352,352,12-18,6.698796697864744,-0.4241242510050678,0.2343863744363356
353,353,353,12-19,6.2295814228735935,-0.9337306222118358,0.21422628384854608
354,354,354,12-20,6.8349589268825985,-0.2762408739634252,0.056865638180654175
355,355,355,12-21,7.202329352018538,0.1227536158168688,-0.3955329358223689
356,356,356,12-22,6.371959322591017,-0.779096515689182,-0.6032955182320036
357,357,357,12-23,7.0131055727987945,-0.08275896788156911,-0.5595617484074379
358,358,358,12-24,5.5510240315926325,-1.6706997454628754,-0.6815207011328172
359,359,359,12-25,6.471186167171117,-0.6713280032644412,-0.9652621977681326
360,360,360,12-26,6.161203572468637,-1.0079945903157008,-1.0839687570489491
361,361,361,12-27,5.634815460209824,-1.5796953639950242,-1.3827645410173128
362,362,362,12-28,5.716171632288357,-1.4913358713740787,-1.2217789129166712
363,363,363,12-29,5.362425119857279,-1.8755336716917543,
364,364,364,12-30,6.440380052554352,-0.7047859768590244,
365,365,365,12-31,,,
