,unnamed: 0,unnamed: 0,mth_day,tumey's dvds,tumey's dvds_norm,tumey's dvds_ravg
74,74,74,03-15,0.025592918838334467,-0.7461120076592593,-0.15859233173147327
75,75,75,03-16,0.05404738321423743,-0.2065131353493856,-0.2489640069457463
76,76,76,03-17,0.03450760791771057,-0.5770574751023857,-0.2613074087352543
77,77,77,03-18,0.04545976503412149,-0.3693652285956948,-0.5698382471401815
78,78,78,03-19,0.04672090501838087,-0.34544948362361394,-0.393643445049041
79,79,79,03-20,0.0030012004801920696,-1.1745321525107495,-0.5253734076282043
80,80,80,03-21,0.08134020420081234,0.311056804887584,-0.1844742722840862
81,81,81,03-22,0.012368583797155192,-0.9968929108243656,-0.2379020187149217
82,82,82,03-23,0.14236664321445094,1.4683373369623232,-0.13380349831195956
83,83,83,03-24,0.02855545349255158,-0.6899317071807076,-0.045432329175048684
