,unnamed: 0,unnamed: 0,mth_day,fighting,fighting_norm,fighting_ravg
129,129,129,05-09,4.403564132439107,2.602122865644612,0.9373177426363526
130,130,130,05-10,3.9787538079979012,1.7339523647857775,1.375883201115201
131,131,131,05-11,3.4019200899376583,0.5550967929976801,1.5832936437591434
132,132,132,05-12,4.361240538935906,2.5156275682006237,1.4474952827079484
133,133,133,05-13,3.8559939975216073,1.4830722895740232,1.2668961288498501
134,134,134,05-14,3.0300408767427336,-0.20490018495502868,0.8482634188676075
135,135,135,05-15,3.8733430406026272,1.5185279424960254,1.0241919653273643
136,136,136,05-16,2.749689951255493,-0.7778438951076783,0.668907958726412
137,137,137,05-17,3.9184287445816928,1.6106680717562212,0.4965808032695718
138,138,138,05-18,3.3181621530869267,0.3839235285949082,0.4434721722663968
139,139,139,05-19,3.350058667441413,0.4491093568329823,0.2950192852587321
140,140,140,05-20,2.874119236386823,-0.5235519709740788,0.5514562947215782
141,141,141,05-21,3.4375001800246165,0.6278106204500373,0.29069802704771674
142,142,142,05-22,3.5025634184894896,0.7607781616693985,0.29185033842393593
143,143,143,05-23,3.1528684945040064,0.04611846571305248,0.4861485395353541
144,144,144,05-24,3.3215452242862225,0.39083739685222296,0.7365184334026997
145,145,145,05-25,3.9204987948414933,1.6148985635014912,0.7617456445119223
146,146,146,05-26,3.609180257733769,0.978667392229995,0.7149946228396805
147,147,147,05-27,3.511564754152308,0.7791738871053719,0.7991387116211596
148,148,148,05-28,3.3653070846364312,0.4802720316359483,0.7315539372355621
149,149,149,05-29,3.399907141541948,0.5509829984019272,0.3935045762318928
150,150,150,05-30,3.1231230716862703,-0.014671249461362482,0.4810135191293084
151,151,151,05-31,2.9280196084394086,-0.4133976025205239,0.4349998843490825
152,152,152,06-01,3.866097780641883,1.5037210496144886,0.40568966848577065
153,153,153,06-02,3.3764733146226065,0.5030920784240164,0.5949262757031736
154,154,154,06-03,3.279255216036764,0.3044107364560774,0.8136940973111543
155,155,155,06-04,3.955486934418944,1.6864026417063454,0.9694557349496092
156,156,156,06-05,3.765403562783215,1.2979356801865214,0.6853588479193888
157,157,157,06-06,3.385320231452248,0.5211722233102056,0.9521252610397432
158,158,158,06-07,3.0320176733404587,-0.200860272566834,0.8019861118960114
159,159,159,06-08,4.159672880115108,2.103690557146142,0.7235871067583052
160,160,160,06-09,2.8384616581171125,-0.5964241584063125,0.6339874942808162
161,161,161,06-10,3.7253152795967375,1.2160086108801076,0.7464007716924899
162,162,162,06-11,3.5023480426379328,0.7603380053215871,0.8539857433596313
163,163,163,06-12,3.7153543950284917,1.1956518877802476,0.4067492995269856
164,164,164,06-13,3.3478764131182186,0.4446495574360152,0.6957748211785839
165,165,165,06-14,2.846631315455656,-0.5797281058497317,0.6043434904901273
166,166,166,06-15,3.687011744786565,1.1377289715032768,0.5990197388639297
167,167,167,06-16,3.4568820175904995,0.6674206267493679,0.5361053849746614
168,168,168,06-17,3.48671803917664,0.7283954955644018,0.5267499172538785
169,169,169,06-18,3.5306441308953307,0.8181657644446375,0.6057568848152916
170,170,170,06-19,3.320409693570618,0.3885167511113181,0.6219947098562454
171,171,171,06-20,3.0785878872788937,-0.1056863004812534,0.5959452543669278
172,172,172,06-21,3.7346843785632937,1.235155921749001,0.8325764902319169
173,173,173,06-22,3.3804034160232725,0.511123893813462,1.103393206710637
174,174,174,06-23,4.181443731753989,2.1481829107543366,1.036880681011963
175,175,175,06-24,4.3257349828255816,2.4430660633169574,1.0655616037427167
176,176,176,06-25,3.1251355561044885,-0.01055840308072602,0.8113388155911029
177,177,177,06-26,3.1627922140451568,0.06639923590326915,0.7157887996599966
178,178,178,06-27,2.98831164411862,-0.2901808071606826,0.4008138232320535
179,179,179,06-28,3.099878105191576,-0.062176201773175725,0.3861490436006166
180,180,180,06-29,3.2567086356304737,0.258333052186678,0.27855270687134864
181,181,181,06-30,4.282680653380432,2.355077385528336,0.11849438390082168
182,182,182,07-01,2.8092434496385645,-0.6561364234563337,0.1716626061362163
183,183,183,07-02,2.6928769517088185,-0.8939507019198927,0.20213547917128485
184,184,184,07-03,3.1444082383850915,0.02882852625168496,0.3782227498007455
185,185,185,07-04,3.1893434192137216,0.12066103643723534,0.34637469749111105
186,186,186,07-05,3.773683288596003,1.3148566759634421,0.5391026268224792
187,187,187,07-06,4.1891779502517785,2.1639890716705303,0.8504925003932229
188,188,188,07-07,3.375073415806371,0.5002311525318752,0.8300460144022529
189,189,189,07-08,3.607086543638754,0.9743885395045688,1.1584782216246268
190,190,190,07-09,3.0843793960857004,-0.09385038969413476,0.9228249761742991
