,unnamed: 0,unnamed: 0,mth_day,satirical,satirical_norm,satirical_ravg
72,72,72,03-13,4.207183866943084,-1.2560010809262396,-0.7421065091234645
73,73,73,03-14,4.758091306239608,-0.40927683803658815,-0.5982005397626922
74,74,74,03-15,5.221189115332655,0.30248726935842946,-0.3556257213837857
75,75,75,03-16,4.928206381789748,-0.1478162944410289,-0.4914122828257338
76,76,76,03-17,5.118656215031743,0.14489801536427382,-0.14409146856922736
77,77,77,03-18,3.9945803566938913,-1.5827647682732475,-0.05055956649394943
78,78,78,03-19,5.563055902047004,0.8279238046127991,0.033044617099510426
79,79,79,03-20,5.123221425738548,0.15191457441507944,0.27635409778925474
80,80,80,03-21,5.547563377683512,0.8041123709191886,0.31613726070660914
81,81,81,03-22,5.8780386613468325,1.312040589697437,0.5027103652924055
82,82,82,03-23,5.273961845600106,0.3835969928684004,0.2963196972484699
83,83,83,03-24,4.7229250012609585,-0.4633261407584698,0.09823695243236401
84,84,84,03-25,4.757347393887977,-0.41042020365081416,0.06018666967190245
85,85,85,03-26,4.349945413162945,-1.036581894481556,-0.2532139544229422
86,86,86,03-27,5.3990225698625185,0.5758106743564194,-0.33001191382779715
87,87,87,03-28,4.654584366204905,-0.5683631548716309,-0.17472695647774836
88,88,88,03-29,4.974157741624964,-0.07719076356072928,-0.22314797142021967
89,89,89,03-30,5.329126882924581,0.4683836033418231,0.16292037736305776
90,90,90,03-31,4.56832129070903,-0.7009462933056422,0.1629640713882928
91,91,91,04-01,5.857080189621812,1.2798281982181083,0.2515365560437187
92,92,92,04-02,5.399193142729118,0.5760728385078298,0.2683166403833928
93,93,93,04-03,5.000353897124152,-0.03692824693907552,-0.09952737912109133
94,94,94,04-04,5.039663885135403,0.02348974247731529,0.03604401455263628
95,95,95,04-05,3.8931362976957637,-1.7386805136850816,-0.22905538988646146
96,96,96,04-06,5.09756530344049,0.11248206873672374,-0.2170617277716156
97,97,97,04-07,4.822184340459663,-0.31076822841647816,-0.4026030619481201
98,98,98,04-08,5.446014036820409,0.6480348111969052,-0.3711916918813916
99,99,99,04-09,4.276037080971574,-1.1501762519981038,-0.19469344533415608
100,100,100,04-10,5.16228768569555,0.2119579628776874,-0.2866860776695264
101,101,101,04-11,4.582150681272374,-0.6796910344016688,-0.3966728805812633
102,102,102,04-12,4.738444189763127,-0.43947372527549816,-0.5903261149147919
103,103,103,04-13,4.392817529784232,-0.9706890458868992,-0.5377103482311102
104,104,104,04-14,4.690029960535414,-0.5138845948042667,-0.3599334041040393
105,105,105,04-15,4.4814386685633565,-0.8344816518960135,-0.2673757428885129
106,106,106,04-16,5.856293852714697,1.2786196276401132,-0.06698909554198823
107,107,107,04-17,4.94347755638465,-0.1243450671085104,0.060750291737633126
108,108,108,04-18,5.520714183938386,0.7628461588036499,0.17132324557354675
109,109,109,04-19,4.891486932493383,-0.20425272220917107,0.2307459928641293
110,110,110,04-20,5.121684988944478,0.14955312821121494,0.008953904996174175
111,111,111,04-21,4.713413367438858,-0.4779451681525179,-0.07124529553939027
112,112,112,04-22,4.9904612357112725,-0.052132899567618116,-0.2654033922738825
113,113,113,04-23,4.6303956770949295,-0.6055402703218972,-0.15291808913789132
114,114,114,04-24,4.762759224300179,-0.4021024216033031,-0.2495789553904733
115,115,115,04-25,5.330607395828586,0.4706590966067759,-0.2369676378979328
116,116,116,04-26,4.744340009717279,-0.4304120693042765,-0.2197016361720796
117,117,117,04-27,4.762645466443798,-0.4022772631972753,-0.15472636852143
118,118,118,04-28,5.057864304969457,0.051463110787501314,-0.2278615471574409
119,119,119,04-29,4.884046321584796,-0.2156886644179997,-0.4097492504629268
120,120,120,04-30,4.477253894862415,-0.8409134934193679,-0.4813143484749752
121,121,121,05-01,4.620553634814846,-0.6206671232261398,-0.4649824923247201
122,122,122,05-02,4.464963965722559,-0.8598026573765668,-0.5135027493049257
123,123,123,05-03,4.8264018154057045,-0.3042861262957442,-0.3889867738121509
124,124,124,05-04,4.868450780426322,-0.2396584310937325,-0.291819855026219
125,125,125,05-05,5.3701321597046325,0.531407188538649,-0.2939620533682761
126,126,126,05-06,4.856574403485204,-0.25791198070377624,-0.13836510095650875
127,127,127,05-07,4.6121909145101085,-0.6335203132784825,-0.0938782288632745
128,128,128,05-08,5.072383814642708,0.07377905709403736,-0.05433783795322504
129,129,129,05-09,5.000069799944961,-0.037364893736338695,-0.13111036305205798
130,130,130,05-10,5.0228086769053375,-0.002416085633435773,0.024386087062214002
131,131,131,05-11,5.070427346249528,0.07077203794565136,-0.00021128206407289296
132,132,132,05-12,5.463601911235332,0.6750667199818556,0.027297182264842845
133,133,133,05-13,4.516167631232791,-0.7811045280362038,0.19426292945419452
134,134,134,05-14,5.179771440092316,0.2388298430675318,0.2775417437225253
135,135,135,05-15,5.651871183973392,0.9644295893997716,0.2756538034354438
136,136,136,05-16,5.347912761510101,0.4972567999765483,0.1716046152245524
137,137,137,05-17,5.063057199301442,0.05944439622316264,0.2668705672175561
138,138,138,05-18,5.0574143786153565,0.05077159071650721,0.3244170182324911
139,139,139,05-19,4.888067139994946,-0.2095088160781812,0.11896133936651895
140,140,140,05-20,5.404421447946448,0.5841085491571413,-0.21323007486291906
141,141,141,05-21,4.849812689368086,-0.26830448379606103,-0.57871783823337
