,unnamed: 0,unnamed: 0,mth_day,oscar (best supporting actor),oscar (best supporting actor)_norm,oscar (best supporting actor)_ravg
67,67,67,03-08,0.5185293771856119,-1.5644026338137422,-0.5680136734857418
68,68,68,03-09,0.9870459346043746,0.28280398236106946,-0.37124584224552704
69,69,69,03-10,0.7163362254313539,-0.7845153213625115,-0.44290989186013
70,70,70,03-11,1.0768210288129998,0.6367576374966057,-0.5411857585685914
71,71,71,03-12,0.6194041853074828,-1.1666864591822963,-0.28940200371129965
72,72,72,03-13,0.7501822061024991,-0.6510717569106733,-0.4132047121660422
73,73,73,03-14,0.9016966645050646,-0.053700104669991734,-0.4365338852226393
74,74,74,03-15,0.7986416112663116,-0.460012268367386,-0.1836537718803177
75,75,75,03-16,0.68083363329403,-0.924490359702094,-0.24497502142175154
76,76,76,03-17,1.4616567665329825,2.154038317550535,-0.11334650038542488
77,77,77,03-18,0.5260848333296402,-1.5346139564308994,-0.004331568950134076
78,78,78,03-19,0.9504959370973648,0.13869936930728669,0.17254207035248378
79,79,79,03-20,1.0675967861354367,0.6003894839417531,0.2978147690546437
80,80,80,03-21,1.0678098608553923,0.6012295674483211,-0.1229213282806978
81,81,81,03-22,0.8714750039579152,-0.17285416748913413,0.17620992527444249
82,82,82,03-23,0.8213759462523832,-0.3703782664615141,0.2299037660974281
83,83,83,03-24,0.9813060649065316,0.2601735648999424,0.1770721272449074
84,84,84,03-25,1.0322078145994176,0.4608624142452002,0.013497814455639634
85,85,85,03-26,0.98719701707474,0.2833996508266289,0.2370340744616813
86,86,86,03-27,0.8188806726234842,-0.3802163092872855,0.28026989601222857
87,87,87,03-28,1.2116549429400678,1.1683633925471155,0.10645612835246092
88,88,88,03-29,0.8871726950058558,-0.11096333715822984,0.08141105406337668
89,89,89,03-30,0.7167943616367366,-0.7827090410586636,0.0528334124937104
90,90,90,03-31,0.9940939450946048,0.3105919685106947,0.12076773826213395
91,91,91,04-01,0.9437072478303222,0.1119338014086313,-0.17494046987103662
92,92,92,04-02,0.9222638767357452,0.02738964532325582,-0.2641681170163194
93,93,93,04-03,0.7616429395337978,-0.6058858562519078,-0.1928557965445596
94,94,94,04-04,0.7513850802332771,-0.6463292200299268,-0.07348266619139575
95,95,95,04-05,0.8253182352405242,-0.35483511822810426,-0.08617820703646106
96,96,96,04-06,1.1757572877601317,1.0268307506296777,-0.01731804287939719
97,97,97,04-07,0.9243870341437238,0.0357605563382394,-0.13746414312851987
