,unnamed: 0,unnamed: 0,mth_day,prison escape,prison escape_norm,prison escape_ravg
98,98,98,04-08,2.8650914074764446,0.900824222514622,0.13400844114965318
99,99,99,04-09,2.0052041045557663,-1.3094089527431694,0.3120802261542884
100,100,100,04-10,2.974161124602754,1.1811743409426263,0.3726037816333411
101,101,101,04-11,2.933661424192352,1.0770749070621266,0.4443071273653701
102,102,102,04-12,2.7926185421628524,0.7145417519187407,0.3772794261232879
103,103,103,04-13,2.5541688371046614,0.10163649449727298,0.4755032669885861
104,104,104,04-14,2.7086293566288786,0.4986580150621287,0.2128332581283273
105,105,105,04-15,2.234486972670313,-0.7200659075513793,-0.13297250365397487
106,106,106,04-16,2.361013313759706,-0.3948457122189267,-0.4249522198714517
107,107,107,04-17,2.1264507086114506,-0.9977596636316862,-0.5338951963536983
108,108,108,04-18,2.111053392848212,-1.0373365453861203,-0.438658927997478
109,109,109,04-19,2.2998644046090884,-0.5520213643962065,-0.3748777451661062
110,110,110,04-20,2.9309383659781085,1.07007562519945,-0.3340488421970937
111,111,111,04-21,2.383370710085653,-0.33737881056314856,-0.36220555545573824
112,112,112,04-22,2.4563197881577463,-0.14987229440485128,0.11895450239976756
113,113,113,04-23,2.060724792013725,-1.166699943183554,0.4864711512953937
114,114,114,04-24,3.234220203628541,1.8496238017469149,0.400764469679844
115,115,115,04-25,3.1577546133028758,1.6530785289775505,0.6334102873811922
116,116,116,04-26,2.7308741697068326,0.5558355355061521,0.7645463902984413
117,117,117,04-27,2.926433370510128,1.058496095644941,1.0254986359075648
118,118,118,04-28,2.7624293998910603,0.6369443230986439,0.9052897539811524
119,119,119,04-29,2.6698628463506897,0.3990135304711867,0.737829876166622
120,120,120,04-30,2.9536178877536368,1.1283705101884414,0.5136704290795494
121,121,121,05-01,2.7668547997628807,0.648319262090367,0.29517322411780106
122,122,122,05-02,2.2076211540405244,-0.7891211470162833,0.26328625510156445
123,123,123,05-03,2.4163976664762736,-0.25248713412554985,0.06077980591460293
124,124,124,05-04,2.6879959869119374,0.4456225090012249,-0.11271912450364725
125,125,125,05-05,2.19715419362193,-0.8160251646505824,-0.2177931434207777
126,126,126,05-06,2.548621177885039,0.08737692767894037,-0.1562206266896263
127,127,127,05-07,2.5215816338043178,0.0178751485875839,-0.2698991926403897
128,128,128,05-08,2.35134922564495,-0.4196860466293747,-0.1600431923819863
129,129,129,05-09,2.1510389977994504,-0.9345585298301304,-0.02174028040048311
130,130,130,05-10,2.9444316811074174,1.104758510551645,0.03624222080708108
131,131,131,05-11,2.5199932116073875,0.013792307238436885,-0.0970808180971578
132,132,132,05-12,2.6839691143962683,0.4352719349243255,0.10148465770583508
133,133,133,05-13,2.210367080632524,-0.7820630848378494,0.2898439936286279
134,134,134,05-14,2.8148585060759133,0.7717068081885825,0.3265775613132523
135,135,135,05-15,2.590724194347157,0.19559748570662647,0.5030972450712231
136,136,136,05-16,3.030178457863589,1.3251599166593917,0.6790064197064744
137,137,137,05-17,2.9320412339017285,1.0729104097862618,0.8670293803810746
138,138,138,05-18,3.094592031732037,1.490726982735834,0.8453185232888564
139,139,139,05-19,2.6492670800123235,0.3460746792097513,1.0373228905613041
140,140,140,05-20,2.764179083040976,0.6414416656352735,1.0026487605590102
141,141,141,05-21,3.0389179488463123,1.3476236893413125,0.9381179650719276
142,142,142,05-22,2.949239004607987,1.1171151366456291,1.0334252503920431
143,143,143,05-23,2.7814076836287147,0.6857256368637672,1.5018438632501148
144,144,144,05-24,3.3170668152255405,2.0625706946565274,1.3220190231131357
145,145,145,05-25,3.7426916711115688,3.156586356358181,1.0821537343820655
146,146,146,05-26,2.3444158693280306,-0.43750737518660254,1.0651997399379107
147,147,147,05-27,2.4790029539032306,-0.09156804304510638,0.9225474284907228
148,148,148,05-28,2.90966347551129,1.0153911699806997,0.6805184954166142
149,149,149,05-29,2.448415908682392,-0.1701882318193606,0.2150609887854147
150,150,150,05-30,2.752101248280983,0.6103970962118774,0.3728377126600996
151,151,151,05-31,2.6561791588162884,0.3638413165709832,0.3820931662165352
152,152,152,06-01,2.7127123995086704,0.5091529680615072,0.28847167358352405
153,153,153,06-02,2.5006078608018596,-0.0360353217064931,0.7115947234154033
154,154,154,06-03,2.691123819975936,0.4536622141826329,0.5770733229239843
155,155,155,06-04,3.4361075482698857,2.368550067171915,0.6392121087981086
156,156,156,06-05,2.4380893723886925,-0.1967313067366364,0.5367351295404826
157,157,157,06-06,2.8012290664646096,0.7366740318157292,0.9361010145612356
158,158,158,06-07,2.4735014756340328,-0.10570890748424837,0.8771152483600821
159,159,159,06-08,3.432843402987958,2.360159988418023,0.3508483436980285
160,160,160,06-09,2.55343397264975,0.0997476169757132,0.6053213633836415
161,161,161,06-10,2.2076483042442328,-0.7890513608004067,0.6779088361060569
162,162,162,06-11,3.0321030384934566,1.3301068113770418,0.7283670204687437
163,163,163,06-12,2.970669232806768,1.1721988681502222,0.4749372290014282
164,164,164,06-13,2.5912854792792888,0.1970401986918719,0.5051693256590254
165,165,165,06-14,2.8412649334289823,0.8395812396141293,0.9662699425760292
166,166,166,06-15,2.6240044346649354,0.28114019692129644,0.9408523536039548
167,167,167,06-16,3.283990575171132,1.977552340701616,0.7486851215469098
168,168,168,06-17,2.972771030614984,1.1776012775445959,0.702821831966623
169,169,169,06-18,2.5220953047713466,0.019195475807951685,0.9274508096364008
170,170,170,06-19,2.4842272897043456,-0.07813953878984868,1.0151402232798774
171,171,171,06-20,3.365613969345791,2.1873551056327982,1.0733907591145873
172,172,172,06-21,2.8286969012426932,0.8072766787821545,0.9861631291617976
173,173,173,06-22,3.4199641820646693,2.327055555709875,0.9456489988376634
174,174,174,06-23,2.7691565007999945,0.6542354978278571,1.0314017159444646
175,175,175,06-24,2.4275236008138226,-0.2238893061368525,0.8026491902670867
176,176,176,06-25,2.684398946133728,0.4363767638509599,0.8585320975751269
177,177,177,06-26,2.831639379127078,0.8148399515685302,0.5261172941873297
178,178,178,06-27,2.9591437780222143,1.1425741226303965,0.4439249624425252
179,179,179,06-28,2.6440118383866267,0.3325667353830912,0.44721832960879104
180,180,180,06-29,2.577295814092426,0.16108150735903015,0.3083563226743771
181,181,181,06-30,2.4352112727983792,-0.2041291031392576,0.046296623479703036
182,182,182,07-01,2.3602548387400124,-0.3967952777555233,-0.1361780107223904
183,183,183,07-02,2.219916207651933,-0.7575182435995141,-0.06270932005939149
184,184,184,07-03,2.5331951781768387,0.04772631741783583,-0.07773957499146493
185,185,185,07-04,2.815509022404647,0.7733788793610847,0.011995824235060308
186,186,186,07-05,2.542210849699264,0.07089997776658948,-0.2238540719156844
187,187,187,07-06,2.6446796617842807,0.3342832922198939,-0.3993544046998185
188,188,188,07-07,1.8097129320340868,-1.8118946546599912,-0.43534340098769936
189,189,189,07-08,1.810247645505328,-1.8105202403043188,-0.3871652629558167
190,190,190,07-09,2.4491864465210966,-0.16820766030944967,-0.14257056777627544
191,191,191,07-10,2.9279707381251447,1.0624477075523806,-0.2967076367446528
192,192,192,07-11,3.113165647865598,1.5384681488438372,-0.022659191579014342
193,193,193,07-12,2.284879139380509,-0.5905391215903703,0.2504209299930913
194,194,194,07-13,2.4494213058501697,-0.1676039836661605,-0.007632050405490069
195,195,195,07-14,2.4476956718453566,-0.1720395108716851,-0.4017192222991965
196,196,196,07-15,1.8468161161607328,-1.7165255427009378,-0.8261744801119365
197,197,197,07-16,2.008057239905773,-1.3020753238098577,-0.3919752111340912
198,198,198,07-17,2.122364249342941,-1.008263398032604,-0.4900009835553445
199,199,199,07-18,3.2984258796368424,2.0146564922767016,-0.3886836328287461
200,200,200,07-19,2.220600786800102,-0.7557586181936804,0.4533875940716794
201,201,201,07-20,2.6841996871609406,0.4358645934879055,0.4054380342071365
202,202,202,07-21,3.8124540342018283,3.335901818701615,0.8390270694008838
203,203,203,07-22,1.89612909177268,-1.5897726829971153,0.5666035643955429
204,204,204,07-23,3.1344865273607203,1.5932708131298798,0.7333540026110347
205,205,205,07-24,2.6625105863721346,0.3801154622446569,0.6128844358519244
206,206,206,07-25,2.6098445630217757,0.2447440110992695,-0.14476300618862972
207,207,207,07-26,2.402988857450817,-0.2869528070667561,0.15052209716531811
208,208,208,07-27,2.0438856601658624,-1.209982833541709,-0.11231968870997017
209,209,209,07-28,2.5854099711606158,0.1819379371265718,-0.27490603621572457
210,210,210,07-29,2.5209377392566013,0.016220097878150503,-0.3328893635611715
211,211,211,07-30,2.282987002851203,-0.5954026227898697,-0.5690476178943109
212,212,212,07-31,2.4744946980656644,-0.10315595297341193,0.014348071708216243
213,213,213,08-01,1.8517271535159987,-1.7039023330655925,-0.11986534667940266
214,214,214,08-02,3.405700019891116,2.2903913040734536,-0.2194781268310792
215,215,215,08-03,2.2721170146209504,-0.6233425731991415,-0.12995630022980753
216,216,216,08-04,2.288412684923186,-0.5814565830319087,-0.07411845385454252
217,217,217,08-05,2.4919568515271604,-0.058271663182239725,0.30179328170988823
218,218,218,08-06,2.604836389588576,0.2318711252781781,-0.08146132995779698
219,219,219,08-07,2.72921392382392,0.5515680803209919,-0.15176253347374738
220,220,220,08-08,2.5110728519126044,-0.009136365932657507,0.02888230821616135
221,221,221,08-09,2.1080136621960888,-1.0451497942948442,0.05435121141618856
222,222,222,08-10,2.710090019548709,0.5024124671075437,0.14107070000944927
223,223,223,08-11,2.5514086416627366,0.09454175601792343,0.01813047896981912
224,224,224,08-12,2.8072647704269604,0.7521880568377424,0.3688408923335376
225,225,225,08-13,2.4422358720772035,-0.18607324591678906,0.2844215613859073
226,226,226,08-14,3.3297324435686315,2.0951261142496533,0.24670977209479625
227,227,227,08-15,1.9109545149109808,-1.5516657799806255,0.10670351255676798
228,228,228,08-16,2.6220597904900096,0.2761417313608772,-0.19635260054011885
229,229,229,08-17,2.22459351757396,-0.7454958012102461,-0.2453724611716845
230,230,230,08-18,2.0998441055621906,-1.0661486217435787,-0.6083969601877777
231,231,231,08-19,2.327809332235474,-0.4801924097061834,-0.2771820852218498
232,232,232,08-20,2.4823282126100485,-0.08302087984690537,-0.4987083839914753
233,233,233,08-21,2.6841058784229594,0.4356234698149419,-0.27929386677622664
234,234,234,08-22,2.104953304964212,-1.053016061256876,-0.021624087500510963
235,235,235,08-23,2.7367704938548196,0.5709913020812456,0.03182644513149526
236,236,236,08-24,2.7013199336129188,0.4798700539107154,0.4867937055437482
237,237,237,08-25,2.452578342652437,-0.1594892139141461,0.6549861348042747
238,238,238,08-26,3.5443534546141344,2.646782682626612,1.1415852014143693
239,239,239,08-27,3.0767156790200643,1.4447780453781005,0.7417869483673915
240,240,240,08-28,3.2408163360915165,1.8665783384036896,0.5469657966012372
241,241,241,08-29,1.8035256795789647,-1.8277982162006203,0.4331885741050451
242,242,242,08-30,2.2465509889981248,-0.6890568566862096,-0.12918061300237485
243,243,243,08-31,2.186989381049835,-0.8421525488912988,-0.3291113152056437
244,244,244,09-01,2.231621036258974,-0.7274324400179079,-0.7735538961621569
245,245,245,09-02,2.6100195651083147,0.2451938321584874,-0.2484327784345205
246,246,246,09-03,2.2033587415174223,-0.8000771473353898,-0.030524552346221125
247,247,247,09-04,3.0293103253374665,1.3229284901651983,0.4344391317944143
248,248,248,09-05,2.7552118459055213,0.6183924998435866,0.591228966680503
249,249,249,09-06,3.2723491687522004,1.9476295559525136,0.42818640545255615
250,250,250,09-07,2.597613881959118,0.2133065692986239,0.4644060360374214
251,251,251,09-08,2.229431046742889,-0.7330615352091929,0.13422098452733974
252,252,252,09-09,2.287905840362151,-0.5827593638261983,0.24228568263587505
253,253,253,09-10,2.258562867776712,-0.658181818895291,0.016349687831156645
254,254,254,09-11,3.007466122524949,1.2667806884947979,-0.30514567776250395
255,255,255,09-12,2.744949176624212,0.5920135871242036,-0.2988604151836238
256,256,256,09-13,1.847150665906124,-1.71566562426334,-0.24971286954798466
257,257,257,09-14,2.2441026684005574,-0.695349959735912,-0.06863281554455357
258,258,258,09-15,2.40263043395225,-0.2878740900123635,-0.18296152907966204
259,259,259,09-16,2.681256113881608,0.4282985051252955,-0.3565928224084136
260,260,260,09-17,2.7405898212497344,0.5808084072841471,0.08513303611073515
261,261,261,09-18,2.3396434934199704,-0.4497741728483057,0.2793582222344795
262,262,262,09-19,2.87826664415955,0.9346895268515526,0.4173105816171294
263,263,263,09-20,2.6974804567483432,0.4700011570065539,0.34538738852939826
264,264,264,09-21,2.7246511607307866,0.5398400662835363,0.16457320145558205
265,265,265,09-22,2.513366568432796,-0.0032406534010913004,0.002797184522327365
266,266,266,09-23,2.318517185493832,-0.5040767151587502,-0.16530761918529596
267,267,267,09-24,1.9620114559447528,-1.4204302744478339,-0.498229008960755
268,268,268,09-25,2.4858613869595763,-0.07393929539418738,-0.34872780084631144
269,269,269,09-26,1.920345593848005,-1.5275271816462004,-0.5640156020515645
270,270,270,09-27,3.0736302423987234,1.4368473149701977,-0.3880932877262606
271,271,271,09-28,2.010822541488173,-1.2949674606326105,-0.1443028890174106
272,272,272,09-29,2.7291707746684826,0.5514571707930729,-0.2902216883567009
273,273,273,09-30,2.531088793405113,0.042312117805266336,-0.033338169640665084
274,274,274,10-01,2.1452446840327863,-0.9494520914299291,-0.4315837211825164
275,275,275,10-02,2.519986062228204,0.013773930650014428,-0.1258614774045063
276,276,276,10-03,2.144009882749006,-0.9526259942809102,-0.3510986228352005
277,277,277,10-04,2.7244667268745486,0.53936600203545,-0.3690084325714544
278,278,278,10-05,2.203402099209082,-0.799965701791092,-0.3137928169889241
279,279,279,10-06,2.4892821148275,-0.06514674061225723,-0.4122382339900117
280,280,280,10-07,2.2741339088273493,-0.6181583979347471,-0.5349309704198597
281,281,281,10-08,2.2901859712941053,-0.576898571356511,-0.476726194797733
282,282,282,10-09,1.8576095316974084,-1.6887824128599982,-0.6669910764011632
283,283,283,10-10,2.8603335161900505,0.8885946557682104,-0.9352548309886805
284,284,284,10-11,1.7592688076252734,-1.9415549914116728,-0.7979814689016438
285,285,285,10-12,1.8630768827662358,-1.6747292681373602,-1.037377711682073
286,286,286,10-13,2.594569659433006,0.20548177458747197,-0.8538655413532191
287,287,287,10-14,1.7313658653300428,-2.0132760280390882,-0.9722598967274544
288,288,288,10-15,2.2859800410997755,-0.5877093908868742,-0.8763621681492202
289,289,289,10-16,2.583966830366752,0.17822852352279892,-0.5686212919081285
290,290,290,10-17,1.9831218565428093,-1.3661686199422678,-0.36132743386243465
291,291,291,10-18,2.5814331404634387,0.17171598930919016,-0.4638136388545526
292,292,292,10-19,3.0784535097950214,1.4492449228616346,-0.2493438446847751
293,293,293,10-20,1.4921334059214026,-2.6281932579917955,-0.3735931667431805
294,294,294,10-21,2.7866146029127203,0.6991093741317908,-0.2258001035620747
295,295,295,10-22,2.293932958020961,-0.5672674088276334,-0.20067266560364092
296,296,296,10-23,2.3281136336417045,-0.4794102408556332,-0.4771645105418911
297,297,297,10-24,2.6400878519135937,0.3224806170597925,-0.11286118213630815
298,298,298,10-25,2.43304153385058,-0.20970614676786573,-0.14256622883983133
299,299,299,10-26,2.342522794736452,-0.442373287558298,0.14633416598483875
300,300,300,10-27,2.717274428005484,0.5208790939106516,0.06863549963965594
301,301,301,10-28,2.968310080125818,1.1661349601203872,0.07306348068991414
302,302,302,10-29,2.146742462331781,-0.94560223892673,-0.03051830760098903
303,303,303,10-30,2.6504240410324083,0.3490485033613417,0.009155999580257285
304,304,304,10-31,2.1912516659880357,-0.8311968765132848,-0.040523369720394775
305,305,305,11-01,2.435134108454561,-0.2043274444708201,-0.08532077768643424
306,306,306,11-02,2.6013084040847123,0.22280287810673924,0.08551586456357106
307,307,307,11-03,2.86373996667814,0.8973505123241504,0.008239683161181585
308,308,308,11-04,2.5455246212157587,0.07941761457330168,0.3703860888323138
309,309,309,11-05,2.470039071835592,-0.11460858505299515,0.4198442035025302
310,310,310,11-06,3.0366061729811205,1.3416815575135088,0.4869593013558165
311,311,311,11-07,2.550583660042312,0.09242124355047784,0.3172772316141208
312,312,312,11-08,2.7579744639132326,0.6254934652264567,0.10088215144505884
313,313,313,11-09,2.467652914133105,-0.12074190612602342,-0.07681190581473811
314,314,314,11-10,2.040395884750632,-1.21895286644107,-0.12177374678907255
315,315,315,11-11,2.055249721953524,-1.1807729286117772,-0.21576788988543585
316,316,316,11-12,2.9316522253092603,1.071910511667502,-0.18294643850932726
317,317,317,11-13,2.3311741304897247,-0.4715436150277018,-0.2508988328628255
318,318,318,11-14,2.8345892291362347,0.8224221734831078,-0.18527206579517908
319,319,319,11-15,2.309032361980321,-0.5284562722470125,-0.2922955845061277
320,320,320,11-16,2.193587749839582,-0.8251922640351914,-0.5230947722442449
321,321,321,11-17,1.805425859339468,-1.8229140408774689,0.07519373364995925
322,322,322,11-18,2.3929001335877187,-0.31288461476120233,0.024147841914765284
323,323,323,11-19,3.7277526330501334,3.118187420337524,0.07693726414348047
324,324,324,11-20,2.7154333464156606,0.5161468230719439,0.2375729637301267
325,325,325,11-21,2.4322581494071063,-0.2117197388747213,0.5928213592859971
326,326,326,11-22,2.5685579566483554,0.13862193348468588,0.5023515176856067
327,327,327,11-23,2.634678414611081,0.30857633245775273,-0.16633259944670878
328,328,328,11-24,2.181717343571872,-0.8557036643635438,-0.3465863119666088
329,329,329,11-25,2.1668504031220945,-0.8939172824563693,-0.35737562948785434
330,330,330,11-26,2.2946690204559843,-0.5653754520474559,-0.2310398756442814
331,331,331,11-27,2.407072760152554,-0.276455644002195,-0.2534931599319962
332,332,332,11-28,2.8634621645421587,0.8966364565461237,0.2499502625551809
333,333,333,11-29,2.5822659516619018,0.17385662673146401,0.4881845235086414
334,334,334,11-30,3.3568999756536555,2.164956870559519,0.6331832784068085
335,335,335,12-01,2.7229581072533904,0.5354882832643935,0.8389688540741429
336,336,336,12-02,2.6331380734192287,0.30461707734154664,0.7182760949812197
337,337,337,12-03,2.8874358429840967,0.9582578100018122,0.6803331427855991
338,338,338,12-04,2.581730339338609,0.17247990198858384,0.5220563353321791
339,339,339,12-05,2.4936961214912867,-0.053801086442259616,0.43471779512510667
340,340,340,12-06,2.987436105688507,1.215296025838999,0.31022027988542017
341,341,341,12-07,2.5190846808102387,0.011457042021958928,0.08811776186793523
342,342,342,12-08,2.342524846367398,-0.4423680140965725,-0.03197697217820055
343,343,343,12-09,2.368984294990285,-0.37435729810309737,-0.003331286657597644
344,344,344,12-10,2.3013944776478263,-0.5480885022882308,-0.2691260912032476
345,345,345,12-11,2.5605634408448266,0.11807302668135786,-0.2583352278679114
346,346,346,12-12,2.3669941174776548,-0.37947280143490064,-0.15053574928196087
347,347,347,12-13,2.5442736784421984,0.07620222203397604,-0.08771426217437539
348,348,348,12-14,2.594160023873184,0.20442885741913075,-0.02684723204316516
349,349,349,12-15,2.51562782487425,0.002571624542415389,-0.18697191091375345
350,350,350,12-16,2.4434757393777256,-0.18288632150096945,-0.3260285821847589
351,351,351,12-17,2.186786104264009,-0.8426750465421721,-0.2472588886652688
352,352,352,12-18,2.0423956071913203,-1.213812829060934,-0.3897396018106759
353,353,353,12-19,2.728144937105564,0.5488203831509172,-0.5093254266465507
354,354,354,12-20,2.2615688090194954,-0.6504554214533115,-0.35359450029728823
355,355,355,12-21,2.236479904545876,-0.7149433244728335,-0.160287584195621
356,356,356,12-22,2.8069967861311413,0.751499236594605,-0.007275856280601641
357,357,357,12-23,2.638020384655776,0.3171664500678312,-0.1487994273060774
358,358,358,12-24,2.3995692579308607,-0.29574246157081785,-0.0375423020320928
359,359,359,12-25,2.3977879689329042,-0.3003210430019374,-0.09765195806159543
360,360,360,12-26,2.5212751344520496,0.01708733019059621,-0.42719349192309297
361,361,361,12-27,2.0961665731345778,-1.0756012606498493,-0.5358120360034251
362,362,362,12-28,2.037751484980173,-1.2257499665743798,-0.8211197823734061
363,363,363,12-29,2.3844732712689347,-0.3345448144141611,
364,364,364,12-30,1.7335784169422968,-2.0075889397907045,
365,365,365,12-31,,,
