,unnamed: 0,unnamed: 0,mth_day,pirates,pirates_norm,pirates_ravg
64,64,64,03-05,1.1782094589593517,2.8031696252135303,0.3634786885484861
65,65,65,03-06,0.5079155775433086,-1.0766846990076702,0.4955400917020365
66,66,66,03-07,0.7985335697020269,0.6054960650348811,0.7634150564092419
67,67,67,03-08,0.8315375476684624,0.7965326091236621,0.7130292565017727
68,68,68,03-09,0.8433828486766917,0.8650966280005618,0.37656610842987065
69,69,69,03-10,0.7430887248576259,0.2845653106456701,0.5026935385807927
70,70,70,03-11,0.8294398857308315,0.7843907367821179,0.27845343521196914
71,71,71,03-12,0.6386562254812115,-0.3199201181021382,0.0839999847961853
72,72,72,03-13,0.5660916942668285,-0.7399445551780601,0.0910961224903266
73,73,73,03-14,0.6299717972944182,-0.3701880933710408,0.008613600783991593
74,74,74,03-15,0.8507385336286365,0.9076734541654096,-0.3820009392012904
75,75,75,03-16,0.6575893349268659,-0.2103298195923399,-0.5574863428862475
76,76,76,03-17,0.4245382874779132,-1.5592965031295736,-0.5965460758811418
77,77,77,03-18,0.4567522942430785,-1.3728325402118808,-0.6425669915180275
78,78,78,03-19,0.5256033183923389,-0.974302953147426,-0.8463068822785694
79,79,79,03-20,0.5822676276156862,-0.6463135871923551,-1.1470683460052609
80,80,80,03-21,0.6395466834739374,-0.3147658903978418,-0.8790111455378767
81,81,81,03-22,0.3458272654442168,-2.014898601952489,-0.37875221402670095
82,82,82,03-23,0.7023999075203633,0.049046699674732436,-0.15985917696225746
83,83,83,03-24,0.9753086206839846,1.6287210488551738,0.0918885918476081
84,84,84,03-25,0.7525025540356612,0.3390552692392351,0.3662502391022709
85,85,85,03-26,0.8432232846978867,0.8641730256668381,0.9180921438133024
86,86,86,03-27,0.9239433407947379,1.3314039931301354,0.9423669508518396
87,87,87,03-28,0.9178532561020412,1.2961528263136999,0.4779310106209517
88,88,88,03-29,0.7275625862254499,0.1946955419059555,0.5274966137944203
89,89,89,03-30,0.4938855418281158,-1.1578945925301534,0.3769596759273775
90,90,90,03-31,0.8038810612055775,0.6364488882800464,0.19467809388889346
91,91,91,04-01,0.6871803305857266,-0.03904860153541851,-0.2364744417789019
